centroid_id,best_target,best_score,best_exhaustiveness,best_tag,tag,pfDHFR,pfCRT,pfATP4,pfClpP
0,pfCRT,-6.276,64,original,original,-5.571,-6.276,-5.915,-3.632
1,pfCRT,-8.482,64,original,original,-7.565,-8.482,-6.371,-5.135
2,pfCRT,-8.68,64,original,original,-7.569,-8.68,-6.414,-5.108
3,pfCRT,-6.608,64,original,original,-6.086,-6.608,-5.322,-4.083
4,pfCRT,-8.493,64,original,original,-7.652,-8.493,-6.288,-4.984
5,pfCRT,-6.311,64,original,original,-5.791,-6.311,-5.278,-4.25
6,pfCRT,-7.596,64,original,original,-7.368,-7.596,-5.83,-4.547
7,pfCRT,-9.771,64,original,original,-7.082,-9.771,-7.56,-4.79
8,pfCRT,-6.097,64,original,original,-5.283,-6.097,-4.632,-4.139
9,pfCRT,-8.096,64,original,original,-7.886,-8.096,-6.809,-4.153
10,pfCRT,-8.564,64,original,original,-7.324,-8.564,-7.243,-5.022
11,pfCRT,-7.324,64,original,original,-6.477,-7.324,-5.831,-4.209
12,pfCRT,-9.398,64,original,original,-7.401,-9.398,-8.284,-5.297
13,pfCRT,-7.771,64,original,original,-7.535,-7.771,-6.09,-3.93
14,pfCRT,-8.6,64,original,original,-7.847,-8.6,-6.633,-3.928
15,pfCRT,-11.767,64,original,original,-9.307,-11.767,-7.787,-5.509
16,pfCRT,-10.812,64,original,original,-8.921,-10.812,-7.106,-5.639
17,pfCRT,-9.133,64,original,original,-8.86,-9.133,-6.546,-4.683
18,pfCRT,-8.459,64,original,original,-7.604,-8.459,-6.438,-4.278
19,pfDHFR,-9.132,64,original,original,-9.132,-9.071,-6.653,-4.562
20,pfCRT,-8.599,64,original,original,-7.413,-8.599,-6.793,-4.977
21,pfCRT,-11.204,64,original,original,-9.088,-11.204,-7.338,-5.444
22,pfCRT,-8.02,64,original,original,-7.898,-8.02,-6.298,-4.924
23,pfCRT,-8.428,64,original,original,-6.644,-8.428,-6.563,-4.502
24,pfCRT,-8.995,64,original,original,-7.078,-8.995,-7.051,-4.437
25,pfDHFR,-8.169,64,original,original,-8.169,-8.098,-6.741,-4.447
26,pfCRT,-8.624,64,original,original,-7.613,-8.624,-7.272,-4.253
27,pfCRT,-7.996,64,original,original,-6.528,-7.996,-6.397,-4.089
28,pfCRT,-6.524,64,original,original,-5.802,-6.524,-5.288,-3.642
29,pfCRT,-9.425,64,original,original,-7.788,-9.425,-6.141,-4.545
30,pfCRT,-8.152,64,original,original,-6.888,-8.152,-6.24,-4.247
31,pfCRT,-8.379,64,original,original,-6.472,-8.379,-6.937,-4.493
32,pfCRT,-9.14,64,original,original,-7.543,-9.14,-6.286,-4.185
33,pfCRT,-9.49,64,original,original,-8.341,-9.49,-6.662,-4.195
34,pfCRT,-8.16,64,original,original,-7.18,-8.16,-6.967,-4.338
35,pfCRT,-8.424,64,original,original,-5.653,-8.424,-6.909,-4.212
36,pfCRT,-8.164,64,original,original,-7.198,-8.164,-6.471,-4.077
37,pfCRT,-8.495,64,original,original,-7.466,-8.495,-6.718,-4.971
38,pfCRT,-8.496,64,original,original,-8.108,-8.496,-6.636,-4.57
39,pfCRT,-9.732,64,original,original,-7.382,-9.732,-6.962,-4.173
40,pfCRT,-9.846,64,original,original,-7.972,-9.846,-7.169,-4.414
41,pfCRT,-8.521,64,original,original,-7.388,-8.521,-7.101,-4.909
42,pfCRT,-8.813,64,original,original,-7.571,-8.813,-6.785,-4.475
43,pfCRT,-9.079,64,original,original,-7.628,-9.079,-6.922,-4.766
44,pfCRT,-8.618,64,original,original,-8.119,-8.618,-6.879,-4.387
45,pfCRT,-9.402,64,original,original,-8.511,-9.402,-7.6,-5.358
46,pfCRT,-8.531,64,original,original,-7.217,-8.531,-7.026,-4.769
47,pfCRT,-8.949,64,original,original,-7.438,-8.949,-7.044,-4.783
48,pfATP4,-8.452,64,original,original,,-6.851,-8.452,-5.108
49,pfATP4,-8.676,64,original,original,,-8.285,-8.676,-5.372
50,pfATP4,-7.681,64,original,original,,-4.724,-7.681,-4.959
51,pfCRT,-12.14,64,original,original,,-12.14,-9.151,-4.92
52,pfATP4,-9.318,64,original,original,94.079,45.725,-9.318,-4.861
53,pfCRT,-7.436,64,original,original,-7.096,-7.436,-6.337,-4.816
54,pfCRT,-8.546,64,original,original,-6.927,-8.546,-6.642,-5.062
55,pfATP4,-6.763,64,original,original,-5.92,-6.304,-6.763,-4.415
56,pfCRT,-8.132,64,original,original,-7.254,-8.132,-6.13,-4.762
57,pfCRT,-8.424,64,original,original,-6.932,-8.424,-6.547,-4.933
58,pfCRT,-7.677,64,original,original,-6.494,-7.677,-6.096,-4.094
59,pfCRT,-7.481,64,original,original,-6.811,-7.481,-6.689,-4.464
60,pfCRT,-7.931,64,original,original,-6.576,-7.931,-6.472,-4.499
61,pfCRT,-7.757,64,original,original,-7.43,-7.757,-7.038,-4.537
