centroid_id,vina_score,exhaustiveness,tag
0,-3.632,64,original
1,-5.135,64,original
2,-5.108,64,original
3,-4.083,64,original
4,-4.984,64,original
5,-4.25,64,original
6,-4.547,64,original
7,-4.79,64,original
8,-4.139,64,original
9,-4.153,64,original
10,-5.022,64,original
11,-4.209,64,original
12,-5.297,64,original
13,-3.93,64,original
14,-3.928,64,original
15,-5.509,64,original
16,-5.639,64,original
17,-4.683,64,original
18,-4.278,64,original
19,-4.562,64,original
20,-4.977,64,original
21,-5.444,64,original
22,-4.924,64,original
23,-4.502,64,original
24,-4.437,64,original
25,-4.447,64,original
26,-4.253,64,original
27,-4.089,64,original
28,-3.642,64,original
29,-4.545,64,original
30,-4.247,64,original
31,-4.493,64,original
32,-4.185,64,original
33,-4.195,64,original
34,-4.338,64,original
35,-4.212,64,original
36,-4.077,64,original
37,-4.971,64,original
38,-4.57,64,original
39,-4.173,64,original
40,-4.414,64,original
41,-4.909,64,original
42,-4.475,64,original
43,-4.766,64,original
44,-4.387,64,original
45,-5.358,64,original
46,-4.769,64,original
47,-4.783,64,original
48,-5.108,64,original
49,-5.372,64,original
50,-4.959,64,original
51,-4.92,64,original
52,-4.861,64,original
53,-4.816,64,original
54,-5.062,64,original
55,-4.415,64,original
56,-4.762,64,original
57,-4.933,64,original
58,-4.094,64,original
59,-4.464,64,original
60,-4.499,64,original
61,-4.537,64,original
62,-4.576,64,original
63,-5.13,64,original
64,-5.081,64,original
65,-4.95,64,original
66,-4.122,64,original
67,-4.75,64,original
68,-4.514,64,original
69,-4.511,64,original
70,-4.513,64,original
71,-4.817,64,original
72,-3.994,64,original
73,-3.975,64,original
74,-4.215,64,original
75,-4.156,64,original
76,-4.522,64,original
77,-5.77,64,original
78,-4.794,64,original
79,-4.786,64,original
80,-4.618,64,original
81,-5.66,64,original
82,-4.477,64,original
83,-4.475,64,original
84,-4.401,64,original
85,-5.085,64,original
86,-4.651,64,original
87,-4.75,64,original
88,-4.332,64,original
89,-4.321,64,original
90,-5.015,64,original
91,-4.942,64,original
92,-4.652,64,original
93,-4.768,64,original
94,-5.246,64,original
95,-5.111,64,original
96,-4.446,64,original
97,-4.321,64,original
98,-4.45,64,original
99,-4.592,64,original
100,-4.242,64,original
101,-4.718,64,original
102,-4.6,64,original
103,-4.612,64,original
104,-4.795,64,original
105,-4.603,64,original
106,-4.352,64,original
107,-4.792,64,original
108,-4.676,64,original
109,-4.295,64,original
110,-4.287,64,original
111,-4.042,64,original
112,-3.346,64,original
113,-4.153,64,original
114,-5.046,64,original
115,-5.009,64,original
116,-3.672,64,original
117,-4.521,64,original
118,-4.268,64,original
119,-4.03,64,original
120,-4.347,64,original
