centroid_id,vina_score,exhaustiveness,tag
0,-5.571,64,original
1,-7.565,64,original
2,-7.569,64,original
3,-6.086,64,original
4,-7.652,64,original
5,-5.791,64,original
6,-7.368,64,original
7,-7.082,64,original
8,-5.283,64,original
9,-7.886,64,original
10,-7.324,64,original
11,-6.477,64,original
12,-7.401,64,original
13,-7.535,64,original
14,-7.847,64,original
15,-9.307,64,original
16,-8.921,64,original
17,-8.86,64,original
18,-7.604,64,original
19,-9.132,64,original
20,-7.413,64,original
21,-9.088,64,original
22,-7.898,64,original
23,-6.644,64,original
24,-7.078,64,original
25,-8.169,64,original
26,-7.613,64,original
27,-6.528,64,original
28,-5.802,64,original
29,-7.788,64,original
30,-6.888,64,original
31,-6.472,64,original
32,-7.543,64,original
33,-8.341,64,original
34,-7.18,64,original
35,-5.653,64,original
36,-7.198,64,original
37,-7.466,64,original
38,-8.108,64,original
39,-7.382,64,original
40,-7.972,64,original
41,-7.388,64,original
42,-7.571,64,original
43,-7.628,64,original
44,-8.119,64,original
45,-8.511,64,original
46,-7.217,64,original
47,-7.438,64,original
48,,64,original
49,,64,original
50,,64,original
51,,64,original
52,94.079,64,original
53,-7.096,64,original
54,-6.927,64,original
55,-5.92,64,original
56,-7.254,64,original
57,-6.932,64,original
58,-6.494,64,original
59,-6.811,64,original
60,-6.576,64,original
61,-7.43,64,original
62,-6.098,64,original
63,-9.443,64,original
64,-8.347,64,original
65,-8.301,64,original
66,-8.26,64,original
67,-8.664,64,original
68,-8.219,64,original
69,-9.087,64,original
70,-8.712,64,original
71,-6.682,64,original
72,-6.113,64,original
73,-5.021,64,original
74,-6.673,64,original
75,-4.843,64,original
76,-7.535,64,original
77,-7.575,64,original
78,-7.494,64,original
79,-7.884,64,original
80,-8.201,64,original
81,-8.13,64,original
82,-6.876,64,original
83,-6.796,64,original
84,-6.593,64,original
85,-7.514,64,original
86,-7.636,64,original
87,-7.435,64,original
88,-3.053,64,original
89,-7.164,64,original
90,-7.574,64,original
91,-7.955,64,original
92,-6.991,64,original
93,-7.617,64,original
94,-7.638,64,original
95,-7.664,64,original
96,-6.558,64,original
97,-6.907,64,original
98,-7.387,64,original
99,-6.764,64,original
100,-6.779,64,original
101,-6.899,64,original
102,-6.949,64,original
103,-8.793,64,original
104,-4.778,64,original
105,-5.019,64,original
106,-4.245,64,original
107,-8.209,64,original
108,-8.764,64,original
109,-7.872,64,original
110,-6.566,64,original
111,-6.262,64,original
112,-7.137,64,original
113,-5.779,64,original
114,-7.201,64,original
115,-7.548,64,original
116,-5.746,64,original
117,-8.306,64,original
118,-7.413,64,original
119,-6.58,64,original
120,-7.106,64,original
121,-6.687,64,original
122,-7.083,64,original
123,-8.931,64,original
124,-6.185,64,original
125,-7.47,64,original
126,-6.94,64,original
127,-6.559,64,original
128,-7.145,64,original
129,-6.735,64,original
130,-7.75,64,original
131,-6.717,64,original
132,-7.444,64,original
133,-7.064,64,original
134,-6.833,64,original
135,-7.109,64,original
136,-7.391,64,original
137,-6.641,64,original
138,-6.303,64,original
139,-7.665,64,original
140,-6.087,64,original
141,-6.628,64,original
142,-6.806,64,original
143,-7.002,64,original
144,-6.725,64,original
145,-6.245,64,original
146,-6.246,64,original
147,-7.24,64,original
148,-7.172,64,original
149,-8.645,64,original
150,-8.704,64,original
151,-9.414,64,original
152,-9.673,64,original
153,-10.61,64,original
154,-7.268,64,original
155,-8.392,64,original
156,-7.264,64,original
157,-6.021,64,original
158,-7.253,64,original
159,-7.084,64,original
160,-5.618,64,original
161,-7.333,64,original
162,-7.298,64,original
163,-7.65,64,original
164,-7.962,64,original
165,-6.808,64,original
166,-6.987,64,original
167,-6.734,64,original
168,-6.596,64,original
169,-7.003,64,original
170,-6.609,64,original
171,-6.644,64,original
172,-7.199,64,original
173,-7.091,64,original
174,-6.882,64,original
175,-6.878,64,original
176,-6.318,64,original
177,-8.166,64,original
178,-7.53,64,original
179,-7.439,64,original
180,-8.089,64,original
181,-7.506,64,original
182,-6.758,64,original
183,-8.242,64,original
184,-7.754,64,original
185,-7.859,64,original
186,-7.934,64,original
187,-8.276,64,original
188,-7.541,64,original
189,-7.993,64,original
190,-7.574,64,original
191,-9.301,64,original
192,-7.58,64,original
193,-7.281,64,original
194,-8.468,64,original
195,-8.698,64,original
196,-6.571,64,original
197,-7.56,64,original
198,-8.141,64,original
199,-6.817,64,original
200,-7.509,64,original
201,,64,original
202,,64,original
203,,64,original
204,,64,original
205,-7.832,64,original
206,-5.881,64,original
207,-8.791,64,original
208,-5.494,64,original
209,-7.581,64,original
210,,64,original
211,,64,original
212,-7.469,64,original
213,-8.498,64,original
214,-6.717,64,original
215,-7.879,64,original
216,-7.946,64,original
217,-8.238,64,original
218,-9.008,64,original
219,-8.106,64,original
220,,64,original
221,-7.956,64,original
222,-6.476,64,original
223,-9.961,64,original
224,-7.691,64,original
225,-7.568,64,original
226,,64,original
227,-7.582,64,original
228,-7.473,64,original
229,-6.95,64,original
230,-6.769,64,original
231,-7.805,64,original
232,-7.421,64,original
233,-6.964,64,original
234,-6.492,64,original
235,-6.769,64,original
236,-7.84,64,original
237,-7.0,64,original
238,-7.725,64,original
239,-8.97,64,original
240,-7.378,64,original
241,-7.1,64,original
242,-6.158,64,original
243,-5.314,64,original
244,-8.243,64,original
245,-7.103,64,original
246,-7.386,64,original
247,-6.958,64,original
248,-8.126,64,original
249,,64,original
250,-7.186,64,original
251,-3.659,64,original
252,-9.763,64,original
253,-10.208,64,original
254,,64,original
255,-4.916,64,original
256,-6.493,64,original
257,-7.97,64,original
258,-4.948,64,original
259,-6.557,64,original
260,-6.979,64,original
261,-5.59,64,original
262,-4.542,64,original
263,-6.248,64,original
264,-4.45,64,original
265,-4.237,64,original
266,-7.437,64,original
267,-7.614,64,original
268,-6.811,64,original
269,-8.004,64,original
270,-8.461,64,original
271,-9.313,64,original
272,-8.682,64,original
273,-5.409,64,original
274,-6.685,64,original
275,,64,original
276,-6.874,64,original
277,-5.932,64,original
278,-7.841,64,original
279,-6.332,64,original
280,-6.384,64,original
281,-7.254,64,original
282,-6.216,64,original
283,-7.418,64,original
284,-6.476,64,original
285,-6.12,64,original
286,-8.453,64,original
287,-7.729,64,original
288,-5.656,64,original
289,-7.499,64,original
290,-7.737,64,original
291,-9.343,64,original
292,-7.141,64,original
293,-7.81,64,original
294,-7.544,64,original
295,-8.042,64,original
296,-7.158,64,original
297,-6.906,64,original
298,-6.083,64,original
299,-6.191,64,original
300,-6.011,64,original
301,-5.847,64,original
302,-7.452,64,original
303,-6.779,64,original
304,-6.492,64,original
305,-7.137,64,original
306,-6.324,64,original
307,-6.572,64,original
308,-8.01,64,original
309,-8.332,64,original
310,-7.974,64,original
311,-7.346,64,original
312,-8.327,64,original
313,-9.063,64,original
314,-8.648,64,original
315,-8.647,64,original
316,-5.758,64,original
317,-3.987,64,original
318,-6.324,64,original
319,-5.851,64,original
320,,64,original
321,-8.062,64,original
322,-7.743,64,original
323,-7.301,64,original
324,-7.517,64,original
325,-6.697,64,original
326,-8.927,64,original
327,-7.006,64,original
328,-7.445,64,original
329,-6.518,64,original
330,-7.761,64,original
331,-6.205,64,original
332,,64,original
333,-7.926,64,original
334,-6.131,64,original
335,-6.145,64,original
336,-6.413,64,original
337,-6.504,64,original
338,-6.003,64,original
339,-7.594,64,original
340,,64,original
341,,64,original
342,,64,original
