centroid_id,smiles,smiles_sha256,vina_affinity_kcal_mol,inside_fraction_with_padding,triad_min_distance_A,centroid_in_box,vina_out_sha256,vina_log_sha256
0,CC1=CC=CC(C(=O)C=CC2=CC=CC(O)=C2)=C1,f2168926a4ae341110df4c417f558a2414fba41042865dd3e95ce281e071c067,-6.347,1.0,8.66121937142802,True,2f2a53e209804d11c7b790da78d35f43c1b2c2b35117563dafabbd23f32176d5,09d81416c8d7a94ddfc40e8b8e93d0a1dc9f9c07509a84e1c7dea7c616bfe2c7
1,CC[N@H+](C)Cc1cc(OC)c(O)c(OC)c1,7c109afa3b39dc8df68e131cb647b57723412e16441fad6a8de0f58bc8003c76,-5.162,1.0,7.360868834587396,True,f6211d98efda7fdb6eabe233de23882209ea11e42ca0fd5466aa1e22b777cf34,fc0cc90163bbd5510290a97fbd4f8f6233032fa0f9d0778be7e22d8a1d04053c
2,N=C=COCCNCCOCC=CC=CNC1C=C(Cl)C(Cl)=C1,0a8230efc98741a02e7f0fdbd4519590d99a32617b278b10c756aba0de9901ac,-4.996,1.0,6.281013771677307,True,7db51cfcc25000ffe8e906a96b5476fe6de993e929c9f6a08fe48e5e565d93c2,a182b33596f470e71672ac6508ffb1a8ee89bd3f005433329fe072fdd8b37668
3,COc1ccc2c(CSCCCC(C)C)cc(=O)oc2c1,44b1b2a0a86b6dd5c8f319fe2f0e03b3f0ced982644568feadd9a48817f85e81,-5.58,1.0,8.619641407854505,True,c9f93c871b88a99c4df60523def2f1078314dd22ce34aa5e1aacc818b467cbce,db1e99e2b3cd91eae88c5839f8d126191bc6d2169081e0031b0f37e2fab41106
4,CCC=CN=C(C=CC=C=C1N=NC(C=CCl)CCCCC=NC1Cl)NCCO,8504124f6454d0e328d21eae27ea37ba6588f97b6beba7096d78a6844f23c93f,-4.049,1.0,3.7462762845257425,True,23cb6028d8dea6b2b00b823baa0d28b2a1af40f947583338004f4a001719bd55,80923ad0fb72c19f5d274fe14bdb66c886e91bf8889c40539c8922d351365ac3
5,OCCNC1=NC(Nc2ccc(Cl)c(Cl)c2)=C=C2C=C=C21,a5e7e694afe9b3519dc8c135256a8002ce0950168cfd177b4dec2711af374363,-6.842,1.0,8.324302613432552,True,0a9989c2968f435922b927639f63c87e011f50706437dbc3d7cad922c0df4ddc,d806687a52bc0931e220d9ad5478efb769c1db5d5f21a53278ae4bf47b76a37a
6,COc1ccc(-c2nonc2NC(=O)c2ccccc2OC)cc1C,695cb5127779d106813fc882b44d0bb2bb356cdd48e24c72cb3d982cffde1e8d,-6.914,1.0,8.696230160247602,True,c38694df8780c070380e998f3d9e05a26ef80a99d5ad4469fdf6b1ed83176093,9c22b7945bbeccdee3e37bb8ec3f113a463a0c6176e8d49c10899b2a678469ff
7,COCC[N@H+](C)C[C@@H](O)Cn1c2ccccc2c2ccccc21,e88feaabe28915b6529ba9c35f180851bf2cf3d93893eebd9fe807cb6c8123f3,-6.353,1.0,9.010436448918554,True,434bd86f485bb9fe170e2afa249ef74fd0f7f4786c926be927df3270e496aac9,50f7e68263d7f6ed962d10cbd70b73787e6b55202e28678ac3d6af4e0ae0da4d
8,NC([C-]CBr)N=CNC[P-]=O,730271261cf64b3b51e2a2864c08d452a4972b41f003aad9ac5f5e8345dfa836,-3.87,1.0,3.0216958814546517,True,24f618c374595d13ebeaa1f46f058f5236b70792a43f3b3777189d60fde1ae4b,56b3050bbe834907664db459287127bd2f35fb41f7120b599d36ff6e1fda4588
9,ClC1=CC(=CNC(Cl)=Nc2ccccc2)C=C=[N+]1,60d2bed9b3f0eb211c98bb5e875c8c244b34544c4bb2d5d516a0d8796862fafa,-6.653,1.0,8.458899278274924,True,352472e6246e1b64d461ab4bb1a7ae26bc3f3bffb6b433c5acf7beb461ffb6cc,1c04fcc637be0ef25f52226785bcdabefba25268fa13ee27c924ee3eb6dbbf0b
10,CC=C=C=CNC=CN=CCCNCCONC(C=CC=CC#Cc1ccc(Cl)c(Cl)c1)=NCC,2f4a35e33b3ebf39378b8b6db198019cac992a21e963371936f547062e44f8ed,-5.289,1.0,3.2206201266215824,True,cc49bd06ac6e7ab7b857bb868891b4eb0477f2e942c8e7f5e8ab2574705abe98,35db2fe427805dd2fc62414a2906c9554c21e757320ed821ecf5f9ad8a01425c
11,OCC1=C(Cl)CC2CC(=NCNc3cccc2c3)N1,4247916ef25ace9de227a427c17839cf4574ab845ce44ec28bbb1846df502e51,-4.328,1.0,8.355961285214288,True,d444bfe5bcdee4d32a732ff06f8bd4372623206a704a1bfe6121fad3fd71eb1c,6ab99446a56a0e97da59440d2e0cd1862ef77da2f0bf4e221c573749d4598fa4
12,NCC=CCC=NCC#CN=CC=CCC#CC=C(CCl)COCl,eba7916247720d488eea19a44d74f1f08c292f19b0203ace85231c3e4c276644,-5.005,1.0,4.122786557657333,True,23cba6a3db382ed8b1897a2a79cf1596c3ba28e832538741e602e645561921e1,a9d5273ed36144587b10adaca258994facfd7b4bf0e80707ea23483d1dd7c069
