centroid_id,status,vina_affinity_kcal_mol,charge_method,embed_method,n_fragments_after_cleanup,unsupported_elements,gate,error
13,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
30,EMBED_FAILURE_ALL_STRATEGIES,,,,,,,
40,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
43,PASS_RAW_VINA,-6.311,gasteiger,random_coords_seed_42,1,,"{""atom_count"": 23, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-26.485782608695658, 8.007304347826086, 6.880565217391304], ""centroid_in_box"": true, ""triad_min_distance_A"": 9.226528111917288}",
47,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
70,EMBED_FAILURE_ALL_STRATEGIES,,,,,,,
73,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
99,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
100,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
125,PASS_RAW_VINA,-5.656,gasteiger,random_coords_seed_0,1,,"{""atom_count"": 17, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-26.208176470588235, 8.171176470588236, 6.227176470588236], ""centroid_in_box"": true, ""triad_min_distance_A"": 8.816373460783067}",
136,PASS_RAW_VINA,-5.346,gasteiger,random_coords_seed_0,1,,"{""atom_count"": 17, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-26.003529411764706, 9.595941176470589, 4.764470588235295], ""centroid_in_box"": true, ""triad_min_distance_A"": 7.770524113597487}",
145,DOCKED_GATE_FAILED,-2.826,gasteiger,random_coords_seed_0,1,,"{""atom_count"": 5, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-12.1882, 22.7468, 8.767599999999998], ""centroid_in_box"": true, ""triad_min_distance_A"": 15.468330549868657}",
167,EMBED_FAILURE_ALL_STRATEGIES,,,,,,,
170,PASS_RAW_VINA,-5.568,gasteiger,random_coords_seed_0,1,,"{""atom_count"": 20, ""inside_fraction_with_padding"": 0.95, ""pose_centroid_A"": [-26.352249999999998, 7.509899999999999, 8.2072], ""centroid_in_box"": true, ""triad_min_distance_A"": 9.958376423895615}",
189,DOCKED_GATE_FAILED,-4.865,gasteiger,random_coords_seed_0,1,,"{""atom_count"": 10, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-11.9589, 23.063100000000002, 9.5108], ""centroid_in_box"": true, ""triad_min_distance_A"": 15.060501751269774}",
194,EMBED_FAILURE_ALL_STRATEGIES,,,,,,,
195,PASS_RAW_VINA,-5.2,gasteiger,random_coords_seed_0,1,,"{""atom_count"": 30, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-27.243933333333334, 8.763633333333333, 5.788966666666668], ""centroid_in_box"": true, ""triad_min_distance_A"": 7.206397782526302}",
228,PASS_RAW_VINA,-5.933,gasteiger,random_coords_seed_0,1,,"{""atom_count"": 23, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-28.562217391304355, 22.93169565217391, -0.7896086956521738], ""centroid_in_box"": true, ""triad_min_distance_A"": 4.006840401114076}",
237,PASS_RAW_VINA,-5.623,gasteiger,random_coords_seed_0,2,,"{""atom_count"": 19, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-26.465157894736848, 8.58836842105263, 6.8110526315789475], ""centroid_in_box"": true, ""triad_min_distance_A"": 8.85939653701086}",
257,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
258,PASS_RAW_VINA,-5.93,gasteiger,random_coords_seed_0,1,,"{""atom_count"": 30, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-26.773766666666663, 22.716500000000003, -4.6159], ""centroid_in_box"": true, ""triad_min_distance_A"": 3.3225023702023173}",
339,PASS_RAW_VINA,-5.408,zero,random_coords_seed_0,1,,"{""atom_count"": 29, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-27.389862068965524, 7.92355172413793, 7.161379310344828], ""centroid_in_box"": true, ""triad_min_distance_A"": 7.435400056486537}",
340,PASS_RAW_VINA,-4.304,gasteiger,random_coords_seed_0,1,,"{""atom_count"": 26, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-27.75384615384616, 23.46407692307692, -2.0889615384615388], ""centroid_in_box"": true, ""triad_min_distance_A"": 2.5485197664526757}",
358,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
361,EMBED_FAILURE_ALL_STRATEGIES,,,,,,,
368,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
373,DOCKED_GATE_FAILED,-6.103,gasteiger,random_coords_seed_0,1,,"{""atom_count"": 40, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-29.97294999999999, 6.4864500000000005, 7.332350000000001], ""centroid_in_box"": true, ""triad_min_distance_A"": 11.336208052078083}",
390,DOCKED_GATE_FAILED,-5.268,gasteiger,random_coords_seed_0,1,,"{""atom_count"": 18, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-26.739722222222223, 7.226444444444444, 8.559055555555554], ""centroid_in_box"": true, ""triad_min_distance_A"": 11.712934730459313}",
408,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
416,DOCKED_GATE_FAILED,-2.365,gasteiger,random_coords_seed_0,1,,"{""atom_count"": 3, ""inside_fraction_with_padding"": 1.0, ""pose_centroid_A"": [-13.028, 22.349, 9.025], ""centroid_in_box"": true, ""triad_min_distance_A"": 15.524515515789856}",
423,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
435,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
440,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
452,UNSUPPORTED_ELEMENT_FOR_AD4,,,,,B,,
