candidate_id,smiles,aff_PfDHFR,aff_PfCRT,aff_PfClpP,aff_PfATP4,mean_vina,RRS_mean,RRS_class,PNS,ACSI,n_targets
PP-01,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,-5.947,-6.483,-5.467,-6.361,-6.0645,87.77777777777777,A*,4.449709449968555,0.4592834467120182,2
PP-02,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,-5.562,-6.124,-5.907,-6.591,-6.046,91.26373626373626,A*,1.2346619349154686,0.823190460983201,2
PP-03,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,-6.089,-6.633,-6.358,-7.311,-6.5977500000000004,72.11301085431164,C,6.000184600499428,0.598640502354788,2
PP-04,COc1ccc2c(OC)c3ccoc3nc2c1OC,-5.493,-5.329,-5.386,-6.086,-5.573499999999999,81.12202380952381,C,4.526663026858053,0.5672318551480744,2
PP-05,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,-6.285,-6.412,-6.466,-6.378,-6.38525,78.23809523809524,B,1.1399945402870788,0.387014091350826,2
PP-06,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,-6.267,-7.907,-7.031,-7.285,-7.1225,92.37373737373736,A*,1.0448519951278172,0.589109489949826,2
PP-07,CC(C)=CCOc1ccc2ccc(=O)oc2c1,-6.226,-6.633,-6.226,-5.775,-6.215,75.00795257374205,B,4.484661934915469,0.6030081800161926,2
PP-08,C=CCc1cc(OC)c2c(c1OC)OCO2,-4.935,-5.213,-5.052,-5.494,-5.1735,70.79836415362732,C,4.356758056964227,0.6047072995865013,2
PP-09,CC(C)=CCc1ccc2cc[nH]c2c1,-5.693,-6.871,-5.613,-6.078,-6.06375,74.17949557811988,B,4.19704314728275,0.6009026687598117,2
PP-10,COc1cccc2c(=O)c3ccc(O)cc3oc12,-6.346,-6.395,-6.016,-6.67,-6.35675,80.4906204906205,B,4.481995632229664,0.5508039579468151,2
PP-11,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,-6.179,-6.376,-6.583,-6.724,-6.4655,82.6,A*,1.102375752654361,0.4584396721651623,2
PP-12,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,-5.248,-6.357,-5.386,-4.635,-5.406499999999999,72.39401709401709,C,4.336853087070401,0.5935112506541078,2
PP-13,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,-5.921,-5.685,-6.454,-7.565,-6.40625,104.81927710843374,A*,2.32447187470312,0.5972925533849904,2
PP-14,CC=Cc1cc(O)c(O)c(OC)c1,-4.863,-5.328,-5.047,-5.46,-5.1745,69.53187134502924,D,4.36428181449077,0.7425350785475481,2
PP-15,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,-6.045,-6.084,-6.366,-7.016,-6.377749999999999,111.652585765489,A*,3.4997094499685555,0.5764412597337072,2
PP-16,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,-5.469,-6.202,-6.203,-6.451,-6.08125,76.32108287961283,B,4.454566904809294,0.1731200172376643,2
PP-17,O=C(O)C=Cc1ccc(O)cc1,-5.266,-5.116,-5.342,-5.36,-5.271,68.17513296428959,C,4.706758056964228,0.3082548403976975,2
