centroid_id,vina_score,exhaustiveness,tag
0,-5.915,64,original
1,-6.371,64,original
2,-6.414,64,original
3,-5.322,64,original
4,-6.288,64,original
5,-5.278,64,original
6,-5.83,64,original
7,-7.56,64,original
8,-4.632,64,original
9,-6.809,64,original
10,-7.243,64,original
11,-5.831,64,original
12,-8.284,64,original
13,-6.09,64,original
14,-6.633,64,original
15,-7.787,64,original
16,-7.106,64,original
17,-6.546,64,original
18,-6.438,64,original
19,-6.653,64,original
20,-6.793,64,original
21,-7.338,64,original
22,-6.298,64,original
23,-6.563,64,original
24,-7.051,64,original
25,-6.741,64,original
26,-7.272,64,original
27,-6.397,64,original
28,-5.288,64,original
29,-6.141,64,original
30,-6.24,64,original
31,-6.937,64,original
32,-6.286,64,original
33,-6.662,64,original
34,-6.967,64,original
35,-6.909,64,original
36,-6.471,64,original
37,-6.718,64,original
38,-6.636,64,original
39,-6.962,64,original
40,-7.169,64,original
41,-7.101,64,original
42,-6.785,64,original
43,-6.922,64,original
44,-6.879,64,original
45,-7.6,64,original
46,-7.026,64,original
47,-7.044,64,original
48,-8.452,64,original
49,-8.676,64,original
50,-7.681,64,original
51,-9.151,64,original
52,-9.318,64,original
53,-6.337,64,original
54,-6.642,64,original
55,-6.763,64,original
56,-6.13,64,original
57,-6.547,64,original
58,-6.096,64,original
59,-6.689,64,original
60,-6.472,64,original
61,-7.038,64,original
62,-6.813,64,original
63,-7.322,64,original
64,-7.074,64,original
65,-7.321,64,original
66,-6.843,64,original
67,-6.693,64,original
68,-6.849,64,original
69,-6.518,64,original
70,-6.514,64,original
71,-6.585,64,original
72,-7.117,64,original
73,-6.755,64,original
74,-6.574,64,original
75,-6.633,64,original
76,-6.387,64,original
77,-9.094,64,original
78,-7.039,64,original
79,-6.714,64,original
80,-6.345,64,original
81,-8.939,64,original
82,-6.59,64,original
83,-6.283,64,original
84,-5.719,64,original
85,-7.12,64,original
86,-6.585,64,original
87,-6.844,64,original
88,-7.899,64,original
89,-8.618,64,original
90,-6.985,64,original
91,-6.799,64,original
92,-6.947,64,original
93,-6.643,64,original
94,-6.699,64,original
95,-7.067,64,original
96,-6.907,64,original
97,-6.011,64,original
98,-6.438,64,original
99,-6.559,64,original
100,-5.983,64,original
101,-6.125,64,original
102,-6.098,64,original
103,-6.523,64,original
104,-7.662,64,original
105,-7.307,64,original
106,-7.8,64,original
107,-7.2,64,original
108,-7.101,64,original
109,-6.998,64,original
110,-6.835,64,original
111,-6.085,64,original
112,-6.005,64,original
113,-5.214,64,original
114,-6.73,64,original
115,-7.138,64,original
116,-5.674,64,original
117,-6.216,64,original
118,-6.829,64,original
119,-6.164,64,original
120,-6.53,64,original
121,-6.129,64,original
122,-6.597,64,original
123,-7.894,64,original
124,-6.512,64,original
125,-6.358,64,original
126,-6.316,64,original
127,-6.149,64,original
128,-6.517,64,original
129,-5.736,64,original
130,-6.355,64,original
131,-6.488,64,original
132,-6.821,64,original
133,-6.876,64,original
134,-6.999,64,original
135,-6.986,64,original
136,-6.551,64,original
137,-7.046,64,original
138,-7.449,64,original
139,-6.671,64,original
140,-6.476,64,original
141,-6.786,64,original
142,-6.713,64,original
143,-7.308,64,original
144,-6.599,64,original
145,-6.322,64,original
146,-6.497,64,original
147,-6.918,64,original
148,-6.911,64,original
149,-7.63,64,original
150,-7.975,64,original
151,-7.263,64,original
152,-8.125,64,original
153,-8.861,64,original
154,-6.933,64,original
155,-7.612,64,original
156,-6.559,64,original
157,-7.209,64,original
158,-6.546,64,original
159,-6.653,64,original
160,-5.118,64,original
161,-6.41,64,original
162,-6.586,64,original
163,-6.889,64,original
164,-6.93,64,original
165,-6.952,64,original
166,-6.507,64,original
167,-7.484,64,original
168,-7.719,64,original
169,-7.474,64,original
170,-7.248,64,original
171,-6.864,64,original
172,-6.585,64,original
173,-6.333,64,original
174,-7.422,64,original
175,-6.433,64,original
176,-4.729,64,original
177,-7.212,64,original
178,-6.39,64,original
179,-7.369,64,original
180,-6.2,64,original
181,-6.639,64,original
182,-8.365,64,original
183,-6.67,64,original
184,-7.244,64,original
185,-6.864,64,original
186,-6.426,64,original
187,-6.16,64,original
188,-6.74,64,original
189,-6.58,64,original
190,-7.58,64,original
191,-7.728,64,original
192,-6.99,64,original
193,-6.417,64,original
194,-6.893,64,original
195,-6.981,64,original
196,-7.825,64,original
197,-7.344,64,original
198,-7.158,64,original
199,-7.269,64,original
200,-7.594,64,original
201,-7.179,32,rerun
202,-7.461,64,original
203,-7.462,64,original
204,-7.12,32,rerun
205,-6.995,64,original
206,-5.242,64,original
207,-7.188,64,original
208,-5.043,64,original
209,-5.871,64,original
210,-7.337,32,rerun
211,-7.063,32,rerun
212,-6.491,64,original
213,-7.72,64,original
214,-6.026,64,original
215,-7.428,64,original
216,-6.093,64,original
217,-7.494,64,original
218,-7.408,64,original
219,-7.139,64,original
220,-6.844,32,rerun
221,-7.055,64,original
222,-8.193,64,original
223,-8.898,64,original
224,-7.696,64,original
225,-6.34,64,original
226,-7.187,64,original
227,-6.881,64,original
228,-7.112,64,original
229,-6.575,64,original
230,-6.943,64,original
231,-7.999,64,original
232,-7.845,64,original
233,-8.339,64,original
234,-7.571,64,original
235,-6.167,64,original
236,-7.886,64,original
237,-7.493,64,original
238,-8.048,64,original
239,-7.208,64,original
240,-7.793,64,original
241,-6.79,64,original
242,-5.396,64,original
243,-4.794,64,original
244,-6.421,64,original
245,-6.83,64,original
246,-6.022,64,original
247,-6.764,64,original
248,-6.512,64,original
249,-6.706,32,rerun
250,-6.558,64,original
251,-3.302,64,original
252,-7.812,64,original
253,-8.531,64,original
254,-8.032,64,original
255,-4.942,64,original
256,-7.306,64,original
257,-6.611,64,original
258,-7.428,64,original
259,-5.887,64,original
260,-6.096,64,original
261,-7.189,64,original
262,-6.589,64,original
263,-8.393,64,original
264,-7.07,64,original
265,-7.339,64,original
266,-7.679,64,original
