seed_smiles,max_tanimoto_anpdb
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,1.0
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,1.0
COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,1.0
COc1cc2ccc(=O)oc2cc1OC,1.0
COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,1.0
O=C(O)C=Cc1ccc(O)cc1,1.0
CC(C)=CCOc1ccc2ccc(=O)oc2c1,0.7907
CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,1.0
O=C(O)C=Cc1ccccc1,1.0
COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,0.7692
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,1.0
CC1=CC(=O)c2c(O)cccc2C1=O,1.0
CC(=O)O[C@H]1C[C@@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]43[C@]12C,0.7647
COc1ccc(-c2oc3cc(OC)c(OC)cc3c(=O)c2O)cc1OC,0.7805
COc1ccc(-c2oc3cc(OC)c(OC)cc3c(=O)c2O)cc1O,0.7442
Cc1cc2c(cc1OC1=C(O)C(=O)c3ccccc3C1=O)C(=O)c1ccccc1C2=O,1.0
CC1(C)C=Cc2cc3c(cc2O1)OC[C@@H]1c2cc4c(cc2O[C@@H]31)C=CC(C)(C)O4,0.7551
CC(C)=CCc1cc2c(cc1O)OC[C@@H]1c3ccc(O)cc3O[C@@H]21,1.0
COc1c(O)cc(-c2coc3cc(O)ccc3c2=O)cc1O,0.7442
COc1c2c(cc3oc(=O)c(-c4ccc(O)cc4)c(O)c13)OC(C)(C)C=C2,0.7627
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C1\CCOC1=O,0.3692
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C[C@H](O)c1ccc(C=O)c(/C=C/[C@H]2[C@@]3(CC[C@H]4C(C)(C)CCC[C@@]42C)CO3)c1,0.4487
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@@]1(C=O)[C@H](O)CC(C=O)=CC[C@H]21,0.434
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C(/C=O)CC=O,0.4464
