candidate_id,target,pdb_id,anchor,vina_score_kcal_mol,within_target_rank,anchor_min_A,in_box_fraction,geometric_gate_pass
PP-13,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-7.565000,1,2.700000,1.000000,True
PP-03,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-7.311000,2,2.000000,0.967000,True
PP-06,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-7.285000,3,1.980000,1.000000,True
PP-15,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-7.016000,4,3.430000,0.962000,True
PP-11,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-6.724000,5,2.100000,1.000000,True
PP-10,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-6.670000,6,3.510000,0.947000,True
PP-02,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-6.591000,7,2.970000,1.000000,True
PP-16,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-6.451000,8,2.430000,1.000000,True
PP-05,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-6.378000,9,2.650000,1.000000,True
PP-01,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-6.361000,10,3.350000,1.000000,True
PP-04,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-6.086000,11,3.510000,1.000000,True
PP-09,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-6.078000,12,3.480000,1.000000,True
PP-07,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-5.775000,13,3.400000,1.000000,True
PP-08,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-5.494000,14,2.880000,1.000000,True
PP-14,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-5.460000,15,3.600000,1.000000,True
PP-17,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-5.360000,16,3.790000,1.000000,True
PP-12,PfATP4,9N10,"conserved P-type ATPase residues 449-458 (CSDKTGT, phospho-D451) + 751-754 (DPPR)",-4.635000,17,3.270000,1.000000,True
PP-06,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-7.907000,1,3.030000,1.000000,True
PP-09,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-6.871000,2,3.350000,1.000000,True
PP-03,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-6.633000,3,3.490000,1.000000,True
PP-07,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-6.633000,3,3.680000,1.000000,True
PP-01,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-6.483000,5,3.380000,1.000000,True
PP-05,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-6.412000,6,3.230000,1.000000,True
PP-10,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-6.395000,7,3.520000,1.000000,True
PP-11,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-6.376000,8,3.550000,1.000000,True
PP-12,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-6.357000,9,3.310000,1.000000,True
PP-16,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-6.202000,10,3.720000,1.000000,True
PP-02,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-6.124000,11,3.380000,1.000000,True
PP-15,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-6.084000,12,4.020000,1.000000,True
PP-13,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-5.685000,13,4.080000,1.000000,True
PP-04,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-5.329000,14,3.650000,1.000000,True
PP-14,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-5.328000,15,3.230000,1.000000,True
PP-08,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-5.213000,16,3.270000,1.000000,True
PP-17,PfCRT,6UKJ,Y01 A501 cholesterol hemisuccinate (PROXY — not an inhibitor),-5.116000,17,3.590000,1.000000,True
PP-06,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-7.031000,1,7.690000,0.964000,True
PP-11,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-6.583000,2,7.450000,0.963000,True
PP-05,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-6.466000,3,8.740000,1.000000,True
PP-13,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-6.454000,4,7.370000,1.000000,True
PP-15,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-6.366000,5,5.150000,1.000000,True
PP-03,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-6.358000,6,8.880000,0.967000,True
PP-07,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-6.226000,7,8.880000,1.000000,True
PP-16,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-6.203000,8,5.000000,1.000000,True
PP-10,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-6.016000,9,5.260000,1.000000,True
PP-02,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-5.907000,10,3.290000,1.000000,True
PP-09,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-5.613000,11,5.180000,1.000000,True
PP-01,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-5.467000,12,3.530000,1.000000,True
PP-04,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-5.386000,13,8.750000,1.000000,True
PP-12,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-5.386000,13,8.540000,1.000000,True
PP-17,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-5.342000,15,5.550000,1.000000,True
PP-08,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-5.052000,16,8.780000,1.000000,True
PP-14,PfClpP,2F6I,chain A catalytic triad Ser252/His223/Asp219,-5.047000,17,4.440000,1.000000,True
PP-10,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-6.346000,1,3.190000,1.000000,True
PP-05,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-6.285000,2,2.170000,1.000000,True
PP-06,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-6.267000,3,3.300000,1.000000,True
PP-07,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-6.226000,4,3.190000,1.000000,True
PP-11,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-6.179000,5,3.370000,1.000000,True
PP-03,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-6.089000,6,2.860000,1.000000,True
PP-15,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-6.045000,7,2.700000,1.000000,True
PP-01,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-5.947000,8,3.140000,1.000000,True
PP-13,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-5.921000,9,3.200000,1.000000,True
PP-09,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-5.693000,10,3.110000,1.000000,True
PP-02,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-5.562000,11,3.470000,1.000000,True
PP-04,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-5.493000,12,3.270000,1.000000,True
PP-16,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-5.469000,13,3.200000,0.944000,True
PP-17,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-5.266000,14,2.590000,1.000000,True
PP-12,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-5.248000,15,3.330000,1.000000,True
PP-08,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-4.935000,16,3.400000,1.000000,True
PP-14,PfDHFR,7F3Y,MTX A702 co-crystallized inhibitor (catalytic-site copy),-4.863000,17,3.390000,1.000000,True
