complex_name,candidate_id,candidate_rank,target,pdb_id,protein_path,protein_sha256,protein_sequence,ligand_description,candidate_file_sha256
PP-01_PfClpP,PP-01,1,PfClpP,2F6I,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/2F6I.pdb,12d02a92e72ab52267fcfb2f7fad2520271b7b311d7f538c16f6395d9f9f62d6,,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-02_PfClpP,PP-02,2,PfClpP,2F6I,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/2F6I.pdb,12d02a92e72ab52267fcfb2f7fad2520271b7b311d7f538c16f6395d9f9f62d6,,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-03_PfClpP,PP-03,3,PfClpP,2F6I,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/2F6I.pdb,12d02a92e72ab52267fcfb2f7fad2520271b7b311d7f538c16f6395d9f9f62d6,,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-04_PfClpP,PP-04,4,PfClpP,2F6I,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/2F6I.pdb,12d02a92e72ab52267fcfb2f7fad2520271b7b311d7f538c16f6395d9f9f62d6,,COc1ccc2c(OC)c3ccoc3nc2c1OC,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-05_PfClpP,PP-05,5,PfClpP,2F6I,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/2F6I.pdb,12d02a92e72ab52267fcfb2f7fad2520271b7b311d7f538c16f6395d9f9f62d6,,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-06_PfClpP,PP-06,6,PfClpP,2F6I,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/2F6I.pdb,12d02a92e72ab52267fcfb2f7fad2520271b7b311d7f538c16f6395d9f9f62d6,,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-07_PfClpP,PP-07,7,PfClpP,2F6I,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/2F6I.pdb,12d02a92e72ab52267fcfb2f7fad2520271b7b311d7f538c16f6395d9f9f62d6,,CC(C)=CCOc1ccc2ccc(=O)oc2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-08_PfClpP,PP-08,8,PfClpP,2F6I,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/2F6I.pdb,12d02a92e72ab52267fcfb2f7fad2520271b7b311d7f538c16f6395d9f9f62d6,,C=CCc1cc(OC)c2c(c1OC)OCO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-09_PfClpP,PP-09,9,PfClpP,2F6I,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/2F6I.pdb,12d02a92e72ab52267fcfb2f7fad2520271b7b311d7f538c16f6395d9f9f62d6,,CC(C)=CCc1ccc2cc[nH]c2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-10_PfClpP,PP-10,10,PfClpP,2F6I,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/2F6I.pdb,12d02a92e72ab52267fcfb2f7fad2520271b7b311d7f538c16f6395d9f9f62d6,,COc1cccc2c(=O)c3ccc(O)cc3oc12,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
