candidate_id,target,within_target_rank,vina_score_kcal_mol
PP-13,PfATP4,1,-7.565000
PP-03,PfATP4,2,-7.311000
PP-06,PfATP4,3,-7.285000
PP-15,PfATP4,4,-7.016000
PP-11,PfATP4,5,-6.724000
PP-10,PfATP4,6,-6.670000
PP-02,PfATP4,7,-6.591000
PP-16,PfATP4,8,-6.451000
PP-05,PfATP4,9,-6.378000
PP-01,PfATP4,10,-6.361000
PP-04,PfATP4,11,-6.086000
PP-09,PfATP4,12,-6.078000
PP-07,PfATP4,13,-5.775000
PP-08,PfATP4,14,-5.494000
PP-14,PfATP4,15,-5.460000
PP-17,PfATP4,16,-5.360000
PP-12,PfATP4,17,-4.635000
PP-06,PfCRT,1,-7.907000
PP-09,PfCRT,2,-6.871000
PP-03,PfCRT,3,-6.633000
PP-07,PfCRT,3,-6.633000
PP-01,PfCRT,5,-6.483000
PP-05,PfCRT,6,-6.412000
PP-10,PfCRT,7,-6.395000
PP-11,PfCRT,8,-6.376000
PP-12,PfCRT,9,-6.357000
PP-16,PfCRT,10,-6.202000
PP-02,PfCRT,11,-6.124000
PP-15,PfCRT,12,-6.084000
PP-13,PfCRT,13,-5.685000
PP-04,PfCRT,14,-5.329000
PP-14,PfCRT,15,-5.328000
PP-08,PfCRT,16,-5.213000
PP-17,PfCRT,17,-5.116000
PP-06,PfClpP,1,-7.031000
PP-11,PfClpP,2,-6.583000
PP-05,PfClpP,3,-6.466000
PP-13,PfClpP,4,-6.454000
PP-15,PfClpP,5,-6.366000
PP-03,PfClpP,6,-6.358000
PP-07,PfClpP,7,-6.226000
PP-16,PfClpP,8,-6.203000
PP-10,PfClpP,9,-6.016000
PP-02,PfClpP,10,-5.907000
PP-09,PfClpP,11,-5.613000
PP-01,PfClpP,12,-5.467000
PP-04,PfClpP,13,-5.386000
PP-12,PfClpP,13,-5.386000
PP-17,PfClpP,15,-5.342000
PP-08,PfClpP,16,-5.052000
PP-14,PfClpP,17,-5.047000
PP-10,PfDHFR,1,-6.346000
PP-05,PfDHFR,2,-6.285000
PP-06,PfDHFR,3,-6.267000
PP-07,PfDHFR,4,-6.226000
PP-11,PfDHFR,5,-6.179000
PP-03,PfDHFR,6,-6.089000
PP-15,PfDHFR,7,-6.045000
PP-01,PfDHFR,8,-5.947000
PP-13,PfDHFR,9,-5.921000
PP-09,PfDHFR,10,-5.693000
PP-02,PfDHFR,11,-5.562000
PP-04,PfDHFR,12,-5.493000
PP-16,PfDHFR,13,-5.469000
PP-17,PfDHFR,14,-5.266000
PP-12,PfDHFR,15,-5.248000
PP-08,PfDHFR,16,-4.935000
PP-14,PfDHFR,17,-4.863000
