consensus_rank,candidate_id,aff_PfDHFR,aff_PfCRT,aff_PfClpP,aff_PfATP4,n_completed_targets,consensus_mean_kcal_mol,consensus_min_kcal_mol,consensus_max_kcal_mol
1,PP-06,-6.267,-7.907,-7.031,-7.285,4,-7.122,-7.907,-6.267
2,PP-03,-6.089,-6.633,-6.358,-7.311,4,-6.598,-7.311,-6.089
3,PP-11,-6.179,-6.376,-6.583,-6.724,4,-6.465,-6.724,-6.179
4,PP-13,-5.921,-5.685,-6.454,-7.565,4,-6.406,-7.565,-5.685
5,PP-05,-6.285,-6.412,-6.466,-6.378,4,-6.385,-6.466,-6.285
6,PP-15,-6.045,-6.084,-6.366,-7.016,4,-6.378,-7.016,-6.045
7,PP-10,-6.346,-6.395,-6.016,-6.67,4,-6.357,-6.67,-6.016
8,PP-07,-6.226,-6.633,-6.226,-5.775,4,-6.215,-6.633,-5.775
9,PP-16,-5.469,-6.202,-6.203,-6.451,4,-6.081,-6.451,-5.469
10,PP-09,-5.693,-6.871,-5.613,-6.078,4,-6.064,-6.871,-5.613
11,PP-01,-5.947,-6.483,-5.467,-6.361,4,-6.064,-6.483,-5.467
12,PP-02,-5.562,-6.124,-5.907,-6.591,4,-6.046,-6.591,-5.562
13,PP-04,-5.493,-5.329,-5.386,-6.086,4,-5.573,-6.086,-5.329
14,PP-12,-5.248,-6.357,-5.386,-4.635,4,-5.406,-6.357,-4.635
15,PP-17,-5.266,-5.116,-5.342,-5.36,4,-5.271,-5.36,-5.116
16,PP-14,-4.863,-5.328,-5.047,-5.46,4,-5.175,-5.46,-4.863
17,PP-08,-4.935,-5.213,-5.052,-5.494,4,-5.173,-5.494,-4.935
