candidate_id,aff_PfDHFR,aff_PfCRT,aff_PfClpP,aff_PfATP4,mean_completed_targets
PP-01,-5.947,-6.483,-5.467,,-5.9656666666666665
PP-02,-5.562,-6.124,-5.907,,-5.864333333333334
PP-03,-6.089,-6.633,-6.358,,-6.36
PP-04,-5.493,-5.329,-5.386,,-5.402666666666666
PP-05,-6.285,-6.412,-6.466,,-6.387666666666667
PP-06,-6.267,-7.907,-7.031,,-7.0683333333333325
PP-07,-6.226,-6.633,-6.226,,-6.361666666666667
PP-08,-4.935,-5.213,-5.052,,-5.066666666666666
PP-09,-5.693,-6.871,-5.613,,-6.059
PP-10,-6.346,-6.395,-6.016,,-6.252333333333333
PP-11,-6.179,-6.376,-6.583,,-6.379333333333332
PP-12,-5.248,-6.357,-5.386,,-5.663666666666667
PP-13,-5.921,-5.685,-6.454,,-6.02
PP-14,-4.863,-5.328,-5.047,,-5.0793333333333335
PP-15,-6.045,-6.084,-6.366,,-6.164999999999999
PP-16,-5.469,-6.202,-6.203,,-5.957999999999999
PP-17,-5.266,-5.116,-5.342,,-5.241333333333333
