complex_name,candidate_id,target,pdb_id,smiles_sha256,ligand_pdbqt,ligand_pdbqt_sha256,vina_out_pdbqt,vina_out_pdbqt_sha256,vina_affinity_kcal_mol,rank1_inside_fraction,rank1_atom_count,rank1_triad_min_A,rank1_centroid_in_box,conversion_log_sha256,vina_log_sha256,vina_command
PP-01_PfClpP,PP-01,PfClpP,2F6I,76bbd712bde39505bdaef046c6a0d785584a8436e9692d96b0cbb8b8044074dd,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-01_PfClpP/ligand.pdbqt,347c8dd913756738b269e6b6952bb8e3886bff4a9dee7c6f04c9c634d99074df,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-01_PfClpP/vina_out.pdbqt,99f7e048668cd114912edca424aa77898fc49f5809c889dd791892bee8ae0c90,-5.467,1.0,25,3.5328078068301414,True,a787eb09265d6ef100406e56dce6dc273e21bbda56d27c8b63cbeac30b6f5af8,4ba48ffd79d77c7440b3b12d1199cc87bde7a124fdc8e41910ef78ae089e7128,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/2F6I.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-01_PfClpP/ligand.pdbqt', '--center_x', '-24.276', '--center_y', '17.28', '--center_z', '-2.901', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-01_PfClpP/vina_out.pdbqt']"
PP-02_PfClpP,PP-02,PfClpP,2F6I,293b416928dd023e0e31dca41104bd35cb9820aba7cdeda6c483c301fd5983c1,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-02_PfClpP/ligand.pdbqt,77031e57a8b6af62c251a54e66853193db12232a553566cbe3fc8e68de469c15,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-02_PfClpP/vina_out.pdbqt,01659698cb7b1c52493ac8931bdbf9a96a354e5fbb102602b65882204d28f590,-5.907,1.0,29,3.289745278893186,True,80b377190f4c952e7290b61b5f234759f41638c85284fc7faf2f47fe56b5d298,d6e595d527c7ee599372c59230b208466cce7e963f92a70e816940d9a2d7786c,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/2F6I.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-02_PfClpP/ligand.pdbqt', '--center_x', '-24.276', '--center_y', '17.28', '--center_z', '-2.901', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-02_PfClpP/vina_out.pdbqt']"
PP-03_PfClpP,PP-03,PfClpP,2F6I,e1d013df0a3402d98f429763b922e390c918a687061b3efad6e4b087dab1b066,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-03_PfClpP/ligand.pdbqt,ed9f8842a4b8c33cf03ab367d310c904d36c8b60104a6be4f231fc3e23bf7dea,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-03_PfClpP/vina_out.pdbqt,fcfae20cd49fefb1e0fac816d592f81bd95fb112f2585d01f4fc6f1a6d3b3ce6,-6.358,0.9666666666666667,30,8.883151355234245,True,3245de3765397ca6ccb108b67238087bcffb6952ffbd8b18bd5c20310fcc6d09,2c45ed5b6a0acb87c45e2fcf5c9a3c354e8cebbe065b5bae4adc1b7be0b01a9a,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/2F6I.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-03_PfClpP/ligand.pdbqt', '--center_x', '-24.276', '--center_y', '17.28', '--center_z', '-2.901', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-03_PfClpP/vina_out.pdbqt']"
PP-04_PfClpP,PP-04,PfClpP,2F6I,e2480883fec352533184a3cd6624b3a39eae5198d00aa88da712bdad4d9b279a,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-04_PfClpP/ligand.pdbqt,0abd8a0c19037a071794737cf977018a09e6c37aab38a20443afd3a5327b84df,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-04_PfClpP/vina_out.pdbqt,81b3635c48170a1a0fa3abb375a0eb6c3087a2fa443675a9f6067b2141df92fb,-5.386,1.0,19,8.754028444093612,True,b7ddd1eb7cc6177158be2b7343f6a3c6519286812946f197853f07d00aad95bc,5e55dd799013710759a3239d635c544d6bb1dce2978ee066f31c7af1d96d1d5d,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/2F6I.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-04_PfClpP/ligand.pdbqt', '--center_x', '-24.276', '--center_y', '17.28', '--center_z', '-2.901', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-04_PfClpP/vina_out.pdbqt']"
PP-05_PfClpP,PP-05,PfClpP,2F6I,a7472fb6ffea01aae74944a85d9573efcfeacc60ee8de5d0a51d588e8e4acc81,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-05_PfClpP/ligand.pdbqt,149b942fa7736f0749c538191f2bc7a80a2797fa947b6b9585d42625ac2a38c9,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-05_PfClpP/vina_out.pdbqt,28df9ea1a3a8f5a0119ddc35199eb600811304b54808a05c573803b9ca85e66c,-6.466,1.0,23,8.739451298565601,True,0284761746db1275463b5a5225a6c84934cfee71bc5d2ee8b8f216b39617ad98,086d4c4dc92a024e11f21284f4ade7cac1a04d10f0ffb1e66df0eccad2844780,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/2F6I.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-05_PfClpP/ligand.pdbqt', '--center_x', '-24.276', '--center_y', '17.28', '--center_z', '-2.901', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-05_PfClpP/vina_out.pdbqt']"
PP-06_PfClpP,PP-06,PfClpP,2F6I,171add830a2fb5cc88891476485e10c7a4df4cdc29121fdf1f687d158a49084d,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-06_PfClpP/ligand.pdbqt,29c188b14f49902922c45d610120d385d38b71ef1a010f6c2ae702faa25bf29d,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-06_PfClpP/vina_out.pdbqt,a7a908e18463335ba1a94f9c4764e5b5c49a38c99b944bff7a243dd118fa6050,-7.031,0.9642857142857143,28,7.689071920589637,True,530182020c1d245eaee5d58156bf0569e743585767698034325156df1a2786e0,90d6b6828f5859cc417201f568598bb77e419dbb6a8e57c50c56528825cdb0d4,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/2F6I.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-06_PfClpP/ligand.pdbqt', '--center_x', '-24.276', '--center_y', '17.28', '--center_z', '-2.901', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-06_PfClpP/vina_out.pdbqt']"
PP-07_PfClpP,PP-07,PfClpP,2F6I,0f120e41519c61635593ab70d8f1e190658faad1b9dc82a8ead846dbfca2372e,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-07_PfClpP/ligand.pdbqt,d92578edb6565511ac804d39a7f8d8d312f596dedfb89ed811d5d5853d5ad0cf,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-07_PfClpP/vina_out.pdbqt,8c1eefc734f60d5a37ec0abc34796faecff0b5a16822de60d7ec042c2abc0622,-6.226,1.0,17,8.881472907125259,True,28d6c251c9f5d92670e5a7c373e96fd4c4d0ca80fcf19244084c6c9fac4d750d,63afae38aaf42b9139d4ee9186aaee8f7b32ec30c2ff737a7a5059df2bd1ab6e,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/2F6I.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-07_PfClpP/ligand.pdbqt', '--center_x', '-24.276', '--center_y', '17.28', '--center_z', '-2.901', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-07_PfClpP/vina_out.pdbqt']"
PP-08_PfClpP,PP-08,PfClpP,2F6I,67fc3ddc7ef9effd82de1c846b550f9b0f2e526abe4cbfe5a8d12c9ec7040559,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-08_PfClpP/ligand.pdbqt,71c9084fc9466bd7483dea9fa51319363787fdff287c3bcb24c691717ee9e166,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-08_PfClpP/vina_out.pdbqt,af043cca984585959697d09f0307f7981ab5ff4386ca54db744aeabc4235c5d9,-5.052,1.0,16,8.781520881942946,True,59a1b988ed23b0a3ef4f285f955cbd0b9ccc5d2ebf84758d4bfa5095c0ad18f4,aed40d6118bcf95a68de40928e809fce77f59e2cac11c4425d418a7d15b0e552,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/2F6I.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-08_PfClpP/ligand.pdbqt', '--center_x', '-24.276', '--center_y', '17.28', '--center_z', '-2.901', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-08_PfClpP/vina_out.pdbqt']"
PP-09_PfClpP,PP-09,PfClpP,2F6I,912cb1aca3b8937fc52f23140ad66bd3f571ea19188a4b4ecdc0770863c7ebef,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-09_PfClpP/ligand.pdbqt,251ace60348f2721651a07e430bc53490ff3b008d30dc4e6dfd385cf9937150c,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-09_PfClpP/vina_out.pdbqt,fd73904253a881b0c70c714f13558c3cffeefc06a8cfc6be30e44e2931a9d66e,-5.613,1.0,15,5.179220308115885,True,dea2d41bc9eddbf354839312696b0ccdec69e249fbc9036747b03f09f1a3c2e5,83128b2a42bdfa840a3078d20523630299e18704d3fe15c043c07b2e182607e6,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/2F6I.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-09_PfClpP/ligand.pdbqt', '--center_x', '-24.276', '--center_y', '17.28', '--center_z', '-2.901', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-09_PfClpP/vina_out.pdbqt']"
PP-10_PfClpP,PP-10,PfClpP,2F6I,3b9c934bd745746fb6d11a7f6447b212fd925f8dc1d99caeecf5dd475f8ab45e,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-10_PfClpP/ligand.pdbqt,8a75be7ef0c5bb74575dda02728c8619da821107722e2060d82cace3feee3a75,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-10_PfClpP/vina_out.pdbqt,d0ed8bf43ec3fbef9914676f5ae899700365af4d2a452479fe1775e09003f2cf,-6.016,1.0,19,5.257593651091722,True,1dfa76897fcbcc8fdc381706140578d0be36d4a13a5f4b9b0d3479bbbc0f5790,adbd4e339a93b684015baef06ddf601a6beccf7b8598b543ba333ad652a9bca9,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/2F6I.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-10_PfClpP/ligand.pdbqt', '--center_x', '-24.276', '--center_y', '17.28', '--center_z', '-2.901', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_2F6I_PfClpP_17/PP-10_PfClpP/vina_out.pdbqt']"
