complex_name,candidate_id,target,pdb_id,vina_affinity_kcal_mol,rank1_inside_fraction,rank1_atom_count,rank1_anchor_min_A,rank1_centroid_in_box,ligand_pdbqt_sha256,vina_out_pdbqt_sha256,conversion_log_sha256,vina_log_sha256,vina_command
PP-01_PfCRT,PP-01,PfCRT,6UKJ,-6.483,1.0,25,3.3830090156545607,True,347c8dd913756738b269e6b6952bb8e3886bff4a9dee7c6f04c9c634d99074df,3db93b71c65979cdae191740d51c2ee74026fee1b18f0553c96774a26f0e8662,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,f153cf07e5d9b2438d0771958d6b6febee68d49d154344fcd00d6940314b086e,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/6UKJ.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-01_PfCRT/ligand.pdbqt', '--center_x', '147.07034285714286', '--center_y', '170.26677142857142', '--center_z', '142.3638', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-01_PfCRT/vina_out.pdbqt']"
PP-02_PfCRT,PP-02,PfCRT,6UKJ,-6.124,1.0,29,3.38362261489074,True,77031e57a8b6af62c251a54e66853193db12232a553566cbe3fc8e68de469c15,a84710e519ec5080079626156e26d640e620c1190067c53890fbe96d3f6d5f91,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,70824395f05423c8fb58aed01c16a0abea9b5716c055232c3ffacc28288febb7,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/6UKJ.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-02_PfCRT/ligand.pdbqt', '--center_x', '147.07034285714286', '--center_y', '170.26677142857142', '--center_z', '142.3638', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-02_PfCRT/vina_out.pdbqt']"
PP-03_PfCRT,PP-03,PfCRT,6UKJ,-6.633,1.0,30,3.485552036622043,True,ed9f8842a4b8c33cf03ab367d310c904d36c8b60104a6be4f231fc3e23bf7dea,96d8b93dd5d3b5bd11a9842e734275379c1a2509ba1b9acc6bf1da9b2e371343,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,e9fb276485e41bac64c1cd55637bae943a59a2ac9dbb4f00f6f3dd757efacd7d,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/6UKJ.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-03_PfCRT/ligand.pdbqt', '--center_x', '147.07034285714286', '--center_y', '170.26677142857142', '--center_z', '142.3638', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-03_PfCRT/vina_out.pdbqt']"
PP-04_PfCRT,PP-04,PfCRT,6UKJ,-5.329,1.0,19,3.6480464635198864,True,0abd8a0c19037a071794737cf977018a09e6c37aab38a20443afd3a5327b84df,42a0194e0930e51d31aae718aac19a8f1adce6ca511ae1d4d7c0b84337c0858a,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,8b2011ab340438cbc305caf537dcee31f517fc4136d67a21a21c8ebc2b89cd4d,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/6UKJ.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-04_PfCRT/ligand.pdbqt', '--center_x', '147.07034285714286', '--center_y', '170.26677142857142', '--center_z', '142.3638', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-04_PfCRT/vina_out.pdbqt']"
PP-05_PfCRT,PP-05,PfCRT,6UKJ,-6.412,1.0,23,3.2265345186438017,True,149b942fa7736f0749c538191f2bc7a80a2797fa947b6b9585d42625ac2a38c9,d4d2523c4c69ea1f431929ab6aad7e240bc2fd2fbd23cc4964ae3f734c1911ba,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,f9e7511c312aebf07a55b9494e661576fea689081ff8d9a11cc49666002069fb,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/6UKJ.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-05_PfCRT/ligand.pdbqt', '--center_x', '147.07034285714286', '--center_y', '170.26677142857142', '--center_z', '142.3638', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-05_PfCRT/vina_out.pdbqt']"
PP-06_PfCRT,PP-06,PfCRT,6UKJ,-7.907,1.0,28,3.0336334650052845,True,29c188b14f49902922c45d610120d385d38b71ef1a010f6c2ae702faa25bf29d,4099f98137600f803969fae2e685cd3a4927002205ecf861bcd44bee84bc6a4f,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,710ac40f4e06b925f0206044ff567ea6af16a2665676fd1b65d68a5448fd3d87,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/6UKJ.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-06_PfCRT/ligand.pdbqt', '--center_x', '147.07034285714286', '--center_y', '170.26677142857142', '--center_z', '142.3638', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-06_PfCRT/vina_out.pdbqt']"
PP-07_PfCRT,PP-07,PfCRT,6UKJ,-6.633,1.0,17,3.682269137366239,True,d92578edb6565511ac804d39a7f8d8d312f596dedfb89ed811d5d5853d5ad0cf,83d55b420ca5d86c2b5f3389284751117b5313fbd4c5b54ef5cc6397187b0070,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,a6fb66edd6ea00cc0a62104501cce3acb7dfa5eef146d1f5cefc359569b7b221,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/6UKJ.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-07_PfCRT/ligand.pdbqt', '--center_x', '147.07034285714286', '--center_y', '170.26677142857142', '--center_z', '142.3638', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-07_PfCRT/vina_out.pdbqt']"
PP-08_PfCRT,PP-08,PfCRT,6UKJ,-5.213,1.0,16,3.2670771340756772,True,71c9084fc9466bd7483dea9fa51319363787fdff287c3bcb24c691717ee9e166,be4881d4ded32593c1d3408d3ee714818e912b872920553b67fec61aee470d61,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,89b195535dad09b7ff2f0d3c6961484e70ea5bfe2199ecee1323ac0f3db047a7,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/6UKJ.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-08_PfCRT/ligand.pdbqt', '--center_x', '147.07034285714286', '--center_y', '170.26677142857142', '--center_z', '142.3638', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-08_PfCRT/vina_out.pdbqt']"
PP-09_PfCRT,PP-09,PfCRT,6UKJ,-6.871,1.0,15,3.348023297409984,True,251ace60348f2721651a07e430bc53490ff3b008d30dc4e6dfd385cf9937150c,bd0d92fa9c444ba866927891bcbfcc7b47ddc4c4c33801a5efaf54e009d70921,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,fda2cfa0cbcc4ab0cb7138eda0c1873d3f7e25bc2e7ee88a8897a072a0bee9ef,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/6UKJ.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-09_PfCRT/ligand.pdbqt', '--center_x', '147.07034285714286', '--center_y', '170.26677142857142', '--center_z', '142.3638', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-09_PfCRT/vina_out.pdbqt']"
PP-10_PfCRT,PP-10,PfCRT,6UKJ,-6.395,1.0,19,3.5191199183886863,True,8a75be7ef0c5bb74575dda02728c8619da821107722e2060d82cace3feee3a75,fd4b2431304a627013585052f66b4db71cbaeec3149a2d5b20d3760e3e978f35,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,95db8b3c552013dec21eb719faa6d468b943adf543c34e4a5d0e4447617f9b79,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/6UKJ.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-10_PfCRT/ligand.pdbqt', '--center_x', '147.07034285714286', '--center_y', '170.26677142857142', '--center_z', '142.3638', '--size_x', '28.0', '--size_y', '28.0', '--size_z', '28.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_6UKJ_PfCRT_17/PP-10_PfCRT/vina_out.pdbqt']"
