complex_name,candidate_id,target,pdb_id,vina_affinity_kcal_mol,rank1_inside_fraction,rank1_atom_count,rank1_anchor_min_A,rank1_centroid_in_box,ligand_pdbqt_sha256,vina_out_pdbqt_sha256,conversion_log_sha256,vina_log_sha256,vina_command
PP-01_PfDHFR,PP-01,PfDHFR,7F3Y,-5.947,1.0,25,3.141563623420669,True,347c8dd913756738b269e6b6952bb8e3886bff4a9dee7c6f04c9c634d99074df,eded03fc30df9e10cbd82d1899439e6ceb1caf5342cae24b4151d8c1743c832b,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,d4a06fa0f5eeabb47b1a41abf15ac233a8ec0feb4c9ab0b74a6601c94a8be473,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/7F3Y.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-01_PfDHFR/ligand.pdbqt', '--center_x', '-3.5962121212121207', '--center_y', '-5.2486969696969705', '--center_z', '-58.6769090909091', '--size_x', '18.0', '--size_y', '18.0', '--size_z', '18.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-01_PfDHFR/vina_out.pdbqt']"
PP-02_PfDHFR,PP-02,PfDHFR,7F3Y,-5.562,1.0,29,3.4668344350430114,True,77031e57a8b6af62c251a54e66853193db12232a553566cbe3fc8e68de469c15,961b34ed39b6f93c44e59c7d6029495c64dd15739030029e12124bdd2bca970c,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,1d6788fe2d99ed3981329a66d88617e5b5a5c823c125c569ed94ebf195909784,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/7F3Y.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-02_PfDHFR/ligand.pdbqt', '--center_x', '-3.5962121212121207', '--center_y', '-5.2486969696969705', '--center_z', '-58.6769090909091', '--size_x', '18.0', '--size_y', '18.0', '--size_z', '18.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-02_PfDHFR/vina_out.pdbqt']"
PP-03_PfDHFR,PP-03,PfDHFR,7F3Y,-6.089,1.0,30,2.862805791526909,True,ed9f8842a4b8c33cf03ab367d310c904d36c8b60104a6be4f231fc3e23bf7dea,ab798b06798560969579a6e10009df3af7058d8c9f35fb17fc62572a5b60574a,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,587a1ce5730f7982946a6951d3d2ba7578e3c4aee612a301d0bff0541cd752f1,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/7F3Y.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-03_PfDHFR/ligand.pdbqt', '--center_x', '-3.5962121212121207', '--center_y', '-5.2486969696969705', '--center_z', '-58.6769090909091', '--size_x', '18.0', '--size_y', '18.0', '--size_z', '18.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-03_PfDHFR/vina_out.pdbqt']"
PP-04_PfDHFR,PP-04,PfDHFR,7F3Y,-5.493,1.0,19,3.270492470561584,True,0abd8a0c19037a071794737cf977018a09e6c37aab38a20443afd3a5327b84df,92f2707ed57e12d64d762f6e055f8f41b26a55a7b7723b2ec8d8020c69c8ef51,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,94a5286ae30bf437b85d18fc7c36370f5f2377678b8d8a7ae4d5db0d690068a4,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/7F3Y.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-04_PfDHFR/ligand.pdbqt', '--center_x', '-3.5962121212121207', '--center_y', '-5.2486969696969705', '--center_z', '-58.6769090909091', '--size_x', '18.0', '--size_y', '18.0', '--size_z', '18.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-04_PfDHFR/vina_out.pdbqt']"
PP-05_PfDHFR,PP-05,PfDHFR,7F3Y,-6.285,1.0,23,2.174567543214052,True,149b942fa7736f0749c538191f2bc7a80a2797fa947b6b9585d42625ac2a38c9,dfc7484c83e57a09f8675e4b9cd4eccabc1843d4c7018e72e33e74866305a47b,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,b99267d94ccc364145ee8577f37a4345a912f75b4ea6383e3dc62736ca4bffa0,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/7F3Y.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-05_PfDHFR/ligand.pdbqt', '--center_x', '-3.5962121212121207', '--center_y', '-5.2486969696969705', '--center_z', '-58.6769090909091', '--size_x', '18.0', '--size_y', '18.0', '--size_z', '18.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-05_PfDHFR/vina_out.pdbqt']"
PP-06_PfDHFR,PP-06,PfDHFR,7F3Y,-6.267,1.0,28,3.298602431333609,True,29c188b14f49902922c45d610120d385d38b71ef1a010f6c2ae702faa25bf29d,970a695add7dea1c72c3123365ffa368cff92cabdd70417d76c22d6faabdc5ff,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,885a359a4e1777718fe7ed460661771aa4d236f1104cfeb9191fbbf34fcf2240,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/7F3Y.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-06_PfDHFR/ligand.pdbqt', '--center_x', '-3.5962121212121207', '--center_y', '-5.2486969696969705', '--center_z', '-58.6769090909091', '--size_x', '18.0', '--size_y', '18.0', '--size_z', '18.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-06_PfDHFR/vina_out.pdbqt']"
PP-07_PfDHFR,PP-07,PfDHFR,7F3Y,-6.226,1.0,17,3.191162484111394,True,d92578edb6565511ac804d39a7f8d8d312f596dedfb89ed811d5d5853d5ad0cf,ad8ce2d386f6b5ee0e4a29e8469fe684e6749c6c04f85371a516283ddf9e7f17,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,7d119a54b840ccce3c50754e74b02875fe0594ca71967df28697aac944861c7b,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/7F3Y.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-07_PfDHFR/ligand.pdbqt', '--center_x', '-3.5962121212121207', '--center_y', '-5.2486969696969705', '--center_z', '-58.6769090909091', '--size_x', '18.0', '--size_y', '18.0', '--size_z', '18.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-07_PfDHFR/vina_out.pdbqt']"
PP-08_PfDHFR,PP-08,PfDHFR,7F3Y,-4.935,1.0,16,3.3971137749566167,True,71c9084fc9466bd7483dea9fa51319363787fdff287c3bcb24c691717ee9e166,ebbdcaf7eda94bd100aa6f3cd80910cb1690a75416c193de44b6d559e99cc40a,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,13f33f9acb2b26e151a2b57f689e21e995bcfbd522438dcf0db9bde0ba968343,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/7F3Y.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-08_PfDHFR/ligand.pdbqt', '--center_x', '-3.5962121212121207', '--center_y', '-5.2486969696969705', '--center_z', '-58.6769090909091', '--size_x', '18.0', '--size_y', '18.0', '--size_z', '18.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-08_PfDHFR/vina_out.pdbqt']"
PP-09_PfDHFR,PP-09,PfDHFR,7F3Y,-5.693,1.0,15,3.109000643293599,True,251ace60348f2721651a07e430bc53490ff3b008d30dc4e6dfd385cf9937150c,8a6514cbb7268fd998d89e868d1fc58cf03099bacf9ad2bac80941159dc9e348,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,bb44f3c99f5f017f5d6d5b75d44ddc787dfe441033ba36f7112937d6a5d8e3ac,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/7F3Y.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-09_PfDHFR/ligand.pdbqt', '--center_x', '-3.5962121212121207', '--center_y', '-5.2486969696969705', '--center_z', '-58.6769090909091', '--size_x', '18.0', '--size_y', '18.0', '--size_z', '18.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-09_PfDHFR/vina_out.pdbqt']"
PP-10_PfDHFR,PP-10,PfDHFR,7F3Y,-6.346,1.0,19,3.191088058954187,True,8a75be7ef0c5bb74575dda02728c8619da821107722e2060d82cace3feee3a75,db0b322d1daa38b536d295307356f4428369e1204cb35b77ac32341054279868,763782ce18bd111b5a1fa99ddb68fb6ed4e0b8f872d7db81de5dfe155e5034a8,29ffa6bd332510c267e9af5484208e5548e3f7fcfd0a7c8c12951143c7cc32b6,"['/usr/local/bin/vina', '--receptor', '/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/from_project1/data/proteins/7F3Y.pdbqt', '--ligand', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-10_PfDHFR/ligand.pdbqt', '--center_x', '-3.5962121212121207', '--center_y', '-5.2486969696969705', '--center_z', '-58.6769090909091', '--size_x', '18.0', '--size_y', '18.0', '--size_z', '18.0', '--exhaustiveness', '16', '--num_modes', '9', '--seed', '0', '--out', '/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/vina_dock_7F3Y_PfDHFR_17/PP-10_PfDHFR/vina_out.pdbqt']"
