centroid_id,vina_score,exhaustiveness,tag
0,-6.276,64,original
1,-8.482,64,original
2,-8.68,64,original
3,-6.608,64,original
4,-8.493,64,original
5,-6.311,64,original
6,-7.596,64,original
7,-9.771,64,original
8,-6.097,64,original
9,-8.096,64,original
10,-8.564,64,original
11,-7.324,64,original
12,-9.398,64,original
13,-7.771,64,original
14,-8.6,64,original
15,-11.767,64,original
16,-10.812,64,original
17,-9.133,64,original
18,-8.459,64,original
19,-9.071,64,original
20,-8.599,64,original
21,-11.204,64,original
22,-8.02,64,original
23,-8.428,64,original
24,-8.995,64,original
25,-8.098,64,original
26,-8.624,64,original
27,-7.996,64,original
28,-6.524,64,original
29,-9.425,64,original
30,-8.152,64,original
31,-8.379,64,original
32,-9.14,64,original
33,-9.49,64,original
34,-8.16,64,original
35,-8.424,64,original
36,-8.164,64,original
37,-8.495,64,original
38,-8.496,64,original
39,-9.732,64,original
40,-9.846,64,original
41,-8.521,64,original
42,-8.813,64,original
43,-9.079,64,original
44,-8.618,64,original
45,-9.402,64,original
46,-8.531,64,original
47,-8.949,64,original
48,-6.851,64,original
49,-8.285,64,original
50,-4.724,64,original
51,-12.14,64,original
52,45.725,64,original
53,-7.436,64,original
54,-8.546,64,original
55,-6.304,64,original
56,-8.132,64,original
57,-8.424,64,original
58,-7.677,64,original
59,-7.481,64,original
60,-7.931,64,original
61,-7.757,64,original
62,-8.361,64,original
63,-10.599,64,original
64,-9.953,64,original
65,-10.102,64,original
66,-9.753,64,original
67,-9.805,64,original
68,-10.179,64,original
69,-9.497,64,original
70,-9.286,64,original
71,-8.867,64,original
72,-7.895,64,original
73,-8.264,64,original
74,-7.847,64,original
75,-8.576,64,original
76,-8.555,64,original
77,-12.235,64,original
78,-8.562,64,original
79,-8.455,64,original
80,-8.807,64,original
81,-10.27,64,original
82,-8.516,64,original
83,-8.307,64,original
84,-7.998,64,original
85,-8.427,64,original
86,-9.535,64,original
87,-8.776,64,original
88,-4.857,64,original
89,-6.176,64,original
90,-9.122,64,original
91,-8.987,64,original
92,-8.246,64,original
93,-8.236,64,original
94,-8.765,64,original
95,-9.555,64,original
96,-7.669,64,original
97,-7.237,64,original
98,-8.281,64,original
99,-7.648,64,original
100,-8.224,64,original
101,-7.854,64,original
102,-7.953,64,original
103,-8.972,64,original
104,-7.978,64,original
105,-8.396,64,original
106,-7.603,64,original
107,-9.301,64,original
108,-9.118,64,original
109,-10.178,64,original
110,-7.547,64,original
111,-7.176,64,original
112,-8.337,64,original
113,-6.517,64,original
114,-8.503,64,original
115,-9.343,64,original
116,-6.26,64,original
117,-9.141,64,original
118,-8.417,64,original
119,-7.453,64,original
120,-7.809,64,original
121,-7.81,64,original
122,-8.136,64,original
123,-9.577,64,original
124,-7.815,64,original
125,-7.728,64,original
126,-8.335,64,original
127,-7.96,64,original
128,-8.57,64,original
129,-8.181,64,original
130,-8.304,64,original
131,-8.436,64,original
132,-8.727,64,original
133,-8.819,64,original
134,-8.757,64,original
135,-8.601,64,original
136,-8.129,64,original
137,-8.252,64,original
138,-8.667,64,original
139,-9.763,64,original
140,-7.81,64,original
141,-7.904,64,original
142,-8.159,64,original
143,-8.153,64,original
144,-7.651,64,original
145,-8.159,64,original
146,-6.628,64,original
147,-8.629,64,original
148,-8.453,64,original
149,-9.67,64,original
150,-10.261,64,original
151,-9.846,64,original
152,-9.959,64,original
153,-10.69,64,original
154,-8.847,64,original
155,-9.109,64,original
156,-7.535,64,original
157,-9.544,64,original
158,-7.332,64,original
159,-7.632,64,original
160,-5.995,64,original
161,-7.597,64,original
162,-7.321,64,original
163,-8.415,64,original
164,-7.874,64,original
165,-7.845,64,original
166,-7.354,64,original
167,-9.035,64,original
168,-8.544,64,original
169,-8.108,64,original
170,-8.98,64,original
171,-8.156,64,original
172,-7.739,64,original
173,-7.807,64,original
174,-7.484,64,original
175,-7.695,64,original
176,-6.739,64,original
177,-10.011,64,original
178,-8.142,64,original
179,-8.416,64,original
180,-8.496,64,original
181,-8.256,64,original
182,-6.186,64,original
183,-8.84,64,original
184,-8.461,64,original
185,-8.479,64,original
186,-8.236,64,original
187,-9.167,64,original
188,-10.282,64,original
189,-9.534,64,original
190,-8.677,64,original
191,-9.658,64,original
192,-9.192,64,original
193,-8.306,64,original
194,-9.263,64,original
195,-9.598,64,original
196,-9.879,64,original
197,-8.772,64,original
198,-9.801,64,original
199,-8.882,64,original
200,-9.166,64,original
201,,64,original
202,,64,original
203,-9.715,64,original
204,,64,original
205,-10.387,64,original
206,-5.83,64,original
207,-9.936,64,original
208,-5.36,64,original
209,-7.811,64,original
210,,64,original
211,,64,original
212,-8.006,64,original
213,-9.513,64,original
214,-7.391,64,original
215,-8.945,64,original
216,-8.825,64,original
217,-10.346,64,original
218,-10.023,64,original
219,-10.206,64,original
220,,64,original
221,-9.844,64,original
222,-9.487,64,original
223,-11.219,64,original
224,-11.148,64,original
225,-9.004,64,original
226,-10.908,64,original
227,-8.276,64,original
228,-9.296,64,original
229,-7.893,64,original
230,-8.141,64,original
231,-8.854,64,original
232,-9.268,64,original
233,-10.381,64,original
234,-8.051,64,original
235,-7.403,64,original
236,-8.896,64,original
237,-8.622,64,original
238,-9.232,64,original
239,-9.063,64,original
240,-8.706,64,original
241,-7.878,64,original
242,-8.05,64,original
243,-5.434,64,original
244,-9.237,64,original
245,-8.031,64,original
246,-8.092,64,original
247,-8.651,64,original
248,-10.665,64,original
249,,64,original
250,-10.127,64,original
251,-4.196,64,original
252,-9.261,64,original
253,-11.366,64,original
254,-0.849,64,original
255,-5.701,64,original
256,-7.211,64,original
257,-10.908,64,original
258,-8.871,64,original
259,-6.902,64,original
260,-7.816,64,original
261,-6.999,64,original
262,-7.923,64,original
263,-8.242,64,original
264,-8.859,64,original
265,-9.168,64,original
266,-10.546,64,original
267,-8.623,64,original
268,-8.909,64,original
269,-9.991,64,original
270,-9.972,64,original
271,-10.864,64,original
272,-10.613,64,original
273,-8.313,64,original
274,-6.639,64,original
275,-3.636,64,original
