candidate_id,canonical_smiles,p2_source_rank,cohort_id,RRS_mean,RRS_class,RRS_N51I,RRS_C59R,RRS_S108N,RRS_I164L,RRS_K76T,RRS_K76A,ACSI,D_DrugBank,D_ANPDB,fsp3,NPL,PNS,n_targets,aff_PfDHFR,aff_PfCRT,aff_PfClpP,aff_PfATP4
PP-01,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,1,P2_SET_C_POLYPHARM_17,87.777778,A*,86.400000,85.466667,87.600000,83.866667,92.473118,90.860215,0.459283,0.626667,0.000000,0.166667,0.666667,4.449709,2,-5.947000,-6.483000,-5.467000,-6.361000
PP-02,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,2,P2_SET_C_POLYPHARM_17,91.263736,A*,,,,,87.912088,94.615385,0.823190,0.655738,0.361702,0.454545,0.607143,1.234662,2,-5.562000,-6.124000,-5.907000,-6.591000
PP-03,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,3,P2_SET_C_POLYPHARM_17,72.113011,C,68.058252,68.349515,65.825243,69.029126,80.000000,81.415929,0.598641,0.746667,0.000000,0.250000,0.615385,6.000185,2,-6.089000,-6.633000,-6.358000,-7.311000
PP-04,COc1ccc2c(OC)c3ccoc3nc2c1OC,4,P2_SET_C_POLYPHARM_17,81.122024,C,68.750000,66.875000,68.750000,73.500000,105.285714,103.571429,0.567232,0.714286,0.000000,0.214286,0.684211,4.526663,2,-5.493000,-5.329000,-5.386000,-6.086000
PP-05,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,5,P2_SET_C_POLYPHARM_17,78.238095,B,,,,,77.142857,79.333333,0.387014,0.571429,0.000000,0.062500,0.761905,1.139995,2,-6.285000,-6.412000,-6.466000,-6.378000
PP-06,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,6,P2_SET_C_POLYPHARM_17,92.373737,A*,,,,,90.606061,94.141414,0.589109,0.725490,0.000000,0.285714,0.615385,1.044852,2,-6.267000,-7.907000,-7.031000,-7.285000
PP-07,CC(C)=CCOc1ccc2ccc(=O)oc2c1,7,P2_SET_C_POLYPHARM_17,75.007953,B,71.842105,71.842105,72.368421,72.236842,84.175824,77.582418,0.603008,0.625000,0.209302,0.214286,0.588235,4.484662,2,-6.226000,-6.633000,-6.226000,-5.775000
PP-08,C=CCc1cc(OC)c2c(c1OC)OCO2,8,P2_SET_C_POLYPHARM_17,70.798364,C,62.105263,62.105263,67.236842,66.315789,83.918919,83.108108,0.604707,0.735294,0.000000,0.333333,0.562500,4.356758,2,-4.935000,-5.213000,-5.052000,-5.494000
PP-09,CC(C)=CCc1ccc2cc[nH]c2c1,9,P2_SET_C_POLYPHARM_17,74.179496,B,70.563380,72.957746,75.774648,76.478873,75.813953,73.488372,0.600903,0.750000,0.000000,0.230769,0.642857,4.197043,2,-5.693000,-6.871000,-5.613000,-6.078000
PP-10,COc1cccc2c(=O)c3ccc(O)cc3oc12,10,P2_SET_C_POLYPHARM_17,80.490620,B,75.974026,76.363636,75.714286,75.844156,89.404762,89.642857,0.550804,0.727273,0.000000,0.071429,0.777778,4.481996,2,-6.346000,-6.395000,-6.016000,-6.670000
PP-11,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,11,P2_SET_C_POLYPHARM_17,82.600000,A*,,,,,82.700000,82.500000,0.458440,0.641975,0.000000,0.117647,0.666667,1.102376,2,-6.179000,-6.376000,-6.583000,-6.724000
PP-12,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,12,P2_SET_C_POLYPHARM_17,72.394017,C,75.200000,66.133333,62.933333,72.533333,70.384615,87.179487,0.593511,0.743590,0.000000,0.600000,0.000000,4.336853,2,-5.248000,-6.357000,-5.386000,-4.635000
PP-13,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,13,P2_SET_C_POLYPHARM_17,104.819277,A*,,,,,110.240964,99.397590,0.597293,0.666667,0.136364,0.176471,0.666667,2.324472,2,-5.921000,-5.685000,-6.454000,-7.565000
PP-14,CC=Cc1cc(O)c(O)c(OC)c1,14,P2_SET_C_POLYPHARM_17,69.531871,D,62.236842,65.526316,68.026316,64.868421,78.800000,77.733333,0.742535,0.692308,0.354839,0.200000,0.461538,4.364282,2,-4.863000,-5.328000,-5.047000,-5.460000
PP-15,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,15,P2_SET_C_POLYPHARM_17,111.652586,A*,123.214286,112.678571,125.892857,131.785714,86.236559,90.107527,0.576441,0.714286,0.000000,0.235294,0.695652,3.499709,2,-6.045000,-6.084000,-6.366000,-7.016000
PP-16,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,16,P2_SET_C_POLYPHARM_17,76.321083,B,72.894737,74.736842,73.684211,75.921053,80.114943,80.574713,0.173120,0.354839,0.000000,0.076923,0.764706,4.454567,2,-5.469000,-6.202000,-6.203000,-6.451000
PP-17,O=C(O)C=Cc1ccc(O)cc1,17,P2_SET_C_POLYPHARM_17,68.175133,C,59.277108,61.204819,59.518072,58.915663,76.756757,93.378378,0.308255,0.564103,0.000000,0.000000,0.500000,4.706758,2,-5.266000,-5.116000,-5.342000,-5.360000
