candidate_id,canonical_smiles,MW,logP,HBD,HBA,TPSA,RB,fsp3,NPL,QED,SA,Lipinski_violations
PP-01,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,328.3200,3.1914,1,6,78.1300,4,0.1667,0.6667,0.7923,2.1760,0
PP-02,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,388.4600,3.0872,1,6,66.3800,8,0.4545,0.6071,0.7497,3.2610,0
PP-03,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,356.3740,3.3766,4,6,107.2200,3,0.2500,0.6154,0.6282,3.4312,0
PP-04,COc1ccc2c(OC)c3ccoc3nc2c1OC,259.2610,3.0068,0,5,53.7200,3,0.2143,0.6842,0.7233,2.5232,0
PP-05,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,284.2670,2.8798,2,5,79.9000,2,0.0625,0.7619,0.7560,2.1311,0
PP-06,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,354.4020,4.3216,2,5,75.9900,4,0.2857,0.6154,0.7998,3.1406,0
PP-07,CC(C)=CCOc1ccc2ccc(=O)oc2c1,230.2630,3.1380,0,3,39.4400,3,0.2143,0.5882,0.6003,2.2312,0
PP-08,C=CCc1cc(OC)c2c(c1OC)OCO2,222.2400,2.1610,0,4,36.9200,4,0.3333,0.5625,0.7314,2.5560,0
PP-09,CC(C)=CCc1ccc2cc[nH]c2c1,185.2700,3.6766,1,0,15.7900,2,0.2308,0.6429,0.6869,2.4072,0
PP-10,COc1cccc2c(=O)c3ccc(O)cc3oc12,242.2300,2.6604,1,4,59.6700,1,0.0714,0.7778,0.6663,2.0078,0
PP-11,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,330.2920,2.5940,3,7,109.3600,3,0.1176,0.6667,0.6769,2.3756,0
PP-12,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,222.3720,4.3963,1,1,20.2300,7,0.6000,0.0000,0.6331,3.4524,0
PP-13,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,330.2920,2.0515,3,7,113.2900,2,0.1765,0.6667,0.7222,3.3123,0
PP-14,CC=Cc1cc(O)c(O)c(OC)c1,180.2030,2.1395,2,3,49.6900,2,0.2000,0.4615,0.6853,2.2848,0
PP-15,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,316.3090,2.0313,3,6,96.2200,3,0.2353,0.6957,0.8016,3.4022,0
PP-16,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,228.2030,2.0690,1,4,67.5100,0,0.0769,0.7647,0.6391,2.5862,0
PP-17,O=C(O)C=Cc1ccc(O)cc1,164.1600,1.4900,2,2,57.5300,2,0.0000,0.5000,0.6508,1.7831,0
