candidate_id,ACSI,PNS,n_targets,N_fav,RRS_class,Comment,canonical_smiles
PP-01,0.459,4.45,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1
PP-02,0.823,1.235,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC
PP-03,0.599,6.0,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2
PP-04,0.567,4.527,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),COc1ccc2c(OC)c3ccoc3nc2c1OC
PP-05,0.387,1.14,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1
PP-06,0.589,1.045,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O
PP-07,0.603,4.485,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),CC(C)=CCOc1ccc2ccc(=O)oc2c1
PP-08,0.605,4.357,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),C=CCc1cc(OC)c2c(c1OC)OCO2
PP-09,0.601,4.197,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),CC(C)=CCc1ccc2cc[nH]c2c1
PP-10,0.551,4.482,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),COc1cccc2c(=O)c3ccc(O)cc3oc12
PP-11,0.458,1.102,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1
PP-12,0.594,4.337,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C
PP-13,0.597,2.324,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1
PP-14,0.743,4.364,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),CC=Cc1cc(O)c(O)c(OC)c1
PP-15,0.576,3.5,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2
PP-16,0.173,4.455,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),Cc1occ2c1C(=O)c1c(O)cccc1C2=O
PP-17,0.308,4.707,2,PENDING_P1_DOCKING,PENDING_P1_DOCKING,ACSI/PNS from P2 Set-C (same cohort),O=C(O)C=Cc1ccc(O)cc1
