Frame,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,EGB,1-4 VDW,1-4 EEL,ESURF,TOTAL
1,NaN,7.958078640513122e-13,1.4210854715202004e-13,0.0,0.0,0.0,-37.24850000000004,-12.559399999998647,33.68280000000033,9.999999990384367e-05,-4.831690603168681e-13,-4.502064959999989,-20.627064959996886
2,NaN,-0.00010000000035859102,-2.8421709430404007e-13,0.0,0.0,0.0,-37.661700000000096,-14.39180000000269,32.197000000000905,-2.842170943040401e-14,1.1937117960769683e-12,-4.991942880000023,-24.848442880003432
3,NaN,-5.755396159656812e-13,5.400124791776761e-13,0.0,0.0,0.0,-39.4136,0.12969999999535275,19.517999999999738,-1.4210854715202004e-14,-1.0231815394945443e-12,-4.80322152000001,-24.569121520003876
4,NaN,-4.121147867408581e-13,-8.242295734817162e-13,0.0,0.0,0.0,-34.71320000000017,-5.695299999994319,25.885599999999826,-0.00010000000009569021,5.684341886080802e-14,-4.255594559999984,-18.778594559990154
5,NaN,8.313350008393172e-13,-5.684341886080802e-14,0.0,0.0,0.0,-32.24790000000006,-17.29030000000455,34.99690000000051,0.00010000000006016307,2.3021584638627246e-12,-4.008476879999983,-18.549676879998174
6,NaN,-0.00010000000023779876,9.99999995201506e-05,0.0,0.0,0.0,-39.258799999999674,-9.931899999997626,31.930100000000323,7.105427357601002e-15,8.810729923425242e-13,-4.513713839999963,-21.77431383999388
7,NaN,3.552713678800501e-14,-0.00010000000040122359,0.0,0.0,0.0,-42.003399999999736,-9.113200000002507,32.779000000000416,0.00010000000003174137,-2.7284841053187847e-12,-5.102360640000028,-23.439860640009528
8,1.311303066131586e-09,3.055333763768431e-13,-4.263256414560601e-13,0.0,0.0,0.0,-29.25240000000002,-12.936500000000848,29.009600000000177,9.99999999109491e-05,1.4779288903810084e-12,-3.53303784000002,-16.712237839999318
9,-5.912781375627674e-09,4.121147867408581e-13,-9.999999969068085e-05,0.0,0.0,0.0,-48.42170000000013,-14.56790000000484,39.96299999999977,-4.263256414560601e-14,-1.1084466677857563e-12,-5.809166640000019,-28.83576664001204
10,-5.292893234809526e-09,-1.9184653865522705e-13,5.400124791776761e-13,0.0,0.0,0.0,-42.777399999999794,-9.355100000000107,31.824300000000235,1.1368683772161603e-13,-0.00010000000133914,-5.231690640000014,-25.539990640010274
11,9.999893903511747e-05,-1.4210854715202004e-13,9.999999943488547e-05,0.0,0.0,0.0,-34.39990000000043,-6.954900000000578,27.269900000000106,7.105427357601002e-14,-1.7053025658242404e-13,-4.130233200000008,-18.215133200002683
12,-0.00010000082254535414,3.694822225952521e-13,3.410605131648481e-13,0.0,0.0,0.0,-41.70389999999984,-15.777400000000057,31.54610000000011,3.552713678800501e-14,-0.0001000000010549229,-5.357759039999982,-31.293059039997814
13,-1.370906943520822e-09,2.842170943040401e-14,8.526512829121202e-14,0.0,0.0,0.0,-45.901899999999955,-7.35790000000128,27.253299999999456,5.684341886080802e-14,-6.536993168992922e-13,-5.546795760000025,-31.553295760003778
14,NaN,7.531752999057062e-13,-7.958078640513122e-13,0.0,0.0,0.0,-44.8203,-8.447300000002201,34.34119999999996,1.2789769243681803e-13,-8.526512829121202e-13,-5.020901280000009,-23.94730128000768
15,2.4676332088802155e-09,0.00010000000003174137,4.547473508864641e-13,0.0,0.0,0.0,-48.24410000000008,-5.894699999997357,30.321399999999976,-1.2789769243681803e-13,-3.126388037344441e-12,-5.462594640000005,-29.27999464000075
16,NaN,9.999999896592726e-05,2.2737367544323206e-13,0.0,0.0,0.0,-44.76830000000008,-13.565099999996107,38.957000000000306,-1.1368683772161603e-13,1.0800249583553523e-12,-5.789935440000024,-25.16633543999265
17,NaN,-9.999999920751179e-05,8.526512829121202e-14,0.0,0.0,0.0,-49.360900000000086,-14.761800000002864,41.12339999999974,-3.552713678800501e-14,-0.00010000000020227162,-5.459433840000013,-28.45883384000652
18,-5.626681343073869e-09,6.394884621840902e-14,5.400124791776761e-13,0.0,0.0,0.0,-35.37000000000025,-21.410800000002666,41.64600000000009,-0.0001000000000672685,-8.526512829121202e-14,-5.333127120000006,-20.468027120005956
19,NaN,-3.552713678800501e-13,9.999999957699401e-05,0.0,0.0,0.0,-46.6669000000003,-18.403400000005803,41.04960000000057,4.973799150320701e-14,2.0747847884194925e-12,-5.354439119999994,-29.375139119996362
20,NaN,6.110667527536862e-13,1.1368683772161603e-13,0.0,0.0,0.0,-46.17970000000018,-16.78659999999789,40.42459999999976,1.4210854715202004e-14,-9.999999750220923e-05,-5.5873087200000064,-28.129108720001824
21,NaN,3.197442310920451e-13,1.4210854715202004e-13,0.0,0.0,0.0,-47.39390000000007,-19.530700000000905,43.1308999999994,-1.9895196601282805e-13,1.8758328224066645e-12,-6.1393924799999855,-29.93309248000459
