# Time(ns) RMSD(Å)
0.000 0.000
0.010 3.376
0.020 3.285
0.030 3.590
0.040 3.403
0.050 3.504
0.060 3.541
0.070 3.329
0.080 3.469
0.090 3.435
0.100 3.403
0.110 3.300
0.120 3.520
0.130 3.464
0.140 3.688
0.150 3.430
0.160 3.541
0.170 3.390
0.180 3.473
0.190 3.430
0.200 3.421
0.210 3.508
0.220 3.373
0.230 3.551
0.240 3.346
0.250 3.469
0.260 3.468
0.270 3.645
0.280 3.305
0.290 3.673
0.300 3.260
0.310 3.564
0.320 3.523
0.330 3.550
0.340 3.180
0.350 3.152
0.360 3.765
0.370 3.449
0.380 3.453
0.390 3.319
0.400 3.563
0.410 3.515
0.420 3.603
0.430 3.666
0.440 3.471
0.450 3.448
0.460 3.407
0.470 3.537
0.480 3.473
0.490 3.447
0.500 3.273
0.510 3.516
0.520 3.619
0.530 3.325
0.540 3.480
0.550 3.320
0.560 3.427
0.570 3.646
0.580 3.365
0.590 3.321
0.600 3.292
0.610 3.463
0.620 3.453
0.630 3.538
0.640 3.616
0.650 3.283
0.660 3.544
0.670 3.586
0.680 3.316
0.690 3.285
0.700 3.491
0.710 3.529
0.720 3.427
0.730 3.603
0.740 3.440
0.750 3.522
0.760 3.412
0.770 3.553
0.780 3.395
0.790 3.517
0.800 3.743
0.810 3.375
0.820 3.437
0.830 3.383
0.840 3.248
0.850 3.471
0.860 3.786
0.870 3.329
0.880 3.552
0.890 3.300
0.900 3.298
0.910 3.537
0.920 3.341
0.930 3.671
0.940 3.603
0.950 3.615
0.960 3.293
0.970 3.667
0.980 3.713
0.990 3.337
1.000 3.244
