GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,43675949.15,5753.58,3653.35,7108608.33,346.28,-64.53,-2500.33,-20357.14,1371.87,15346.48,-3580.02,163.88,50788107.04,-3416.14,50784690.9
11,43745143.07,5797.71,3578.16,7113709.06,354.16,-90.21,-2507.79,-20245.06,1389.75,15533.9,-3829.76,173.76,50862662.76,-3655.99,50859006.76
21,43757253.88,5821.4,3530.05,7130695.14,310.72,-90.46,-2472.38,-20115.13,1363.05,15421.65,-3936.19,175.93,50891717.92,-3760.26,50887957.66
31,43885433.26,5637.55,3601.12,7183613.2,368.14,-94.01,-2540.24,-20091.66,1341.94,15489.29,-3941.17,170.23,51072758.59,-3770.94,51068987.65
41,43806218.15,5617.65,3579.26,7156181.23,371.41,-109.18,-2438.16,-20133.69,1356.56,15462.38,-3962.78,175.53,50966105.6,-3787.25,50962318.35
51,43910965.97,5374.8,3623.01,7230141.42,342.51,-102.4,-2494.02,-20240.63,1359.26,15516.08,-3858.91,172.32,51144485.98,-3686.59,51140799.39
61,43794648.77,5369.94,3510.8,7231865.77,357.03,-72.52,-2441.94,-20138.69,1364.32,15479.72,-3937.93,175.91,51029943.19,-3762.02,51026181.17
71,43892801.37,5629.81,3537.41,7233568.55,357.12,-74.18,-2514.99,-20088.08,1345.86,15353.39,-3872.15,170.42,51129916.27,-3701.73,51126214.54
81,44119344.53,4963.71,3585.43,7331665.62,384.11,-93.82,-2505.96,-20062.76,1336.01,15352.69,-3890.52,169.81,51453969.55,-3720.71,51450248.84
91,44041409.84,5432.05,3557.43,7267223.31,374.56,-106.24,-2482.54,-20152.57,1336.02,15462.84,-3892.48,170.7,51312054.7,-3721.78,51308332.92
101,44004913.0,5334.06,3580.31,7280819.34,358.17,-78.65,-2470.18,-20131.88,1364.7,15489.22,-3944.87,173.24,51289178.09,-3771.63,51285406.46
111,44167832.63,5554.11,3516.49,7224737.68,372.86,-101.18,-2507.19,-20085.11,1345.33,15479.28,-3965.23,173.56,51396144.89,-3791.67,51392353.22
