GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,0.0,0.0,0.0,0.0,0.0,0.0,338112322.7793,-238016.7038,0.0,0.0,nan,0.0,337874306.07549995,nan,nan
1,0.0,0.0,0.0,0.0,0.0,0.0,337026330.198,-236533.1015,0.0,0.0,nan,0.0,336789797.09650004,nan,nan
2,0.0,0.0,0.0,0.0,0.0,0.0,336977778.1248,-236639.7596,0.0,0.0,nan,0.0,336741138.36520004,nan,nan
3,0.0,0.0,0.0,0.0,0.0,0.0,337759750.3748,-236252.2611,0.0,0.0,nan,0.0,337523498.11370003,nan,nan
4,0.0,0.0,0.0,0.0,0.0,0.0,338096465.2445,-236254.8949,0.0,0.0,nan,0.0,337860210.34959996,nan,nan
5,0.0,0.0,0.0,0.0,0.0,0.0,338077397.4633,-236158.3558,0.0,0.0,nan,0.0,337841239.1075,nan,nan
6,0.0,0.0,0.0,0.0,0.0,0.0,338868295.065,-236498.4239,0.0,0.0,nan,0.0,338631796.6411,nan,nan
7,0.0,0.0,0.0,0.0,0.0,0.0,338418052.5787,-236427.7307,0.0,0.0,nan,0.0,338181624.848,nan,nan
8,0.0,0.0,0.0,0.0,0.0,0.0,336362165.1561,-236170.0132,0.0,0.0,nan,0.0,336125995.1429,nan,nan
9,0.0,0.0,0.0,0.0,0.0,0.0,338869758.2725,-236281.4772,0.0,0.0,nan,0.0,338633476.7953,nan,nan
10,0.0,0.0,0.0,0.0,0.0,0.0,337669687.9629,-236132.1852,0.0,0.0,nan,0.0,337433555.7777,nan,nan
11,0.0,0.0,0.0,0.0,0.0,0.0,337563080.7442,-236419.4128,0.0,0.0,nan,0.0,337326661.3314,nan,nan
12,0.0,0.0,0.0,0.0,0.0,0.0,336662420.705,-236003.0382,0.0,0.0,nan,0.0,336426417.66679996,nan,nan
13,0.0,0.0,0.0,0.0,0.0,0.0,337716072.5847,-236321.3148,0.0,0.0,nan,0.0,337479751.26989996,nan,nan
14,0.0,0.0,0.0,0.0,0.0,0.0,337927502.3078,-236287.9016,0.0,0.0,nan,0.0,337691214.4062,nan,nan
15,0.0,0.0,0.0,0.0,0.0,0.0,337854554.5511,-236340.6937,0.0,0.0,nan,0.0,337618213.8574,nan,nan
16,0.0,0.0,0.0,0.0,0.0,0.0,337881054.4079,-236553.1578,0.0,0.0,nan,0.0,337644501.25009996,nan,nan
17,0.0,0.0,0.0,0.0,0.0,0.0,337760567.507,-236397.8668,0.0,0.0,nan,0.0,337524169.6402,nan,nan
18,0.0,0.0,0.0,0.0,0.0,0.0,338987432.8976,-236474.15,0.0,0.0,nan,0.0,338750958.7476,nan,nan
19,0.0,0.0,0.0,0.0,0.0,0.0,336741790.8427,-236260.0064,0.0,0.0,nan,0.0,336505530.8363,nan,nan
20,0.0,0.0,0.0,0.0,0.0,0.0,337712930.1911,-236166.1358,0.0,0.0,nan,0.0,337476764.0553,nan,nan
21,0.0,0.0,0.0,0.0,0.0,0.0,337784501.9243,-235847.875,0.0,0.0,nan,0.0,337548654.0493,nan,nan
22,0.0,0.0,0.0,0.0,0.0,0.0,337198524.2376,-235699.4764,0.0,0.0,nan,0.0,336962824.7612,nan,nan
23,0.0,0.0,0.0,0.0,0.0,0.0,337743256.3154,-235614.7904,0.0,0.0,nan,0.0,337507641.525,nan,nan
24,0.0,0.0,0.0,0.0,0.0,0.0,337271516.9692,-235874.6134,0.0,0.0,nan,0.0,337035642.35580003,nan,nan
25,0.0,0.0,0.0,0.0,0.0,0.0,338734511.3569,-236224.3783,0.0,0.0,nan,0.0,338498286.97859997,nan,nan
26,0.0,0.0,0.0,0.0,0.0,0.0,338810804.9187,-236267.6601,0.0,0.0,nan,0.0,338574537.2586,nan,nan
27,0.0,0.0,0.0,0.0,0.0,0.0,337094755.8013,-236255.5235,0.0,0.0,nan,0.0,336858500.27779996,nan,nan
28,0.0,0.0,0.0,0.0,0.0,0.0,337368821.0527,-236292.4383,0.0,0.0,nan,0.0,337132528.61439997,nan,nan
29,0.0,0.0,0.0,0.0,0.0,0.0,338864548.0806,-236442.6301,0.0,0.0,nan,0.0,338628105.4505,nan,nan
30,0.0,0.0,0.0,0.0,0.0,0.0,337483915.7028,-236421.5829,0.0,0.0,nan,0.0,337247494.1199,nan,nan
31,0.0,0.0,0.0,0.0,0.0,0.0,337249520.4154,-236318.3348,0.0,0.0,nan,0.0,337013202.0806,nan,nan
32,0.0,0.0,0.0,0.0,0.0,0.0,338492919.3622,-236291.6645,0.0,0.0,nan,0.0,338256627.6977,nan,nan
33,0.0,0.0,0.0,0.0,0.0,0.0,338987976.0421,-236285.5268,0.0,0.0,nan,0.0,338751690.51530004,nan,nan
34,0.0,0.0,0.0,0.0,0.0,0.0,337963978.956,-236338.3624,0.0,0.0,nan,0.0,337727640.5936,nan,nan
35,0.0,0.0,0.0,0.0,0.0,0.0,338588356.7274,-236325.2843,0.0,0.0,nan,0.0,338352031.4431,nan,nan
36,0.0,0.0,0.0,0.0,0.0,0.0,336603665.0345,-235752.6673,0.0,0.0,nan,0.0,336367912.3672,nan,nan
37,0.0,0.0,0.0,0.0,0.0,0.0,337800201.1082,-235915.5759,0.0,0.0,nan,0.0,337564285.5323,nan,nan
38,0.0,0.0,0.0,0.0,0.0,0.0,338240424.772,-235962.1159,0.0,0.0,nan,0.0,338004462.65610003,nan,nan
39,0.0,0.0,0.0,0.0,0.0,0.0,337747890.2539,-235735.7324,0.0,0.0,nan,0.0,337512154.5215,nan,nan
40,0.0,0.0,0.0,0.0,0.0,0.0,337037282.529,-236040.2145,0.0,0.0,nan,0.0,336801242.3145,nan,nan
41,0.0,0.0,0.0,0.0,0.0,0.0,338142649.9833,-236209.2405,0.0,0.0,nan,0.0,337906440.7428,nan,nan
42,0.0,0.0,0.0,0.0,0.0,0.0,337951175.6995,-236226.572,0.0,0.0,nan,0.0,337714949.1275,nan,nan
43,0.0,0.0,0.0,0.0,0.0,0.0,337761449.4283,-236192.9695,0.0,0.0,nan,0.0,337525256.4588,nan,nan
44,0.0,0.0,0.0,0.0,0.0,0.0,337908660.6261,-236172.4769,0.0,0.0,nan,0.0,337672488.1492,nan,nan
45,0.0,0.0,0.0,0.0,0.0,0.0,338330956.5027,-236300.9333,0.0,0.0,nan,0.0,338094655.56939995,nan,nan
46,0.0,0.0,0.0,0.0,0.0,0.0,337561275.7389,-236145.1813,0.0,0.0,nan,0.0,337325130.5576,nan,nan
47,0.0,0.0,0.0,0.0,0.0,0.0,338487515.251,-236534.7316,0.0,0.0,nan,0.0,338250980.5194,nan,nan
48,0.0,0.0,0.0,0.0,0.0,0.0,337509408.347,-236080.4989,0.0,0.0,nan,0.0,337273327.8481,nan,nan
49,0.0,0.0,0.0,0.0,0.0,0.0,337831610.9901,-236339.3542,0.0,0.0,nan,0.0,337595271.6359,nan,nan
50,0.0,0.0,0.0,0.0,0.0,0.0,338524376.2265,-236319.0891,0.0,0.0,nan,0.0,338288057.1374,nan,nan
51,0.0,0.0,0.0,0.0,0.0,0.0,337950107.4603,-235976.0763,0.0,0.0,nan,0.0,337714131.384,nan,nan
52,0.0,0.0,0.0,0.0,0.0,0.0,338068942.9622,-236249.8145,0.0,0.0,nan,0.0,337832693.1477,nan,nan
53,0.0,0.0,0.0,0.0,0.0,0.0,339404576.3023,-236379.7509,0.0,0.0,nan,0.0,339168196.5514,nan,nan
54,0.0,0.0,0.0,0.0,0.0,0.0,337141485.8395,-236084.6907,0.0,0.0,nan,0.0,336905401.1488,nan,nan
55,0.0,0.0,0.0,0.0,0.0,0.0,338603802.3392,-236514.1531,0.0,0.0,nan,0.0,338367288.1861,nan,nan
56,0.0,0.0,0.0,0.0,0.0,0.0,338632068.6431,-236563.611,0.0,0.0,nan,0.0,338395505.0321,nan,nan
57,0.0,0.0,0.0,0.0,0.0,0.0,337338245.1885,-236736.2654,0.0,0.0,nan,0.0,337101508.9231,nan,nan
58,0.0,0.0,0.0,0.0,0.0,0.0,337815462.4405,-236930.9778,0.0,0.0,nan,0.0,337578531.4627,nan,nan
59,0.0,0.0,0.0,0.0,0.0,0.0,337208211.3599,-236805.6049,0.0,0.0,nan,0.0,336971405.755,nan,nan
60,0.0,0.0,0.0,0.0,0.0,0.0,337091238.0827,-236728.6814,0.0,0.0,nan,0.0,336854509.4013,nan,nan
61,0.0,0.0,0.0,0.0,0.0,0.0,338263960.4198,-236801.799,0.0,0.0,nan,0.0,338027158.62079996,nan,nan
62,0.0,0.0,0.0,0.0,0.0,0.0,337726667.6414,-236666.2909,0.0,0.0,nan,0.0,337490001.3505,nan,nan
63,0.0,0.0,0.0,0.0,0.0,0.0,338090612.3383,-236870.5763,0.0,0.0,nan,0.0,337853741.76199996,nan,nan
64,0.0,0.0,0.0,0.0,0.0,0.0,338859675.9099,-236561.4738,0.0,0.0,nan,0.0,338623114.4361,nan,nan
65,0.0,0.0,0.0,0.0,0.0,0.0,339011087.8044,-236404.8524,0.0,0.0,nan,0.0,338774682.952,nan,nan
66,0.0,0.0,0.0,0.0,0.0,0.0,337364474.3224,-236676.1473,0.0,0.0,nan,0.0,337127798.17509997,nan,nan
67,0.0,0.0,0.0,0.0,0.0,0.0,338328165.3121,-236497.5488,0.0,0.0,nan,0.0,338091667.7633,nan,nan
68,0.0,0.0,0.0,0.0,0.0,0.0,337361553.8182,-236708.7434,0.0,0.0,nan,0.0,337124845.0748,nan,nan
69,0.0,0.0,0.0,0.0,0.0,0.0,337932046.7014,-236630.4624,0.0,0.0,nan,0.0,337695416.23899996,nan,nan
70,0.0,0.0,0.0,0.0,0.0,0.0,338091742.1275,-236522.2091,0.0,0.0,nan,0.0,337855219.9184,nan,nan
71,0.0,0.0,0.0,0.0,0.0,0.0,338510047.8713,-236575.4507,0.0,0.0,nan,0.0,338273472.4206,nan,nan
72,0.0,0.0,0.0,0.0,0.0,0.0,338077905.3773,-236584.2679,0.0,0.0,nan,0.0,337841321.10940003,nan,nan
73,0.0,0.0,0.0,0.0,0.0,0.0,337623408.9461,-236465.2113,0.0,0.0,nan,0.0,337386943.7348,nan,nan
74,0.0,0.0,0.0,0.0,0.0,0.0,336997524.5733,-236611.0138,0.0,0.0,nan,0.0,336760913.5595,nan,nan
75,0.0,0.0,0.0,0.0,0.0,0.0,337777654.2576,-236616.5288,0.0,0.0,nan,0.0,337541037.7288,nan,nan
76,0.0,0.0,0.0,0.0,0.0,0.0,337876954.1111,-236606.5792,0.0,0.0,nan,0.0,337640347.5319,nan,nan
77,0.0,0.0,0.0,0.0,0.0,0.0,337032572.0187,-236556.716,0.0,0.0,nan,0.0,336796015.3027,nan,nan
78,0.0,0.0,0.0,0.0,0.0,0.0,337472231.1329,-236510.8167,0.0,0.0,nan,0.0,337235720.3162,nan,nan
79,0.0,0.0,0.0,0.0,0.0,0.0,337601852.7907,-236488.797,0.0,0.0,nan,0.0,337365363.9937,nan,nan
80,0.0,0.0,0.0,0.0,0.0,0.0,337111273.1331,-236274.6068,0.0,0.0,nan,0.0,336874998.52629995,nan,nan
81,0.0,0.0,0.0,0.0,0.0,0.0,335833144.1526,-236127.9485,0.0,0.0,nan,0.0,335597016.2041,nan,nan
82,0.0,0.0,0.0,0.0,0.0,0.0,338092401.624,-236305.5835,0.0,0.0,nan,0.0,337856096.0405,nan,nan
83,0.0,0.0,0.0,0.0,0.0,0.0,337249563.0531,-236173.3707,0.0,0.0,nan,0.0,337013389.6824,nan,nan
84,0.0,0.0,0.0,0.0,0.0,0.0,338091223.8883,-236108.5315,0.0,0.0,nan,0.0,337855115.3568,nan,nan
85,0.0,0.0,0.0,0.0,0.0,0.0,338224424.6798,-236191.2568,0.0,0.0,nan,0.0,337988233.423,nan,nan
86,0.0,0.0,0.0,0.0,0.0,0.0,338595226.0921,-236235.1753,0.0,0.0,nan,0.0,338358990.9168,nan,nan
87,0.0,0.0,0.0,0.0,0.0,0.0,337605137.6671,-236549.1849,0.0,0.0,nan,0.0,337368588.4822,nan,nan
88,0.0,0.0,0.0,0.0,0.0,0.0,338173991.6929,-236443.9999,0.0,0.0,nan,0.0,337937547.693,nan,nan
89,0.0,0.0,0.0,0.0,0.0,0.0,337590347.3491,-236224.8856,0.0,0.0,nan,0.0,337354122.4635,nan,nan
90,0.0,0.0,0.0,0.0,0.0,0.0,338837419.584,-235910.5088,0.0,0.0,nan,0.0,338601509.07519996,nan,nan
91,0.0,0.0,0.0,0.0,0.0,0.0,338326256.7744,-235974.9072,0.0,0.0,nan,0.0,338090281.8672,nan,nan
92,0.0,0.0,0.0,0.0,0.0,0.0,337611608.2766,-235926.4891,0.0,0.0,nan,0.0,337375681.7875,nan,nan
