GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,4547.57,10283.96,12369.08,1048.89,700.77,-1667.58,-5165.78,-59281.64,2418.16,45693.11,-12164.72,404.72,10946.54,-11760.0,-813.45
11,4406.4,9331.4,10630.8,1015.37,575.93,-2564.31,-4991.72,-57774.47,2424.22,45601.28,-14055.32,489.63,8654.91,-13565.69,-4910.78
21,4516.84,9270.18,10448.64,1016.96,584.02,-2568.69,-4964.35,-57929.91,2396.04,45677.4,-13955.52,497.02,8447.12,-13458.5,-5011.37
31,4421.38,9192.7,10412.76,1021.86,578.55,-2639.76,-4980.9,-57479.77,2376.86,45640.11,-14382.86,508.58,8543.79,-13874.28,-5330.48
41,4464.93,9205.54,10292.32,1007.5,533.32,-2636.52,-4948.59,-57290.42,2413.17,45494.79,-14462.27,515.04,8536.04,-13947.23,-5411.19
51,4425.36,9063.83,10296.45,1020.31,564.03,-2721.44,-4844.57,-57361.89,2427.05,45691.49,-14603.72,519.9,8560.61,-14083.81,-5523.2
61,4359.39,9153.65,10311.2,998.75,567.56,-2741.34,-4854.21,-57601.78,2404.32,45582.96,-14229.9,519.06,8180.52,-13710.84,-5530.32
71,4488.46,9125.6,10269.17,1001.03,540.21,-2781.13,-4943.37,-57530.38,2448.0,45532.32,-14323.42,515.19,8149.92,-13808.23,-5658.31
81,4442.99,9079.86,10304.29,1026.28,576.86,-2805.47,-4891.96,-57359.35,2432.38,45499.13,-14419.91,520.23,8305.0,-13899.68,-5594.68
91,4484.53,9103.58,10216.24,1029.06,534.86,-2734.89,-4819.58,-57463.81,2414.05,45762.14,-14528.71,520.72,8526.17,-14007.99,-5481.81
101,4448.19,9112.05,10280.66,1058.48,542.69,-2832.3,-4940.6,-57322.21,2387.14,45594.44,-14512.76,513.66,8328.55,-13999.09,-5670.55
111,4452.67,9150.04,10314.53,1028.79,505.78,-2821.99,-4979.84,-57572.36,2381.19,45569.73,-14275.57,516.69,8028.53,-13758.89,-5730.35
121,4358.64,8913.51,10295.5,978.51,555.1,-2856.05,-4870.63,-57341.08,2407.96,45808.36,-14653.9,532.14,8249.83,-14121.76,-5871.93
131,4404.6,8942.24,10224.62,1022.15,529.32,-2857.65,-4900.43,-57590.54,2429.29,45752.81,-14347.21,531.61,7956.42,-13815.6,-5859.18
141,4404.88,8947.24,10140.9,985.93,573.82,-2811.53,-4959.57,-57417.77,2425.54,45616.42,-14476.28,536.94,7905.85,-13939.35,-6033.5
151,4393.64,9003.93,10154.85,1009.86,542.35,-2858.02,-4899.67,-57642.56,2441.35,45724.48,-14346.0,524.61,7870.21,-13821.39,-5951.18
161,4363.83,9036.4,10172.46,1001.57,570.04,-2859.61,-4868.63,-57842.94,2419.94,45734.81,-14186.05,530.07,7727.88,-13655.98,-5928.1
171,4498.28,8824.39,10134.09,994.27,537.29,-2871.77,-4941.59,-57656.12,2425.71,45727.33,-14284.84,525.33,7671.88,-13759.51,-6087.63
181,4407.89,8851.63,10144.9,1018.06,558.47,-2831.18,-4847.83,-57683.21,2424.79,45766.04,-14360.93,533.32,7809.56,-13827.61,-6018.05
191,4422.55,9072.34,10094.13,1032.16,511.08,-2862.68,-4881.97,-57610.04,2403.55,45750.82,-14415.66,536.1,7931.95,-13879.56,-5947.61
201,4378.53,8896.49,10207.37,1009.87,566.54,-2865.57,-4744.03,-57519.28,2471.76,45848.84,-14686.47,544.64,8250.52,-14141.83,-5891.31
211,4391.07,8927.72,10149.01,1020.71,575.08,-2861.41,-4818.97,-57136.45,2449.39,45729.26,-14914.02,539.29,8425.4,-14374.73,-5949.33
221,4423.44,8799.2,10137.11,999.44,518.2,-2812.49,-4770.69,-57068.61,2437.89,45860.91,-15077.94,544.33,8524.41,-14533.61,-6009.2
231,4468.44,8955.63,10161.97,1037.76,536.46,-2839.28,-4816.15,-57033.14,2456.1,45806.33,-15198.08,547.8,8734.12,-14650.28,-5916.16
241,4456.8,8759.68,10142.86,1001.66,564.1,-2875.39,-4804.98,-57260.65,2447.99,45807.9,-14899.92,548.71,8239.97,-14351.21,-6111.24
251,4492.87,8808.22,10080.56,1008.05,522.05,-2887.41,-4818.24,-57412.57,2422.7,45742.59,-14678.14,540.46,7958.82,-14137.68,-6178.86
261,4299.83,8792.87,10118.98,1022.33,549.11,-2902.52,-4822.86,-57486.44,2495.54,45750.48,-14582.22,539.7,7817.33,-14042.52,-6225.19
271,4514.13,8727.27,10089.53,1006.54,550.51,-2906.52,-4838.82,-57536.48,2432.8,45782.33,-14530.7,540.35,7821.28,-13990.36,-6169.08
281,4480.64,8780.49,10130.66,1023.25,538.02,-2942.16,-4866.75,-57568.02,2423.9,45779.74,-14591.14,537.61,7779.78,-14053.53,-6273.75
291,4388.6,8901.87,10117.53,1000.56,554.62,-2940.45,-4888.52,-57539.27,2428.48,45655.69,-14445.69,537.23,7679.11,-13908.46,-6229.34
301,4418.27,8805.58,10173.71,1010.46,528.96,-2930.87,-4759.46,-57731.94,2402.5,45822.78,-14518.5,541.57,7739.99,-13976.93,-6236.95
311,4378.92,8725.77,10189.87,1003.57,523.31,-2938.99,-4899.86,-57668.8,2450.9,45794.15,-14464.44,540.52,7558.84,-13923.92,-6365.08
321,4325.18,8807.02,10077.96,1021.16,555.9,-2909.97,-4886.22,-57669.29,2473.26,45851.23,-14533.24,532.66,7646.24,-14000.59,-6354.35
