GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,22889.5964,-68014.8816,-12788.176,354.41030664,-45125.2852,-12433.76569336,-57559.05089336
1,23406.8261,-66360.0671,-14960.9938,440.64160056,-42953.241,-14520.35219944,-57473.59319944001
2,24161.5427,-66366.6229,-14926.4148,449.24455223999996,-42205.0802,-14477.170247760001,-56682.250447759994
3,23511.3535,-65952.1919,-15395.5198,460.14228144,-42440.83840000001,-14935.37751856,-57376.21591856001
4,25678.1706,-65576.3764,-15528.3402,467.10649224,-39898.205799999996,-15061.23370776,-54959.43950776
5,21970.1776,-65718.4668,-15645.0673,472.62289680000004,-43748.2892,-15172.444403200001,-58920.7336032
6,24570.5396,-66025.2168,-15246.1327,471.22696512,-41454.67719999999,-14774.90573488,-56229.582934879996
7,23255.9652,-65973.6465,-15315.5612,466.71814224,-42717.681300000004,-14848.84305776,-57566.524357760005
8,24158.4578,-65841.6569,-15407.7558,472.19064336,-41683.1991,-14935.565156640001,-56618.764256639995
9,25399.513,-65759.1836,-15607.5142,473.55340824,-40359.670600000005,-15133.960791759999,-55493.631391760005
10,24892.1015,-65768.4157,-15515.0213,464.5737036,-40876.31419999999,-15050.447596400001,-55926.761796399995
11,22297.5678,-66000.8811,-15310.882,468.15493319999996,-43703.313299999994,-14842.7270668,-58546.04036679999
12,22917.141,-65771.9587,-15627.7123,483.61063320000005,-42854.8177,-15144.1016668,-57998.9193668
13,25421.4609,-66074.9232,-15316.1123,482.91724512,-40653.46230000001,-14833.195054880001,-55486.65735488001
14,25578.0732,-65944.6778,-15433.4117,488.2190637599999,-40366.604600000006,-14945.19263624,-55311.79723624
15,26383.0561,-65950.3682,-15345.1189,476.47950191999996,-39567.312099999996,-14868.63939808,-54435.951498079994
16,25869.1082,-66180.3898,-15190.5941,481.41672983999996,-40311.2816,-14709.17737016,-55020.458970160005
17,23911.1312,-65956.6462,-15305.9314,476.8228137599999,-42045.515,-14829.10858624,-56874.62358624
18,22482.9183,-66018.7017,-15398.6038,485.2599156,-43535.7834,-14913.343884400001,-58449.1272844
19,21864.7002,-66108.1289,-15366.815,487.7474990399999,-44243.4287,-14879.06750096,-59122.49620096
20,25426.5868,-65877.686,-15721.3016,496.473786,-40451.0992,-15224.827814,-55675.92701399999
21,23929.8776,-65601.454,-15839.8922,491.59402056,-41671.5764,-15348.29817944,-57019.87457944
22,24944.7092,-65575.4228,-16021.1799,496.04854176,-40630.7136,-15525.13135824,-56155.844958240006
23,21810.5954,-65479.2436,-16200.7325,499.68638928,-43668.6482,-15701.04611072,-59369.69431072
24,24161.5373,-65670.6394,-16008.898,500.62210416,-41509.102100000004,-15508.275895839999,-57017.377995840005
25,20763.563,-65756.757,-15743.0444,492.36044039999996,-44993.194,-15250.6839596,-60243.8779596
26,25603.4396,-65779.1369,-15690.3709,491.88934008,-40175.6973,-15198.48155992,-55374.17885992
27,23236.176,-65921.0575,-15539.8934,492.16423536,-42684.881499999996,-15047.72916464,-57732.61066464
28,22497.0353,-65844.5193,-15660.906,488.68759008,-43347.484,-15172.21840992,-58519.70240992
29,26063.6452,-65999.3669,-15460.3905,489.74764824,-39935.721699999995,-14970.64285176,-54906.364551759994
30,22276.9656,-66209.1175,-15435.6127,493.6524624,-43932.1519,-14941.9602376,-58874.112137599994
31,21978.4581,-66047.2474,-15437.3825,492.713118,-44068.78929999999,-14944.669382,-59013.45868199999
32,24825.819,-66150.2371,-15474.1704,484.95234096,-41324.418099999995,-14989.21805904,-56313.63615904
33,25581.1818,-65634.3018,-15682.0347,484.16397047999993,-40053.12,-15197.87072952,-55250.99072952
34,24018.8721,-65900.8997,-15668.3736,488.23119576000005,-41882.027599999994,-15180.142404240001,-57062.17000423999
35,24260.5067,-65818.228,-15540.9664,487.76939352,-41557.721300000005,-15053.197006479999,-56610.91830648
36,23951.9847,-65442.8797,-15869.8514,486.30574656,-41490.895,-15383.54565344,-56874.44065344
37,27704.6508,-65587.0478,-15802.4763,488.63569823999995,-37882.397,-15313.840601760001,-53196.237601759996
38,19807.2768,-65508.9965,-15862.1765,487.48986143999997,-45701.7197,-15374.686638559999,-61076.40633856
39,23186.3073,-65170.5665,-16030.9461,489.26930255999997,-41984.2592,-15541.676797439999,-57525.93599744
40,23634.7841,-65609.9692,-15760.0861,488.79399672,-41975.1851,-15271.29210328,-57246.47720328
41,25170.9635,-65712.8659,-15634.1386,486.22797648,-40541.902400000006,-15147.91062352,-55689.81302352001
42,26000.2005,-65730.8335,-15681.4762,478.64700575999996,-39730.632999999994,-15202.82919424,-54933.46219423999
43,24541.4418,-65715.9847,-15656.1459,480.45680423999994,-41174.5429,-15175.689095759999,-56350.231995760005
44,24918.3537,-65722.3948,-15802.972,486.54709991999994,-40804.041099999995,-15316.42490008,-56120.46600008
45,21653.3581,-65767.1053,-15600.1831,485.40591720000003,-44113.7472,-15114.7771828,-59228.5243828
46,25741.9304,-65753.9933,-15667.4197,483.14919239999995,-40012.062900000004,-15184.2705076,-55196.3334076
47,22259.5798,-66131.5608,-15471.2609,486.32689583999996,-43871.98100000001,-14984.934004159999,-58856.91500416001
48,24165.2074,-65712.6834,-15766.644,485.34299136,-41547.475999999995,-15281.30100864,-56828.77700864
49,22690.8764,-65879.0657,-15601.9481,482.8796676,-43188.189300000005,-15119.0684324,-58307.25773240001
50,20905.8626,-65959.7858,-15572.6637,476.67446712,-45053.9232,-15095.98923288,-60149.912432879995
51,22902.6988,-65641.5796,-15822.5836,477.55762631999994,-42738.8808,-15345.02597368,-58083.90677368
52,23723.6366,-65895.1722,-15566.7009,478.13708016000004,-42171.5356,-15088.56381984,-57260.09941984
53,23807.4844,-65884.3796,-15511.3083,481.69662767999995,-42076.8952,-15029.611672320001,-57106.50687232
54,21356.9852,-65790.3214,-15767.1486,487.78593408000006,-44433.336200000005,-15279.36266592,-59712.69886592001
55,23456.8298,-65984.8489,-15434.2703,487.18105055999996,-42528.0191,-14947.08924944,-57475.10834943999
56,26986.7558,-66198.2011,-15306.6739,486.23730768,-39211.44530000001,-14820.43659232,-54031.88189232001
57,25681.3351,-66208.3369,-15185.4252,481.81816727999995,-40527.0018,-14703.60703272,-55230.60883272
58,21998.9936,-66494.6503,-14957.7166,478.33022520000003,-44495.65669999999,-14479.3863748,-58975.04307479999
59,24085.9593,-66260.8724,-15131.641,474.09166584,-42174.91309999999,-14657.54933416,-56832.46243415999
60,23102.4829,-66178.4249,-15152.3088,476.62662888000006,-43075.941999999995,-14675.682171120001,-57751.62417111999
61,22237.4922,-66391.1498,-15178.9579,482.14604448000006,-44153.6576,-14696.81185552,-58850.46945552
62,22559.3908,-66227.0851,-15136.3672,475.92549504,-43667.694299999996,-14660.441704960002,-58328.13600496
63,24102.1003,-66530.411,-15054.5095,481.36923215999997,-42428.310699999995,-14573.14026784,-57001.45096783999
64,24064.3596,-66352.9342,-15324.894,481.30076591999995,-42288.57460000001,-14843.593234080001,-57132.167834080006
65,24257.6099,-66016.6084,-15409.3465,486.24955271999994,-41758.9985,-14923.096947279999,-56682.09544728
66,24238.177,-66356.7106,-15185.6498,482.68029096000004,-42118.53360000001,-14702.96950904,-56821.50310904001
67,24725.416,-66087.7312,-15400.8298,486.31963895999996,-41362.3152,-14914.51016104,-56276.82536104
68,23497.4063,-66177.6494,-15293.7708,486.95568984,-42680.24309999999,-14806.81511016,-57487.058210159994
69,24846.7707,-66141.8,-15325.6867,486.4066048799999,-41295.0293,-14839.28009512,-56134.30939512
70,23388.6127,-66189.5223,-15270.1888,482.9836284,-42800.9096,-14787.2051716,-57588.114771600005
71,25961.9306,-66137.9167,-15232.2192,479.92674023999996,-40175.9861,-14752.29245976,-54928.27855976
72,23327.9865,-66198.1189,-15240.6,486.43264080000006,-42870.1324,-14754.1673592,-57624.2997592
73,23831.5463,-66178.3372,-15280.6545,483.52571207999995,-42346.79089999999,-14797.12878792,-57143.919687919995
74,25554.2637,-66166.6279,-15347.445,483.27127344,-40612.36420000001,-14864.17372656,-55476.53792656001
