LIG_ID,Rank,SMILES,Standard_SMILES,MPO_Score,Hit_Tier,Best_Target,Best_Affinity,Best_Confidence,Aff_4GM2,Aff_6UKJ,Aff_7F3Y,Aff_9N10,Docking_Status,Docking_Pose_Dir,System_Status
LIG1,1,CCCN(C)C(=O)c1c[nH]c2ccc(C)cc2c1=O,CCCN(C)C(=O)c1c[nH]c2ccc(C)cc2c1=O,0.5717429396251932,Secondary hit,6UKJ,-7.876,-1.51,-4.46,-7.876,-7.139,-4.648,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG2,2,Cc1cc2ccc(=O)oc2cc1OC[C@@H](O)C(C)(C)O,Cc1cc2ccc(=O)oc2cc1OC[C@@H](O)C(C)(C)O,0.567764098463981,Secondary hit,6UKJ,-8.761,-0.7,-4.783,-8.761,-6.717,-5.105,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG3,3,COc1cc(C)c([C@H](C)NC(=O)c2ccc(CC[NH3+])cc2)cc1OC,COc1cc(C)c([C@H](C)NC(=O)c2ccc(CC[NH3+])cc2)cc1OC,0.5607460993196549,Secondary hit,6UKJ,-8.433,-0.8,-4.545,-8.433,-7.267,-5.561,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG4,4,C[C@@H]1C[C@H](O)CN(C(=O)c2ccc(F)cc2Cl)C1,C[C@@H]1C[C@H](O)CN(C(=O)c2ccc(F)cc2Cl)C1,0.6074834239130422,Secondary hit,6UKJ,-7.646,-0.73,-3.937,-7.646,-6.174,-6.422,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG5,5,COC1=CC(SC)=CC=C1C(=O)N1CCC(C)(O)CC1,COc1cc(SC)ccc1C(=O)N1CCC(C)(O)CC1,0.5506631602912803,Secondary hit,6UKJ,-7.377,-1.13,-3.923,-7.377,-5.861,-4.612,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG6,6,[NH3+][C@H](c1ccc(O)cc1)c1ccc(Br)cc1,[NH3+][C@H](c1ccc(O)cc1)c1ccc(Br)cc1,0.5486300424573152,Secondary hit,6UKJ,-7.349,-0.86,-4.082,-7.349,-6.23,-4.823,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG7,7,COc1cc(/C=C\CO)cc(OC)c1O,COc1cc(/C=C\CO)cc(OC)c1O,0.5396684997101201,Secondary hit,6UKJ,-6.898,-0.83,-3.743,-6.898,-5.679,-4.969,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG8,8,CC1=CC=C(F)C(CN[C@@H]2CCCC[C@@H]2O)=C1,Cc1ccc(F)c(CN[C@@H]2CCCC[C@@H]2O)c1,0.5401292184532048,Secondary hit,6UKJ,-8.691,-0.73,-3.999,-8.691,-5.916,-4.68,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG9,9,CC(C)(O)/C=C/c1ccc2cc[nH]c2c1,CC(C)(O)/C=C/c1ccc2cc[nH]c2c1,0.5433128576817522,Secondary hit,6UKJ,-7.647,-0.64,-4.195,-7.647,-6.17,-5.459,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG10,10,C#CC1=CC=C(CNCC(O)C2=CC=CC=C2)C=C1,C#Cc1ccc(CNCC(O)c2ccccc2)cc1,0.5409868043580816,Secondary hit,6UKJ,-8.568,-1.69,-4.37,-8.568,-6.77,-4.917,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG11,11,CC(NCC1=CC=CC(O)=C1Cl)C1=CC=CC=C1,CC(NCc1cccc(O)c1Cl)c1ccccc1,0.5421187410874011,Secondary hit,6UKJ,-7.66,-1.23,-4.504,-7.66,-6.314,-4.884,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG12,12,CC(C)(C)CC(C)(C)NC[C@@H](O)C1=CC=C(Cl)C=C1,CC(C)(C)CC(C)(C)NC[C@@H](O)c1ccc(Cl)cc1,0.5383098623088532,Secondary hit,6UKJ,-9.022,-1.06,-3.936,-9.022,-6.287,-5.031,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG13,13,C=C(Br)CNCc1cc2c(c(OC)c1)OCO2,C=C(Br)CNCc1cc(OC)c2c(c1)OCO2,0.533740947599323,Secondary hit,6UKJ,-6.592,-0.69,-3.856,-6.592,-5.708,-4.036,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG14,14,CC(C)=CCOc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1)[C@@H](O)C2=O,CC(C)=CCOc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1)[C@@H](O)C2=O,0.5551128315964844,Secondary hit,6UKJ,-9.61,-1.47,-6.19,-9.61,-8.151,-5.498,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG15,15,C#C[C@@H](CC)Oc1ccc([C@@H]2CC(=O)c3ccccc3O2)cc1,C#C[C@@H](CC)Oc1ccc([C@@H]2CC(=O)c3ccccc3O2)cc1,0.5475951352227235,Secondary hit,6UKJ,-9.945,-1.38,-4.6,-9.945,-7.462,-5.166,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG16,16,Cc1cc(N[C@@H](C)CCO)c2cc(F)ccc2n1,Cc1cc(N[C@@H](C)CCO)c2cc(F)ccc2n1,0.5359913052316316,Secondary hit,6UKJ,-7.189,-1.46,-4.163,-7.189,-6.496,-4.998,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
LIG17,17,CC1=Nc2ccccc2C(NCCO)=NO1,CC1=Nc2ccccc2C(NCCO)=NO1,0.479838875831562,Borderline,6UKJ,-7.161,-0.84,-4.069,-7.161,-5.636,-5.019,Excellent_Available,/home/vital/Documents/GitHub/Malaria_codes/Docking/Docking_6UKJ/results_consensus/EXCELLENT,Needs_Correction
