trial_number,value,drop_rate,pool_size,learning_rate,batch_size,kernel_size,encoder_n_layers,encoder_filters,decoder_filters
15,48.50100326538086,0.1058095889073556,5,0.0003159278608167,128,9,5,"(256, 64, 256, 32, 256)",()
77,55.52490615844727,0.2484810597518092,2,0.0006172709269315,64,7,3,"(256, 128, 256)",()
125,56.35205841064453,0.1105702451839825,5,0.0013557370739212,64,3,3,"(256, 64, 256)",()
41,57.11764907836914,0.1567887517167509,6,0.0004825216715087,64,9,5,"(64, 32, 256, 64, 256)",()
111,57.56222534179688,0.1000850529685611,3,0.0014625166245942,64,3,3,"(256, 64, 256)",()
121,57.64494705200195,0.1388166046291231,4,0.0014255461982859,64,3,3,"(256, 64, 256)",()
113,57.79263687133789,0.1191067594679467,3,0.0014833068621172,64,3,3,"(256, 64, 256)",()
104,59.06173324584961,0.1199627502499913,6,0.0014524503284971,64,3,3,"(256, 32, 256)",()
124,60.047698974609375,0.1565610075014455,2,0.0013854226687109,64,3,3,"(256, 64, 256)",()
115,60.13899993896485,0.1129960719775385,4,0.0013629116206102,64,3,3,"(256, 64, 256)",()
6,60.16184997558594,0.137469907131237,4,0.0003391600849438,128,3,5,"(64, 128, 256, 32, 128)",()
138,60.579376220703125,0.1005234679738162,3,0.0022518796338061,64,3,3,"(256, 64, 128)",()
127,60.66888046264648,0.1184492456846729,3,0.0015708272375237,64,3,3,"(256, 64, 256)",()
106,61.24226760864258,0.1501249513115171,4,0.0017931100564456,64,3,3,"(256, 64, 256)",()
132,61.56417846679688,0.1092109786927366,3,0.0012399739399709,64,3,3,"(256, 64, 256)",()
74,61.59796142578125,0.2095337181032084,2,0.0006428773708982,64,11,4,"(64, 128, 256, 32)",()
97,61.83995819091797,0.1274293652881472,5,0.0009416614261308,64,9,5,"(128, 32, 256, 32, 64)",()
149,62.00345230102539,0.1133687164921254,3,0.0014027837830032,64,3,3,"(256, 64, 256)",()
67,62.29408645629883,0.1626658104983022,2,0.0007868532162857,64,5,5,"(64, 128, 32, 128, 128)",()
116,62.54635238647461,0.1151266953452844,4,0.0014394396296873,64,3,3,"(256, 64, 256)",()
44,62.90401077270508,0.2458535647554148,4,0.0004808010472978,64,3,4,"(64, 32, 256, 64)",()
126,63.716346740722656,0.1098457560428722,4,0.0013894083106888,64,3,3,"(256, 64, 256)",()
110,63.945579528808594,0.1368692286506325,3,0.0014779908997532,64,3,3,"(256, 64, 256)",()
114,67.57086944580078,0.100357527853622,3,0.0016501566952669,64,3,3,"(256, 64, 256)",()
131,67.64338684082031,0.1458430392200951,2,0.0018431086588106,64,3,3,"(256, 64, 256)",()
2,67.78069305419922,0.2888859700647797,2,0.0026698666742744,256,5,3,"(256, 64, 64)",()
141,69.2275161743164,0.1086033044812637,3,0.0015653347648966,64,3,3,"(256, 64, 128)",()
95,70.09229278564453,0.1263689553792367,6,0.000977943267379,64,9,5,"(128, 32, 256, 32, 64)",()
36,71.0213394165039,0.2604483573080916,6,0.0004413498929036,64,7,6,"(512, 32, 256, 64, 512, 32)",()
42,76.42725372314453,0.1562698658268037,6,0.0007077022247016,64,11,6,"(64, 32, 256, 64, 256, 512)",()
66,76.74678802490234,0.1866724760128976,5,0.0005430810635142,128,9,6,"(256, 32, 512, 32, 256, 512)",()
53,76.85204315185547,0.1457609114826906,6,0.0002945733063589,64,3,4,"(512, 32, 256, 64)",()
102,76.89799499511719,0.1297487625529486,5,0.0006269299455921,64,9,5,"(128, 32, 256, 32, 64)",()
19,76.9623031616211,0.1002600977282807,5,0.0005752841098096,128,9,5,"(32, 32, 256, 512, 32)",()
26,77.09503936767578,0.4200161594035514,3,0.0008099223242854,128,5,4,"(256, 64, 256, 64)",()
91,77.11042022705078,0.1755668114635328,7,0.0008552135272254,64,11,6,"(64, 32, 256, 64, 256, 256)",()
72,77.20362854003906,0.1365869704018417,6,0.0007320883424543,64,7,6,"(64, 64, 256, 32, 128, 64)",()
4,77.22772979736328,0.1163100566219055,6,0.0022653156413948,128,11,3,"(128, 64, 128)",()
94,77.3339614868164,0.2124836030643807,7,0.000535404169774,64,11,6,"(64, 32, 256, 64, 256, 32)",()
112,77.3717041015625,0.106000103838986,3,0.0014877949742483,64,3,3,"(256, 64, 256)",()
