Name,Smiles,standard_smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,npl_score,sa_score,rotatable_bonds
sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,342.297,-5.39559999999999,11,8,2,0.23789143451935,9,189.53,0.120395832322538,0.509667032957077,0.427480253577232,0.0001846413528255,0.0135463110404089,0.016720288596116,0.0014135687320958,0.0134136902372119,0.0007669674077988,0.155643773800693,1.46044684743885E-05,0.0036705098114907,0.0189194423146545,0.12005826421082,0.0357381320558488,0.0200839573517441,0.0292529104277491,0.0005186602364119,0.0020621818257495,0.0369315203279256,0.168063507974148,0.0001043474960852,0.106656232941896,0.0013110194762703,0.0377929717302322,0.0009855954278464,0.0001809240544389,0.0015004399348981,0.0239092763280496,0.319723427295685,0.0893080716952681,-6.30270584647444,56.2622403118761,10.0175968536849,10.9114293646401,-22.3063546921735,0.941469616074992,-1.54436264059034,16.5231182781451,0.553358545554146,-8.24125468486942,52.1519968980225,5.0601008142691,90.7328421868942,95.2888716556805,9.84877859635518,15.1027530050407,93.9511438542071,90.1899961225281,37.689026754556,31.3687475765801,15.3547886777821,3.9162466072121,19.9302055060101,5.81620783249321,11.2058937572703,7.25087243117487,5.97130670802637,17.8363706863125,5.46723536254362,1.27956572314851,18.0690189996123,23.1872818922063,4.45909267157813,66.8088406359054,58.006979449399,5.77743311360993,21.675067855758,69.6393951143854,74.2535866614967,9.61613028305545,14.4241954245832,5.38968592477705,25.5137650252036,23.2260566110896,3.14075222954634,16.013958898798,51.8030244280729,37.3788290034897,28.6932919736332,7.59984490112447,67.5067855758046,40.5195812330361,55.5641721597518,0.853043815432338,1.27956572314851,8.37533927879023,4.53664210934471,96.898022489337,2.63668088406359,2.14292294232509,4.47847999995996,13
acacetin,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,284.267,2.8798,5,2,4,0.756009916740462,0,79.9,0.475735431909561,0.300285413861275,0.507507225871086,0.988267302513123,0.758211815357208,0.120027709752321,0.59462856054306,0.236457733809948,0.549408343434334,0.521762531995773,0.888080334663391,0.0150574841769412,0.0235440315678715,0.83119021654129,0.999825096130371,0.0290412545204162,0.113098661601543,0.908699953556061,0.443231016397476,0.623635214567184,0.74819700717926,0.0705965245142579,0.920957231521606,0.706612396240234,0.760621583461762,0.64388599395752,0.220583665370941,0.835739874839783,0.300205877423286,0.592884814739227,0.630663257837296,-4.77047651863,109.588547825858,26.5461619143398,-14.4924772194343,-11.1281947322422,2.0990113588547,3.14344302806468,95.609101120615,-4.40006655804475,-7.08907383458192,35.6339666537418,60.1008142690966,59.1120589375727,60.8569212873207,63.8037999224506,82.8615742535867,22.4893369523071,53.2376890267546,80.9616130283056,18.3404420317953,19.8914307871268,99.185730903451,93.2144241954246,41.8379216750679,92.5552539744087,69.7944939899186,87.1267933307484,53.2376890267546,94.610314075223,6.28150445909267,21.6362931368748,74.6025591314463,82.1636293136875,75.9596742923614,87.6308646762311,99.1081814656844,95.9286545172548,98.0224893369523,97.5184179914696,87.8635129895308,71.6556804963164,83.986041101202,94.7654129507561,99.3408297789841,92.7103528499418,96.3164017060877,90.4226444358278,65.9170221015898,69.445521519969,63.4354400930593,92.8266770065917,58.5886002326483,13.3772780147344,34.9747964327259,24.8545948041877,83.6370686312524,83.7921675067856,24.0403257076386,4.26521907716169,1.12321799504833,2.13111376384808,5
Pinostrobin,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,270.284,3.1073,4,1,4,0.910594049544967,1,55.76,0.449389863014221,0.699168586730957,0.758154821395874,0.939196169376373,0.87158020734787,0.251489916443825,0.591471922397614,0.335438200831413,0.400078672170639,0.566295564174652,0.619422441720963,0.0126571008004248,0.0217251954600214,0.496583360433579,0.999979090690613,0.0167535177897661,0.0459021281450986,0.598455893993378,0.201494869589806,0.235898581147194,0.544434058666229,0.0429656259715557,0.964694464206696,0.578973072767258,0.42495903968811,0.316472145915031,0.0861614093184471,0.569583338499069,0.181609669327736,0.428717803955078,0.317918309569359,-4.62838696985072,127.087773471684,47.283116626937,-13.4656868232765,-8.80432778747354,2.2936946807532,3.29837551930653,96.3491369070313,-4.46703598878076,4.83071435645672,32.2217913920124,63.2803412175262,46.4715005816208,36.6808840635905,63.8037999224506,99.6510275300504,54.8080651415277,34.7033734005428,79.5269484296239,46.4133385032959,44.280728964715,96.6265994571539,96.1613028305545,71.5005816207833,92.5552539744087,76.851492826677,82.9778984102365,57.0763861962001,84.2186894145017,5.42846064366033,20.1628538193098,53.7417603722373,94.0674680108569,62.039550213261,70.6087630864676,94.8429623885227,85.459480418767,94.3776657619232,95.424583171772,81.9309810003878,85.459480418767,79.1004265219077,79.410624272974,96.9367972082202,83.171772004653,87.9410624272974,84.0248158200853,50.7561070182241,52.1132221791392,72.0822024040326,96.4327258627375,75.6107018224118,14.5017448623497,58.5110507948817,35.2462194649089,86.545172547499,84.9554090732842,23.0321830166731,73.4005428460644,1.32922233622221,2.59040753027841,4
Scoparone,COc1cc2ccc(=O)oc2cc1OC,COc1cc2ccc(=O)oc2cc1OC,206.197,1.8102,4,0,4,0.702906120202381,0,48.67,0.175050897151232,0.962914061546326,0.934013438224792,0.869095873832703,0.156571505963802,0.424085891246796,0.0320906562730669,0.382033586502075,0.0082893293816596,0.516608875989914,0.0524107694625854,0.0277270892634987,0.0099102485924959,0.930185723304749,0.999857759475708,0.0044013652950525,0.0720059908926487,0.205331155657768,0.0127717069350183,0.0084942976944148,0.0762367002665996,0.0043729066150262,0.960911905765533,0.0933655112981796,0.0482047494500875,0.0942347444593906,0.0052382684778422,0.0100512346252799,0.0109593489207327,0.158286879956722,0.106400200724602,-4.13611291773799,72.4163848778772,36.8593825010192,-6.72734464946879,-8.43239339981744,2.49333227641744,1.62254597583826,84.7840284029326,-2.40764066011755,-1.00426265174472,18.4567661884451,42.9236138037999,46.4715005816208,11.7681271810779,63.8037999224506,75.3005040713455,22.4893369523071,29.7789841023653,48.0806514152772,79.4881737107406,84.2962388522683,94.0286932919736,57.7743311360993,89.0655292749128,47.8092283830942,79.2555253974409,22.605661108957,52.6560682435052,47.5378053509112,11.9426134160527,11.4773167894533,85.5758045754168,83.2493214424195,29.3912369135324,81.8146568437379,81.9309810003878,41.1012020162854,31.5238464521132,43.3113609926328,48.6234974796433,84.0248158200853,50.5234587049244,29.6626599457154,87.5920899573478,31.3299728576968,33.4625823962776,39.705312136487,14.6568437378829,30.9034509499806,96.8592477704537,78.7126793330748,68.0496316401706,24.5831717720047,62.1170996510275,47.7704536642109,52.7336176812718,63.2803412175262,62.310973245444,28.4606436603335,0.546607965907533,1.8577463056171,4
5128-44-9,COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,298.294,3.1828,5,1,4,0.803928256798795,0,68.9,0.421496546268463,0.400551611185074,0.58937908411026,0.986901438236237,0.786075496673584,0.169036477804184,0.583700633049011,0.328247672319412,0.457832783460617,0.543887448310852,0.890990912914276,0.0200947479810565,0.0193876525387167,0.861425364017487,0.999791371822357,0.0258698077872395,0.105369174480438,0.87296462059021,0.460771644115448,0.523880887031555,0.661713814735413,0.0625298837199807,0.939690518379212,0.798760652542114,0.680012929439545,0.627870142459869,0.166733694076538,0.780350577831268,0.281872203946114,0.436002492904663,0.683278745412827,-4.72080013900177,115.577139381254,42.0354299395077,-14.4799306539804,-9.96089475267818,2.15890442984284,3.47346218478178,97.4518243528158,-4.9865419796037,-4.70599938949892,39.8604110120202,64.5211322217914,59.1120589375727,36.6808840635905,63.8037999224506,89.7246994959287,22.4893369523071,45.4051958123304,77.5882124854595,24.5443970531214,24.7382706475378,99.1081814656844,94.0286932919736,54.9437766576192,92.4777045366421,76.3474214811943,84.6839860411012,55.4090732842187,94.6878635129895,8.56921287320667,18.4179914695618,77.4718883288096,80.4575416828228,73.0127956572315,86.8941450174486,98.7979837146181,96.3939511438542,97.4020938348197,96.6653741760372,86.7390461419155,76.580069794494,88.1349360217138,91.8185343156262,99.3020550601008,90.5389685924777,94.881737107406,89.6083753392788,51.2989530825902,71.3067080263668,66.1108956960062,94.4552151996898,72.4699495928655,13.4160527336177,46.6459868165956,27.995347033734,88.9492051182629,87.0492438929818,14.4241954245832,9.69367972082202,0.892244990969359,2.05918688075996,6
4-hydroxy cinnamic acid,O=C(O)C=Cc1ccc(O)cc1,O=C(O)C=Cc1ccc(O)cc1,164.16,1.49,2,2,4,0.65083387330713,0,57.53,0.0294926881790161,0.508173453807831,0.697629678249359,0.0200114778243005,0.0283051162958145,0.393885944783688,0.0529943661764264,0.0513333316892385,0.0190195564180612,0.165645509958267,0.0014628804376116,0.126739913225174,0.0699698090553283,0.679605305194855,0.986837077140808,0.011355962161906,0.109631102532148,0.0141029943712055,0.0010035090323071,0.045705490373075,0.137735620141029,0.0220909184310585,0.141092021204531,0.0064661526819691,0.151454824209213,0.0147579140029847,0.0158326164353638,0.0092058406211435,0.0076886450173333,0.404061552882195,0.0102711888961493,-5.18409004456533,28.61075364167,10.0068830004303,-0.145305088473745,-12.2274519675684,1.70883823577786,-0.274555672139173,85.9700610069204,-1.88593277547137,8.75684010382332,11.6324156649864,38.4257464133385,16.3823187281892,60.8569212873207,63.8037999224506,67.1190383869717,22.4893369523071,35.8084528887166,11.7487398216363,31.2136487010469,36.1768127181078,41.1012020162854,29.4300116324157,86.9716944552152,54.5948041876696,34.2768514928267,33.9278790228771,19.3485847227608,19.7363319115936,44.3582784024816,43.3113609926328,63.7068631252423,39.5114385420706,51.41527723924,87.3594416440481,40.7522295463358,15.3935633966654,74.7964327258627,67.6618844513377,72.8964715005816,16.6731291198139,18.030244280729,54.2070569988368,62.7374951531601,52.9274912756883,32.6870880186119,33.9278790228771,47.8480031019775,8.45288871655681,37.6114773167895,42.4583171772005,40.5195812330361,36.6808840635905,26.250484683986,10.5854982551377,22.2179139201241,65.5680496316402,71.0352849941838,88.9492051182629,0.84140236485925,1.78312757539385,3
7-Prenyloxycoumarin,CC(C)=CCOc1ccc2ccc(=O)oc2c1,CC(C)=CCOc1ccc2ccc(=O)oc2c1,230.263,3.138,3,0,4,0.600330385267699,0,39.44,0.232598277926445,0.892075371742249,0.756232440471649,0.978918814659119,0.823727607727051,0.377126953005791,0.42397198677063,0.478188699483871,0.141139751672745,0.635875940322876,0.0973460279405117,0.13044144064188,0.0382036536931991,0.797071838378906,0.999905705451965,0.0191200653091073,0.208370351791382,0.58949214220047,0.110210464894772,0.16722739636898,0.568403422832489,0.0347296800464391,0.983455264568329,0.149189040064812,0.256617432832718,0.202609559893608,0.116319462656975,0.191159933805466,0.0608384761959314,0.331881314516068,0.23962450325489,-4.3057905076057,92.2695073234122,67.3873200250357,-1.59832556010291,-7.19035560695103,2.09148776734679,3.05841427066083,103.328658002408,-4.02350909165032,0.498405842877377,22.4505622334238,63.5129895308259,31.1748739821636,11.7681271810779,63.8037999224506,60.7212097712292,22.4893369523071,22.2179139201241,57.3090345094998,66.3823187281892,43.9317564947654,98.5265606824351,94.881737107406,85.8084528887166,87.6696393951144,84.7227607599845,68.2047305157038,65.0639782861574,55.0601008142691,45.1337727801474,31.1748739821636,71.2679333074835,85.73090345095,65.5680496316402,92.322605661109,94.6490887941062,74.563784412563,92.4389298177588,95.7347809228383,79.139201240791,93.7572702597906,56.8437378829004,67.0414889492051,93.9899185730904,86.4288483908492,72.3536254362156,68.0108569212873,39.0461419154711,46.1806901899961,91.120589375727,88.018611865064,86.273749515316,33.5013571151609,73.6331911593641,24.2729740209384,82.0473051570376,95.0368359829391,31.2524234199302,41.0236525785188,0.930430969474924,2.23122427414825,5
lupinifolin,CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,406.478,5.49720000000001,5,2,3,0.658688408036442,1,75.99,0.413029727339745,0.264999303221703,0.69765887260437,0.50059272646904,0.79392796754837,0.203171893954277,0.812370681762695,0.102876038104296,0.121695096045733,0.737603342533112,0.439160591363907,0.229470428824425,0.0747589623555541,0.723383569717407,0.998746979236603,0.0309135396033525,0.0243570089340209,0.47486529648304,0.305958846211433,0.236987519264221,0.429230207204819,0.284982952475548,0.83526531457901,0.912688410282135,0.756373453140259,0.182701206952333,0.676490318775177,0.885079944133759,0.609749448299408,0.435413080453873,0.514799880981445,-4.88237378083876,54.1252079353903,52.3070891742243,18.4048621978109,-6.85551233007505,3.4001682531715,3.781197937128,103.053155567726,-6.13084185569829,4.49574635396126,66.7312911981388,91.4307871267933,59.1120589375727,60.8569212873207,20.9189608375339,68.3210546723536,54.8080651415277,50.6785575804575,77.2004652966266,16.4792555253974,36.1768127181078,82.90034897247,94.1062427297402,62.9701434664599,96.898022489337,49.5540907328422,65.8006979449399,78.6739046141915,77.9371849554091,63.1640170608763,44.5909267157813,65.9170221015898,63.5129895308259,76.9290422644436,50.7948817371074,92.322605661109,91.0042652190772,94.4164404808065,93.6021713842575,97.0143466459868,58.1233036060489,94.6490887941062,94.7266382318728,93.1756494765413,98.4490112446685,97.4020938348197,97.7510663047693,51.2601783637069,64.6374563784413,56.3008918185343,65.6455990694067,78.7514540519581,65.412950756107,76.5412950756107,90.6552927491276,93.3307483520744,94.6490887941062,4.45909267157813,71.5393563396665,2.79784377806907,3.58175968011723,9
"2-Propenoic acid, 3-phenyl-",O=C(O)C=Cc1ccccc1,O=C(O)C=Cc1ccccc1,148.161,1.7844,1,1,4,0.648920433581359,0,37.3,0.0141927493736147,0.804898166656494,0.916834378242493,0.0151772988727316,0.019249477982521,0.453712484240532,0.020244725048542,0.0231920158490538,0.005280979629606,0.0878252066671848,0.0001541106350487,0.261099322140217,0.143733782321215,0.854511249065399,0.995317232608795,0.005748036969453,0.0652266100049018,0.0041261462727561,0.0002661974736838,0.0057049921480938,0.0703396536409854,0.021227503567934,0.346998723596334,0.0036853717814665,0.0920532457530498,0.0070784519892185,0.0062511464580893,0.0015606050495989,0.0022806747001595,0.507276672124863,0.0030298730824142,-4.53697414626765,-5.00054815896043,4.5426528585214,-10.7816778504052,-8.66857537785415,1.59806183347365,-0.389081588183047,92.7929571611562,-2.23823264130089,4.34329419139995,9.03450949980613,42.5746413338503,6.64986428848391,36.6808840635905,63.8037999224506,66.7700659170221,22.4893369523071,19.8526560682435,5.31213648701047,56.3008918185343,78.9841023652579,38.1543233811555,24.6219464908879,90.849166343544,41.178751454052,17.0996510275301,18.0690189996123,8.10391624660721,10.1202016285382,67.5843350135712,59.0538968592478,76.5025203567274,49.2438929817759,34.858472276076,79.7595967429236,22.87708414114,7.94881737107406,23.962776269872,39.5889879798372,72.3148507173323,27.4137262504847,12.8732066692516,42.264443582784,50.4459092671578,34.858472276076,16.4404808065142,19.9302055060101,58.6273749515316,2.98565335401318,77.8208607987592,11.9426134160527,33.9666537417604,18.3792167506786,59.751841799147,8.18146568437379,20.7832493214424,78.596355176425,65.5680496316402,70.6863125242342,0.4041079857604,1.53542663902676,2
Atranorin,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,374.345,2.54696,8,3,4,0.422750842833962,0,130.36,0.0680221803486347,0.122376118600369,0.571123945713043,0.70650372505188,0.363353171944618,0.170056292414665,0.650866222381592,0.0576802100986242,0.0804639756679534,0.462507569789887,0.381947526335716,0.0853701098822057,0.0192211678251624,0.883645462989807,0.989165437221527,0.0139855035580694,0.026272864639759,0.0651137590408325,0.0607287012040615,0.189152176678181,0.267182523012161,0.0554312337189912,0.67355397939682,0.367004948854446,0.071449763327837,0.0450283616781234,0.0644063673913478,0.556395679712296,0.244323696196079,0.43527153134346,0.40880771279335,-5.16183478758163,78.4796028264203,53.0364566961111,26.1658982878787,-8.39438036166292,1.83580697059445,1.6514956609909,93.9925931015761,-4.66908431911129,9.36310951040325,59.3253198914308,53.8193098100039,82.3575029081039,77.2586273749515,63.8037999224506,36.603334625824,22.4893369523071,80.6901899961225,25.2423419930206,7.87126793330748,23.3036060488561,89.3757270259791,76.7351686700271,55.2539744086855,93.8735944164405,36.8359829391237,58.3947266382319,48.0031019775107,75.7658006979449,32.9585110507949,18.301667312912,79.6044978673905,41.2563008918185,57.2314850717332,53.3927879022877,65.2190771616906,64.6762310973246,93.3307483520744,86.2349747964327,85.0717332299341,44.3582784024816,69.5618456766188,36.9135323768903,79.2167506785576,78.7514540519581,87.5145405195812,88.1737107405971,51.2601783637069,58.8987979837146,39.0073671965878,81.698332687088,79.139201240791,73.0127956572315,62.4660721209771,13.8037999224506,53.431562621171,80.9616130283056,19.0383869716945,90.1512214036448,0.903738284186089,2.8195075436365,11
