Uniprot	Name	Gene_ID	Protein_Classification	Organism	PDB_IDs	DisGeNET_0.06	ChEMBL_First_Publication	Activity_Threshold	Actives	Orthologue_Actives	Inactives	Orthologue_Inactives	Sphere_Exclusion_Inactives	Ratio	Model_ID
Q8I6Z5	Plasmepsin V	814104	N/A	Plasmodium falciparum (isolate 3D7)	N/A	N/A	2014	100	29	0	0	0	1000	34.5	Q8I6Z5,SE_100
Q8ILW6	Glycylpeptide N-tetradecanoyltransferase	811708	N/A	Plasmodium falciparum (isolate 3D7)	N/A	N/A	2012	0.1	18	0	0	0	1000	55.6	Q8ILW6,SE_0.1
Q8T9Z7	Purine nucleoside phosphorylase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2008	0.1	11	0	0	0	1000	90.9	Q8T9Z7,SE_0.1
Q5EI73	Protein farnesyltransferase (PFT)	N/A	N/A	Plasmodium falciparum	N/A	N/A	2005	10	35	0	0	0	1000	28.6	Q5EI73,SE_10
Q965D6	3-oxoacyl-acyl-carrier protein reductase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2006	100	15	0	0	0	1000	66.7	Q965D6,SE_100
P13922	Dihydrofolate reductase	N/A	N/A	Plasmodium falciparum K1	1J3I 1J3J 1J3K 3DG8 3DGA	N/A	1992	100	171	0	0	0	1710	10.0	P13922,SE_100
O96214	Putative uncharacterized protein pk7	N/A	N/A	Plasmodium falciparum	2PML	N/A	N/A	10	25	0	0	0	1000	40.0	O96214,SE_10
Q8ILW6	Glycylpeptide N-tetradecanoyltransferase	811708	N/A	Plasmodium falciparum (isolate 3D7)	N/A	N/A	2012	100	99	0	0	0	1000	10.1	Q8ILW6,SE_100
Q9NAW4	Cysteine protease falcipain-3	N/A	N/A	Plasmodium falciparum	3BPM 3BWK	N/A	2008	100	42	0	0	0	1000	23.8	Q9NAW4,SE_100
Q08210	Dihydroorotate dehydrogenase (quinone), mitochondrial	3885966	N/A	Plasmodium falciparum (isolate 3D7)	1TV5 3I65 3I68 3I6R 3O8A 3SFK 4CQ8 4CQ9 4CQA 4ORM	N/A	2016	100	44	0	5	0	995	22.7	Q08210,SE_100
P90584	Protein kinase Pfmrk	N/A	N/A	Plasmodium falciparum	N/A	N/A	2001	10	32	0	0	0	1000	31.3	P90584,SE_10
Q8I4S1	Thymidylate kinase, putative	811545	N/A	Plasmodium falciparum (isolate 3D7)	2WWF 2WWG 2WWH 2WWI 2YOF 2YOG 2YOH	N/A	2012	100	19	0	0	0	1000	52.6	Q8I4S1,SE_100
O77078	Beta-ketoacyl-ACP-synthase III	N/A	N/A	Plasmodium falciparum	N/A	N/A	2008	100	10	0	0	0	1000	100.0	O77078,SE_100
O61142	Subtilisin-like protease	N/A	N/A	Plasmodium falciparum	N/A	N/A	2012	100	28	0	0	0	1000	35.7	O61142,SE_100
O96214	Putative uncharacterized protein pk7	N/A	N/A	Plasmodium falciparum	2PML	N/A	N/A	100	38	0	0	0	1000	26.3	O96214,SE_100
Q9NBA7	Cysteine protease falcipain-3	N/A	N/A	Plasmodium falciparum	N/A	N/A	2004	100	22	0	0	0	1000	45.5	Q9NBA7,SE_100
Q9NAW2	Falcipain 2	N/A	N/A	Plasmodium falciparum	N/A	N/A	2010	100	12	0	0	0	1000	83.3	Q9NAW2,SE_100
Q8I5C5	Macrophage migration inhibitory factor homologue	811336	N/A	Plasmodium falciparum (isolate 3D7)	2WKF	N/A	2012	10	17	0	0	0	1000	58.8	Q8I5C5,SE_10
Q9N6S8	Falcipain 2	N/A	N/A	Plasmodium falciparum	1YVB 2GHU 3BPF 3PNR	N/A	1997	10	197	0	0	0	1970	10.0	Q9N6S8,SE_10
Q8ILW6	Glycylpeptide N-tetradecanoyltransferase	811708	N/A	Plasmodium falciparum (isolate 3D7)	N/A	N/A	2012	10	82	0	0	0	1000	12.2	Q8ILW6,SE_10
P46925	Plasmepsin 2	N/A	N/A	Plasmodium falciparum	1J8J 1LEE 1LF2 1LF3 1LF4 1M43 1ME6 1PFZ 1SME 1W6H 1W6I 1XDH 1XE5 1XE6 2BJU 2BL3 2IGX 2IGY 2R9B 3F9Q 4CKU	N/A	1998	100	579	0	0	0	5790	10.0	P46925,SE_100
Q8T9Z7	Purine nucleoside phosphorylase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2008	10	42	0	0	0	1000	23.8	Q8T9Z7,SE_10
P46925	Plasmepsin 2	N/A	N/A	Plasmodium falciparum	1J8J 1LEE 1LF2 1LF3 1LF4 1M43 1ME6 1PFZ 1SME 1W6H 1W6I 1XDH 1XE5 1XE6 2BJU 2BL3 2IGX 2IGY 2R9B 3F9Q 4CKU	N/A	1998	0.1	259	0	0	0	2590	10.0	P46925,SE_0.1
Q8IEK1	M1-family aminopeptidase	813945	N/A	Plasmodium falciparum 3D7	N/A	N/A	N/A	10	49	0	1000	0	0	20.4	Q8IEK1_10
