Compound Names,Smiles,chemical_class,chemical_subclass,np_classifier_class,np_classifier_pathway,np_classifier_superclass
10-(chrysophanol-7'-yl)-10-(ξ)-hydroxychrysophanol-9-anthrone,Cc1cc(O)c2c(c1)[C@@H](c1ccc3c(c1O)C(=O)c1c(C3=O)c(C)c(cc1O)C)c1c(C2=O)c(O)ccc1,Quinone,,Anthraquinones and anthrones,Polyketides,Polycyclic aromatic polyketides
10'-hydroxyusambarensine,C/C=C/1\CN2CCc3c([C@@H]2C[C@@H]1Cc1nccc2c1[nH]c1c2cc(cc1)O)[nH]c1c3cccc1,Alkaloid,Bisindole alkaloid,Corynanthe type,Alkaloids,Tryptophan alkaloids
11-hydroxyswietephragmin B,COC(=O)C[C@H]1[C@@]2(C)C[C@]3([C@]1(C)[C@]14OC5(O[C@@]1([C@@H]([C@]3(C2OC(=O)/C(=C/C)/C)OC(=O)C)O5)C1=CC(=O)O[C@H]([C@@]1(C[C@H]4O)C)c1ccoc1)C(CC)C)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
1-O-acetylkhayanolide A,COC(=O)[C@H]([C@H]1[C@@]2(C)C[C@]3([C@]1(C)[C@H]1CC[C@@]4([C@]5([C@]1([C@@H]3C(=O)[C@H]2O)O5)CC(=O)O[C@H]4c1cocc1)C)OC(=O)C)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
1-O-acetylkhayanolide B,COC(=O)[C@H]([C@H]1[C@@]2(C)C[C@]3([C@]1(C)C1CC[C@@]4([C@@]5([C@]1([C@H]3[C@H]([C@H]2O)O5)O)CC(=O)O[C@H]4c1ccoc1)C)OC(=O)C)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
"2-(3,7-dimethylocta-2,6-dienyl)-6-[7-(3,7-dimethylocta-2,6-dienyl)-5-hydroxybenzofuran-2-yl]-[1,4]benzoquinone",C/C(=C\CC1=CC(=O)C=C(C1=O)c1oc2c(c1)cc(cc2C/C=C(/CCC=C(C)C)\C)O)/CCC=C(C)C,Quinone,Geranylbenzoquinonoid,,Shikimates and phenylpropanoids,
"2,6-dihydroxyfissinolide",COC(=O)C([C@H]1C(C)(C)[C@H](OC(=O)C)[C@]2(C(=O)[C@]1(C)[C@H]1CC[C@@]3(C(=C1C2)CC(=O)O[C@H]3c1ccoc1)C)O)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
2-acetyl-1-hydroxy-8-methoxy-3-methylnaphthalene,COc1cccc2c1c(O)c(c(c2)C)C(=O)C,Quinone,,Naphthalenes and derivates,Polyketides,Naphthalenes
"2-hydroxy-3,4,6-trimethoxychalcone",COc1cc(OC)c(c(c1/C=C/C(=O)c1ccccc1)O)OC,Flavonoid,,Chalcones,Shikimates and phenylpropanoids,Flavonoids
2-hydroxy-3-O-tigloylswietenolide,COC(=O)[C@@H]([C@H]1C(C)(C)[C@H](OC(=O)/C(=C/C)/C)[C@]2(C(=O)[C@]1(C)[C@H]1CC[C@@]3(C(=C1C2)CC(=O)O[C@H]3c1ccoc1)C)O)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
