Compound Names,Smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,Canonical_smiles,standard_inchi,standard_inchi_key,NP_likeness,SA_score,chemical_class,chemical_superclass,chemical_subclass,direct_parent,Pfizer,GSK,Golden_Triangle,Rotatable_bonds
 Quinine,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,324.424,3.1732,4,1,4,0.877601618478394,5,45.59,0.375259283185005,0.709416270256043,0.855884647369385,0.224944937229156,0.0828128226101399,0.101978217065334,0.0462958939373493,0.490929448604584,0.512401849031448,0.609716355800629,0.314678505063057,0.0197159717790782,0.621448290348053,0.11595189794898,0.999795269966125,0.0481216888874769,0.177941589057446,0.493642842769623,0.131094382703304,0.127127225697041,0.44058201611042,0.004001580341719,0.928878438472748,0.397729671001434,0.125898849964142,0.0326942265033722,0.0296085510402918,0.0336574662476778,0.0657746404409409,0.243003248423338,0.823037588596344,-4.67201469692729,24.1097000551352,9.95788996751836,-1.30912862620276,-10.9836054737581,2.7723679982354,2.0403980243131,77.8997378862626,-3.3355157841033,1.2949335729356,47.8673904614192,64.4241954245832,46.4715005816208,36.6808840635905,63.8037999224506,97.5765800697945,83.9666537417604,26.9096549050019,73.8658394726638,46.9174098487786,61.6905777433114,71.8495540907328,46.4908879410624,36.2155874369911,52.8111671190384,85.5758045754168,85.8472276075999,61.6905777433114,73.0515703761148,8.53043815432338,94.610314075223,22.7995347033734,80.612640558356,84.1799146956185,91.2369135323769,92.8266770065917,78.1698332687088,90.0736719658783,93.9123691353238,46.6459868165956,73.2842186894145,71.0352849941838,49.9806126405584,75.0678557580458,65.2578518805739,48.9724699495929,69.2904226444358,27.4912756882513,79.9146956184568,69.2128732066692,36.9523070957736,40.5195812330361,34.1217526172935,36.4094610314075,65.9945715393563,60.7599844901124,53.5866614967041,44.009305932532,47.6153547886778,C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,"InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19-,20+/m0/s1",LOUPRKONTZGTKE-WZBLMQSHSA-N,0.831465665091829,4.5155485802869,Cinchona alkaloids,Alkaloids and derivatives,,Cinchona alkaloids,2,2,2,6
Lumefantrine co-artemether,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4.CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C1=CC=C(Cl)C=C1\C2=C\C1=CC=C(Cl)C=C1.CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C1=CC=C(Cl)C=C1\C2=C\C1=CC=C(Cl)C=C1.CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C1=CC=C(Cl)C=C1\C2=C\C1=CC=C(Cl)C=C1.CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C1=CC=C(Cl)C=C1\C2=C\C1=CC=C(Cl)C=C1.CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C1=CC=C(Cl)C=C1\C2=C\C1=CC=C(Cl)C=C1.CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C1=CC=C(Cl)C=C1\C2=C\C1=CC=C(Cl)C=C1,3472.08499999999,57.7509999999995,17,6,0,0.0197502939403502,14,186.97,0.32441777586937,0.539856064319611,0.728782212734222,0.31317465081811,0.407646781206131,0.120746883004904,0.31673247218132,0.185149228572845,0.543662190437317,0.85958251953125,0.475774189829826,0.177211911976337,0.494514495134354,0.741542422771454,0.996951627731323,0.0114307994022965,0.0048756360076367,0.50715024471283,0.301498281955719,0.0165322126820683,0.0470136117190123,0.0378212280571461,0.657352721691132,0.983024477958679,0.575123971700668,0.0718912292271852,0.339306262135506,0.668587827682495,0.342393079400063,0.446081078052521,0.960798716545105,-5.20495330653644,12.9755697997094,60.8937351127122,71.3410970515361,-9.09598638142968,3.65253292451487,4.11425045298079,105.769409900698,-5.61924078961798,9.19832083103894,99.9224505622334,99.9612252811167,96.9949592865452,93.0593253198914,0.19387359441644,1.12446684761535,97.5184179914696,89.9185730903451,68.7863512989531,32.9197363319116,40.4032570763862,76.7739433889104,79.2167506785576,42.0705699883676,83.2105467235363,64.3660333462582,87.0104691740985,95.9286545172547,79.0616518030244,54.24583171772,88.4839084916634,67.3904614191547,53.6642109344707,51.6479255525397,13.0670802636681,93.0205506010081,90.8103916246607,48.2745250096937,24.4668476153548,80.1861186506398,43.0787126793331,99.1469561845677,87.1267933307484,84.7227607599845,95.3470337340054,91.8185343156262,91.9348584722761,52.1907716169058,95.0368359829391,36.603334625824,25.5525397440869,83.0942225668864,92.0124079100427,55.8355951919349,94.9592865451726,96.2388522683211,97.4796432725863,7.75494377665762,89.8022489336952,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1.CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1.CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1.CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1.CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1.CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1.CO[C@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,"InChI=1S/6C30H32Cl3NO.C16H26O5/c6*1-3-5-13-34(14-6-4-2)19-29(35)28-18-23(33)17-27-25(15-20-7-9-21(31)10-8-20)26-16-22(32)11-12-24(26)30(27)28;1-9-5-6-12-10(2)13(17-4)18-14-16(12)11(9)7-8-15(3,19-14)20-21-16/h6*7-12,15-18,29,35H,3-6,13-14,19H2,1-2H3;9-14H,5-8H2,1-4H3/b6*25-15-;/t;;;;;;9-,10-,11+,12+,13+,14-,15+,16-/m......1/s1",VZQXHIJHMCHBNW-KPCVLDGUSA-N,0.257307848432393,9.57153715105192,Prenol lipids,Lipids and lipid-like molecules,Sesquiterpenoids,Artemisinins,1,0,0,83
 Artesunate,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@@H](OC(=O)CCC(O)=O)[C@@H]2C)O4,384.425,2.6024,7,1,4,0.583073453646929,8,100.52,0.393131577968597,0.836413943767548,0.836022293567657,0.0036367813765537,0.0255520376143977,0.0272989127784967,0.0058652390318457,0.0382262882078066,0.0209350214805454,0.495303547382355,0.013907099654898,0.0134592005982995,0.152803400158882,0.615326154232025,0.959759938716889,0.032203992176801,0.137472066283226,0.0079835364595055,0.0641703248023987,0.0397093382431194,0.188531955331564,0.0499780866317451,0.604142570495606,0.0362726029008627,0.296570181846619,0.0143411377444863,0.0114689817652106,0.022269513271749,0.0497150897979736,0.4674137622118,0.0539651913568378,-5.4674960993918,26.7581837061917,-0.802291651099984,3.26935233990178,-7.28414482138891,2.88767828483238,-0.169825286611596,74.2389719685343,-3.0512278127605,3.3716093184625,61.5742535866615,55.176424970919,77.3555641721598,36.6808840635905,63.8037999224506,58.5886002326483,91.9736331911594,67.5067855758046,75.5719271035285,59.6355176424971,57.8906552927491,21.9852656068244,28.266770065917,10.0426521907716,24.2341993020551,27.4137262504847,35.9829391236914,50.7561070182241,35.6727413726251,5.89375727025979,60.7599844901124,60.6436603334626,31.6013958898798,77.5882124854595,89.3369523070958,32.3768902675456,65.6068243505235,71.2291585886002,78.4800310197751,83.6370686312524,39.7440868553703,38.7359441644048,71.0740597130671,62.2721985265607,46.1031407522295,43.1174873982164,64.9088794106243,54.7499030632028,22.605661108957,24.3892981775882,40.248158200853,27.6463745637844,42.9623885226832,72.9740209383482,73.0127956572315,23.5750290810392,48.5071733229934,49.7091896083753,63.9782861574254,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,"InChI=1S/C19H28O8/c1-10-4-5-13-11(2)16(23-15(22)7-6-14(20)21)24-17-19(13)12(10)8-9-18(3,25-17)26-27-19/h10-13,16-17H,4-9H2,1-3H3,(H,20,21)/t10-,11-,12+,13+,16-,17-,18-,19-/m1/s1",FIHJKUPKCHIPAT-AHIGJZGOSA-N,3.14503195658634,5.66776962928521,Prenol lipids,Lipids and lipid-like molecules,Sesquiterpenoids,Artemisinins,0,2,2,7
Sulfametopyrazine,COC1=NC=CN=C1NS(=O)(=O)C1=CC=C(N)C=C1 ,280.309,0.8682,6,2,4,0.804521673223259,0,107.2,0.0188595077954233,0.674851453304291,0.925054669380188,0.0096083040349185,0.024707917124033,0.433299601078033,0.0488059088587761,0.044981162250042,0.0020329662191215,0.211163324117661,0.0248284841887653,0.220851549506187,0.0340315151028335,0.982625114917755,0.997591876983643,0.0057897764258086,0.0239868305623531,0.0131270721554756,0.0031976836151443,0.0018821182049578,0.0201693253591657,0.000202495882695,0.426999258995056,0.0092629285529255,0.0116453372873366,0.0005695255269529,0.0025595938786864,0.0031807260937057,0.0020502157858572,0.109122301638126,0.0338617460802197,-5.01797119567745,-1.49417160753858,-5.18530603348675,-26.3093969790613,-13.1050319532127,1.74333024706817,-0.390910640350147,84.0575744142471,-2.92882514161048,-8.51750801699326,34.8196975571927,31.4462970143466,69.5036835982939,60.8569212873207,63.8037999224506,89.7828615742536,22.4893369523071,71.675067855758,7.36719658782474,44.552151996898,81.9309810003878,33.2687088018612,27.6851492826677,89.9961225281117,53.5478867778209,31.3299728576968,10.5079488173711,24.8158200853044,40.1318340442032,61.8844513377278,28.6157425358666,97.9449398991857,56.1457929430012,35.129895308259,50.0969367972082,39.3951143854207,26.4055835595192,9.84877859635518,6.97944939899186,12.4079100426522,30.5157037611477,21.7526172935246,11.5936409461031,17.5649476541295,19.8914307871268,22.7995347033734,18.8832880961613,6.78557580457542,17.7200465296627,47.9643272586274,13.7650252035673,21.5975184179915,4.69174098487786,19.6975571927104,11.5548662272199,20.7444746025591,62.310973245444,52.1132221791392,2.24893369523071,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,"InChI=1S/C11H12N4O3S/c1-18-11-10(13-6-7-14-11)15-19(16,17)9-4-2-8(12)3-5-9/h2-7H,12H2,1H3,(H,13,15)",KXRZBTAEDBELFD-UHFFFAOYSA-N,-1.49246457786545,2.16092151246501,Benzene and substituted derivatives,Benzenoids,Benzenesulfonamides,Benzesulfonamides,0,2,2,6
 Chloroquine,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,319.88,4.8106,3,1,4,0.75641175721287,1,28.16,0.638977825641632,0.992984080314636,0.936957192420959,0.814197313785553,0.193553411960602,0.154172347486019,0.0189533503726125,0.56882301568985,0.906731820106506,0.544697177410126,0.14374086856842,0.370958676934242,0.672946274280548,0.474855670332909,0.999418663978577,0.0146293238736689,0.009292605984956,0.264814750850201,0.0993098199367523,0.0183991862460971,0.0689592443406582,0.0033326663309708,0.939765512943268,0.340189337730408,0.182138913869858,0.0090221902821213,0.0532874759286642,0.0853669371455908,0.0600670248270035,0.782474374771118,0.923240530490875,-4.55291224453415,49.084095583017,40.7698702128563,363.595782917643,-8.41258799479521,2.91681200198747,1.26913224261801,85.4468070901112,-3.12234268996774,116.615307795073,46.9949592865452,86.9716944552152,31.1748739821636,36.6808840635905,63.8037999224506,83.0166731291198,54.8080651415277,13.9588987979837,89.6859247770454,93.6409461031408,85.5758045754168,92.5552539744087,62.7374951531601,51.5316013958899,39.705312136487,89.1818534315626,96.7429236138038,55.5253974408686,60.566110895696,80.0697944939899,96.7816983326871,52.5009693679721,71.4618069019,58.2396277626987,23.5362543621559,85.6533540131834,72.9740209383482,50.9112058937573,38.6971694455215,43.3501357115161,76.6188445133773,68.1659557968205,58.7049243892982,53.8968592477705,75.5331523846452,61.5742535866615,67.7782086079876,82.2024040325708,89.4532764637456,76.7351686700271,61.4579294300116,71.5005816207833,99.728576967817,62.1946490887941,74.6801085692129,46.6847615354789,64.598681659558,48.3908491663435,99.9224505622334,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,"InChI=1S/C18H26ClN3/c1-4-22(5-2)12-6-7-14(3)21-17-10-11-20-18-13-15(19)8-9-16(17)18/h8-11,13-14H,4-7,12H2,1-3H3,(H,20,21)",WHTVZRBIWZFKQO-UHFFFAOYSA-N,-1.26837188466519,2.67078622959495,Quinolines and derivatives,Organoheterocyclic compounds,Aminoquinolines and derivatives,4-aminoquinolines,2,1,2,11
 Dapsone,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,248.307,1.6838,4,2,4,0.791626673681095,0,86.18,0.0762390866875649,0.623295438289642,0.891431832313538,0.0487265581265092,0.231376588344574,0.433732432126999,0.130175653100014,0.114662091434002,0.0317914470098913,0.42605564892292,0.288764356076717,0.582857620716095,0.0929085001349449,0.90355019569397,0.988486325740814,0.0187746897339821,0.0505942456424236,0.0596561757847667,0.0298292452469468,0.0221292920876294,0.0817650072276592,0.0015877557860221,0.444641160964966,0.0271164828911424,0.0432351425290108,0.0039736595936119,0.009135168697685,0.118204572796822,0.0130151426419616,0.185076964646578,0.141523583233356,-4.90738348421994,38.6642623066913,7.16695787545205,35.6541986488471,-11.2216594075667,2.08954330020676,1.02628840212954,69.3253954376576,-3.36459819254914,-0.935054345795981,26.7351686700271,41.2175261729352,46.4715005816208,60.8569212873207,63.8037999224506,87.6308646762311,22.4893369523071,58.1426909654905,27.3749515316014,39.7828615742536,70.6863125242342,51.8030244280729,66.9251647925553,90.034897246995,69.5230709577356,52.4621946490888,43.1562621170997,44.3582784024816,71.6169057774331,92.0511826289259,49.5928654517255,81.6595579682047,40.6359053896859,65.0252035672741,73.478092283831,63.8619620007755,52.888716556805,56.1845676618845,46.1419154711128,31.4462970143466,31.2524234199302,35.2462194649089,28.0341217526173,41.9154711128344,41.9542458317177,66.0333462582396,42.264443582784,18.3792167506786,35.6339666537418,54.4397053121365,52.5397440868554,37.2625048468399,79.8759208995735,34.0442031795269,24.0791004265219,42.5746413338503,42.7297402093835,43.5827840248158,28.6932919736332,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,"InChI=1S/C12H12N2O2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,13-14H2",MQJKPEGWNLWLTK-UHFFFAOYSA-N,-0.739062552279218,1.76274053433098,Benzene and substituted derivatives,Benzenoids,Benzenesulfonyl compounds,Benzenesulfonyl compounds,0,2,2,4
 Quinidine,[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1,324.424,3.1732,4,1,4,0.877601618478394,5,45.59,0.412814185023308,0.788028383255005,0.865438544750214,0.236963754892349,0.0929686084389687,0.106096060574055,0.0491935085505247,0.558807194232941,0.638008499145508,0.605142670869827,0.34701714515686,0.0233328894712031,0.687639033794403,0.107789394259453,0.999857592582703,0.0399928214028478,0.16779216080904,0.556441539525986,0.104137403517962,0.100404214113951,0.392809835076332,0.0031165963737294,0.932086896896362,0.451018631458282,0.10581701695919,0.0278075722977519,0.0276296816766262,0.0287440532818437,0.0516491774469614,0.256625414639711,0.863077366352081,-4.68625005986805,21.7030961205623,8.78482734352853,-0.652091709967592,-11.0223580267213,2.75364205740488,1.97490000852672,77.1289272650308,-3.265757564043,1.43453387542465,47.8092283830942,64.4241954245832,46.4715005816208,36.6808840635905,63.8037999224506,97.5959674292361,83.9666537417604,26.9096549050019,77.2004652966266,54.5948041876696,63.6293136874758,72.3536254362156,48.2357502908104,37.4951531601396,53.7805350911206,88.7165568049632,89.104303993796,61.1477316789453,74.1760372237301,10.1589763474215,97.0918960837534,21.7526172935246,83.2493214424195,81.2718107793719,90.9267157813106,93.9123691353238,73.749515316014,88.0961613028306,92.7491275688251,42.3032183016673,74.2535866614967,73.3229934082978,46.025591314463,72.8189220628151,63.6680884063591,46.6072120977123,65.3741760372237,29.740209383482,82.9003489724699,68.0884063590539,34.4319503683598,39.0461419154711,35.7502908103916,36.0992632803412,64.8313299728577,59.5579682047305,52.5397440868554,45.4051958123304,49.1663435440093,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,"InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19+,20-/m0/s1",LOUPRKONTZGTKE-LHHVKLHASA-N,0.831465665091829,4.5155485802869,Cinchona alkaloids,Alkaloids and derivatives,,Cinchona alkaloids,2,2,2,6
Demeclocycline,[H][C@]12C[C@@]3([H])[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)C1=C([C@H]2O)C(Cl)=CC=C1O ,464.858,0.2649,9,6,3,0.334298661795395,5,181.62,0.296372506022453,0.161756117641926,0.87803168296814,0.0293905634898692,0.0154517151415348,0.126653499901295,0.0142359839286655,0.0333800811320543,0.028115476295352,0.652977752685547,0.0253149092197418,0.0884036064147949,0.195130732655525,0.784544146060944,0.959766578674316,0.0796438537538052,0.0578183759003878,0.0359819643199444,0.0254795046523213,0.0151470797602087,0.049961419031024,0.0034439683426171,0.357259806990624,0.109505780786276,0.0311228265985847,0.0144433134235442,0.0099571162369102,0.0586852964013815,0.0277876880019903,0.182064828276634,0.172748148441315,-6.24085451161465,40.0671584504118,14.8114697926803,19.9077889104091,-13.61281980522,2.55236163182104,0.695506078299007,64.3551790269931,-2.66204668518975,6.20104020000233,77.6269872043428,26.0178363706863,86.2543621558744,93.0593253198914,20.9189608375339,25.6300891818534,83.9666537417604,89.0655292749128,66.3047692904226,10.4691740984878,67.0802636680884,45.8704924389298,21.6362931368748,43.6215587436991,35.5564172159752,24.5056223342381,41.1012020162854,67.3904614191547,40.1706087630865,34.0829778984102,65.8006979449399,70.1434664598682,31.6401706087631,88.8716556804963,76.8127181077937,55.7580457541683,50.1744862349748,46.1031407522295,26.5994571539356,43.7766576192323,27.8402481582009,52.8111671190384,21.7913920124079,62.310973245444,43.5440093059325,55.990694067468,54.6723536254362,18.1853431562621,39.5114385420706,8.49166343544009,53.702985653354,46.4133385032959,66.9251647925553,16.0527336176813,51.8417991469562,37.1074059713067,36.4482357502908,57.6580069794494,80.9228383094223,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,"InChI=1S/C21H21ClN2O8/c1-24(2)14-7-5-6-10(16(27)12-9(25)4-3-8(22)11(12)15(6)26)18(29)21(7,32)19(30)13(17(14)28)20(23)31/h3-4,6-7,14-15,25-26,28-29,32H,5H2,1-2H3,(H2,23,31)/t6-,7-,14-,15-,21-/m0/s1",FMTDIUIBLCQGJB-SEYHBJAFSA-N,1.55842568891427,4.53194918798208,Tetracyclines,Phenylpropanoids and polyketides,,Tetracyclines,0,1,1,9
Hydralazine,NNC1=NN=CC2=CC=CC=C12 ,160.18,0.9154,4,2,4,0.480554166108739,0,63.83,0.936298882961273,0.896159625053406,0.971558082103729,0.964605677127838,0.295735861361027,0.112346960604191,0.119999399781227,0.147876048088074,0.158395455777645,0.27202775478363,0.870266842842102,0.579033362865448,0.0518221529200673,0.917013359069824,0.999998807907105,0.0033620120142586,0.0112534750252962,0.989501571655273,0.117783439159393,0.0093476919922977,0.154334313422441,0.0036768157035112,0.87788313627243,0.0322880428284407,0.314098016917706,0.0482042621821165,0.0967376736924052,0.125796369463205,0.0309986618347466,0.831390655040741,0.318369278311729,-4.8602029892319,8.00048882740559,-1.62928747433195,-1.06912910093645,-10.423798589917,3.08745054898068,1.39850021137411,67.8195602933731,-1.64558384231349,-1.44776529761645,11.1283443195037,31.9503683598294,46.4715005816208,60.8569212873207,63.8037999224506,44.0868553702986,22.4893369523071,41.9542458317177,98.255137650252,67.0027142303218,96.0449786739046,97.8286157425359,72.3924001550989,39.9379604497867,68.3986041101202,58.6273749515316,69.988367584335,30.6708026366809,93.679720822024,91.9348584722761,37.1849554090733,83.7921675067856,99.6898022489337,24.5831717720047,27.5300504071345,99.8449011244668,75.9208995734781,34.31562621171,71.6169057774331,44.8623497479643,63.3191159364095,37.3400542846064,72.5087243117487,79.9922450562233,84.4901124466848,66.5761923226057,56.4947654129508,87.1267933307484,52.2683210546724,57.3090345094998,21.403644823575,26.4831329972858,34.8972469949593,42.2256688639007,82.7452500969368,48.8173710740597,40.5971306708026,74.6025591314463,25.2811167119038,NNc1nncc2ccccc12,"InChI=1S/C8H8N4/c9-11-8-7-4-2-1-3-6(7)5-10-12-8/h1-5H,9H2,(H,11,12)",RPTUSVTUFVMDQK-UHFFFAOYSA-N,-1.58374777102407,2.24430771525399,Diazanaphthalenes,Organoheterocyclic compounds,Benzodiazines,Phthalazines,1,2,1,2
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O ,748.996,1.90070000000001,14,5,2,0.238475441191226,18,180.08,0.189981432259083,0.0260427862405777,0.786309552192688,7.49789784435961e-05,0.0012822270713513,0.0047149811638519,0.0007110965067113,0.0114180816803128,0.0029528199607739,0.543891954421997,0.183987317979336,0.010906726680696,0.207609936594963,0.175080578029156,0.608753210306168,0.0128304175101221,0.0406989101320505,0.0019775272463448,0.0286867925897241,0.0204007091000676,0.110422558709979,0.0013939314900199,0.600874090194702,0.623001658916473,0.0331219371873885,0.0057682880666106,0.004866163583938,0.0470328308641911,0.0359149234369397,0.401747926324606,0.471167463064194,-5.89891876266446,55.7388023327109,24.7709207880309,37.9125464713371,-11.9002682872576,2.30808552364024,0.287879070630272,44.0327721302746,-2.14286359199347,-0.441724016082496,92.9817758821249,44.2419542458317,94.5909267157813,90.7522295463358,9.84877859635518,15.2772392400155,98.7592089957348,88.9879798371462,50.3683598293912,0.81426909654905,48.6234974796433,1.78363706863125,2.67545560294688,1.70608763086468,7.21209771229159,6.01008142690966,13.0283055447848,55.4090732842187,64.7150058162078,4.26521907716169,67.4680108569213,30.7483520744475,19.3485847227608,55.4090732842187,67.9333074835207,15.0445909267158,52.2683210546724,53.8580845288872,60.1783637068631,29.5075610701822,39.5114385420706,80.8065141527724,23.1097324544397,47.8480031019775,30.0891818534316,53.3927879022877,59.4028693291974,47.7704536642109,61.9620007754944,14.0364482357503,66.9639395114385,57.1927103528499,80.884063590539,28.5381930981,36.2155874369911,31.0973245443971,17.2159751841799,66.7700659170221,32.9197363319116,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,"InChI=1S/C38H72N2O12/c1-15-27-38(10,46)31(42)24(6)40(13)19-20(2)17-36(8,45)33(52-35-29(41)26(39(11)12)16-21(3)48-35)22(4)30(23(5)34(44)50-27)51-28-18-37(9,47-14)32(43)25(7)49-28/h20-33,35,41-43,45-46H,15-19H2,1-14H3/t20-,21-,22+,23-,24-,25+,26+,27-,28+,29-,30+,31-,32+,33-,35+,36-,37-,38-/m1/s1",MQTOSJVFKKJCRP-BICOPXKESA-N,1.85166058632125,6.13284897579343,Organooxygen compounds,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Aminoglycosides,0,1,1,26
