Compound Names,Smiles,Set,source,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,Canonical_smiles,standard_inchi,standard_inchi_key,NP_likeness,SA_score,Pfizer,GSK,Golden_Triangle,Rotatable_bonds
MMV019066,COc1ccccc1CNC(=O)CCN2C(=O)Nc3ccsc3C2=O,Drug-like,GSK,359.407,1.4664,6,2,4,0.696885413536793,0,93.19,0.480495196580887,0.816676735877991,0.773736953735352,0.676991838216782,0.722843563556671,0.533022540807724,0.438985526561737,0.335040035843849,0.235524114966393,0.673272693157196,0.810964214801788,0.0955008201301098,0.276601040363312,0.918917036056519,0.999094521999359,0.0124782849103212,0.0141964101232588,0.358276659250259,0.0470220256596804,0.0322732117027044,0.142441083490849,0.0290197886526585,0.856463491916657,0.240710391104221,0.175306352972984,0.0564775571227074,0.0653874691575766,0.0826869077980518,0.0977489724755287,0.38428807258606,0.602810829877853,-5.13383219743776,83.251541283914,32.0648438768475,-20.7878488357619,-14.5777195548574,2.93063466080089,1.02626839814372,98.8217036625877,-4.02075842936757,-15.4071376968217,55.7580457541683,38.2706475378054,69.5036835982939,60.8569212873207,63.8037999224506,74.6025591314463,22.4893369523071,63.3191159364095,81.4656843737883,57.464133385033,46.4908879410624,88.2512601783637,92.0511826289259,94.5327646374564,88.3675843350136,76.8127181077937,75.7270259790617,69.5618456766188,91.0430399379604,36.0604885614579,74.4862349747964,84.1023652578519,66.9639395114385,54.3233811554866,34.1217526172935,89.1430787126793,59.751841799147,66.614967041489,68.9802248933695,76.8127181077937,60.3722373012796,63.6293136874758,57.6192322605661,81.4656843737883,78.9841023652579,61.108956960062,75.3392787902288,45.7153935633967,68.3986041101202,40.6359053896859,84.1023652578519,63.396665374176,7.71616905777433,11.2446684761535,75.4943776657619,42.5746413338503,89.104303993796,31.3299728576968,0.348972469949593,COc1ccccc1CNC(=O)CCn1c(=O)[nH]c2ccsc2c1=O,"InChI=1S/C17H17N3O4S/c1-24-13-5-3-2-4-11(13)10-18-14(21)6-8-20-16(22)15-12(7-9-25-15)19-17(20)23/h2-5,7,9H,6,8,10H2,1H3,(H,18,21)(H,19,23)",ALGPHOUNWIZIOQ-UHFFFAOYSA-N,-1.84657730112888,2.24389413975194,0,2,2,7
MMV665941,CN(C)c1ccc(cc1)C(O)(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C,Probe-like,StJude,389.543,4.1688,4,1,4,0.641128127732777,0,29.95,0.22128719240427,0.603395313024521,0.720236670970917,0.285778087005019,0.564515787363052,0.356136775016785,0.217946210131049,0.282700183987618,0.15535979308188,0.666460454463959,0.542217484116554,0.618830752372742,0.0605723422020674,0.607882231473923,0.990053582191467,0.0651864625513554,0.0159028356894851,0.377139043807983,0.329693342745304,0.148895037174225,0.158572682738304,0.0621942592784762,0.854343283176422,0.774710643291473,0.485436969995499,0.0280276786535978,0.239153291285038,0.804494369029999,0.43781586587429,0.420313382148743,0.90819935798645,-4.65827588970388,65.1576096365683,44.546438859844,80.1175111421374,-8.74124896171446,2.19351865339889,2.69955241099337,86.258842422118,-4.511193614488,8.37712096304119,62.9701434664599,79.6044978673905,46.4715005816208,36.6808840635905,63.8037999224506,65.7619232260566,22.4893369523071,15.5680496316402,55.5641721597518,38.1930981000388,39.2400155098876,75.1841799146956,86.3512989530826,84.0248158200853,77.12291585886,73.3229934082978,69.7557192710353,68.7475765800698,81.6207832493214,93.5633966653742,40.7522295463358,60.1395889879798,41.8766963939511,87.3206669251648,37.9992245056223,89.7634742148119,91.9348584722761,91.6246607212098,72.8189220628151,86.6227219852656,60.1395889879798,87.0880186118651,82.9778984102365,72.9740209383482,93.2144241954246,95.5796820473052,94.3776657619232,50.0193873594416,87.9410624272974,70.1822411787515,73.7107405971307,74.1760372237301,93.5633966653742,59.0151221403645,29.6238852268321,74.020938348197,65.9557968204731,22.2179139201241,88.1349360217138,CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,"InChI=1S/C25H31N3O/c1-26(2)22-13-7-19(8-14-22)25(29,20-9-15-23(16-10-20)27(3)4)21-11-17-24(18-12-21)28(5)6/h7-18,29H,1-6H3",QFVDKARCPMTZCS-UHFFFAOYSA-N,-0.338072689190548,2.01452690941505,2,1,2,13
MMV396680,c1(cc(c2ccc(C)cc2)n3)n3ccnc1SCC(=O)Nc(c(Cl)ccc4C(F)(F)F)c4,Probe-like,Commercial libraries,476.911,6.10772,5,1,3,0.353077181450558,0,59.29,0.119210184365511,0.795280420780182,0.839121830463409,0.759514689445496,0.93320506811142,0.408744531869888,0.831712186336517,0.102949771285057,0.183374297618866,0.775798797607422,0.863787245750427,0.501665398478508,0.14376470297575,0.95126701593399,0.999877965450287,0.015154542028904,0.0192603718489409,0.359616044163704,0.412174695730209,0.0311578720808029,0.155264882743359,0.332885545492172,0.865609467029572,0.906777811050415,0.835988354682922,0.046200161986053,0.154870185256004,0.814168870449066,0.361990123987198,0.122411304712296,0.812001156806946,-4.97039975102838,56.170765010714,100.933431536297,79.5961290590089,-8.34486146658653,3.19633152011811,4.27901867497635,102.989780898196,-6.04971570420971,5.11890487526663,79.4493989918573,94.5715393563397,59.1120589375727,36.6808840635905,20.9189608375339,28.1504459092672,22.4893369523071,37.8441256300892,37.5339278790229,55.176424970919,58.5886002326483,91.1593640946103,97.5571927103529,88.018611865064,97.0918960837534,49.5928654517255,72.3148507173323,84.5288871655681,93.3307483520745,88.7941062427297,59.0538968592478,89.3757270259791,84.1799146956185,59.2865451725475,43.466459868166,89.1818534315626,95.0368359829391,65.5680496316402,71.8107793718496,97.7510663047693,61.3803799922451,93.9899185730903,96.8592477704537,79.410624272974,89.5308259015122,95.7347809228383,92.5552539744087,8.87941062427298,79.0228770841411,50.7173322993408,67.429236138038,95.8898797983715,93.4858472276076,63.0089181853432,86.273749515316,97.2469949592865,94.610314075223,5.07948817371074,75.3005040713455,Cc1ccc(-c2cc3c(SCC(=O)Nc4cc(C(F)(F)F)ccc4Cl)nccn3n2)cc1,"InChI=1S/C22H16ClF3N4OS/c1-13-2-4-14(5-3-13)17-11-19-21(27-8-9-30(19)29-17)32-12-20(31)28-18-10-15(22(24,25)26)6-7-16(18)23/h2-11H,12H2,1H3,(H,28,31)",HKNNPGWJKJDXCN-UHFFFAOYSA-N,-2.44484217333106,2.44859251162671,2,0,0,6
MMV666601,CCOC(=O)C1=C(N=C2SC(=Cc3cc(C)n(c3C)c4ccc(F)cc4)C(=O)N2C1c5cccc(OC)c5OC)c6ccccc6,Probe-like,GNF,637.733,5.49944000000001,9,0,2,0.210055753897504,1,84.05,0.0755265474319458,0.50859107375145,0.873724889755249,0.0383886743336916,0.893933463096619,0.417080330848694,0.949095916748047,0.0239730266854167,0.0076220312155783,0.827859091758728,0.82857232093811,0.240482395887375,0.0120365489274263,0.964777517318726,0.999747681617737,0.0044064229703508,0.0141393126919866,0.191641712188721,0.157734681665897,0.0112382706254721,0.0461879175156355,0.0962794251739979,0.895251452922821,0.988909161090851,0.540337270498276,0.0218941933475435,0.122382147610188,0.789611172676086,0.0612458117306233,0.0967340044677258,0.848535144329071,-4.66677833504985,82.8585894080503,80.9412151938324,58.2530397016221,-7.50442859529071,3.20332966247535,4.14722550730643,101.384893666627,-6.09435517758593,2.59798925122508,90.7716169057774,91.4307871267933,86.2543621558744,11.7681271810779,9.84877859635518,13.2221791392012,54.8080651415277,56.9212873206669,27.181077937185,31.2524234199302,66.1496704148895,49.0500193873594,96.5490500193874,88.6002326483133,98.9530825901512,17.758821248546,21.675067855758,91.7409848778596,91.8185343156262,64.9864288483908,13.2609538580845,93.0593253198914,78.4800310197751,29.3912369135324,33.9278790228771,81.3105854982551,81.0003877471888,38.5420705699884,23.8076773943389,90.8103916246607,66.2659945715394,99.6898022489337,86.0411012020163,69.3679720822024,86.9716944552152,94.9980612640558,68.0108569212873,5.23458704924389,81.698332687088,69.5618456766188,83.9084916634354,91.1593640946103,89.5308259015122,70.9189608375339,86.4288483908492,96.4715005816208,92.8266770065917,4.76929042264444,58.1620783249321,CCOC(=O)C1=C(c2ccccc2)N=c2sc(=Cc3cc(C)n(-c4ccc(F)cc4)c3C)c(=O)n2C1c1cccc(OC)c1OC,"InChI=1S/C36H32FN3O5S/c1-6-45-35(42)30-31(23-11-8-7-9-12-23)38-36-40(32(30)27-13-10-14-28(43-4)33(27)44-5)34(41)29(46-36)20-24-19-21(2)39(22(24)3)26-17-15-25(37)16-18-26/h7-20,32H,6H2,1-5H3",QQNUVMRXVVLAAU-UHFFFAOYSA-N,-1.4795116965023,3.29931482418351,1,0,0,13
MMV008294,CCOC(=O)c1cnc2c(C)cc(C)cc2c1Nc3ccc(OC)c(OC)c3,Probe-like,GNF,380.444,4.78914,6,1,4,0.620254444684583,0,69.68,0.382762533426285,0.770458984375,0.952848029136658,0.87108268737793,0.856885361671448,0.305497142672539,0.542706590890884,0.321981647610664,0.111495164036751,0.740254747867584,0.933298099040985,0.13438998311758,0.0716286424547434,0.965980732440949,0.999933445453644,0.0211967622861266,0.0404895186424255,0.9167107462883,0.16006586253643,0.0250991385430098,0.0965198218822479,0.0323384961113334,0.986073958873749,0.790774786472321,0.592026287317276,0.216579180955887,0.0636757045984268,0.646487534046173,0.332451874017716,0.147514675557613,0.820491170883179,-4.49257468338688,123.247257621706,134.63742574089,38.7379960224793,-8.44218333610524,2.57370134051916,4.36604075375308,99.8733502679417,-6.5359727286622,7.55755862056936,60.6824350523459,86.9329197363319,69.5036835982939,36.6808840635905,63.8037999224506,63.2415664986429,22.4893369523071,46.1806901899961,74.5250096936797,53.0438154323381,90.4226444358278,94.1062427297402,95.8511050794882,78.9065529274913,91.4307871267933,76.037223730128,63.9782861574254,78.9065529274913,96.3164017060876,46.025591314463,43.6991081814657,93.5246219464909,87.5145405195812,68.0884063590539,67.8169833268709,99.2245056223342,81.2330360604886,59.8681659557968,53.8968592477705,78.0922838309422,95.2694842962388,87.9022877084141,88.4451337727801,94.4552151996898,78.596355176425,90.8879410624273,91.6634354400931,13.0670802636681,79.7208220240403,80.884063590539,95.696006203955,99.3796044978674,81.6207832493214,62.039550213261,53.4703373400543,97.5959674292361,90.849166343544,2.44280728964715,85.6145792943001,CCOC(=O)c1cnc2c(C)cc(C)cc2c1Nc1ccc(OC)c(OC)c1,"InChI=1S/C22H24N2O4/c1-6-28-22(25)17-12-23-20-14(3)9-13(2)10-16(20)21(17)24-15-7-8-18(26-4)19(11-15)27-5/h7-12H,6H2,1-5H3,(H,23,24)",MSGARPVVCYTSLR-UHFFFAOYSA-N,-1.05467976626956,2.18374896478101,2,1,2,11
MMV011259,n1(n2)c(nc(C)cc1Nc(cc(C)cc3C)c3)nc2C(F)(F)F,Drug-like,Commercial libraries,321.306,3.81196,5,1,4,0.779596807045354,0,55.11,0.59227779507637,0.95666207075119,0.988457810878754,0.972344696521759,0.650435429811478,0.521490252017975,0.529998081922531,0.332578173279762,0.0388892222195864,0.707809591293335,0.358872881531715,0.536386626958847,0.137362506613135,0.978537559509277,0.99998209476471,0.0083416374982334,0.0731311347335577,0.723197627067566,0.131047245115042,0.035900192335248,0.34181792140007,0.0370107527822256,0.982127022743225,0.163094702363014,0.499507921934128,0.408561447262764,0.0517313946969807,0.446096333861351,0.190291085839272,0.434378582239151,0.565603494644165,-4.66827713135124,24.220627093277,45.9608863411236,22.0652835872179,-7.06764136268984,3.13284724377895,3.80378706080458,96.1782112956292,-5.08091493458307,-0.231942988784969,47.2276075998449,74.2535866614967,59.1120589375727,36.6808840635905,63.8037999224506,86.0411012020163,22.4893369523071,34.2380767739434,87.5533152384645,77.8208607987592,99.4183792167507,98.1775882124855,89.3369523070958,94.1837921675068,90.9267157813106,76.6188445133773,46.6459868165956,74.2535866614967,74.563784412563,90.5389685924777,58.1233036060489,96.8204730515704,94.7266382318728,43.0011632415665,82.0085304381543,96.8592477704537,78.1698332687088,69.0965490500194,90.4614191547111,79.9922450562233,92.9042264443583,58.3947266382319,83.5595191934858,98.0612640558356,75.3392787902288,83.5595191934858,84.6839860411012,51.2601783637069,67.2741372625049,69.445521519969,36.9910818146568,74.835207444746,68.8251260178364,74.4474602559131,84.2962388522683,93.5246219464909,84.8390849166344,13.2221791392012,34.7033734005428,Cc1cc(C)cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,"InChI=1S/C15H14F3N5/c1-8-4-9(2)6-11(5-8)20-12-7-10(3)19-14-21-13(15(16,17)18)22-23(12)14/h4-7,20H,1-3H3",OINUBRUVZASSAQ-UHFFFAOYSA-N,-2.14636207710473,2.56630900374307,2,2,2,5
MMV019406,CCC1(C)CC(CCNCc2ccccc2O)(CCO1)c3ccc(C)cc3,Probe-like,GSK,367.533,5.09742000000001,3,2,3,0.669275542945131,2,41.49,0.26938816010952,0.809202039241791,0.592984932661057,0.122471971437335,0.375956225395203,0.243674403429031,0.107775518298149,0.630907320976257,0.862418603897095,0.859977042675018,0.557634037733078,0.141144396737218,0.220171965658665,0.0583645505830646,0.999250912666321,0.0023772617685608,0.0036936388816684,0.054716120287776,0.145938037335873,0.105495907366276,0.162620721757412,0.0225195502862334,0.91720609664917,0.828550732135773,0.260184529423714,0.0029529089806601,0.287436771392822,0.477624976634979,0.0570577405393124,0.741056203842163,0.960628151893616,-5.35767348557955,100.914686257103,70.4803358200645,-11.3011959258906,-5.99644821961064,2.81286740339575,2.87639329486996,93.6247753463049,-4.30368755356795,4.71651942320424,57.6580069794494,89.3757270259791,31.1748739821636,60.8569212873207,20.9189608375339,69.8720434276851,68.8639007367197,24.0403257076386,62.8925940286933,56.6498642884839,25.0096936797208,63.0864676231097,77.2004652966266,70.1434664598682,66.8088406359054,91.5083365645599,95.0368359829391,95.967429236138,82.2799534703373,47.3439317564948,68.6312524234199,13.5323768902675,68.902675455603,18.9608375339279,10.3140752229546,62.5436215587437,79.9534703373401,88.4451337727801,73.5168670027142,73.0127956572315,70.7250872431175,89.2206281504459,67.1965878247383,37.14618069019,94.3776657619232,84.7615354788678,66.886390073672,79.0616518030244,95.0368359829391,28.8483908491663,90.4614191547111,87.3206669251648,17.3710740597131,83.0166731291198,68.8639007367197,77.6269872043428,80.4187669639395,25.70763861962,72.9352462194649,CCC1(C)CC(CCNCc2ccccc2O)(c2ccc(C)cc2)CCO1,"InChI=1S/C24H33NO2/c1-4-23(3)18-24(14-16-27-23,21-11-9-19(2)10-12-21)13-15-25-17-20-7-5-6-8-22(20)26/h5-12,25-26H,4,13-18H2,1-3H3",AZZXQPIFKYDBCE-UHFFFAOYSA-N,0.0495185663168704,3.27476518165965,2,1,1,11
MMV006278,CCC1=C(C)C(=N)c2ccccc2N1C,Drug-like,GNF,200.285,2.52859,2,1,4,0.732631190575877,0,28.78,0.583326435089111,0.98630119562149,0.913860869407654,0.912007224559784,0.16064907759428,0.263079625368118,0.0070049740839749,0.519990557432175,0.310079319775105,0.586193817853928,0.162614518404007,0.112374968826771,0.0431040681898594,0.387403649091721,0.999988102912903,0.0062043860089033,0.008140480145812,0.325017270445824,0.0248895056545734,0.0200157388113439,0.0188983386382461,0.0026093527209013,0.97264906167984,0.0625340942293406,0.0454933255910873,0.0035227173473686,0.0364989191293716,0.0303309740498662,0.02298494707793,0.669100260734558,0.37646998167038,-4.69147455357692,33.1471101023031,22.6518054014877,33.9793235061881,-8.29083840585376,2.59239548191889,1.31480620172197,61.0579224759901,-1.33269786062089,4.17368628585353,17.6424970918961,53.6642109344707,16.3823187281892,36.6808840635905,63.8037999224506,79.3330748352074,22.4893369523071,14.1915471112834,87.2043427685149,89.4920511826289,78.2086079875921,95.7347809228383,58.2008530438154,72.7801473439318,25.8239627762699,87.1267933307484,78.9841023652579,58.9375727025979,63.0864676231097,41.2175261729352,33.113609926328,46.9174098487786,96.3939511438542,36.7584335013571,20.9383481969756,88.0961613028306,49.7091896083753,53.4703373400543,6.32027917797596,39.1236913532377,88.9492051182629,45.8704924389298,28.8483908491663,39.97673516867,68.9802248933695,47.6153547886778,51.1826289259403,72.9352462194649,56.7274137262505,67.9333074835207,46.9174098487786,55.5253974408686,78.867778208608,63.3578906552928,54.5560294687864,47.5378053509112,32.3768902675456,78.596355176425,69.2516479255525,CCc1c(C)c(=N)c2ccccc2n1C,"InChI=1S/C13H16N2/c1-4-11-9(2)13(14)10-7-5-6-8-12(10)15(11)3/h5-8,14H,4H2,1-3H3",PZWRJRCMVZQVJZ-UHFFFAOYSA-N,-0.451397952949767,2.62595037959191,1,2,2,4
MMV666688,Cc1cc(C=C2SC(=Nc3ccccc3)N(C4CCCC4)C2=O)c(C)n1c5ccc(Cl)cc5,Probe-like,GSK,476.045,7.29414000000001,4,0,3,0.371196777842486,0,37.6,0.093501029163599,0.947268867492676,0.90482804775238,0.311625665426254,0.882379901409149,0.75120564699173,0.910907626152039,0.0578031595796347,0.0545911107212305,0.772415554523468,0.723074948787689,0.274678036570549,0.0415768057107925,0.855364906787872,0.999992370605469,0.0039579670992679,0.0036235376959666,0.0391412008553743,0.24946291744709,0.0103349699638784,0.0888999819755554,0.123627502471209,0.940975570678711,0.988683187961578,0.855214416980743,0.0282919903518632,0.377433770895004,0.78720840215683,0.0476207733154297,0.487880337238312,0.789649903774262,-5.36501064043067,21.4364103928556,61.5333489015699,36.5801826456344,-6.64825807509694,3.0533141836641,4.21965580004942,102.664827768289,-4.58445335493081,1.39494939204638,79.410624272974,97.440868553703,46.4715005816208,11.7681271810779,20.9189608375339,30.3218301667313,22.4893369523071,20.7056998836758,31.9891430787127,75.7270259790617,74.7576580069795,76.6576192322606,96.3164017060876,99.2245056223342,98.4102365257852,36.874757658007,51.9968980224893,83.986041101202,88.3288096161303,69.0577743311361,32.4932144241954,76.7739433889104,97.3245443970531,27.5688251260178,10.1589763474215,56.9600620395502,88.56145792943,36.9135323768903,50.0969367972082,92.6715781310586,76.8902675455603,99.6898022489337,97.440868553703,73.0515703761148,95.7347809228383,94.9980612640558,64.1333850329585,56.5723148507173,77.6657619232261,28.5381930981,34.1605273361768,83.443195036836,80.4187669639395,78.3637068631252,81.426909654905,96.8204730515704,94.3388910430399,20.7444746025591,48.7398216362931,Cc1cc(C=C2SC(=Nc3ccccc3)N(C3CCCC3)C2=O)c(C)n1-c1ccc(Cl)cc1,"InChI=1S/C27H26ClN3OS/c1-18-16-20(19(2)30(18)24-14-12-21(28)13-15-24)17-25-26(32)31(23-10-6-7-11-23)27(33-25)29-22-8-4-3-5-9-22/h3-5,8-9,12-17,23H,6-7,10-11H2,1-2H3",DHRLFEJASBKCIX-UHFFFAOYSA-N,-1.84087126722028,2.53115667292848,2,0,0,6
MMV019110,Cc1cccc(Nc2nc(N)c3ccccc3n2)c1,Drug-like,GSK,250.305,3.26402,4,2,4,0.732348123125213,0,63.83,0.83720166683197,0.927532029151917,0.965877151489258,0.996864652633667,0.809647250175476,0.174300202727318,0.152937978506088,0.329577159881592,0.560742884874344,0.6458899974823,0.891695606708527,0.14453762806952,0.0504232851788402,0.953462767601013,0.999997162818909,0.0405065914615989,0.128594879806042,0.988925218582153,0.501934844255447,0.232172980904579,0.77817999124527,0.0253248332068324,0.983704698085785,0.111685020849109,0.819026780128479,0.638677728176117,0.0624975398182869,0.861318492889404,0.351538255810738,0.525393605232239,0.664096051454544,-5.10576147335286,76.5681772192291,73.329317608752,31.5864412710402,-11.0037994768201,2.69337522302684,3.30055332166223,96.8217541689973,-3.84936563363575,5.22646140252174,27.2198526560682,65.8782473827065,46.4715005816208,60.8569212873207,63.8037999224506,79.2555253974409,22.4893369523071,41.9542458317177,95.4633578906553,71.5781310585498,94.4552151996898,99.9224505622334,94.4939899185731,56.4559906940675,72.1985265606824,76.3861962000776,87.3206669251648,66.5761923226057,94.6878635129895,47.8092283830942,36.5257851880574,89.8410236525785,98.7979837146181,81.4656843737883,88.9879798371462,99.8061264055836,96.898022489337,94.1837921675068,97.7898410236526,74.9903063202792,93.8735944164405,53.0438154323381,96.3164017060876,99.3408297789841,78.2473827064754,96.8592477704537,92.2062815044591,60.4110120201629,70.4924389298178,42.1868941450175,80.884063590539,88.56145792943,76.7739433889104,36.3319115936409,61.1865063978286,86.5839472663823,86.1186506397829,34.6258239627763,76.037223730128,Cc1cccc(Nc2nc(N)c3ccccc3n2)c1,"InChI=1S/C15H14N4/c1-10-5-4-6-11(9-10)17-15-18-13-8-3-2-7-12(13)14(16)19-15/h2-9H,1H3,(H3,16,17,18,19)",MDEZQGGMJQGHSE-UHFFFAOYSA-N,-1.59401872547363,1.84265733513291,2,2,2,4
