SMARTS	PAINS_Alerts
[#8]=[#6]1:[#8]:[#6]2:[#6](-[#8]):[#6](-[#8]):[#6]:[#6]3:[#6](=[#8]):[#8]:[#6]4:[#6](-[#8]):[#6](-[#8]):[#6]:[#6]:1:[#6]:4:[#6]:2:3	catechol_A(92)
[#6]-[#6]1=[#6]-[#6](=[#8])-[#6]2:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:2-[#6]-1=[#8]	quinone_A(370); ene_one_D(1)
[#6]-[#6]1:[#6]:[#6]2:[#6](:[#6]:[#6]:1-[#8]-[#6]1=[#6](-[#8])-[#6](=[#8])-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3-[#6]-1=[#8])-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]-2=[#8]	quinone_A(370)
[#6]-[#8]-[#6]1:[#6]:[#6](-[#6]):[#6]:[#6]2:[#6]:[#6]:[#6](-[#6]3:[#6]:[#6]:[#6]4:[#6](:[#6]:3-[#8])-[#6@@H](-[#6])-[#7]-[#6@@H](-[#6])-[#6]-4):[#6](-[#8]):[#6]:1:2	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6](-[#6]):[#6](-[#6]2:[#6]:[#6]:[#6](-[#8]):[#6]3:[#6]:2-[#6]-[#6@H](-[#6])-[#7]-[#6@@H]-3-[#6]):[#6]2:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:1:2	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](-[#6]3:[#6]:[#6]:[#6]4:[#6](:[#6]:3-[#8])-[#6@@H](-[#6])-[#7]-[#6@@H](-[#6])-[#6]-4):[#6](-[#6]-[#8]):[#6]:[#6](-[#8]-[#6]):[#6]:1:2	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](-[#6]3:[#6]:[#6]:[#6]4:[#6](:[#6]:3-[#8])-[#6@@H](-[#6])-[#7]-[#6@H](-[#6])-[#6]-4):[#6](-[#6]):[#6]:[#6](-[#8]-[#6]):[#6]:1:2	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6](-[#6]-[#8]):[#6](-[#6]2:[#6]:[#6]:[#6]3:[#6](:[#6]:2-[#8])-[#6@@H](-[#6])-[#7]-[#6@H](-[#6])-[#6]-3):[#6]2:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:1:2	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6](-[#6]):[#6](-[#6]2:[#6]:[#6]:[#6]3:[#6](:[#6]:2-[#8])-[#6@H](-[#6])-[#7]-[#6@H](-[#6])-[#6]-3):[#6]2:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:1:2	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6](-[#6]):[#6]:[#6]2:[#6](-[#6]3:[#6](-[#8]):[#6]:[#6]:[#6]4:[#6]:3-[#6]-[#6@@H](-[#6])-[#7]-[#6@@H]-4-[#6]):[#6]:[#6](-[#6]3:[#6]:[#6]:[#6]4:[#6](-[#6]5:[#6](-[#8]):[#6]:[#6](-[#8]):[#6]6:[#6]:5-[#6]-[#6@@H](-[#6])-[#7]-[#6@@H]-6-[#6]):[#6](-[#6]):[#6]:[#6](-[#8]-[#6]):[#6]:4:[#6]:3-[#8]):[#6](-[#8]):[#6]:1:2	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6](-[#6]):[#6]:[#6]2:[#6](-[#6]3:[#6]:[#6]:[#6](-[#8]):[#6]4:[#6]:3-[#6]-[#6@@H](-[#6])-[#7]-[#6@@H]-4-[#6]):[#6]:[#6](-[#6]3:[#6]:[#6]:[#6]4:[#6](-[#6]5:[#6]:[#6]:[#6](-[#8]):[#6]6:[#6]:5-[#6]-[#6@@H](-[#6])-[#7]-[#6@@H]-6-[#6]):[#6](-[#6]):[#6]:[#6](-[#8]-[#6]):[#6]:4:[#6]:3-[#8]):[#6](-[#8]):[#6]:1:2	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]2:[#6](-[#6]3:[#6]:[#6](-[#6]4:[#6]:[#6](-[#6]5:[#6](-[#6]):[#6]:[#6](-[#8]-[#6]):[#6]6:[#6](-[#8]-[#6]):[#6]:[#6]:[#6]:[#6]:5:6):[#6](-[#8]):[#6]5:[#6]:4-[#6]-[#6@@H](-[#6])-[#7]-[#6@@H]-5-[#6]):[#6]4:[#6](:[#6]:3-[#8])-[#6@@H](-[#6])-[#7]-[#6@H](-[#6])-[#6]-4):[#6](-[#6]):[#6]:[#6](-[#8]-[#6]):[#6]:1:2	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6](-[#6@H](-[#8])-[#6]2:[#6]:[#6]3:[#6](:[#6]:[#6]:2-[#8])-[#6@@H](-[#6])-[#7]-[#6@H](-[#6])-[#6]-3):[#6]:[#6]2:[#6]:[#6]:[#6](-[#6]3:[#6]:[#6]:[#6]4:[#6](-[#6]5:[#6]:[#6]:[#6]6:[#6](:[#6]:5-[#8])-[#6@@H](-[#6])-[#7]-[#6@H](-[#6])-[#6]-6):[#6](-[#6]-[#8]):[#6]:[#6](-[#8]-[#6]):[#6]:4:[#6]:3-[#8]):[#6](-[#8]):[#6]:1:2	mannich_A(296)
