Smiles,standard_smiles
COc1cc2ccc(=O)oc2cc1OCC=C(C)C,COc1cc2ccc(=O)oc2cc1OCC=C(C)C
COc1cc2ccc(=O)oc2cc1OC/C=C(\C)CCC=C(C)C,COc1cc2ccc(=O)oc2cc1OC/C=C(\C)CCC=C(C)C
COc1cc2ccc(=O)oc2cc1OC/C=C(/C)CO,COc1cc2ccc(=O)oc2cc1OC/C=C(/C)CO
COc1cc2oc(=O)ccc2cc1CC=C(C)C,COc1cc2oc(=O)ccc2cc1CC=C(C)C
CC(C)=CCOc1ccc2ccc(=O)oc2c1,CC(C)=CCOc1ccc2ccc(=O)oc2c1
COc1cc2ccc(=O)oc2cc1OC,COc1cc2ccc(=O)oc2cc1OC
COc1cc2oc(=O)ccc2cc1O[C@H](C)CCC=C(C)C,COc1cc2oc(=O)ccc2cc1O[C@H](C)CCC=C(C)C
COc1cc2ccc(=O)oc2cc1O[C@@H](C)CCC=C(C)C,COc1cc2ccc(=O)oc2cc1O[C@@H](C)CCC=C(C)C
COc1cc2oc(=O)ccc2cc1O[C@@H](C)CCC=C(C)C,COc1cc2oc(=O)ccc2cc1O[C@@H](C)CCC=C(C)C
COc1cc2ccc(=O)oc2cc1O[C@H](C)CCC=C(C)C,COc1cc2ccc(=O)oc2cc1O[C@H](C)CCC=C(C)C
COc1cc2ccc(=O)oc2c(O)c1OCC=C(C)C,COc1cc2ccc(=O)oc2c(O)c1OCC=C(C)C
COc1ccc2ccc(=O)oc2c1OCC=C(C)C,COc1ccc2ccc(=O)oc2c1OCC=C(C)C
COc1cc2ccc(=O)oc2cc1OC(C)=O,COc1cc2ccc(=O)oc2cc1OC(C)=O
COc1cc2oc(=O)ccc2cc1OC(C)=O,COc1cc2oc(=O)ccc2cc1OC(C)=O
COc1cc2ccc(=O)oc2c(OC(C)=O)c1OCC=C(C)C,COc1cc2ccc(=O)oc2c(OC(C)=O)c1OCC=C(C)C
COc1cc2oc(=O)ccc2cc1OCCOC(C)C,COc1cc2oc(=O)ccc2cc1OCCOC(C)C
COc1cc2ccc(=O)oc2cc1OCCOC(C)C,COc1cc2ccc(=O)oc2cc1OCCOC(C)C
COc1cc2ccc(=O)oc2cc1O,COc1cc2ccc(=O)oc2cc1O
COc1cc2ccc(=O)oc2cc1OC[C@@H](O)C(C)(C)O,COc1cc2ccc(=O)oc2cc1OC[C@@H](O)C(C)(C)O
COc1cc2ccc(=O)oc2cc1OC[C@H](O)C(C)(C)O,COc1cc2ccc(=O)oc2cc1OC[C@H](O)C(C)(C)O
CC/C=C(\C)[C@@H](CC)Oc1cc2oc(=O)ccc2cc1OC,CC/C=C(\C)[C@@H](CC)Oc1cc2oc(=O)ccc2cc1OC
CC/C=C(\C)[C@H](CC)Oc1cc2oc(=O)ccc2cc1OC,CC/C=C(\C)[C@H](CC)Oc1cc2oc(=O)ccc2cc1OC
CC/C=C(\C)[C@H](CC)Oc1cc2ccc(=O)oc2cc1OC,CC/C=C(\C)[C@H](CC)Oc1cc2ccc(=O)oc2cc1OC
CC/C=C(\C)[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,CC/C=C(\C)[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC
CC(C)=CCOc1cc2oc(=O)cc(C)c2cc1OCC=C(C)C,CC(C)=CCOc1cc2oc(=O)cc(C)c2cc1OCC=C(C)C
COc1cc2oc(=O)ccc2cc1O[C@H](CC(C)C)C(C)C,COc1cc2oc(=O)ccc2cc1O[C@H](CC(C)C)C(C)C
COc1cc2oc(=O)ccc2cc1OCC[C@H](C)OC,COc1cc2oc(=O)ccc2cc1OCC[C@H](C)OC
CC[C@@H](COc1cc2ccc(=O)oc2cc1OC)OC,CC[C@@H](COc1cc2ccc(=O)oc2cc1OC)OC
