Smiles,standard_smiles
N=[S+]=CC=CC=CCN=Nc1ccc(Cl)c(Cl)c1,N=[S+]=CC=CC=CCN=Nc1ccc(Cl)c(Cl)c1
OCCNC1=NN(c2ccc(Cl)c(Cl)c2)C=NC=C2C=CC#[SH]=C21,OCCNC1=NN(c2ccc(Cl)c(Cl)c2)C=NC=C2C=CC#[SH]=C21
C=C=CC=C(CCNCC[O+])N=C(N=[N-])Nc1ccc(Cl)c(Cl)c1,C=C=CC=C(CCNCC[O+])N=C(N=[N-])Nc1ccc(Cl)c(Cl)c1
[N-]=CN=NONC=C1C=CCC(Cl)=C1,[N-]=CN=NONC=C1C=CCC(Cl)=C1
N=C1C(Nc2ccc(Cl)c(Cl)c2)=Nc2ccccc21,N=C1C(Nc2ccc(Cl)c(Cl)c2)=Nc2ccccc21
Cc1cc(N=[N-])ccc1Cl,Cc1cc(N=[N-])ccc1Cl
C=C(Cl)C(Cl)=CC=CN=NC=C1C#[S-]=CC=C1C(=N)NCCO,C=C(Cl)C(Cl)=CC=CN=NC=C1C#[S-]=CC=C1C(=N)NCCO
CN1COC1N=NC1=CC=C=[N+]=C1,CN1COC1N=NC1=CC=C=[N+]=C1
[B-]=C(C=C)CN=C(NCCO)c1ccccc1N=N,[B-]=C(C=C)CN=C(NCCO)c1ccccc1N=N
N#CC(Cl)=CC=CNC(Cl)N=[S-]=C1c2cccc1c2,N#CC(Cl)=CC=CNC(Cl)N=[S-]=C1c2cccc1c2
CCNC=NN=NC=CC=CC=C=[N-],CCNC=NN=NC=CC=CC=C=[N-]
N=C1C(NC=C2C=[C-]CC(Cl)=C2)=Nc2ccccc21,N=C1C(NC=C2C=[C-]CC(Cl)=C2)=Nc2ccccc21
N=C(NCCO)c1ccccc1N=NC1=CC=C(Cl)C1Cl,N=C(NCCO)c1ccccc1N=NC1=CC=C(Cl)C1Cl
N=C(NCCO)c1ccccc1N=NCC=C(Cl)CCCl,N=C(NCCO)c1ccccc1N=NCC=C(Cl)CCCl
CCCNC=N[B+]N=Nc1ccccc1-c1ccc(Cl)c(Cl)c1,CCCNC=N[B+]N=Nc1ccccc1-c1ccc(Cl)c(Cl)c1
[O+]OCCC1=NC=C2C=CC#[S-]=C21,[O+]OCCC1=NC=C2C=CC#[S-]=C21
