Smiles,standard_smiles
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1
COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O
COc1cc2ccc(=O)oc2cc1OC,COc1cc2ccc(=O)oc2cc1OC
COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1
O=C(O)C=Cc1ccc(O)cc1,O=C(O)C=Cc1ccc(O)cc1
CC(C)=CCOc1ccc2ccc(=O)oc2c1,CC(C)=CCOc1ccc2ccc(=O)oc2c1
CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2
O=C(O)C=Cc1ccccc1,O=C(O)C=Cc1ccccc1
COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,O=c1c(O)cc2c(O)oc3c(=O)c(O)cc4c(O)oc1c2c43
CC1=CC(=O)c2c(O)cccc2C1=O,CC1=CC(=O)c2c(O)cccc2C1=O
CC(=O)O[C@H]1C[C@@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]43[C@]12C,CC(=O)O[C@H]1C[C@@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)C4O[C@@]43[C@]12C
COc1ccc(-c2oc3cc(OC)c(OC)cc3c(=O)c2O)cc1OC,COc1ccc(-c2oc3cc(OC)c(OC)cc3c(=O)c2O)cc1OC
COc1ccc(-c2oc3cc(OC)c(OC)cc3c(=O)c2O)cc1O,COc1ccc(-c2oc3cc(OC)c(OC)cc3c(=O)c2O)cc1O
Cc1cc2c(cc1OC1=C(O)C(=O)c3ccccc3C1=O)C(=O)c1ccccc1C2=O,Cc1cc2c(cc1OC1C(=O)C(=O)c3ccccc3C1=O)C(=O)c1ccccc1C2=O
CC1(C)C=Cc2cc3c(cc2O1)OC[C@@H]1c2cc4c(cc2O[C@@H]31)C=CC(C)(C)O4,CC1(C)C=Cc2cc3c(cc2O1)OC[C@@H]1c2cc4c(cc2O[C@@H]31)C=CC(C)(C)O4
CC(C)=CCc1cc2c(cc1O)OC[C@@H]1c3ccc(O)cc3O[C@@H]21,CC(C)=CCc1cc2c(cc1O)OC[C@@H]1c3ccc(O)cc3O[C@@H]21
COc1c(O)cc(-c2coc3cc(O)ccc3c2=O)cc1O,COc1c(O)cc(-c2coc3cc(O)ccc3c2=O)cc1O
COc1c2c(cc3oc(=O)c(-c4ccc(O)cc4)c(O)c13)OC(C)(C)C=C2,COc1c2c(cc3oc(=O)c(-c4ccc(O)cc4)c(O)c13)OC(C)(C)C=C2
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C1\CCOC1=O,CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C1\CCOC1=O
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C[C@H](O)c1ccc(C=O)c(/C=C/[C@H]2[C@@]3(CC[C@H]4C(C)(C)CCC[C@@]42C)CO3)c1,CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C[C@H](O)c1ccc(C=O)c(/C=C/[C@H]2[C@@]3(CC[C@H]4C(C)(C)CCC[C@@]42C)CO3)c1
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@@]1(C=O)[C@H](O)CC(C=O)=CC[C@H]21,CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@@]1(C=O)[C@H](O)CC(C=O)=CC[C@H]21
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C(/C=O)CC=O,CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C(/C=O)CC=O
CC(=O)O[C@@H]1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1
O=C1c2c(O)cc(O)cc2O[C@@H](c2ccc(O)cc2)[C@@H]1O,O=C1C(O)c2c(O)cc(O)cc2OC1c1ccc(O)cc1
CC1(C)[C@H]2C[C@@H](O)[C@@](O)(CO)[C@H](C[C@H](O)[C@@H]3CCOC3=O)[C@@]2(C)CC[C@@H]1O,CC1(C)[C@H]2C[C@@H](O)[C@@](O)(CO)[C@H](C[C@H](O)C3CCOC3=O)[C@@]2(C)CC[C@@H]1O
COC(=O)/C(=C/C[C@@H]1[C@@]2(C)CC[C@H](O)C(C)(C)[C@H]2C[C@H](O)[C@]12CO2)CCO,COC(=O)/C(=C/C[C@@H]1[C@@]2(C)CC[C@H](O)C(C)(C)[C@H]2C[C@H](O)[C@]12CO2)CCO
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C
CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C
COC(=O)/C(=C/C[C@H]1[C@]2(CC[C@@H]3C(C)(C)[C@@H](O)CC[C@@]31C)CO2)[C@H]1CO1,COC(=O)/C(=C/C[C@H]1[C@]2(CC[C@@H]3C(C)(C)[C@@H](O)CC[C@@]31C)CO2)[C@H]1CO1
COC(=O)/C(=C/C[C@H]1[C@@]2(CO2)C[C@@H](O)[C@@H]2C(C)(C)[C@@H](O)CC[C@@]21C)[C@H]1CO1,COC(=O)/C(=C/C[C@H]1[C@@]2(CO2)C[C@@H](O)[C@@H]2C(C)(C)[C@@H](O)CC[C@@]21C)[C@H]1CO1
CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3C[C@@H](C)[C@H]21)C(C)C,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3C[C@@H](C)[C@H]21)C(C)C
CC[C@@H](CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,CC[C@@H](CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C
C=C1C(=O)O[C@@H]2/C=C(/COC(C)=O)CC/C=C(/C=O)C[C@@H](OC(=O)[C@@H](C)CC)[C@@H]12,C=C1C(=O)O[C@@H]2/C=C(/COC(C)=O)CC/C=C(/C=O)C[C@@H](OC(=O)C(C)CC)[C@@H]12
C=C1C(=O)O[C@@H]2/C=C(/COC(C)=O)CC/C=C(/C=O)[C@H](OC(C)=O)[C@@H](OC(=O)[C@@H](C)CC)[C@@H]12,C=C1C(=O)O[C@@H]2/C=C(/COC(C)=O)CC/C=C(/C=O)[C@H](OC(C)=O)[C@@H](OC(=O)C(C)CC)[C@@H]12
C=C1C(=O)O[C@@H]2/C=C(/COC(C)=O)CC/C=C(/C=O)C[C@@H](O)[C@@H]12,C=C1C(=O)O[C@@H]2/C=C(/COC(C)=O)CC/C=C(/C=O)C[C@@H](O)[C@@H]12
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3C[C@@]4(C)CC[C@@H]1[C@]32OO4,CC1C(=O)O[C@@H]2C[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
Cn1c2c3ccccc3nc-2cc2ccccc21,Cn1c2c3ccccc3nc-2cc2ccccc21
COc1cc(CO)c(-c2ccc3c(c2O)[C@H](C)C[C@@H](C)C3)c2cccc(O)c12,COc1cc(CO)c(-c2ccc3c(c2O)[C@H](C)C[C@@H](C)C3)c2cccc(O)c12
COc1cc(C)cc2ccc(-c3ccc4c(c3O)[C@@H](C)N[C@@H](C)C4)c(O)c12,COc1cc(C)cc2ccc(-c3ccc4c(c3O)[C@@H](C)N[C@@H](C)C4)c(O)c12
COc1cc(C)c(-c2ccc(O)c3c2C[C@H](C)N[C@@H]3C)c2cccc(O)c12,COc1cc(C)c(-c2ccc(O)c3c2C[C@H](C)N[C@@H]3C)c2cccc(O)c12
COc1cccc2c(-c3ccc4c(c3O)[C@@H](C)N[C@@H](C)C4)c(CO)cc(OC)c12,COc1cccc2c(-c3ccc4c(c3O)[C@@H](C)N[C@@H](C)C4)c(CO)cc(OC)c12
COc1cccc2c(-c3ccc4c(c3O)[C@@H](C)N[C@H](C)C4)c(C)cc(OC)c12,COc1cccc2c(-c3ccc4c(c3O)[C@@H](C)N[C@H](C)C4)c(C)cc(OC)c12
COc1cc(CO)c(-c2ccc3c(c2O)[C@@H](C)N[C@H](C)C3)c2cccc(O)c12,COc1cc(CO)c(-c2ccc3c(c2O)[C@@H](C)N[C@H](C)C3)c2cccc(O)c12
COc1cc2c(=O)oc3c4c(ccc3c2c2cccc(O)c12)C[C@@H](C)N[C@H]4C,COc1cc2c(=O)oc3c4c(ccc3c2c2cccc(O)c12)C[C@@H](C)N[C@H]4C
COc1c(-c2c(C)cc(OC)c3c(O)cccc23)ccc2c1[C@H](C)N[C@H](C)C2,COc1c(-c2c(C)cc(OC)c3c(O)cccc23)ccc2c1[C@H](C)N[C@H](C)C2
COc1cc(C)c(-c2ccc3c(c2O)[C@H](C)N[C@H](C)C3)c2cccc(O)c12,COc1cc(C)c(-c2ccc3c(c2O)[C@H](C)N[C@H](C)C3)c2cccc(O)c12
COc1cc(C)cc2c(-c3c(O)ccc4c3C[C@@H](C)N[C@@H]4C)cc(-c3ccc4c(-c5c(O)cc(O)c6c5C[C@@H](C)N[C@@H]6C)c(C)cc(OC)c4c3O)c(O)c12,COc1cc(C)cc2c(-c3c(O)ccc4c3C[C@@H](C)N[C@@H]4C)cc(-c3ccc4c(-c5c(O)cc(O)c6c5C[C@@H](C)N[C@@H]6C)c(C)cc(OC)c4c3O)c(O)c12
COc1cc(C)cc2c(-c3ccc(O)c4c3C[C@@H](C)N[C@@H]4C)cc(-c3ccc4c(-c5ccc(O)c6c5C[C@@H](C)N[C@@H]6C)c(C)cc(OC)c4c3O)c(O)c12,COc1cc(C)cc2c(-c3ccc(O)c4c3C[C@@H](C)N[C@@H]4C)cc(-c3ccc4c(-c5ccc(O)c6c5C[C@@H](C)N[C@@H]6C)c(C)cc(OC)c4c3O)c(O)c12
COc1cccc2c(-c3cc(-c4cc(-c5c(C)cc(OC)c6c(OC)cccc56)c(O)c5c4C[C@@H](C)N[C@@H]5C)c4c(c3O)[C@@H](C)N[C@H](C)C4)c(C)cc(OC)c12,COc1cccc2c(-c3cc(-c4cc(-c5c(C)cc(OC)c6c(OC)cccc56)c(O)c5c4C[C@@H](C)N[C@@H]5C)c4c(c3O)[C@@H](C)N[C@H](C)C4)c(C)cc(OC)c12
COc1cc([C@H](O)c2cc3c(cc2O)[C@@H](C)N[C@H](C)C3)cc2ccc(-c3ccc4c(-c5ccc6c(c5O)[C@@H](C)N[C@H](C)C6)c(CO)cc(OC)c4c3O)c(O)c12,COc1cc([C@H](O)c2cc3c(cc2O)[C@@H](C)N[C@H](C)C3)cc2ccc(-c3ccc4c(-c5ccc6c(c5O)[C@@H](C)N[C@H](C)C6)c(CO)cc(OC)c4c3O)c(O)c12
O=C1O[C@@H]2[C@@H](OC(=O)c3cc(O)c(O)c(O)c3-c3c1cc(O)c(O)c3O)[C@@H](O)O[C@@H]1COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c4oc(=O)c5c(c(O)c(O)c6oc(=O)c3c4c65)-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]21,O=C1O[C@@H]2[C@@H](OC(=O)c3cc(O)c(O)c(O)c3-c3c1cc(O)c(O)c3O)[C@@H](O)O[C@@H]1COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(=O)c4oc(O)c5c(c(O)c(=O)c6oc(O)c3c4c56)-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]21
C=C1[C@H]2CC=C3C(=O)OC[C@]3(O)[C@@]2(C)CC[C@@H]1C,C=C1[C@H]2CC=C3C(=O)OC[C@]3(O)[C@@]2(C)CC[C@@H]1C
C=C1[C@H]2CC=C3C(=O)O[C@@H](O)[C@]3(O)[C@@]2(C)CC[C@@H]1C,C=C1[C@H]2CC=C3C(=O)O[C@@H](O)[C@]3(O)[C@@]2(C)CC[C@@H]1C
C=C1[C@@H](C)CC[C@@]2(C)[C@@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O,C=C1[C@@H](C)CC[C@@]2(C)[C@@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O
CC1(C)CCC[C@]2(C)[C@H]3COC(=O)C3=CC[C@@H]12,CC1(C)CCC[C@]2(C)[C@H]3COC(=O)C3=CC[C@@H]12
COC(=O)[C@H]1CC[C@]2(C)[C@H]3COC(=O)C3=CC[C@H]2C1(C)C,COC(=O)C1CC[C@]2(C)[C@H]3COC(=O)C3=CC[C@H]2C1(C)C
CC1(C)CCC[C@@]2(C)[C@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O,CC1(C)CCC[C@@]2(C)[C@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O
CC1(C)CCC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12,CC1(C)CCC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12
C=C1[C@H](C)CC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12,C=C1[C@H](C)CC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12
