smiles,identifier,search_type,database
COc1cc2ccc(=O)oc2cc1OCC=C(C)C,ZINC15 : ZINC000002109870,morgan,zinc15
COc1cc2ccc(=O)oc2cc1OC/C=C(\C)CCC=C(C)C,ZINC15 : ZINC000015253754,morgan,zinc15
COc1cc2ccc(=O)oc2cc1OC/C=C(/C)CO,ZINC15 : ZINC000012362100,morgan,zinc15
COc1cc2oc(=O)ccc2cc1CC=C(C)C,ZINC15 : ZINC000001664037,morgan,zinc15
CC(C)=CCOc1ccc2ccc(=O)oc2c1,ZINC15 : ZINC000000388776,morgan,zinc15
COc1cc2ccc(=O)oc2cc1OC,ZINC15 : ZINC000000002067,morgan,zinc15
COc1cc2oc(=O)ccc2cc1O[C@H](C)CCC=C(C)C,ZINC15 : ZINC001229474750,morgan,zinc15
COc1cc2ccc(=O)oc2cc1O[C@@H](C)CCC=C(C)C,ZINC15 : ZINC001227565540,morgan,zinc15
COc1cc2oc(=O)ccc2cc1O[C@@H](C)CCC=C(C)C,ZINC15 : ZINC001229477636,morgan,zinc15
COc1cc2ccc(=O)oc2cc1O[C@H](C)CCC=C(C)C,ZINC15 : ZINC001227563812,morgan,zinc15
COc1cc2ccc(=O)oc2c(O)c1OCC=C(C)C,ZINC15 : ZINC000000113310,morgan,zinc15
COc1ccc2ccc(=O)oc2c1OCC=C(C)C,ZINC15 : ZINC000006624399,morgan,zinc15
COc1cc2ccc(=O)oc2cc1OC(C)=O,ZINC15 : ZINC000012153161,morgan,zinc15
COc1cc2oc(=O)ccc2cc1OC(C)=O,ZINC15 : ZINC000205331088,morgan,zinc15
COc1cc2ccc(=O)oc2c(OC(C)=O)c1OCC=C(C)C,ZINC15 : ZINC000000113351,morgan,zinc15
COc1cc2oc(=O)ccc2cc1OCCOC(C)C,ZINC15 : ZINC001229481701,morgan,zinc15
COc1cc2ccc(=O)oc2cc1OCCOC(C)C,ZINC15 : ZINC001227560990,morgan,zinc15
COc1cc2ccc(=O)oc2cc1O,ZINC15 : 57733,morgan,zinc15
COc1cc2ccc(=O)oc2cc1OC[C@@H](O)C(C)(C)O,ZINC15 : ZINC000000338160,morgan,zinc15
COc1cc2ccc(=O)oc2cc1OC[C@H](O)C(C)(C)O,ZINC15 : ZINC000000488415,morgan,zinc15
CC/C=C(\C)[C@@H](CC)Oc1cc2oc(=O)ccc2cc1OC,ZINC15 : ZINC001227564628,morgan,zinc15
CC/C=C(\C)[C@H](CC)Oc1cc2oc(=O)ccc2cc1OC,ZINC15 : ZINC001227564627,morgan,zinc15
CC/C=C(\C)[C@H](CC)Oc1cc2ccc(=O)oc2cc1OC,ZINC15 : ZINC001229474740,morgan,zinc15
CC/C=C(\C)[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,ZINC15 : ZINC001229474742,morgan,zinc15
CC(C)=CCOc1cc2oc(=O)cc(C)c2cc1OCC=C(C)C,ZINC15 : ZINC000000615062,morgan,zinc15
