SMILES,standard_smiles,MPO_multi,MPO_Score,Hit_Tier,S_vina,S_diff,S_qed,S_admet,P_ro5,MPO_4gm2,MPO_6ukj,MPO_7f3y,MPO_9n10,aff_4gm2,aff_6ukj,aff_7f3y,aff_9n10,conf_4gm2,conf_6ukj,conf_7f3y,conf_9n10,qed,sa_score,npl_score,syba_score,molecular_weight,logP,tpsa,AMES,hERG,DILI,ClinTox,Bioavailability_Ma,Solubility_AqSolDB,HIA_Hou,PPBR_AZ,Caco2_Wang
C[C@@H]1C[C@H](O)CN(C(=O)c2ccc(F)cc2Cl)C1,C[C@@H]1C[C@H](O)CN(C(=O)c2ccc(F)cc2Cl)C1,0.6074834239130422,0.5074834239130424,Secondary hit,0.27375000000000005,0.24535898035451598,0.851581015060488,0.8667665054154378,1.0,0.3836968833906487,0.5957883972642009,0.5329591289715179,0.5174892860258017,-3.937,-7.646,-6.174,-6.422,-2.09,-0.73,-0.73,-1.26,0.851581015060488,2.8081274301720445,-1.4704272586683442,53.07346224934873,271.71900000000005,2.322,40.54,0.2285027995705604,0.4951429605484009,0.1705576002597809,0.323966708779335,0.9546392798423768,-1.887367816737053,0.999994206428528,53.587849291762566,-4.131365490998408
CCCN(C)C(=O)c1c[nH]c2ccc(C)cc2c1=O,CCCN(C)C(=O)c1c[nH]c2ccc(C)cc2c1=O,0.5717429396251932,0.5217429396251932,Secondary hit,0.27204268292682937,0.2729600848051269,0.9181733182608206,0.8310221049823803,1.0,0.47220609543846354,0.5774982874436543,0.5888210715622855,0.4484463040563693,-4.46,-7.876,-7.139,-4.648,-0.65,-1.51,-0.61,-1.29,0.9181733182608206,2.143838292636943,-1.2931912113576634,92.0146700759304,258.321,2.3185200000000004,53.17,0.2717499345541,0.4128564059734344,0.6568864226341248,0.0770844712853431,0.9035515666007996,-3.05827040230958,0.9999509572982788,73.80898067195005,-4.456143071322824
CC=CC1CC(NCCO)=NC(N2C=C(C)C(Cl)=CC2)=N1,CC=CC1CC(NCCO)=NC(N2C=C(C)C(Cl)=CC2)=N1,0.5696393831874114,0.5196393831874113,Secondary hit,0.3053658536585367,0.3393491387415429,0.7841835530198795,0.8072489274504122,1.0,0.45750887920980476,0.6254450733631403,0.5338764424613963,0.4617271377153037,-4.286,-8.992,-6.455,-5.483,-0.26,-0.83,-0.53,-1.11,0.7841835530198795,4.614099233724409,0.2525164786646714,-59.64800958284199,308.81300000000005,2.0133,60.22,0.2777029410004615,0.4547252595424652,0.1300475262105465,0.0805139131844043,0.8033427476882935,-1.5609278808457252,0.998125457763672,52.22716703890105,-5.313038887821129
Cc1cc2ccc(=O)oc2cc1OC[C@@H](O)C(C)(C)O,Cc1cc2ccc(=O)oc2cc1OC[C@@H](O)C(C)(C)O,0.567764098463981,0.517764098463981,Secondary hit,0.3099390243902439,0.2825095884746925,0.830560378006826,0.8169731147157152,1.0,0.41731294483223885,0.633361099766681,0.561695723261758,0.4586866259952462,-4.783,-8.761,-6.717,-5.105,-1.76,-0.7,-0.43,-1.06,0.830560378006826,2.937562456054387,1.0705750748135512,49.564708681364685,278.304,1.6120199999999996,79.9,0.2168077185750007,0.3058964908123016,0.5316726922988891,0.1023242801427841,0.9327275395393372,-2.169708206666169,0.9998562335968018,82.64792755815742,-4.725918953174398
COc1cc(C)c([C@H](C)NC(=O)c2ccc(CC[NH3+])cc2)cc1OC,COc1cc(C)c([C@H](C)NC(=O)c2ccc(CC[NH3+])cc2)cc1OC,0.5607460993196549,0.5107460993196549,Secondary hit,0.32335365853658543,0.23097215421537176,0.8098091330623418,0.852449691103591,1.0,0.38650915225993726,0.615085659996104,0.597882575278282,0.4435070097442962,-4.545,-8.433,-7.267,-5.561,-2.76,-0.8,-0.24,-2.05,0.8098091330623418,2.836905477664564,-0.6531440061301119,153.50036124356888,343.44700000000006,2.2876199999999995,75.2,0.0447364743798971,0.5639173507690429,0.1700021870434284,0.0018565112375654,0.801684832572937,-2.2945222729793984,0.7864454746246338,62.35386901173913,-4.93089441678857
CC(C)=CCOc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1)[C@@H](O)C2=O,CC(C)=CCOc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1)[C@@H](O)C2=O,0.5551128315964844,0.5051128315964845,Secondary hit,0.4344207317073171,0.24000070267315854,0.7286093024824151,0.6489569288943381,1.0,0.495405679924472,0.5877888582006942,0.5470017603794978,0.3902550278812737,-6.19,-9.61,-8.151,-5.498,-0.4,-1.47,-0.98,-2.21,0.7286093024824151,3.392781995998577,2.0001615539473927,40.01475071459701,356.3740000000001,3.120100000000002,96.22,0.4951337695121765,0.3569941341876984,0.6489794254302979,0.1225473880767822,0.6228001296520234,-4.297027029055991,0.9980952143669128,89.0852850078087,-5.451776632025354
COC1=CC(SC)=CC=C1C(=O)N1CCC(C)(O)CC1,COc1cc(SC)ccc1C(=O)N1CCC(C)(O)CC1,0.5506631602912803,0.5006631602912803,Secondary hit,0.20039634146341467,0.2706787126363775,0.8700688614314441,0.9256066022246796,1.0,0.4216460168593511,0.5765718671145842,0.5200438235340152,0.4843909336571705,-3.923,-7.377,-5.861,-4.612,-1.3,-1.13,-0.96,-0.63,0.8700688614314441,2.3359515995872417,-0.7710790175332749,64.79695723997676,295.40400000000005,2.404100000000001,49.77,0.1331636629998684,0.2189158409833908,0.2151385366916656,0.1021013863384723,0.935185170173645,-1.990361713554504,0.9997947812080384,42.55986516437071,-4.173066769321741
[NH3+][C@H](c1ccc(O)cc1)c1ccc(Br)cc1,[NH3+][C@H](c1ccc(O)cc1)c1ccc(Br)cc1,0.5486300424573152,0.4986300424573152,Secondary hit,0.2220731707317074,0.27453882066727786,0.8713485397415909,0.8533334639071994,1.0,0.4402175804442932,0.5780862712652884,0.5457223881458159,0.4304939299738631,-4.082,-7.349,-6.23,-4.823,-0.83,-0.86,-0.58,-1.83,0.8713485397415909,3.0023438539599976,0.0133312752193062,55.38362274165251,279.157,2.4860000000000007,47.870000000000005,0.0249390642624348,0.3980912566184997,0.0734613794833421,0.0002102346380524,0.5062202095985413,-2.123250815736905,0.9671077013015748,73.09924088854915,-5.0298993283464135
C#C[C@@H](CC)Oc1ccc([C@@H]2CC(=O)c3ccccc3O2)cc1,C#C[C@@H](CC)Oc1ccc([C@@H]2CC(=O)c3ccccc3O2)cc1,0.5475951352227235,0.49759513522272353,Secondary hit,0.3650304878048781,0.2109902124431388,0.7947970730097055,0.7208499785219359,1.0,0.3870014337136663,0.6296257466837175,0.5493030569730535,0.42445030352045676,-4.6,-9.945,-7.462,-5.166,-1.79,-1.38,-0.83,-1.41,0.7947970730097055,3.2341859858024584,0.6218433623781826,40.93559228393138,306.36100000000005,4.183700000000003,35.53,0.3385183751583099,0.3756788671016693,0.4521669507026672,0.0652242466807365,0.920756220817566,-5.507523696283846,0.9999754667282104,95.13313144489874,-4.466280636923571
CC(C)(O)/C=C/c1ccc2cc[nH]c2c1,CC(C)(O)/C=C/c1ccc2cc[nH]c2c1,0.5433128576817522,0.4933128576817521,Secondary hit,0.2521646341463415,0.3219096242905459,0.7695560960439496,0.8044440696607082,1.0,0.43117073417175283,0.5750906840185115,0.5248655537770804,0.44212445875966383,-4.195,-7.647,-6.17,-5.459,-0.58,-0.64,-0.42,-1.47,0.7695560960439496,2.627681470452268,1.0704769589804934,46.66034209215803,201.269,2.952000000000001,36.02,0.2803775504231452,0.1773666396737098,0.5698228120803833,0.0439693205058574,0.8304177403450013,-3.310048520834424,0.999975562095642,82.8430221037789,-4.729618986432075
