Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_0,-3.74,-2.191,-3.74,OTHERS
ligand_100,-3.906,-2.911,-3.906,OTHERS
ligand_101,-3.549,-2.86,-3.549,OTHERS
ligand_102,-4.267,-3.264,-4.267,OTHERS
ligand_103,-4.301,-3.813,-4.301,OTHERS
ligand_104,-4.197,-3.604,-4.197,OTHERS
ligand_105,-3.891,-2.978,-3.891,OTHERS
ligand_106,-4.193,-3.431,-4.193,OTHERS
ligand_107,-4.01,-3.151,-4.01,OTHERS
ligand_108,-4.078,-3.307,-4.078,OTHERS
ligand_109,-4.227,-3.391,-4.227,OTHERS
ligand_10,-4.241,-2.885,-4.241,OTHERS
ligand_110,-4.991,-3.812,-4.991,OTHERS
ligand_111,-4.126,-3.476,-4.126,OTHERS
ligand_112,-4.023,-3.077,-4.023,OTHERS
ligand_113,-4.37,-3.568,-4.37,OTHERS
ligand_114,-4.62,-3.673,-4.62,OTHERS
ligand_115,-4.564,-3.974,-4.564,OTHERS
ligand_116,-4.374,-2.886,-4.374,OTHERS
ligand_117,-5.081,-4.039,-5.081,OTHERS
ligand_118,-3.943,-3.088,-3.943,OTHERS
ligand_119,-4.596,-3.874,-4.596,OTHERS
ligand_11,-4.591,-3.339,-4.591,OTHERS
ligand_120,-4.679,-3.353,-4.679,OTHERS
ligand_121,-4.392,-3.644,-4.392,OTHERS
ligand_122,-3.267,-2.724,-3.267,OTHERS
ligand_123,-3.757,-3.137,-3.757,OTHERS
ligand_124,-4.666,-3.892,-4.666,OTHERS
ligand_125,-4.256,-3.316,-4.256,OTHERS
ligand_126,-4.163,-3.645,-4.163,OTHERS
ligand_127,-3.708,-2.838,-3.708,OTHERS
ligand_128,-4.449,-3.7,-4.449,OTHERS
ligand_129,-3.809,-2.814,-3.809,OTHERS
ligand_12,-4.576,-3.849,-4.576,OTHERS
ligand_130,-4.217,-3.835,-4.217,OTHERS
ligand_131,-4.034,-2.991,-4.034,OTHERS
ligand_132,-4.94,-3.576,-4.94,OTHERS
ligand_133,-3.837,-3.216,-3.837,OTHERS
ligand_134,-4.072,-2.412,-4.072,OTHERS
ligand_135,-4.013,-2.664,-4.013,OTHERS
ligand_136,-3.945,-2.735,-3.945,OTHERS
ligand_137,-3.546,-2.911,-3.546,OTHERS
ligand_138,-3.585,-2.984,-3.585,OTHERS
ligand_139,-4.679,-3.194,-4.679,OTHERS
ligand_13,-4.596,-3.615,-4.596,OTHERS
ligand_140,-4.732,-2.907,-4.732,OTHERS
ligand_141,-4.241,-3.054,-4.241,OTHERS
ligand_142,-3.939,-3.141,-3.939,OTHERS
ligand_143,-4.079,-2.9,-4.079,OTHERS
ligand_144,-4.494,-3.983,-4.494,OTHERS
ligand_145,-3.523,-2.714,-3.523,OTHERS
ligand_146,-4.322,-3.552,-4.322,OTHERS
ligand_147,-3.574,-3.057,-3.574,OTHERS
ligand_148,-4.835,-3.65,-4.835,OTHERS
ligand_149,-4.712,-3.756,-4.712,OTHERS
ligand_14,-4.383,-3.474,-4.383,OTHERS
ligand_150,-4.933,-4.49,-4.933,OTHERS
ligand_151,-4.01,-3.681,-4.01,OTHERS
ligand_152,-4.498,-3.994,-4.498,OTHERS
ligand_153,-4.249,-3.54,-4.249,OTHERS
ligand_154,-4.451,-3.393,-4.451,OTHERS
ligand_155,-3.098,-2.324,-3.098,OTHERS
ligand_156,-3.911,-2.873,-3.911,OTHERS
ligand_157,-4.556,-3.583,-4.556,OTHERS
ligand_158,-4.588,-3.712,-4.588,OTHERS
ligand_159,-4.176,-3.433,-4.176,OTHERS
ligand_15,-4.002,-3.628,-4.002,OTHERS
ligand_160,-3.714,-3.115,-3.714,OTHERS
ligand_161,-4.7,-3.529,-4.7,OTHERS
ligand_162,-5.149,-4.22,-5.149,OTHERS
ligand_163,-3.625,-2.428,-3.625,OTHERS
ligand_164,-4.355,-3.42,-4.355,OTHERS
ligand_165,-4.429,-3.513,-4.429,OTHERS
ligand_166,-4.001,-3.36,-4.001,OTHERS
ligand_167,-4.193,-3.683,-4.193,OTHERS
ligand_168,-4.364,-3.574,-4.364,OTHERS
ligand_169,-3.816,-3.041,-3.816,OTHERS
ligand_16,-3.637,-2.27,-3.637,OTHERS
ligand_170,-3.465,-2.665,-3.465,OTHERS
ligand_171,-3.996,-2.79,-3.996,OTHERS
ligand_172,-4.895,-3.816,-4.895,OTHERS
ligand_173,-4.346,-3.069,-4.346,OTHERS
ligand_174,-4.553,-3.886,-4.553,OTHERS
ligand_175,-4.01,-3.322,-4.01,OTHERS
ligand_176,-4.482,-3.58,-4.482,OTHERS
ligand_177,-3.908,-3.226,-3.908,OTHERS
ligand_178,-4.363,-3.399,-4.363,OTHERS
ligand_179,-3.662,-2.622,-3.662,OTHERS
ligand_17,-4.104,-3.091,-4.104,OTHERS
ligand_180,-4.663,-3.394,-4.663,OTHERS
ligand_181,-4.849,-4.048,-4.849,OTHERS
ligand_182,-4.697,-3.471,-4.697,OTHERS
ligand_183,-4.654,-3.359,-4.654,OTHERS
ligand_184,-4.129,-3.128,-4.129,OTHERS
ligand_185,-4.033,-3.307,-4.033,OTHERS
ligand_186,-3.785,-3.437,-3.785,OTHERS
ligand_187,-4.866,-3.745,-4.866,OTHERS
ligand_188,-4.307,-3.203,-4.307,OTHERS
ligand_189,-3.678,-2.2,-3.678,OTHERS
ligand_18,-3.871,-2.898,-3.871,OTHERS
ligand_190,-4.053,-2.958,-4.053,OTHERS
ligand_191,-4.013,-3.037,-4.013,OTHERS
ligand_192,-3.624,-2.648,-3.624,OTHERS
ligand_193,-3.984,-3.099,-3.984,OTHERS
ligand_194,-4.736,-4.104,-4.736,OTHERS
ligand_195,-3.78,-3.428,-3.78,OTHERS
ligand_196,-4.132,-3.269,-4.132,OTHERS
ligand_197,-4.166,-3.466,-4.166,OTHERS
ligand_198,-4.019,-3.234,-4.019,OTHERS
ligand_199,-5.15,-4.146,-5.15,OTHERS
ligand_19,-4.089,-3.386,-4.089,OTHERS
ligand_1,-3.594,-2.611,-3.594,OTHERS
ligand_200,-4.426,-3.063,-4.426,OTHERS
ligand_201,-4.86,-3.783,-4.86,OTHERS
ligand_202,-4.672,-3.84,-4.672,OTHERS
ligand_203,-4.359,-3.732,-4.359,OTHERS
ligand_204,-4.273,-3.433,-4.273,OTHERS
ligand_205,-4.551,-3.254,-4.551,OTHERS
ligand_206,-3.761,-2.89,-3.761,OTHERS
ligand_207,-3.526,-2.616,-3.526,OTHERS
ligand_208,-4.431,-3.61,-4.431,OTHERS
ligand_209,-3.873,-2.758,-3.873,OTHERS
ligand_20,-4.378,-3.315,-4.378,OTHERS
ligand_210,-3.512,-2.968,-3.512,OTHERS
ligand_211,-4.017,-3.165,-4.017,OTHERS
ligand_212,-3.79,-3.037,-3.79,OTHERS
ligand_213,-5.343,-3.984,-5.343,OTHERS
ligand_214,-4.683,-3.37,-4.683,OTHERS
