Ligand,Affinity_kcal_mol,Category
ligand_0,-4.622,OTHERS
ligand_100,-5.207,OTHERS
ligand_101,-4.226,OTHERS
ligand_102,-4.067,OTHERS
ligand_103,-4.173,OTHERS
ligand_104,-5.096,OTHERS
ligand_105,-4.172,OTHERS
ligand_106,-3.986,OTHERS
ligand_107,-4.432,OTHERS
ligand_108,-3.435,OTHERS
ligand_109,-4.585,OTHERS
ligand_10,-5.095,OTHERS
ligand_110,-4.195,OTHERS
ligand_111,-4.948,OTHERS
ligand_112,-4.149,OTHERS
ligand_113,-4.045,OTHERS
ligand_114,-4.177,OTHERS
ligand_115,-5.01,OTHERS
ligand_116,-4.351,OTHERS
ligand_117,-4.33,OTHERS
ligand_118,-3.402,OTHERS
ligand_119,-3.76,OTHERS
ligand_11,-5.018,OTHERS
ligand_120,-4.168,OTHERS
ligand_121,-3.953,OTHERS
ligand_122,-4.123,OTHERS
ligand_123,-4.603,OTHERS
ligand_124,-3.762,OTHERS
ligand_125,-4.751,OTHERS
ligand_126,-3.835,OTHERS
ligand_127,-4.219,OTHERS
ligand_128,-5.102,OTHERS
ligand_129,-2.756,OTHERS
ligand_12,-4.325,OTHERS
ligand_130,-4.397,OTHERS
ligand_131,-4.106,OTHERS
ligand_132,-3.79,OTHERS
ligand_133,-3.602,OTHERS
ligand_134,-3.929,OTHERS
ligand_135,-3.927,OTHERS
ligand_136,-4.197,OTHERS
ligand_137,-4.249,OTHERS
ligand_138,-3.845,OTHERS
ligand_139,-4.433,OTHERS
ligand_140,-4.388,OTHERS
ligand_141,-4.169,OTHERS
ligand_142,-1.919,OTHERS
ligand_143,-4.902,OTHERS
ligand_144,-4.929,OTHERS
ligand_145,-4.834,OTHERS
ligand_146,-4.686,OTHERS
ligand_147,-3.625,OTHERS
ligand_148,-4.247,OTHERS
ligand_149,-4.67,OTHERS
ligand_14,-4.342,OTHERS
ligand_150,-4.887,OTHERS
ligand_151,-2.535,OTHERS
ligand_152,-3.365,OTHERS
ligand_153,-4.138,OTHERS
ligand_154,-3.261,OTHERS
ligand_155,-4.347,OTHERS
ligand_156,-4.224,OTHERS
ligand_157,-4.424,OTHERS
ligand_158,-3.98,OTHERS
ligand_159,-4.793,OTHERS
ligand_15,-5.078,OTHERS
ligand_160,-4.254,OTHERS
ligand_161,-4.316,OTHERS
ligand_162,-4.57,OTHERS
ligand_164,-5.989,OTHERS
ligand_165,-4.96,OTHERS
ligand_166,-4.158,OTHERS
ligand_167,-3.391,OTHERS
ligand_168,-4.347,OTHERS
ligand_169,-4.219,OTHERS
ligand_16,-4.705,OTHERS
ligand_170,-3.495,OTHERS
ligand_171,-4.967,OTHERS
ligand_172,-4.724,OTHERS
ligand_173,-4.141,OTHERS
ligand_174,-4.534,OTHERS
ligand_175,-3.627,OTHERS
ligand_176,-4.818,OTHERS
ligand_177,-5.217,OTHERS
ligand_178,-4.603,OTHERS
ligand_179,-4.34,OTHERS
ligand_17,-4.137,OTHERS
ligand_180,-3.686,OTHERS
ligand_181,-3.253,OTHERS
ligand_182,-4.636,OTHERS
ligand_183,-4.361,OTHERS
ligand_184,-3.126,OTHERS
ligand_185,-4.607,OTHERS
ligand_186,-5.008,OTHERS
ligand_187,-5.259,OTHERS
ligand_188,-3.825,OTHERS
ligand_18,-4.407,OTHERS
ligand_191,-4.077,OTHERS
ligand_192,-4.366,OTHERS
ligand_193,-5.182,OTHERS
ligand_194,-5.087,OTHERS
ligand_195,-4.385,OTHERS
ligand_196,-4.071,OTHERS
ligand_197,-3.773,OTHERS
ligand_198,-4.943,OTHERS
ligand_199,-4.109,OTHERS
ligand_19,-4.801,OTHERS
ligand_1,-3.712,OTHERS
ligand_200,-4.801,OTHERS
ligand_201,-4.586,OTHERS
ligand_202,-4.815,OTHERS
ligand_203,-4.093,OTHERS
ligand_204,-3.92,OTHERS
ligand_205,-3.678,OTHERS
ligand_206,-4.078,OTHERS
ligand_207,-4.525,OTHERS
ligand_208,-4.895,OTHERS
ligand_209,-4.934,OTHERS
ligand_20,-4.044,OTHERS
ligand_210,-4.284,OTHERS
ligand_211,-3.619,OTHERS
ligand_212,-4.979,OTHERS
ligand_213,-4.337,OTHERS
ligand_214,-5.163,OTHERS
ligand_215,-4.458,OTHERS
ligand_216,-5.229,OTHERS
ligand_217,-3.697,OTHERS
ligand_218,-4.632,OTHERS
ligand_219,-4.17,OTHERS
ligand_21,-5.033,OTHERS
ligand_220,-3.957,OTHERS
ligand_222,-4.713,OTHERS
ligand_223,-3.215,OTHERS
ligand_224,-4.397,OTHERS
ligand_225,-4.585,OTHERS
ligand_226,-4.271,OTHERS
ligand_227,-4.276,OTHERS
ligand_228,-4.168,OTHERS
ligand_229,-4.633,OTHERS
ligand_22,-3.951,OTHERS
ligand_230,-3.971,OTHERS
ligand_231,-3.666,OTHERS
ligand_232,-2.938,OTHERS
ligand_233,-3.962,OTHERS
ligand_234,-4.637,OTHERS
ligand_235,-4.07,OTHERS
ligand_236,-4.243,OTHERS
ligand_237,-4.176,OTHERS
ligand_238,-4.508,OTHERS
ligand_239,-4.495,OTHERS
ligand_23,-5.372,OTHERS
ligand_240,-3.334,OTHERS
ligand_241,-4.164,OTHERS
ligand_242,-4.408,OTHERS
ligand_243,-4.209,OTHERS
ligand_244,-3.492,OTHERS
ligand_245,-4.268,OTHERS
ligand_246,-4.485,OTHERS
ligand_247,-5.085,OTHERS
ligand_248,-3.897,OTHERS
ligand_249,-4.353,OTHERS
ligand_24,-4.401,OTHERS
ligand_251,-4.586,OTHERS
ligand_252,-3.903,OTHERS
ligand_253,-4.293,OTHERS
ligand_254,-3.81,OTHERS
ligand_255,-3.518,OTHERS
ligand_256,-4.397,OTHERS
ligand_257,-4.015,OTHERS
ligand_258,-4.308,OTHERS
ligand_259,-3.966,OTHERS
ligand_25,-3.424,OTHERS
ligand_260,-5.01,OTHERS
ligand_261,-4.186,OTHERS
ligand_262,-3.59,OTHERS
ligand_263,-4.973,OTHERS
ligand_264,-4.864,OTHERS
ligand_265,-4.035,OTHERS
ligand_266,-3.837,OTHERS
ligand_267,-5.243,OTHERS
ligand_268,-4.61,OTHERS
ligand_269,-3.334,OTHERS
ligand_26,-4.276,OTHERS
ligand_270,-4.223,OTHERS
ligand_271,-4.316,OTHERS
ligand_272,-4.844,OTHERS
ligand_273,-4.573,OTHERS
ligand_274,-3.838,OTHERS
ligand_275,-4.405,OTHERS
ligand_276,-4.693,OTHERS
ligand_277,-5.22,OTHERS
ligand_278,-4.161,OTHERS
ligand_279,-4.778,OTHERS
ligand_27,-4.497,OTHERS
ligand_280,-5.668,OTHERS
ligand_281,-4.043,OTHERS
ligand_282,-4.859,OTHERS
ligand_283,-4.339,OTHERS
ligand_284,-3.968,OTHERS
ligand_285,-3.949,OTHERS
ligand_286,-4.626,OTHERS
ligand_287,-3.969,OTHERS
ligand_288,-4.278,OTHERS
ligand_289,-5.249,OTHERS
ligand_28,-3.377,OTHERS
ligand_290,-4.133,OTHERS
ligand_291,-4.592,OTHERS
ligand_292,-4.264,OTHERS
ligand_293,-4.476,OTHERS
ligand_294,-4.164,OTHERS
ligand_295,-4.129,OTHERS
ligand_296,-4.177,OTHERS
ligand_297,-3.773,OTHERS
ligand_298,-4.079,OTHERS
ligand_299,-4.356,OTHERS
ligand_29,-4.17,OTHERS
ligand_2,-3.833,OTHERS
ligand_300,-4.222,OTHERS
ligand_301,-4.208,OTHERS
ligand_302,-5.006,OTHERS
ligand_303,-4.31,OTHERS
ligand_304,-4.043,OTHERS
ligand_305,-4.061,OTHERS
ligand_306,-5.561,OTHERS
ligand_307,-4.498,OTHERS
ligand_308,-4.173,OTHERS
ligand_309,-4.58,OTHERS
ligand_310,-3.922,OTHERS
ligand_311,-4.689,OTHERS
ligand_312,-3.758,OTHERS
ligand_313,-4.484,OTHERS
ligand_314,-4.428,OTHERS
ligand_315,-3.895,OTHERS
ligand_316,-4.239,OTHERS
ligand_317,-3.921,OTHERS
ligand_318,-4.24,OTHERS
ligand_319,-4.075,OTHERS
ligand_31,-5.159,OTHERS
ligand_320,-4.957,OTHERS
ligand_321,-3.94,OTHERS
ligand_322,-4.626,OTHERS
ligand_323,-5.176,OTHERS
ligand_324,-4.887,OTHERS
ligand_325,-4.411,OTHERS
ligand_326,-4.251,OTHERS
ligand_327,-4.252,OTHERS
ligand_328,-5.295,OTHERS
ligand_329,-4.036,OTHERS
ligand_32,-4.876,OTHERS
ligand_330,-3.699,OTHERS
ligand_331,-4.321,OTHERS
ligand_333,-4.807,OTHERS
ligand_334,-4.128,OTHERS
ligand_335,-4.96,OTHERS
ligand_336,-4.347,OTHERS
ligand_337,-3.754,OTHERS
ligand_338,-3.017,OTHERS
ligand_339,-3.44,OTHERS
ligand_33,-3.762,OTHERS
ligand_340,-4.612,OTHERS
ligand_341,-3.818,OTHERS
ligand_342,-4.166,OTHERS
ligand_343,-4.572,OTHERS
ligand_344,-3.326,OTHERS
ligand_345,-4.912,OTHERS
ligand_346,-3.921,OTHERS
ligand_347,-3.884,OTHERS
ligand_348,-3.593,OTHERS
ligand_349,-4.537,OTHERS
ligand_34,-4.804,OTHERS
ligand_351,-4.454,OTHERS
ligand_352,-4.153,OTHERS
ligand_354,-3.95,OTHERS
ligand_355,-3.575,OTHERS
ligand_356,-4.386,OTHERS
ligand_357,-4.266,OTHERS
ligand_358,-4.256,OTHERS
ligand_359,-4.397,OTHERS
ligand_35,-2.419,OTHERS
ligand_361,-4.457,OTHERS
ligand_362,-3.836,OTHERS
ligand_363,-4.328,OTHERS
ligand_364,-4.066,OTHERS
ligand_365,-5.005,OTHERS
ligand_366,-4.519,OTHERS
ligand_367,-4.166,OTHERS
ligand_368,-4.159,OTHERS
ligand_369,-4.226,OTHERS
ligand_36,-4.995,OTHERS
ligand_370,-4.05,OTHERS
ligand_371,-4.722,OTHERS
ligand_372,-5.067,OTHERS
ligand_373,-4.181,OTHERS
ligand_374,-3.75,OTHERS
ligand_375,-4.524,OTHERS
ligand_376,-4.298,OTHERS
ligand_377,-3.78,OTHERS
ligand_378,-2.56,OTHERS
ligand_37,-4.373,OTHERS
ligand_380,-4.774,OTHERS
ligand_381,-4.199,OTHERS
ligand_382,-3.886,OTHERS
ligand_383,-3.667,OTHERS
ligand_384,-3.709,OTHERS
ligand_385,-4.073,OTHERS
ligand_386,-3.729,OTHERS
ligand_387,-3.891,OTHERS
ligand_388,-4.46,OTHERS
ligand_389,-4.331,OTHERS
ligand_38,-4.861,OTHERS
ligand_390,-4.36,OTHERS
ligand_391,-4.644,OTHERS
ligand_392,-4.359,OTHERS
ligand_393,-4.486,OTHERS
ligand_394,-4.023,OTHERS
ligand_395,-4.996,OTHERS
ligand_396,-4.385,OTHERS
ligand_397,-5.276,OTHERS
ligand_398,-4.382,OTHERS
ligand_399,-4.443,OTHERS
ligand_39,-4.184,OTHERS
ligand_3,-3.934,OTHERS
ligand_401,-4.569,OTHERS
ligand_402,-5.123,OTHERS
ligand_403,-4.683,OTHERS
ligand_404,-3.992,OTHERS
ligand_405,-5.224,OTHERS
ligand_406,-4.691,OTHERS
ligand_407,-3.84,OTHERS
ligand_408,-1.49,OTHERS
ligand_409,-4.505,OTHERS
ligand_410,-4.522,OTHERS
ligand_411,-3.324,OTHERS
ligand_412,-4.379,OTHERS
ligand_413,-3.977,OTHERS
ligand_414,-4.291,OTHERS
ligand_416,-4.658,OTHERS
ligand_417,-4.468,OTHERS
ligand_418,-4.151,OTHERS
ligand_419,-3.903,OTHERS
ligand_41,-4.119,OTHERS
ligand_420,-4.602,OTHERS
ligand_421,-4.327,OTHERS
ligand_422,-4.8,OTHERS
ligand_423,-4.6,OTHERS
ligand_424,-4.894,OTHERS
ligand_425,-5.05,OTHERS
ligand_426,-4.625,OTHERS
ligand_428,-4.617,OTHERS
ligand_429,-5.409,OTHERS
ligand_42,-4.476,OTHERS
ligand_430,-4.525,OTHERS
ligand_431,-4.254,OTHERS
ligand_433,-3.815,OTHERS
ligand_434,-4.341,OTHERS
ligand_435,-4.162,OTHERS
ligand_436,-5.302,OTHERS
ligand_437,-4.696,OTHERS
ligand_438,-4.059,OTHERS
ligand_439,-4.305,OTHERS
ligand_440,-4.486,OTHERS
ligand_441,-4.563,OTHERS
ligand_442,-4.364,OTHERS
ligand_443,-4.187,OTHERS
ligand_445,-4.818,OTHERS
ligand_446,-4.18,OTHERS
ligand_447,-4.955,OTHERS
ligand_448,-3.947,OTHERS
ligand_449,-4.891,OTHERS
ligand_44,-3.886,OTHERS
ligand_450,-4.427,OTHERS
ligand_451,-3.147,OTHERS
ligand_452,-4.061,OTHERS
ligand_453,-4.371,OTHERS
ligand_454,-4.845,OTHERS
ligand_455,-4.646,OTHERS
ligand_456,-4.214,OTHERS
ligand_457,-3.935,OTHERS
ligand_458,-4.154,OTHERS
ligand_459,-4.551,OTHERS
ligand_45,-3.496,OTHERS
ligand_461,-4.246,OTHERS
ligand_462,-4.276,OTHERS
ligand_463,-4.943,OTHERS
ligand_464,-5.107,OTHERS
ligand_465,-3.333,OTHERS
ligand_466,-5.11,OTHERS
ligand_467,-4.37,OTHERS
ligand_468,-4.663,OTHERS
ligand_469,-4.375,OTHERS
ligand_46,-4.337,OTHERS
ligand_470,-4.687,OTHERS
ligand_471,-4.475,OTHERS
ligand_472,-4.207,OTHERS
ligand_473,-3.986,OTHERS
ligand_474,-3.754,OTHERS
ligand_475,-4.453,OTHERS
ligand_48,-4.782,OTHERS
ligand_49,-4.263,OTHERS
ligand_4,-5.049,OTHERS
ligand_50,-4.31,OTHERS
ligand_51,-4.525,OTHERS
ligand_52,-4.334,OTHERS
ligand_53,-3.634,OTHERS
ligand_54,-3.93,OTHERS
ligand_55,-3.866,OTHERS
ligand_56,-4.639,OTHERS
ligand_57,-4.245,OTHERS
ligand_58,-4.284,OTHERS
ligand_59,-4.585,OTHERS
ligand_5,-4.752,OTHERS
ligand_60,-4.67,OTHERS
ligand_61,-4.395,OTHERS
ligand_62,-4.086,OTHERS
ligand_63,-4.481,OTHERS
ligand_64,-4.25,OTHERS
ligand_65,-3.74,OTHERS
ligand_66,-4.067,OTHERS
ligand_67,-4.53,OTHERS
ligand_68,-4.128,OTHERS
ligand_69,-5.215,OTHERS
ligand_6,-5.062,OTHERS
ligand_71,-3.901,OTHERS
ligand_72,-3.701,OTHERS
ligand_74,-4.775,OTHERS
ligand_75,-4.888,OTHERS
ligand_76,-4.113,OTHERS
ligand_77,-4.754,OTHERS
ligand_78,-5.011,OTHERS
ligand_79,-2.92,OTHERS
ligand_7,-4.321,OTHERS
ligand_80,-3.802,OTHERS
ligand_81,-3.891,OTHERS
ligand_82,-3.782,OTHERS
ligand_83,-5.017,OTHERS
ligand_84,-4.872,OTHERS
ligand_85,-4.16,OTHERS
ligand_86,-3.653,OTHERS
ligand_87,-4.998,OTHERS
ligand_88,-4.185,OTHERS
ligand_89,-3.911,OTHERS
ligand_8,-3.02,OTHERS
ligand_90,-3.962,OTHERS
ligand_91,-4.716,OTHERS
ligand_92,-4.71,OTHERS
ligand_93,-4.333,OTHERS
ligand_94,-4.22,OTHERS
ligand_95,-4.483,OTHERS
ligand_96,-4.608,OTHERS
ligand_97,-4.571,OTHERS
ligand_9,-3.862,OTHERS
