Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_0,-8.125,-4.534,-8.125,GOOD
ligand_100,-7.652,-4.646,-7.652,GOOD
ligand_101,-6.745,-3.928,-6.745,OTHERS
ligand_102,-8.725,-6.093,-8.725,GOOD
ligand_103,-9.415,-6.315,-9.415,EXCELLENT
ligand_104,-8.119,-5.462,-8.119,GOOD
ligand_105,-7.699,-4.397,-7.699,GOOD
ligand_106,-10.37,-4.571,-10.37,EXCELLENT
ligand_107,-8.714,-5.544,-8.714,GOOD
ligand_108,-7.538,-4.255,-7.538,GOOD
ligand_109,-8.661,-6.023,-8.661,GOOD
ligand_10,-9.427,-4.726,-9.427,EXCELLENT
ligand_110,-9.645,-6.352,-9.645,EXCELLENT
ligand_111,-8.833,-5.886,-8.833,GOOD
ligand_112,-7.767,-5.481,-7.767,GOOD
ligand_113,-7.793,-4.97,-7.793,GOOD
ligand_114,-9.252,-5.28,-9.252,EXCELLENT
ligand_115,-9.524,-5.568,-9.524,EXCELLENT
ligand_116,-8.974,-4.677,-8.974,GOOD
ligand_117,-9.317,-5.863,-9.317,EXCELLENT
ligand_118,-8.713,-5.466,-8.713,GOOD
ligand_119,-10.4,-7.398,-10.4,EXCELLENT
ligand_11,0.08466,6.32,0.08466,OTHERS
ligand_120,-9.78,-6.317,-9.78,EXCELLENT
ligand_121,-8.052,-4.845,-8.052,GOOD
ligand_122,-6.31,-4.176,-6.31,OTHERS
ligand_123,-9.231,-6.206,-9.231,EXCELLENT
ligand_124,-9.617,-5.842,-9.617,EXCELLENT
ligand_125,-8.626,-5.155,-8.626,GOOD
ligand_126,-9.345,-5.301,-9.345,EXCELLENT
ligand_127,-7.435,-5.893,-7.435,GOOD
ligand_128,-9.946,-6.679,-9.946,EXCELLENT
ligand_129,-7.469,-5.578,-7.469,GOOD
ligand_12,-8.862,-5.407,-8.862,GOOD
ligand_130,-8.137,-5.289,-8.137,GOOD
ligand_131,-6.423,-4.533,-6.423,OTHERS
ligand_132,-7.96,-4.445,-7.96,GOOD
ligand_133,-9.337,-4.554,-9.337,EXCELLENT
ligand_134,-9.097,-5.687,-9.097,EXCELLENT
ligand_135,-9.239,-6.048,-9.239,EXCELLENT
ligand_136,-7.895,-5.325,-7.895,GOOD
ligand_137,-7.943,-4.359,-7.943,GOOD
ligand_138,-7.658,-4.278,-7.658,GOOD
ligand_139,-10.45,-7.119,-10.45,EXCELLENT
ligand_13,-8.277,-5.516,-8.277,GOOD
ligand_140,-9.885,-6.106,-9.885,EXCELLENT
ligand_141,-7.859,-4.621,-7.859,GOOD
ligand_142,-8.669,-5.953,-8.669,GOOD
ligand_143,-7.574,-4.268,-7.574,GOOD
ligand_144,-8.719,-5.099,-8.719,GOOD
ligand_145,-7.601,-5.836,-7.601,GOOD
ligand_146,-8.218,-5.692,-8.218,GOOD
ligand_147,-7.677,-4.18,-7.677,GOOD
ligand_148,-10.19,-6.929,-10.19,EXCELLENT
ligand_149,-8.5,-5.286,-8.5,GOOD
ligand_14,-9.526,-5.648,-9.526,EXCELLENT
ligand_150,-10.15,-6.844,-10.15,EXCELLENT
ligand_151,-7.009,-4.028,-7.009,GOOD
ligand_152,-10.13,-6.896,-10.13,EXCELLENT
ligand_153,-9.355,-6.538,-9.355,EXCELLENT
ligand_154,-8.829,-5.386,-8.829,GOOD
ligand_155,-7.296,-4.526,-7.296,GOOD
ligand_156,-7.576,-4.837,-7.576,GOOD
ligand_157,-10.1,-6.592,-10.1,EXCELLENT
ligand_158,-8.41,-4.658,-8.41,GOOD
ligand_159,-8.564,-4.941,-8.564,GOOD
ligand_15,-8.513,-5.567,-8.513,GOOD
ligand_160,-6.639,-4.518,-6.639,OTHERS
ligand_161,-8.162,-3.944,-8.162,GOOD
ligand_162,-11.03,-7.185,-11.03,EXCELLENT
ligand_163,-7.645,-5.393,-7.645,GOOD
ligand_164,-8.156,-4.713,-8.156,GOOD
ligand_165,-8.852,-6.091,-8.852,GOOD
ligand_166,-7.127,-4.6,-7.127,GOOD
ligand_167,-8.48,-5.459,-8.48,GOOD
ligand_168,-8.739,-5.351,-8.739,GOOD
ligand_169,-8.512,-5.19,-8.512,GOOD
ligand_16,-8.286,-5.283,-8.286,GOOD
ligand_170,-7.195,-4.753,-7.195,GOOD
ligand_171,-7.491,-4.822,-7.491,GOOD
ligand_172,-10.51,-6.575,-10.51,EXCELLENT
ligand_173,-8.266,-5.407,-8.266,GOOD
ligand_174,-9.279,-5.699,-9.279,EXCELLENT
ligand_175,-8.158,-4.983,-8.158,GOOD
ligand_176,-10.41,-6.396,-10.41,EXCELLENT
ligand_177,-8.586,-6.358,-8.586,GOOD
ligand_178,-7.389,-4.826,-7.389,GOOD
ligand_179,-7.419,-5.339,-7.419,GOOD
ligand_17,-9.427,-5.074,-9.427,EXCELLENT
ligand_180,-7.795,-5.151,-7.795,GOOD
ligand_181,-7.951,-4.715,-7.951,GOOD
ligand_182,-9.19,-5.774,-9.19,EXCELLENT
ligand_183,-8.613,-4.732,-8.613,GOOD
ligand_184,-9.294,-5.835,-9.294,EXCELLENT
ligand_185,-8.084,-5.293,-8.084,GOOD
ligand_186,-7.551,-5.254,-7.551,GOOD
ligand_187,-8.612,-6.171,-8.612,GOOD
ligand_188,-8.132,-4.82,-8.132,GOOD
ligand_189,-7.489,-5.284,-7.489,GOOD
ligand_18,-6.301,-3.996,-6.301,OTHERS
ligand_190,-8.022,-5.107,-8.022,GOOD
ligand_191,-8.326,-5.013,-8.326,GOOD
ligand_192,-6.454,-4.126,-6.454,OTHERS
ligand_193,-8.142,-5.2,-8.142,GOOD
ligand_194,-9.03,-6.629,-9.03,EXCELLENT
ligand_195,-8.382,-6.012,-8.382,GOOD
ligand_196,-8.281,-5.163,-8.281,GOOD
ligand_197,-8.669,-6.371,-8.669,GOOD
ligand_198,-7.404,-4.527,-7.404,GOOD
ligand_199,-10.87,-7.134,-10.87,EXCELLENT
ligand_19,-8.264,-4.903,-8.264,GOOD
ligand_1,-7.403,-3.688,-7.403,GOOD
ligand_200,-7.708,-4.242,-7.708,GOOD
ligand_201,-9.518,-5.045,-9.518,EXCELLENT
ligand_202,-8.781,-5.487,-8.781,GOOD
ligand_203,-8.55,-5.983,-8.55,GOOD
ligand_204,-7.62,-5.255,-7.62,GOOD
ligand_205,-10.37,-6.235,-10.37,EXCELLENT
ligand_206,-7.621,-5.715,-7.621,GOOD
ligand_207,-7.032,-4.873,-7.032,GOOD
ligand_208,-7.487,-4.314,-7.487,GOOD
ligand_209,-6.312,-3.96,-6.312,OTHERS
ligand_20,-8.318,-5.427,-8.318,GOOD
ligand_210,-6.969,-4.814,-6.969,OTHERS
ligand_211,-8.218,-5.325,-8.218,GOOD
ligand_212,-6.715,-4.589,-6.715,OTHERS
ligand_213,-8.138,-5.131,-8.138,GOOD
ligand_214,-8.355,-4.603,-8.355,GOOD
ligand_215,-9.851,-5.405,-9.851,EXCELLENT
ligand_216,-7.298,-4.741,-7.298,GOOD
ligand_217,-8.101,-4.513,-8.101,GOOD
ligand_218,-7.743,-6.067,-7.743,GOOD
ligand_219,-7.089,-5.117,-7.089,GOOD
ligand_21,-8.878,-4.99,-8.878,GOOD
ligand_220,-6.962,-4.173,-6.962,OTHERS
ligand_221,-8.348,-4.545,-8.348,GOOD
ligand_222,-7.179,-4.038,-7.179,GOOD
ligand_223,-7.312,-4.881,-7.312,GOOD
ligand_224,-8.752,-5.193,-8.752,GOOD
ligand_225,-6.987,-4.362,-6.987,OTHERS
ligand_226,-8.222,-4.963,-8.222,GOOD
ligand_227,-7.151,-5.338,-7.151,GOOD
ligand_228,-7.519,-4.498,-7.519,GOOD
ligand_229,-7.11,-6.067,-7.11,GOOD
ligand_22,-10.82,-7.436,-10.82,EXCELLENT
ligand_230,-8.529,-5.531,-8.529,GOOD
ligand_231,-10.19,-6.578,-10.19,EXCELLENT
ligand_232,-8.81,-5.441,-8.81,GOOD
ligand_233,-9.306,-5.817,-9.306,EXCELLENT
ligand_234,-7.241,-5,-7.241,GOOD
ligand_235,-7.605,-5.237,-7.605,GOOD
ligand_236,-8.155,-3.432,-8.155,GOOD
ligand_237,-8.77,-6.463,-8.77,GOOD
ligand_238,-7.49,-4.168,-7.49,GOOD
ligand_239,-6.095,-4.176,-6.095,OTHERS
ligand_23,-7.857,-5.456,-7.857,GOOD
ligand_240,-8.673,-4.631,-8.673,GOOD
ligand_241,-7.083,-4.514,-7.083,GOOD
ligand_242,-8.034,-4.09,-8.034,GOOD
ligand_243,-9.1,-5.776,-9.1,EXCELLENT
ligand_244,-7.642,-4.448,-7.642,GOOD
ligand_245,-7.712,-4.801,-7.712,GOOD
ligand_246,-6.291,-3.811,-6.291,OTHERS
ligand_247,-8.082,-4.387,-8.082,GOOD
ligand_248,-8.95,-5.599,-8.95,GOOD
ligand_249,-9.195,-5.101,-9.195,EXCELLENT
ligand_24,-8.421,-5.62,-8.421,GOOD
ligand_250,-6.809,-4.164,-6.809,OTHERS
ligand_251,-8.849,-6.648,-8.849,GOOD
ligand_252,-7.038,-4.953,-7.038,GOOD
ligand_253,-7.021,-4.447,-7.021,GOOD
ligand_254,-8.956,-6.092,-8.956,GOOD
ligand_255,-9.196,-5.874,-9.196,EXCELLENT
ligand_256,-7.406,-2.161,-7.406,GOOD
ligand_257,-8.873,-5.736,-8.873,GOOD
ligand_258,-8.789,-6.042,-8.789,GOOD
ligand_259,-7.687,-4.917,-7.687,GOOD
ligand_25,-9.263,-5.568,-9.263,EXCELLENT
ligand_260,-8.152,-4.715,-8.152,GOOD
ligand_261,-8.367,-5.341,-8.367,GOOD
ligand_262,-6.144,-4.815,-6.144,OTHERS
ligand_263,-7.304,-4.278,-7.304,GOOD
ligand_264,-8.409,-4.634,-8.409,GOOD
ligand_265,-9.95,-5.443,-9.95,EXCELLENT
ligand_266,-7.012,-4.126,-7.012,GOOD
ligand_267,-9.379,-5.807,-9.379,EXCELLENT
ligand_268,-7.507,-4.047,-7.507,GOOD
ligand_269,-9.982,-6.027,-9.982,EXCELLENT
ligand_26,-7.348,-0.8253,-7.348,GOOD
ligand_270,-9.831,-5.522,-9.831,EXCELLENT
ligand_271,-8.869,-6.469,-8.869,GOOD
ligand_272,-8.38,-6.236,-8.38,GOOD
ligand_273,-9.51,-6.111,-9.51,EXCELLENT
ligand_274,-8.81,-5.621,-8.81,GOOD
ligand_275,-9.901,-6.249,-9.901,EXCELLENT
ligand_276,-9.507,-5.884,-9.507,EXCELLENT
ligand_277,-11.42,-7.683,-11.42,EXCELLENT
ligand_278,-10.08,-6.179,-10.08,EXCELLENT
ligand_279,-9.631,-6.429,-9.631,EXCELLENT
ligand_27,-6.965,-4.489,-6.965,OTHERS
ligand_280,-7.938,-5.133,-7.938,GOOD
ligand_281,-9.463,-6.28,-9.463,EXCELLENT
ligand_282,-8.832,-5.382,-8.832,GOOD
ligand_283,-8.467,-5.544,-8.467,GOOD
