Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_0,-7.925,-5.422,-7.925,GOOD
ligand_100,-7.085,-3.03,-7.085,GOOD
ligand_101,-9.39,-6.395,-9.39,EXCELLENT
ligand_102,-8.973,-5.61,-8.973,GOOD
ligand_103,-8.486,-5.207,-8.486,GOOD
ligand_104,-4.765,1.802,-4.765,OTHERS
ligand_105,-8.492,-5.378,-8.492,GOOD
ligand_106,-6.617,-3.704,-6.617,OTHERS
ligand_107,-9.469,-4.953,-9.469,EXCELLENT
ligand_108,-6.378,-4.089,-6.378,OTHERS
ligand_109,-7.443,-4.428,-7.443,GOOD
ligand_10,-9.743,-2.219,-9.743,EXCELLENT
ligand_110,-8.617,-5.256,-8.617,GOOD
ligand_111,-8.644,-4.899,-8.644,GOOD
ligand_112,-8.488,-4.52,-8.488,GOOD
ligand_113,-7.029,-4.164,-7.029,GOOD
ligand_114,-8.406,-4.243,-8.406,GOOD
ligand_115,-11.28,-5.433,-11.28,EXCELLENT
ligand_116,-8.134,-4.93,-8.134,GOOD
ligand_117,-8.493,-5.326,-8.493,GOOD
ligand_118,-7.295,-3.851,-7.295,GOOD
ligand_119,-8.309,-5.891,-8.309,GOOD
ligand_11,-7.173,-4.558,-7.173,GOOD
ligand_120,-7.82,-4.075,-7.82,GOOD
ligand_121,-7.526,-4.549,-7.526,GOOD
ligand_122,-8.425,-4.489,-8.425,GOOD
ligand_123,-7.361,-4.239,-7.361,GOOD
ligand_124,-7.163,-4.111,-7.163,GOOD
ligand_125,-9.44,-4.677,-9.44,EXCELLENT
ligand_126,-7.024,-3.986,-7.024,GOOD
ligand_127,-7.564,-4.508,-7.564,GOOD
ligand_128,-9.401,-4.93,-9.401,EXCELLENT
ligand_129,-4.52,-3.264,-4.52,OTHERS
ligand_12,-8.486,-4.539,-8.486,GOOD
ligand_130,-8.582,-5.945,-8.582,GOOD
ligand_131,-8.994,-4.639,-8.994,GOOD
ligand_132,-7.256,-4.323,-7.256,GOOD
ligand_133,-6.379,-3.891,-6.379,OTHERS
ligand_134,-10.01,-6.551,-10.01,EXCELLENT
ligand_135,-6.603,-4.229,-6.603,OTHERS
ligand_136,-7.961,-5.848,-7.961,GOOD
ligand_137,-7.952,-4.717,-7.952,GOOD
ligand_138,-7.933,-4.706,-7.933,GOOD
ligand_139,-8.644,-5.466,-8.644,GOOD
ligand_140,-7.905,-3.495,-7.905,GOOD
ligand_141,-7.639,-3.758,-7.639,GOOD
ligand_142,-3.005,-3.24,-3.24,OTHERS
ligand_143,-7.337,-4.328,-7.337,GOOD
ligand_144,-8.033,-5.555,-8.033,GOOD
ligand_145,-2.841,4.579,-2.841,OTHERS
ligand_146,-9.504,-6.038,-9.504,EXCELLENT
ligand_147,-7.085,-3.886,-7.085,GOOD
ligand_148,-7.65,-4.54,-7.65,GOOD
ligand_149,-9.7,-6.408,-9.7,EXCELLENT
ligand_14,-7.923,-3.842,-7.923,GOOD
ligand_150,-9.118,-5.259,-9.118,EXCELLENT
ligand_151,-4.211,-3.891,-4.211,OTHERS
ligand_152,-5.934,-4.513,-5.934,OTHERS
ligand_153,-7.213,-4.177,-7.213,GOOD
ligand_154,-5.344,-3.498,-5.344,OTHERS
ligand_155,-8.294,-4.766,-8.294,GOOD
ligand_156,-7.67,-4.422,-7.67,GOOD
ligand_157,-8.136,-4.713,-8.136,GOOD
ligand_158,-7.297,-4.203,-7.297,GOOD
ligand_159,-7.31,-3.508,-7.31,GOOD
ligand_15,-8.146,-4.163,-8.146,GOOD
ligand_160,-9.513,-5.832,-9.513,EXCELLENT
ligand_161,-8.643,-5.461,-8.643,GOOD
ligand_162,-7.348,-3.606,-7.348,GOOD
ligand_164,-9.615,-5.882,-9.615,EXCELLENT
ligand_165,-8.923,-5.322,-8.923,GOOD
ligand_166,-7.376,-4.482,-7.376,GOOD
ligand_167,-5.586,-4.557,-5.586,OTHERS
ligand_168,-8.152,-5.243,-8.152,GOOD
ligand_169,-8.123,-5.504,-8.123,GOOD
ligand_16,-8.59,-5.795,-8.59,GOOD
ligand_170,-7.434,-4.706,-7.434,GOOD
ligand_171,-4.072,2.687,-4.072,OTHERS
ligand_172,-8.827,-5.124,-8.827,GOOD
ligand_173,-8.917,-6.015,-8.917,GOOD
ligand_174,-8.913,-4.586,-8.913,GOOD
ligand_175,-8.027,-4.709,-8.027,GOOD
ligand_176,-9.449,-4.775,-9.449,EXCELLENT
ligand_177,-9.595,-5.343,-9.595,EXCELLENT
ligand_178,-8.563,-5.576,-8.563,GOOD
ligand_179,-9.003,-4.507,-9.003,EXCELLENT
ligand_17,-7.742,-4.95,-7.742,GOOD
ligand_180,-6.465,-3.811,-6.465,OTHERS
ligand_181,-5.658,-4.528,-5.658,OTHERS
ligand_182,-7.642,-4.717,-7.642,GOOD
ligand_183,-8.672,-5.08,-8.672,GOOD
ligand_184,-5.355,-4.838,-5.355,OTHERS
ligand_185,-8.444,-5.042,-8.444,GOOD
ligand_186,-8.54,-5.823,-8.54,GOOD
ligand_187,-5.924,3.446,-5.924,OTHERS
ligand_188,-6.229,-5.003,-6.229,OTHERS
ligand_18,-8.305,-5.126,-8.305,GOOD
ligand_191,-7.873,-4.129,-7.873,GOOD
ligand_192,-7.398,-4.2,-7.398,GOOD
ligand_193,-10.55,-6.571,-10.55,EXCELLENT
ligand_194,-9.122,-5.051,-9.122,EXCELLENT
ligand_195,-8.429,-4.444,-8.429,GOOD
ligand_196,-8.984,-6.443,-8.984,GOOD
ligand_197,-8.576,-5.765,-8.576,GOOD
ligand_198,-9.262,-5.115,-9.262,EXCELLENT
ligand_199,-7.886,-3.611,-7.886,GOOD
ligand_19,-8.219,-4.771,-8.219,GOOD
ligand_1,-6.312,-3.587,-6.312,OTHERS
ligand_200,-9.435,-5.668,-9.435,EXCELLENT
ligand_201,-10.25,-5.338,-10.25,EXCELLENT
ligand_202,-8.424,-5.038,-8.424,GOOD
ligand_203,-8.25,-3.894,-8.25,GOOD
ligand_204,-6.859,-4.394,-6.859,OTHERS
ligand_205,-7.723,-4.857,-7.723,GOOD
ligand_206,-8.485,-5.732,-8.485,GOOD
ligand_207,-7.653,-3.693,-7.653,GOOD
ligand_208,-8.614,-5.05,-8.614,GOOD
ligand_209,-8.608,-5.392,-8.608,GOOD
ligand_20,-8.204,-5.291,-8.204,GOOD
ligand_210,-8.545,-5.567,-8.545,GOOD
ligand_211,-7.509,-4.391,-7.509,GOOD
ligand_212,-10.83,-6.454,-10.83,EXCELLENT
ligand_213,-7.101,-4.32,-7.101,GOOD
ligand_214,-10.27,-5.637,-10.27,EXCELLENT
ligand_215,-8.974,-4.553,-8.974,GOOD
ligand_216,-11.41,-5.263,-11.41,EXCELLENT
ligand_217,-7.137,-4.367,-7.137,GOOD
ligand_218,-10.26,-5.053,-10.26,EXCELLENT
ligand_219,-8.16,-4.455,-8.16,GOOD
ligand_21,-9.285,-5.324,-9.285,EXCELLENT
ligand_220,-7.917,-4.085,-7.917,GOOD
ligand_222,-8.261,-4.467,-8.261,GOOD
ligand_223,-6.872,-4.833,-6.872,OTHERS
ligand_224,-7.817,-4.477,-7.817,GOOD
ligand_225,-8.971,-5.178,-8.971,GOOD
ligand_226,-9.877,-5.898,-9.877,EXCELLENT
ligand_227,-7.763,-4.873,-7.763,GOOD
ligand_228,-8.284,-4.944,-8.284,GOOD
ligand_229,-8.208,-4.96,-8.208,GOOD
ligand_22,-7.665,-4.968,-7.665,GOOD
ligand_230,-7.16,-4.236,-7.16,GOOD
ligand_231,-6.828,-4.373,-6.828,OTHERS
ligand_232,-5.272,-5.374,-5.374,OTHERS
ligand_233,-7.063,-4.349,-7.063,GOOD
ligand_234,-8.042,-4.731,-8.042,GOOD
ligand_235,-7.157,-4.411,-7.157,GOOD
ligand_236,-7.854,-4.913,-7.854,GOOD
ligand_237,-8.215,-4.512,-8.215,GOOD
ligand_238,-8.631,-5.559,-8.631,GOOD
ligand_239,-8.517,-4.485,-8.517,GOOD
ligand_23,-11.32,-6.895,-11.32,EXCELLENT
ligand_240,-7.744,-5.575,-7.744,GOOD
ligand_241,-8.365,-4.893,-8.365,GOOD
ligand_242,-8.2,-4.39,-8.2,GOOD
ligand_243,-8.738,-5.859,-8.738,GOOD
ligand_244,-7.277,-5.274,-7.277,GOOD
ligand_245,-7.419,-5.322,-7.419,GOOD
ligand_246,-8.687,-4.431,-8.687,GOOD
ligand_247,-8.952,-4.347,-8.952,GOOD
ligand_248,-7.179,-3.994,-7.179,GOOD
ligand_249,-6.879,-2.364,-6.879,OTHERS
ligand_24,-7.306,-3.698,-7.306,GOOD
ligand_251,-8.191,-4.827,-8.191,GOOD
ligand_252,-8.68,-4.826,-8.68,GOOD
ligand_253,-7.636,-4.612,-7.636,GOOD
ligand_254,-7.172,-4.337,-7.172,GOOD
ligand_255,-5.184,-3.431,-5.184,OTHERS
ligand_256,-7.985,-4.704,-7.985,GOOD
ligand_257,-7.809,-4.695,-7.809,GOOD
ligand_258,-7.386,-4.105,-7.386,GOOD
ligand_259,-8.4,-4.774,-8.4,GOOD
ligand_25,-5.459,-3.2,-5.459,OTHERS
ligand_260,-8.365,-3.87,-8.365,GOOD
ligand_261,-8.293,-5.306,-8.293,GOOD
ligand_262,-6.39,-3.638,-6.39,OTHERS
ligand_263,-10.14,-6.119,-10.14,EXCELLENT
ligand_264,-9.73,-5.132,-9.73,EXCELLENT
ligand_265,-7.944,-4.78,-7.944,GOOD
ligand_266,-7.003,-4.64,-7.003,GOOD
ligand_267,-8.328,-4.064,-8.328,GOOD
ligand_268,-8.464,-4.894,-8.464,GOOD
ligand_269,-6.943,-3.854,-6.943,OTHERS
ligand_26,-6.891,-3.96,-6.891,OTHERS
ligand_270,-7.179,-4.566,-7.179,GOOD
ligand_271,-7.223,-4.951,-7.223,GOOD
ligand_272,-8.725,-4.865,-8.725,GOOD
ligand_273,-8.896,-5.028,-8.896,GOOD
ligand_274,-7.18,-3.726,-7.18,GOOD
ligand_275,-8.778,-5.193,-8.778,GOOD
ligand_276,-9.216,-5.909,-9.216,EXCELLENT
ligand_277,-7.266,-0.3437,-7.266,GOOD
ligand_278,-7.32,-4.52,-7.32,GOOD
ligand_279,-9.232,-5.74,-9.232,EXCELLENT
ligand_27,-9.151,-5.296,-9.151,EXCELLENT
ligand_280,-10.61,-3.873,-10.61,EXCELLENT
ligand_281,-7.705,-5.014,-7.705,GOOD
ligand_282,-8.644,-4.77,-8.644,GOOD
ligand_283,-8.994,-5.688,-8.994,GOOD
ligand_284,-8.649,-5.879,-8.649,GOOD
ligand_285,-7.109,-4.496,-7.109,GOOD
ligand_286,-7.565,-4.227,-7.565,GOOD
ligand_287,-8.324,-4.616,-8.324,GOOD
ligand_288,-7.269,-4.314,-7.269,GOOD
ligand_289,-7.484,-3.79,-7.484,GOOD
ligand_28,-6.296,-4.309,-6.296,OTHERS
ligand_290,-7.222,-4.171,-7.222,GOOD
ligand_291,-8.092,-5.2,-8.092,GOOD
ligand_292,-8.882,-4.657,-8.882,GOOD
ligand_293,-8.653,-5.63,-8.653,GOOD
ligand_294,-9.743,-5.422,-9.743,EXCELLENT
ligand_295,-8.682,-4.55,-8.682,GOOD
ligand_296,-8.96,-4.379,-8.96,GOOD
ligand_297,-7.82,-5.311,-7.82,GOOD
ligand_298,-8.685,-6.426,-8.685,GOOD
ligand_299,-8.12,-4.877,-8.12,GOOD
ligand_29,-8.241,-4.66,-8.241,GOOD
ligand_2,-8.682,-5.102,-8.682,GOOD
ligand_300,-8.361,-4.46,-8.361,GOOD
ligand_301,-7.355,-4.029,-7.355,GOOD
ligand_302,-9.827,-4.286,-9.827,EXCELLENT
ligand_303,-8.432,-4.446,-8.432,GOOD
ligand_304,-7.639,-4.16,-7.639,GOOD
ligand_305,-6.899,-4.332,-6.899,OTHERS
ligand_306,-7.911,-4.491,-7.911,GOOD
ligand_307,-7.905,-5.098,-7.905,GOOD
ligand_308,-7.638,-5.037,-7.638,GOOD
ligand_309,-8.969,-5.256,-8.969,GOOD
ligand_310,-7.374,-4.787,-7.374,GOOD
ligand_311,-6.774,-0.9411,-6.774,OTHERS
ligand_312,-7.004,-4.907,-7.004,GOOD
ligand_313,-8.609,-4.937,-8.609,GOOD
ligand_314,-9.249,-4.79,-9.249,EXCELLENT
ligand_315,-9.052,-5.308,-9.052,EXCELLENT
ligand_316,-8.128,-4.952,-8.128,GOOD
ligand_317,-9.182,-5.963,-9.182,EXCELLENT
ligand_318,-7.093,-4.459,-7.093,GOOD
ligand_319,-8.006,-4.878,-8.006,GOOD
ligand_31,-9.38,-2.719,-9.38,EXCELLENT
ligand_320,-9.434,-5.183,-9.434,EXCELLENT
ligand_321,-7.304,-4.053,-7.304,GOOD
ligand_322,-9.14,-5.328,-9.14,EXCELLENT
ligand_323,-9.254,-4.384,-9.254,EXCELLENT
ligand_324,-9.023,-4.904,-9.023,EXCELLENT
ligand_325,-9.917,-5.321,-9.917,EXCELLENT
ligand_326,-7.166,-4.096,-7.166,GOOD
ligand_327,-8.373,-5.377,-8.373,GOOD
ligand_328,-8.865,-4.889,-8.865,GOOD
ligand_329,-7.338,-4.417,-7.338,GOOD
ligand_32,-8.422,-4.142,-8.422,GOOD
ligand_330,-5.757,-3.413,-5.757,OTHERS
ligand_331,-9.342,-4.712,-9.342,EXCELLENT
ligand_333,-9.322,-5.293,-9.322,EXCELLENT
ligand_334,-6.826,-4.114,-6.826,OTHERS
ligand_335,-8.988,-5.85,-8.988,GOOD
ligand_336,-8.445,-4.66,-8.445,GOOD
ligand_337,-7.725,-5.916,-7.725,GOOD
ligand_338,-5.608,-4.547,-5.608,OTHERS
ligand_339,-5.279,-3.509,-5.279,OTHERS
ligand_33,-6.527,-3.676,-6.527,OTHERS
ligand_340,-9.828,-3.919,-9.828,EXCELLENT
ligand_341,-7.687,-4.329,-7.687,GOOD
ligand_342,-7.855,-5.011,-7.855,GOOD
ligand_343,-8.284,-4.911,-8.284,GOOD
ligand_344,-6.266,-4.99,-6.266,OTHERS
ligand_345,-10.55,-6.24,-10.55,EXCELLENT
ligand_346,-9.319,-6.103,-9.319,EXCELLENT
ligand_347,-8.206,-4.832,-8.206,GOOD
ligand_348,-6.279,-4.232,-6.279,OTHERS
ligand_349,-8.054,-4.262,-8.054,GOOD
ligand_34,-9.079,-5.867,-9.079,EXCELLENT
ligand_351,-8.765,-5.381,-8.765,GOOD
ligand_352,-8.203,-5.285,-8.203,GOOD
ligand_354,-8.245,-4.665,-8.245,GOOD
ligand_355,-7.478,-4.571,-7.478,GOOD
ligand_356,-8.429,-4.833,-8.429,GOOD
ligand_357,-9.022,-5.843,-9.022,EXCELLENT
ligand_358,-8.522,-4.845,-8.522,GOOD
ligand_359,-8.981,-4.96,-8.981,GOOD
ligand_35,-3.753,-3.701,-3.753,OTHERS
ligand_361,-9.839,-5.609,-9.839,EXCELLENT
ligand_362,-6.592,-4.18,-6.592,OTHERS
ligand_363,-8.79,-4.957,-8.79,GOOD
ligand_364,-6.998,-4.053,-6.998,OTHERS
ligand_365,-2.035,5.661,-2.035,OTHERS
