Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_0,-6.494,-4.495,-6.494,OTHERS
ligand_100,-6.074,-4.677,-6.074,OTHERS
ligand_101,-5.62,-5.144,-5.62,OTHERS
ligand_102,-6.688,-5.499,-6.688,OTHERS
ligand_103,-6.907,-5.588,-6.907,OTHERS
ligand_104,-6.804,-5.116,-6.804,OTHERS
ligand_105,-6.757,-5.003,-6.757,OTHERS
ligand_106,-7.461,-4.785,-7.461,GOOD
ligand_107,-6.97,-5.605,-6.97,OTHERS
ligand_108,-6.233,-5.296,-6.233,OTHERS
ligand_109,-6.253,-5.068,-6.253,OTHERS
ligand_10,-6.917,-4.779,-6.917,OTHERS
ligand_110,-6.922,-5.458,-6.922,OTHERS
ligand_111,-6.785,-5.819,-6.785,OTHERS
ligand_112,-5.959,-5.064,-5.959,OTHERS
ligand_113,-6.848,-5.304,-6.848,OTHERS
ligand_114,-7.47,-6.902,-7.47,GOOD
ligand_115,-6.769,-5.054,-6.769,OTHERS
ligand_116,-6.906,-4.461,-6.906,OTHERS
ligand_117,-7.456,-6.201,-7.456,GOOD
ligand_118,-6.736,-4.751,-6.736,OTHERS
ligand_119,-7.96,-6.489,-7.96,GOOD
ligand_11,-7.946,-6.354,-7.946,GOOD
ligand_120,-7.264,-5.902,-7.264,GOOD
ligand_121,-6.63,-5.782,-6.63,OTHERS
ligand_122,-5.246,-4.121,-5.246,OTHERS
ligand_123,-6.338,-4.876,-6.338,OTHERS
ligand_124,-7.837,-5.742,-7.837,GOOD
ligand_125,-6.869,-5.569,-6.869,OTHERS
ligand_126,-6.883,-4.982,-6.883,OTHERS
ligand_127,-6.047,-5.793,-6.047,OTHERS
ligand_128,-7.423,-5.748,-7.423,GOOD
ligand_129,-5.631,-3.819,-5.631,OTHERS
ligand_12,-7.917,-6.14,-7.917,GOOD
ligand_130,-7.632,-6.756,-7.632,GOOD
ligand_131,-5.486,-4.937,-5.486,OTHERS
ligand_132,-6.245,-5.287,-6.245,OTHERS
ligand_133,-6.314,-4.661,-6.314,OTHERS
ligand_134,-7.503,-4.444,-7.503,GOOD
ligand_135,-7.933,-4.899,-7.933,GOOD
ligand_136,-6.488,-5.277,-6.488,OTHERS
ligand_137,-5.618,-4.397,-5.618,OTHERS
ligand_138,-5.405,-3.888,-5.405,OTHERS
ligand_139,-7.595,-5.643,-7.595,GOOD
ligand_13,-6.609,-5.762,-6.609,OTHERS
ligand_140,-7.974,-5.02,-7.974,GOOD
ligand_141,-6.321,-4.62,-6.321,OTHERS
ligand_142,-6.26,-5.05,-6.26,OTHERS
ligand_143,-6.872,-4.874,-6.872,OTHERS
ligand_144,-7.335,-4.86,-7.335,GOOD
ligand_145,-5.85,-3.643,-5.85,OTHERS
ligand_146,-6.658,-5.71,-6.658,OTHERS
ligand_147,-5.779,-4.451,-5.779,OTHERS
ligand_148,-7.622,-6.165,-7.622,GOOD
ligand_149,-7.014,-5.356,-7.014,GOOD
ligand_14,-7.79,-5.888,-7.79,GOOD
ligand_150,-7.325,-5.774,-7.325,GOOD
ligand_151,-5.832,-4.309,-5.832,OTHERS
ligand_152,-7.713,-5.934,-7.713,GOOD
ligand_153,-6.704,-5.84,-6.704,OTHERS
ligand_154,-6.776,-5.15,-6.776,OTHERS
ligand_155,-5.515,-4.094,-5.515,OTHERS
ligand_156,-5.889,-4.08,-5.889,OTHERS
ligand_157,-7.747,-5.788,-7.747,GOOD
ligand_158,-6.763,-5.341,-6.763,OTHERS
ligand_159,-6.901,-5.329,-6.901,OTHERS
ligand_15,-6.632,-4.754,-6.632,OTHERS
ligand_160,-5.037,-4.844,-5.037,OTHERS
ligand_161,-6.557,-4.836,-6.557,OTHERS
ligand_162,-9.306,-7.113,-9.306,EXCELLENT
ligand_163,-5.681,-4.106,-5.681,OTHERS
ligand_164,-6.668,-5.011,-6.668,OTHERS
ligand_165,-6.724,-5.376,-6.724,OTHERS
ligand_166,-5.91,-4.722,-5.91,OTHERS
ligand_167,-7.267,-5.744,-7.267,GOOD
ligand_168,-7.055,-5.95,-7.055,GOOD
ligand_169,-6.37,-5.493,-6.37,OTHERS
ligand_16,-6.581,-4.94,-6.581,OTHERS
ligand_170,-6.151,-4.985,-6.151,OTHERS
ligand_171,-6.629,-5.413,-6.629,OTHERS
ligand_172,-8.317,-6.092,-8.317,GOOD
ligand_173,-5.972,-4.367,-5.972,OTHERS
ligand_174,-7.292,-6.145,-7.292,GOOD
ligand_175,-5.929,-4.463,-5.929,OTHERS
ligand_176,-7.845,-5.667,-7.845,GOOD
ligand_177,-6.237,-4.603,-6.237,OTHERS
ligand_178,-5.742,-4.659,-5.742,OTHERS
ligand_179,-5.003,-3.843,-5.003,OTHERS
ligand_17,-7.729,-5.55,-7.729,GOOD
ligand_180,-6.1,-5.491,-6.1,OTHERS
ligand_181,-7.423,-6.049,-7.423,GOOD
ligand_182,-7.302,-5.639,-7.302,GOOD
ligand_183,-7.114,-5.728,-7.114,GOOD
ligand_184,-6.575,-5.141,-6.575,OTHERS
ligand_185,-6.553,-5.873,-6.553,OTHERS
ligand_186,-5.632,-4.776,-5.632,OTHERS
ligand_187,-6.123,-5.502,-6.123,OTHERS
ligand_188,-6.567,-5.176,-6.567,OTHERS
ligand_189,-5.284,-3.926,-5.284,OTHERS
ligand_18,-5.473,-5.038,-5.473,OTHERS
ligand_190,-6.431,-4.546,-6.431,OTHERS
ligand_191,-6.517,-5.264,-6.517,OTHERS
ligand_192,-5.545,-4.255,-5.545,OTHERS
ligand_193,-6.532,-5.636,-6.532,OTHERS
ligand_194,-6.722,-5.988,-6.722,OTHERS
ligand_195,-6.479,-5.258,-6.479,OTHERS
ligand_196,-6.623,-5.138,-6.623,OTHERS
ligand_197,-6.209,-5.419,-6.209,OTHERS
ligand_198,-6.085,-4.9,-6.085,OTHERS
ligand_199,-8.672,-6.697,-8.672,GOOD
ligand_19,-6.771,-5.895,-6.771,OTHERS
ligand_1,-6.578,-4.92,-6.578,OTHERS
ligand_200,-6.057,-4.992,-6.057,OTHERS
ligand_201,-7.515,-6.125,-7.515,GOOD
ligand_202,-7.154,-5.995,-7.154,GOOD
ligand_203,-6.852,-5.569,-6.852,OTHERS
ligand_204,-6.257,-4.896,-6.257,OTHERS
ligand_205,-7.891,-6.142,-7.891,GOOD
ligand_206,-6.218,-5.125,-6.218,OTHERS
ligand_207,-5.513,-4.537,-5.513,OTHERS
ligand_208,-6.726,-5.764,-6.726,OTHERS
ligand_209,-4.711,-4.106,-4.711,OTHERS
ligand_20,-6.431,-5.121,-6.431,OTHERS
ligand_210,-4.692,-3.768,-4.692,OTHERS
ligand_211,-6.249,-5.414,-6.249,OTHERS
ligand_212,-5.172,-4.579,-5.172,OTHERS
ligand_213,-7.992,-5.605,-7.992,GOOD
ligand_214,-7.066,-5.277,-7.066,GOOD
ligand_215,-7.294,-6.045,-7.294,GOOD
ligand_216,-6.472,-4.629,-6.472,OTHERS
ligand_217,-6.817,-5.251,-6.817,OTHERS
ligand_218,-4.941,-4.323,-4.941,OTHERS
ligand_219,-6.508,-4.728,-6.508,OTHERS
ligand_21,-6.595,-4.913,-6.595,OTHERS
ligand_220,-5.963,-4.758,-5.963,OTHERS
ligand_221,-5.868,-4.822,-5.868,OTHERS
ligand_222,-7.345,-5.142,-7.345,GOOD
ligand_223,-6.258,-5.679,-6.258,OTHERS
ligand_224,-6.929,-4.956,-6.929,OTHERS
ligand_225,-5.941,-4.312,-5.941,OTHERS
ligand_226,-6.377,-5.497,-6.377,OTHERS
ligand_227,-5.68,-4.179,-5.68,OTHERS
ligand_228,-6.444,-4.562,-6.444,OTHERS
ligand_229,-5.72,-4.922,-5.72,OTHERS
ligand_22,-7.884,-6.051,-7.884,GOOD
ligand_230,-6.818,-4.946,-6.818,OTHERS
ligand_231,-7.717,-5.867,-7.717,GOOD
ligand_232,-6.155,-4.257,-6.155,OTHERS
ligand_233,-7.09,-5.97,-7.09,GOOD
ligand_234,-5.645,-4.418,-5.645,OTHERS
ligand_235,-5.782,-4.214,-5.782,OTHERS
ligand_236,-5.786,-4.489,-5.786,OTHERS
ligand_237,-6.104,-5.467,-6.104,OTHERS
ligand_238,-5.945,-4.603,-5.945,OTHERS
ligand_239,-5.306,-4.262,-5.306,OTHERS
ligand_23,-5.971,-5.124,-5.971,OTHERS
ligand_240,-6.931,-5.087,-6.931,OTHERS
ligand_241,-6.141,-4.832,-6.141,OTHERS
ligand_242,-6.569,-4.425,-6.569,OTHERS
ligand_243,-7.508,-5.741,-7.508,GOOD
ligand_244,-6.42,-4.24,-6.42,OTHERS
ligand_245,-5.618,-4.227,-5.618,OTHERS
ligand_246,-5.133,-3.919,-5.133,OTHERS
ligand_247,-7.337,-5.305,-7.337,GOOD
ligand_248,-7.029,-5.419,-7.029,GOOD
ligand_249,-7.832,-5.865,-7.832,GOOD
ligand_24,-6.301,-5.028,-6.301,OTHERS
ligand_250,-5.951,-5.025,-5.951,OTHERS
ligand_251,-6.878,-5.804,-6.878,OTHERS
ligand_252,-5.64,-4.994,-5.64,OTHERS
ligand_253,-5.681,-4.85,-5.681,OTHERS
ligand_254,-6.132,-4.676,-6.132,OTHERS
ligand_255,-6.559,-4.43,-6.559,OTHERS
ligand_256,-7.33,-4.691,-7.33,GOOD
ligand_257,-6.485,-5.281,-6.485,OTHERS
ligand_258,-6.752,-5.027,-6.752,OTHERS
ligand_259,-5.234,-4.02,-5.234,OTHERS
ligand_25,-6.973,-4.914,-6.973,OTHERS
ligand_260,-6.174,-4.661,-6.174,OTHERS
ligand_261,-7.25,-5.318,-7.25,GOOD
ligand_262,-4.75,-3.694,-4.75,OTHERS
ligand_263,-6.582,-4.551,-6.582,OTHERS
ligand_264,-6.028,-4.964,-6.028,OTHERS
ligand_265,-7.987,-7.061,-7.987,GOOD
ligand_266,-5.871,-4.654,-5.871,OTHERS
ligand_267,-6.736,-5.918,-6.736,OTHERS
ligand_268,-5.425,-4.137,-5.425,OTHERS
ligand_269,-7.988,-6.436,-7.988,GOOD
ligand_26,-8.104,-5.751,-8.104,GOOD
ligand_270,-7.595,-6.318,-7.595,GOOD
ligand_271,-7.283,-5.779,-7.283,GOOD
ligand_272,-5.74,-4.836,-5.74,OTHERS
ligand_273,-7.859,-6.458,-7.859,GOOD
ligand_274,-6.63,-5.756,-6.63,OTHERS
ligand_275,-8.39,-6.105,-8.39,GOOD
ligand_276,-6.96,-5.894,-6.96,OTHERS
ligand_277,-9.212,-6.8,-9.212,EXCELLENT
ligand_278,-7.852,-6.128,-7.852,GOOD
ligand_279,-7.43,-5.312,-7.43,GOOD
ligand_27,-5.742,-5.442,-5.742,OTHERS
ligand_280,-7.286,-6.411,-7.286,GOOD
ligand_281,-6.912,-5.279,-6.912,OTHERS
ligand_282,-7.057,-6.113,-7.057,GOOD
ligand_283,-6.777,-5.578,-6.777,OTHERS
ligand_284,-5.603,-4.523,-5.603,OTHERS
ligand_285,-6.714,-4.631,-6.714,OTHERS
ligand_286,-7.074,-5.25,-7.074,GOOD
