Ligand,Affinity_kcal_mol,Category
ligand_0,-6.777,OTHERS
ligand_100,-6.898,OTHERS
ligand_101,-6.586,OTHERS
ligand_102,-7,GOOD
ligand_103,-6.65,OTHERS
ligand_104,-8.933,GOOD
ligand_105,-6.897,OTHERS
ligand_106,-5.65,OTHERS
ligand_107,-7.553,GOOD
ligand_108,-5.422,OTHERS
ligand_109,-6.565,OTHERS
ligand_10,-8.212,GOOD
ligand_110,-6.413,OTHERS
ligand_111,-7.937,GOOD
ligand_112,-6.998,OTHERS
ligand_113,-5.549,OTHERS
ligand_114,-6.956,OTHERS
ligand_115,-8.157,GOOD
ligand_116,-6.829,OTHERS
ligand_117,-6.994,OTHERS
ligand_118,-6.56,OTHERS
ligand_119,-5.625,OTHERS
ligand_11,-5.98,OTHERS
ligand_120,-7.06,GOOD
ligand_121,-6.922,OTHERS
ligand_122,-6.507,OTHERS
ligand_123,-6.469,OTHERS
ligand_124,-5.383,OTHERS
ligand_125,-7.487,GOOD
ligand_126,-6.073,OTHERS
ligand_127,-7.056,GOOD
ligand_128,-8.025,GOOD
ligand_129,-3.912,OTHERS
ligand_12,-7.133,GOOD
ligand_130,-6.114,OTHERS
ligand_131,-6.522,OTHERS
ligand_132,-5.28,OTHERS
ligand_133,-5.393,OTHERS
ligand_134,-7.261,GOOD
ligand_135,-6.256,OTHERS
ligand_136,-6.151,OTHERS
ligand_137,-6.402,OTHERS
ligand_138,-5.906,OTHERS
ligand_139,-6.662,OTHERS
ligand_140,-7.967,GOOD
ligand_141,-6.174,OTHERS
ligand_142,-2.553,OTHERS
ligand_143,-6.324,OTHERS
ligand_144,-6.441,OTHERS
ligand_145,-7.9,GOOD
ligand_146,-7.436,GOOD
ligand_147,-5.991,OTHERS
ligand_148,-6.838,OTHERS
ligand_149,-7.178,GOOD
ligand_14,-7.366,GOOD
ligand_150,-7.552,GOOD
ligand_151,-3.163,OTHERS
ligand_152,-4.502,OTHERS
ligand_153,-5.876,OTHERS
ligand_154,-4.853,OTHERS
ligand_155,-6.261,OTHERS
ligand_156,-6.202,OTHERS
ligand_157,-6.772,OTHERS
ligand_158,-5.943,OTHERS
ligand_159,-7.798,GOOD
ligand_15,-7.221,GOOD
ligand_160,-6.864,OTHERS
ligand_161,-6.957,OTHERS
ligand_162,-6.966,OTHERS
ligand_164,-8.203,GOOD
ligand_165,-7.135,GOOD
ligand_166,-6.169,OTHERS
ligand_167,-4.479,OTHERS
ligand_168,-7.377,GOOD
ligand_169,-6.597,OTHERS
ligand_16,-7.248,GOOD
ligand_170,-5.875,OTHERS
ligand_171,-9.017,EXCELLENT
ligand_172,-6.754,OTHERS
ligand_173,-7.597,GOOD
ligand_174,-7.933,GOOD
ligand_175,-6.584,OTHERS
ligand_176,-8.158,GOOD
ligand_177,-7.88,GOOD
ligand_178,-6.826,OTHERS
ligand_179,-6.516,OTHERS
ligand_17,-5.787,OTHERS
ligand_180,-5.619,OTHERS
ligand_181,-4.72,OTHERS
ligand_182,-6.351,OTHERS
ligand_183,-6.933,OTHERS
