Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_0,-6.723,-6.033,-6.723,OTHERS
ligand_100,-6.899,-5.062,-6.899,OTHERS
ligand_101,-6.694,-5.079,-6.694,OTHERS
ligand_102,-7.061,-5.269,-7.061,GOOD
ligand_103,-6.609,-6.118,-6.609,OTHERS
ligand_104,-8.969,-5.961,-8.969,GOOD
ligand_105,-6.909,-5.591,-6.909,OTHERS
ligand_106,-5.601,-4.629,-5.601,OTHERS
ligand_107,-7.478,-5.246,-7.478,GOOD
ligand_108,-5.401,-4.528,-5.401,OTHERS
ligand_109,-6.851,-5.065,-6.851,OTHERS
ligand_10,-8.138,-5.454,-8.138,GOOD
ligand_110,-6.545,-5.938,-6.545,OTHERS
ligand_111,-8.027,-5.383,-8.027,GOOD
ligand_112,-7.002,-5.159,-7.002,GOOD
ligand_113,-5.164,-4.282,-5.164,OTHERS
ligand_114,-6.951,-5.348,-6.951,OTHERS
ligand_115,-7.881,-5.596,-7.881,GOOD
ligand_116,-6.836,-4.977,-6.836,OTHERS
ligand_117,-7.042,-4.724,-7.042,GOOD
ligand_118,-6.582,-5.074,-6.582,OTHERS
ligand_119,-5.597,-4.484,-5.597,OTHERS
ligand_11,-6.109,-4.747,-6.109,OTHERS
ligand_120,-7.123,-4.922,-7.123,GOOD
ligand_121,-6.925,-5.311,-6.925,OTHERS
ligand_122,-6.573,-4.792,-6.573,OTHERS
ligand_123,-6.483,-4.372,-6.483,OTHERS
ligand_124,-5.492,-4.219,-5.492,OTHERS
ligand_125,-7.441,-5.026,-7.441,GOOD
ligand_126,-6.239,-4.643,-6.239,OTHERS
ligand_127,-7.076,-5.178,-7.076,GOOD
ligand_128,-7.971,-5.947,-7.971,GOOD
ligand_129,-3.898,-3.886,-3.898,OTHERS
ligand_12,-6.942,-5.611,-6.942,OTHERS
ligand_130,-6.169,-4.655,-6.169,OTHERS
ligand_131,-6.544,-4.919,-6.544,OTHERS
ligand_132,-5.304,-4.414,-5.304,OTHERS
ligand_133,-5.369,-4.356,-5.369,OTHERS
ligand_134,-7.354,-5.524,-7.354,GOOD
ligand_135,-6.272,-4.986,-6.272,OTHERS
ligand_136,-6.275,-5.312,-6.275,OTHERS
ligand_137,-6.442,-5.043,-6.442,OTHERS
ligand_138,-5.962,-4.873,-5.962,OTHERS
ligand_139,-6.966,-5.651,-6.966,OTHERS
ligand_140,-8.004,-5.59,-8.004,GOOD
ligand_141,-6.131,-4.795,-6.131,OTHERS
ligand_142,-2.541,-2.179,-2.541,OTHERS
ligand_143,-6.377,-4.423,-6.377,OTHERS
ligand_144,-6.462,-5.126,-6.462,OTHERS
ligand_145,-8.442,-6.06,-8.442,GOOD
ligand_146,-7.469,-5.874,-7.469,GOOD
ligand_147,-5.981,-4.317,-5.981,OTHERS
ligand_148,-6.88,-5.208,-6.88,OTHERS
ligand_149,-7.14,-5.878,-7.14,GOOD
ligand_14,-7.361,-5.64,-7.361,GOOD
ligand_150,-7.514,-6.359,-7.514,GOOD
ligand_151,-3.162,-3.103,-3.162,OTHERS
ligand_152,-4.512,-3.814,-4.512,OTHERS
ligand_153,-5.952,-4.586,-5.952,OTHERS
ligand_154,-4.905,-4.364,-4.905,OTHERS
ligand_155,-6.177,-4.615,-6.177,OTHERS
ligand_156,-6.329,-5.179,-6.329,OTHERS
ligand_157,-6.77,-5.55,-6.77,OTHERS
ligand_158,-5.928,-3.921,-5.928,OTHERS
ligand_159,-7.789,-5.112,-7.789,GOOD
ligand_15,-7.356,-5.755,-7.356,GOOD
ligand_160,-6.921,-5.431,-6.921,OTHERS
ligand_161,-6.659,-5.446,-6.659,OTHERS
ligand_162,-7.067,-5.055,-7.067,GOOD
ligand_164,-8.047,-5.958,-8.047,GOOD
ligand_165,-7.145,-5.464,-7.145,GOOD
ligand_166,-6.203,-5.592,-6.203,OTHERS
ligand_167,-4.521,-3.905,-4.521,OTHERS
ligand_168,-7.338,-5.985,-7.338,GOOD
ligand_169,-6.587,-5.406,-6.587,OTHERS
ligand_16,-7.245,-5.644,-7.245,GOOD
ligand_170,-5.845,-5.08,-5.845,OTHERS
ligand_171,-9.032,-6.264,-9.032,EXCELLENT
ligand_172,-6.706,-5.009,-6.706,OTHERS
ligand_173,-7.586,-5.478,-7.586,GOOD
ligand_174,-7.893,-5.994,-7.893,GOOD
ligand_175,-6.638,-4.61,-6.638,OTHERS
ligand_176,-8.083,-5.247,-8.083,GOOD
ligand_177,-7.891,-5.423,-7.891,GOOD
ligand_178,-6.801,-5.618,-6.801,OTHERS
ligand_179,-6.538,-4.787,-6.538,OTHERS
ligand_17,-5.747,-4.33,-5.747,OTHERS
ligand_180,-5.572,-4.601,-5.572,OTHERS
ligand_181,-4.71,-3.918,-4.71,OTHERS
ligand_182,-6.262,-5.018,-6.262,OTHERS
ligand_183,-6.952,-5.308,-6.952,OTHERS
ligand_184,-4.057,-3.681,-4.057,OTHERS
ligand_185,-7.315,-5.395,-7.315,GOOD
ligand_186,-6.796,-5.63,-6.796,OTHERS
ligand_187,-8.81,-6.284,-8.81,GOOD
ligand_188,-4.851,-4.254,-4.851,OTHERS
ligand_18,-6.625,-5.512,-6.625,OTHERS
ligand_191,-6.382,-4.775,-6.382,OTHERS
ligand_192,-6.746,-4.873,-6.746,OTHERS
ligand_193,-7.546,-5.341,-7.546,GOOD
ligand_194,-8.025,-5.969,-8.025,GOOD
