Ligand,Affinity_kcal_mol,Category
ligand_0,-4.757,OTHERS
ligand_100,-5.099,OTHERS
ligand_101,-6.425,OTHERS
ligand_102,-5.048,OTHERS
ligand_103,-5.439,OTHERS
ligand_104,-6.052,OTHERS
ligand_105,-5.458,OTHERS
ligand_106,-5.542,OTHERS
ligand_107,-5.021,OTHERS
ligand_108,-4.636,OTHERS
ligand_109,-5.439,OTHERS
ligand_10,-5.853,OTHERS
ligand_110,-4.832,OTHERS
ligand_111,-5.465,OTHERS
ligand_112,-4.661,OTHERS
ligand_113,-5.063,OTHERS
ligand_114,-5.212,OTHERS
ligand_115,-6.596,OTHERS
ligand_116,-5.095,OTHERS
ligand_117,-4.834,OTHERS
ligand_118,-4.121,OTHERS
ligand_119,-4.853,OTHERS
ligand_11,-7.167,GOOD
ligand_120,-5.516,OTHERS
ligand_121,-5.189,OTHERS
ligand_122,-4.762,OTHERS
ligand_123,-5.242,OTHERS
ligand_124,-5.122,OTHERS
ligand_125,-4.94,OTHERS
ligand_126,-4.399,OTHERS
ligand_127,-4.914,OTHERS
ligand_128,-5.553,OTHERS
ligand_129,-3.561,OTHERS
ligand_12,-4.89,OTHERS
ligand_130,-4.81,OTHERS
ligand_131,-4.77,OTHERS
ligand_132,-5.161,OTHERS
ligand_133,-4.84,OTHERS
ligand_134,-5.559,OTHERS
ligand_135,-4.705,OTHERS
ligand_136,-4.865,OTHERS
ligand_137,-5.281,OTHERS
ligand_138,-5.008,OTHERS
ligand_139,-5.378,OTHERS
ligand_140,-5.222,OTHERS
ligand_141,-6.451,OTHERS
ligand_142,-2.724,OTHERS
ligand_143,-5.085,OTHERS
ligand_144,-5.2,OTHERS
ligand_145,-5.904,OTHERS
ligand_146,-5.903,OTHERS
ligand_147,-4.753,OTHERS
ligand_148,-5.487,OTHERS
ligand_149,-5.4,OTHERS
ligand_14,-5.794,OTHERS
ligand_150,-5.177,OTHERS
ligand_151,-3.078,OTHERS
ligand_152,-4.817,OTHERS
ligand_153,-4.901,OTHERS
ligand_154,-4.326,OTHERS
ligand_155,-5.082,OTHERS
ligand_156,-5.148,OTHERS
ligand_157,-5.006,OTHERS
ligand_158,-4.607,OTHERS
ligand_159,-5.054,OTHERS
ligand_15,-4.827,OTHERS
ligand_160,-4.962,OTHERS
ligand_161,-5.073,OTHERS
ligand_162,-5.133,OTHERS
ligand_164,-5.58,OTHERS
ligand_165,-4.887,OTHERS
ligand_166,-5.384,OTHERS
ligand_167,-5.045,OTHERS
ligand_168,-5.301,OTHERS
ligand_169,-5.129,OTHERS
ligand_16,-5.391,OTHERS
ligand_170,-4.708,OTHERS
ligand_171,-5.99,OTHERS
ligand_172,-4.93,OTHERS
ligand_173,-5.254,OTHERS
ligand_174,-6.059,OTHERS
ligand_175,-5.013,OTHERS
ligand_176,-5.638,OTHERS
ligand_177,-6.123,OTHERS
ligand_178,-4.959,OTHERS
ligand_179,-5.437,OTHERS
ligand_17,-5.217,OTHERS
ligand_180,-4.471,OTHERS
ligand_181,-4.064,OTHERS
ligand_182,-5.145,OTHERS
ligand_183,-4.879,OTHERS
ligand_184,-4.489,OTHERS
ligand_185,-5.633,OTHERS
ligand_186,-5.126,OTHERS
ligand_187,-5.862,OTHERS
