Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_0,-4.727,-4.689,-4.727,OTHERS
ligand_100,-5.183,-4.406,-5.183,OTHERS
ligand_101,-6.376,-4.369,-6.376,OTHERS
ligand_102,-5.232,-4.12,-5.232,OTHERS
ligand_103,-5.388,-4.304,-5.388,OTHERS
ligand_104,-5.737,-4.433,-5.737,OTHERS
ligand_105,-5.5,-4.227,-5.5,OTHERS
ligand_106,-5.544,-3.934,-5.544,OTHERS
ligand_107,-5.012,-3.983,-5.012,OTHERS
ligand_108,-4.747,-3.496,-4.747,OTHERS
ligand_109,-5.433,-4.414,-5.433,OTHERS
ligand_10,-5.84,-4.368,-5.84,OTHERS
ligand_110,-4.951,-4.037,-4.951,OTHERS
ligand_111,-5.465,-4.07,-5.465,OTHERS
ligand_112,-4.694,-4.212,-4.694,OTHERS
ligand_113,-4.924,-3.869,-4.924,OTHERS
ligand_114,-5.206,-4.172,-5.206,OTHERS
ligand_115,-6.519,-5.754,-6.519,OTHERS
ligand_116,-5.099,-4.112,-5.099,OTHERS
ligand_117,-4.921,-3.575,-4.921,OTHERS
ligand_118,-4.049,-3.414,-4.049,OTHERS
ligand_119,-5.493,-4.008,-5.493,OTHERS
ligand_11,-5.271,-4.193,-5.271,OTHERS
ligand_120,-5.528,-4.68,-5.528,OTHERS
ligand_121,-5.193,-4.154,-5.193,OTHERS
ligand_122,-4.74,-4.064,-4.74,OTHERS
ligand_123,-5.312,-3.877,-5.312,OTHERS
ligand_124,-5.854,-3.691,-5.854,OTHERS
ligand_125,-4.935,-3.543,-4.935,OTHERS
ligand_126,-4.395,-3.741,-4.395,OTHERS
ligand_127,-4.942,-3.982,-4.942,OTHERS
ligand_128,-5.555,-5.044,-5.555,OTHERS
ligand_129,-3.635,-2.82,-3.635,OTHERS
ligand_12,-4.936,-3.996,-4.936,OTHERS
ligand_130,-4.753,-4.737,-4.753,OTHERS
ligand_131,-4.606,-3.977,-4.606,OTHERS
ligand_132,-5.169,-4.117,-5.169,OTHERS
ligand_133,-4.19,-3.376,-4.19,OTHERS
ligand_134,-5.612,-4.461,-5.612,OTHERS
ligand_135,-4.653,-3.861,-4.653,OTHERS
ligand_136,-4.991,-4.508,-4.991,OTHERS
ligand_137,-5.315,-3.972,-5.315,OTHERS
ligand_138,-5.028,-4.229,-5.028,OTHERS
ligand_139,-5.445,-4.641,-5.445,OTHERS
ligand_140,-5.144,-4.129,-5.144,OTHERS
ligand_141,-6.35,-4.316,-6.35,OTHERS
ligand_142,-2.749,-2.303,-2.749,OTHERS
ligand_143,-5.069,-3.671,-5.069,OTHERS
ligand_144,-5.228,-4.217,-5.228,OTHERS
ligand_145,-6.012,-4.467,-6.012,OTHERS
ligand_146,-5.796,-5.098,-5.796,OTHERS
ligand_147,-4.896,-3.899,-4.896,OTHERS
ligand_148,-5.372,-4.412,-5.372,OTHERS
ligand_149,-5.293,-4.403,-5.293,OTHERS
ligand_14,-5.862,-4.602,-5.862,OTHERS
ligand_150,-5.22,-4.461,-5.22,OTHERS
ligand_151,-3.029,-2.973,-3.029,OTHERS
ligand_152,-4.825,-4.015,-4.825,OTHERS
ligand_153,-4.941,-3.973,-4.941,OTHERS
ligand_154,-4.412,-3.425,-4.412,OTHERS
ligand_155,-5.007,-4.319,-5.007,OTHERS
ligand_156,-4.909,-3.842,-4.909,OTHERS
ligand_157,-4.92,-4.274,-4.92,OTHERS
ligand_158,-4.611,-3.586,-4.611,OTHERS
ligand_159,-5.056,-3.881,-5.056,OTHERS
ligand_15,-4.832,-4.102,-4.832,OTHERS
ligand_160,-6.299,-4.536,-6.299,OTHERS
ligand_161,-5.062,-4.786,-5.062,OTHERS
ligand_162,-5.14,-3.691,-5.14,OTHERS
ligand_164,-5.588,-4.489,-5.588,OTHERS
ligand_165,-4.816,-4.038,-4.816,OTHERS
ligand_166,-5.206,-4.25,-5.206,OTHERS
ligand_167,-5.034,-3.981,-5.034,OTHERS
ligand_168,-5.251,-4.363,-5.251,OTHERS
ligand_169,-4.476,-4.17,-4.476,OTHERS
ligand_16,-5.405,-4.388,-5.405,OTHERS
ligand_170,-4.701,-3.987,-4.701,OTHERS
ligand_171,-6.046,-4.725,-6.046,OTHERS
ligand_172,-4.929,-3.856,-4.929,OTHERS
ligand_173,-5.379,-4.263,-5.379,OTHERS
ligand_174,-6.111,-4.92,-6.111,OTHERS
ligand_175,-4.996,-3.934,-4.996,OTHERS
ligand_176,-5.593,-4.98,-5.593,OTHERS
ligand_177,-6.142,-4.506,-6.142,OTHERS
ligand_178,-4.891,-4.349,-4.891,OTHERS
ligand_179,-5.422,-4.363,-5.422,OTHERS
ligand_17,-5.261,-4.363,-5.261,OTHERS
ligand_180,-4.429,-3.421,-4.429,OTHERS
ligand_181,-4.07,-3.482,-4.07,OTHERS
ligand_182,-5.154,-4.231,-5.154,OTHERS
ligand_183,-4.726,-4.289,-4.726,OTHERS
ligand_184,-4.564,-3.76,-4.564,OTHERS
ligand_185,-5.546,-4.489,-5.546,OTHERS
ligand_186,-5.058,-4.847,-5.058,OTHERS
ligand_187,-5.78,-3.911,-5.78,OTHERS
ligand_188,-4.429,-3.964,-4.429,OTHERS
ligand_18,-5.303,-4.674,-5.303,OTHERS
ligand_191,-4.939,-3.938,-4.939,OTHERS
ligand_192,-5.297,-4.398,-5.297,OTHERS
ligand_193,-5.636,-4.363,-5.636,OTHERS
ligand_194,-6.178,-4.83,-6.178,OTHERS
ligand_195,-5.252,-4.004,-5.252,OTHERS
ligand_196,-5.009,-4.708,-5.009,OTHERS
ligand_197,-4.938,-4.581,-4.938,OTHERS
ligand_198,-5.27,-4.003,-5.27,OTHERS
ligand_199,-7.017,-3.509,-7.017,GOOD
ligand_19,-5.491,-5.133,-5.491,OTHERS
ligand_1,-5.229,-3.252,-5.229,OTHERS
ligand_200,-5.448,-4.192,-5.448,OTHERS
ligand_201,-6.202,-5.358,-6.202,OTHERS
ligand_202,-5.599,-4.278,-5.599,OTHERS
ligand_203,-5.359,-3.98,-5.359,OTHERS
ligand_204,-6.088,-4.351,-6.088,OTHERS
ligand_205,-4.41,-3.507,-4.41,OTHERS
