Target,Mol_Index,SMILES,Confidence,Category,Affinity_kcal_mol,exhaustiveness,grid_version
6UKJ,397,C[C@H](O)CNC1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-0.96,Moderate (-1.5 to 0),-9.223,16,V2
9N10,312,PC=CC=CCC=NCC1=CC=C(Cl)C1,-2.1,Low (<-1.5),-3.817,16,V2_assumed
6UKJ,5,OCCNC1=NC(Nc2ccc(Cl)c(Cl)c2)=C=C2C=C=C21,-0.82,Moderate (-1.5 to 0),-7.719,16,V2
6UKJ,334,CNCCCCNC1=CC=NC2=CC=CC=C12,-1.32,Moderate (-1.5 to 0),-6.832,16,V2
9N10,470,C#C[C@H](CC)Oc1cc(O)cc2oc3c(O)cccc3c(=O)c12,-1.61,Low (<-1.5),-5.929,16,V2_assumed
4GM2,20,NC(=NC1=[S+]OCC=CC=C1)c1ccc(Cl)c(Cl)c1,-0.7,Moderate (-1.5 to 0),-3.764,16,V2_assumed
4GM2,15,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(/N=C\N(C)C)c1,-1.45,Moderate (-1.5 to 0),-5.036,16,V2_assumed
6UKJ,297,CC(C)CC(=O)NC(=S)Nc1ccc(Cl)c(Cl)c1,-0.85,Moderate (-1.5 to 0),-7.725,16,V2
6UKJ,45,COC(=O)c1cc2c(cc1O)OCO2,-0.65,Moderate (-1.5 to 0),-6.486,16,V2
6UKJ,316,CC(=CCc1nc(CCON)c2ccccc2n1)CCl,-2.37,Low (<-1.5),-8.017,16,V2
7F3Y,81,CC1C=CC2CC(=NCNC3=[PH]=C(Cl)C(Cl)C3=N2)NCCO1,-1.42,Moderate (-1.5 to 0),-6.53,16,V2
9N10,87,COc1ccc(-c2nc(NC(=O)c3cccc(C#CCO)c3)sc2C)cc1,-1.8,Low (<-1.5),-6.043,16,V2_assumed
7F3Y,315,C=C(C)CCC(=O)NC1=NN=C(CC2=CC(OC)=CC=C2)S1,-0.57,Moderate (-1.5 to 0),-6.531,16,V2
6UKJ,307,CCCN(C)C(=O)c1c[nH]c2ccc(C)cc2c1=O,-1.51,Low (<-1.5),-7.876,16,V2
6UKJ,315,C=C(C)CCC(=O)NC1=NN=C(CC2=CC(OC)=CC=C2)S1,-1.48,Moderate (-1.5 to 0),-9.001,16,V2
7F3Y,92,Cc1cc2ccc(=O)oc2cc1OC[C@@H](O)C(C)(C)O,-0.43,Moderate (-1.5 to 0),-6.717,16,V2
4GM2,215,C=C(Cl)C(=CC=CNc1nc(NCCO)c2ccccc2n1)CCC=CCl,-1.67,Low (<-1.5),-4.686,16,V2_assumed
4GM2,8,NC([C-]CBr)N=CNC[P-]=O,-1.03,Moderate (-1.5 to 0),-3.132,16,V2_assumed
6UKJ,325,CC(C)OCc1ccc(C(=O)Nc2nc3ccccc3s2)cc1,-0.87,Moderate (-1.5 to 0),-9.954,16,V2
6UKJ,439,[N-]CCC=C1CC(CO)=NCC2=C1C(N)=C2,-0.58,Moderate (-1.5 to 0),-6.783,16,V2
4GM2,12,NCC=CCC=NCC#CN=CC=CCC#CC=C(CCl)COCl,-2.1,Low (<-1.5),-4.28,16,V2_assumed
6UKJ,344,C=C/C=C/CC(=O)NCC(C)N,-1.87,Low (<-1.5),-6.427,16,V2
6UKJ,112,CC(Cl)C(Cl)=CCC1=NC2C=CC(N)=C2C(NCCO)=N1,-1.29,Moderate (-1.5 to 0),-8.455,16,V2
9N10,343,Cc1c(Cl)cccc1NC(=O)c1ccc(-c2cccc(Cl)c2)o1,-1.82,Low (<-1.5),-5.693,16,V2_assumed
