SMILES,aff_4gm2,aff_6ukj,aff_7f3y,aff_9n10,conf_4gm2,conf_6ukj,conf_7f3y,conf_9n10
Br.COC(C)CN=C(N)NC1=CC=CC(C)=C1,-3.747,-7.049,-6.022,-4.732,-1.2,-1.21,-0.75,-1.69
C#CC(N=C(N)NC1=CC=C(Br)C=C1)C(C)C,-3.585,-6.427,-6.739,-4.763,-0.53,-1.15,-1.2,-1.58
C#CC1=CC=C(CNCC(O)C2=CC=CC=C2)C=C1,-4.37,-8.568,-6.77,-4.917,-2.08,-1.69,-0.84,-1.37
C#CC=C1CN=CN(C(C=CCl)C=CCl)N=C1NCCO,-4.369,-7.175,-6.714,-5.015,-1.2,-0.78,-1.34,-2.09
C#CCCNc1ccnc2cc(Cl)ccc21,-3.815,-6.942,-5.785,-4.52,-1.23,-1.05,-1.61,-1.11
C#CCN(CC#C)Cc1cc2c(c(OC)c1)OCO2,-4.451,-7.276,-5.695,-5.083,-1.7,-1.02,-1.22,-1.7
C#CCSCCNc1ccnc2cc(Cl)ccc21,-4.128,-6.612,-5.619,-4.906,-0.82,-0.88,-1.69,-0.99
C#CC[C@H](C)Oc1c(OC)c([O-])cc2oc(-c3ccc(OC)cc3)cc(=O)c21,-4.871,-10.58,-7.1,-5.308,-1.86,-2.11,-0.89,-1.82
C#C[C@@H](CC)Oc1ccc([C@@H]2CC(=O)c3ccccc3O2)cc1,-4.6,-9.945,-7.462,-5.166,-1.79,-1.38,-0.83,-1.41
C#C[C@H](CC)Oc1cc(O)cc2oc3c(O)cccc3c(=O)c12,-4.693,-8.287,-7.758,-5.929,-2.45,-1.62,-0.64,-1.61
C1=CC=CC=CN=CNC[N+]=1,-3.662,-5.521,-4.459,-5.039,-0.56,-2.0,-0.46,-3.0
C1=CCC=CCCNCC2=NNC2C=C1,-3.739,-6.46,-5.873,-4.283,-0.9,-1.74,-0.99,-2.07
C1=CCOCCCNCCC1,-3.394,-4.995,-4.027,-4.855,-0.6,-0.43,-0.73,-2.43
C=C(Br)CNCc1cc2c(c(OC)c1)OCO2,-3.856,-6.592,-5.708,-4.036,-1.66,-0.69,-0.42,-0.64
C=C(C(=O)NC/C=C(\C)CCC=C(C)C)C(F)(F)F,-3.912,-8.329,-6.683,-4.916,-0.78,-1.09,-0.58,-3.06
C=C(C)CCC(=O)NC1=NN=C(CC2=CC(OC)=CC=C2)S1,-3.809,-9.001,-6.531,-5.219,-2.33,-1.48,-0.57,-3.34
C=C(C)Nc1cc(C(=O)OC)ccc1O,-3.961,-6.56,-6.253,-4.671,-0.93,-0.55,-0.67,-1.09
C=C(C=C(Cl)C(Cl)OCCCC)Nc1nc(NCCO)c2ccccc2n1,-4.555,-10.35,-7.844,-5.333,-2.81,-1.64,-1.69,-2.48
C=C(CC)CC/C=C(/C)CCC=C(C)C,-3.769,-7.726,-5.523,-4.485,-0.55,-0.93,-0.63,-2.58
C=C(CCCCl)N1C=NCC(C)CCCON1CC=CC,-4.399,-6.965,-5.914,-4.746,-0.67,-1.3,-0.97,-2.08
C=C(CO)C(=O)Nc1cc(S(=O)(=O)NC)ccc1O,-4.217,-8.288,-6.443,-4.6,-1.54,-0.89,-0.58,-2.05
C=C(Cl)C(=C)CC#CCCN1N=C(NCCCl)c2ccccc2N1,-4.257,-9.04,-7.607,-5.328,-1.85,-1.52,-1.74,-2.55
C=C(Cl)C(=CC=CNc1nc(NCCO)c2ccccc2n1)CCC=CCl,-4.686,-8.954,-8.159,-5.661,-1.67,-1.9,-1.58,-3.35
