smiles,admetai_logS,admetai_cyp3a4,admetai_herg,admetai_bbb,swissadme_logS,swissadme_bbb,swissadme_cyp3a4,swissadme_herg,admetlab3_logS,admetlab3_bbb,admetlab3_cyp3a4,admetlab3_herg
Cc1ccc(CN2CCN(Cc3ccccc3)CC2)cc1O,0.6208045429349617,0.0034011928,0.1129371979088285,0.98365295,-4.055,1.0,0.255,0.151,-4.055,1.0,0.255,0.151
Cc1ccccc1CN1CCN(Cc2cccc(O)c2)CC1,0.6731981534641113,0.0061453106,0.1353184267523889,0.98365295,-4.055,1.0,0.255,0.151,-4.055,1.0,0.255,0.151
Cc1cc(CN2CCN(Cc3ccccc3)CC2)ccc1O,0.6343978922558517,0.0028852634,0.1167891059363541,0.98365295,-4.055,1.0,0.255,0.151,-4.055,1.0,0.255,0.151
COc1ccc(CN2CCN(Cc3ccccc3C)CC2)cc1O,0.5574665300757112,0.04479858,0.1417946966671531,0.9901231,-4.181,1.0,0.257,0.151,-4.181,1.0,0.257,0.151
Oc1cccc(CN2CCN(Cc3ccc(Cl)cc3)CC2)c1,0.5598170140605672,0.012349894,0.0980070735386552,0.99598986,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
Cc1ccc(CN2CCN(Cc3ccc(O)cc3)CC2)c(C)c1,0.542412883722101,0.015797233,0.1672294102206987,0.9792614,-4.337,1.0,0.332,0.166,-4.337,1.0,0.332,0.166
COc1ccc(CN2CCN(Cc3ccc(C)c(O)c3)CC2)cc1,0.620194927801601,0.04261115,0.1559247013833014,0.98395914,-4.181,1.0,0.257,0.151,-4.181,1.0,0.257,0.151
Cc1ccc(CN2CCN(Cc3cccc(O)c3)CC2)c(C)c1,0.508703785811887,0.0364625,0.1612340388976155,0.9411845,-4.337,1.0,0.332,0.166,-4.337,1.0,0.332,0.166
Oc1ccc(CN2CCN(Cc3ccccc3)CC2)cc1Cl,0.7025359694905863,0.0023021267,0.0578210711779566,0.975049,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
Oc1ccc(CN2CCN(Cc3ccccc3Cl)CC2)cc1,0.6703717712610533,0.010016682,0.0752855839696087,0.98315674,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
COc1cccc(CN2CCN(Cc3ccc(C)c(O)c3)CC2)c1,0.5764037086570751,0.030270597,0.1354267639636342,0.98350346,-4.181,1.0,0.257,0.151,-4.181,1.0,0.257,0.151
Cc1ccc(CN2CCN(Cc3cc(O)ccc3C)CC2)cc1,0.5887499344395896,0.012723817,0.0623626276487348,0.989677,-4.337,1.0,0.332,0.166,-4.337,1.0,0.332,0.166
Oc1cccc(CN2CCN(Cc3ccccc3Cl)CC2)c1,0.6158956323771589,0.0041913097,0.0703812966732949,0.98315674,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
COc1ccc(CN2CCN(Cc3ccc(O)c(C)c3)CC2)cc1,0.482648868295469,0.029356234,0.1786876682834406,0.98395914,-4.181,1.0,0.257,0.151,-4.181,1.0,0.257,0.151
Oc1ccc(CN2CCN(Cc3ccccc3)CC2)c(Cl)c1,0.7079514414100267,0.0020713718,0.0893620905679679,0.975049,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
COc1ccc(CN2CCN(Cc3cccc(O)c3C)CC2)cc1,0.4760353517454733,0.05116359,0.122810701251133,0.9836348,-4.181,1.0,0.257,0.151,-4.181,1.0,0.257,0.151
Oc1ccc(CN2CCN(Cc3cccc(Cl)c3)CC2)cc1,0.616732248678234,0.003688603,0.1199882764860876,0.9962967,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
COc1ccc([C@@H]2CC(=O)c3c(O)cc(OC)cc3O2)cc1,0.4961910888314501,0.8756547,0.067431472113877,0.9955107,-4.207,1.0,0.279,0.156,-4.207,1.0,0.279,0.156
Oc1ccc(CN2CCN(Cc3ccc(Cl)cc3)CC2)cc1,0.6197026113997037,0.0077856253,0.0960308674355108,0.99598986,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
COc1cccc(CN2CCN(Cc3ccc(O)c(C)c3)CC2)c1,0.463518046225133,0.026875092,0.1706603779886898,0.98350346,-4.181,1.0,0.257,0.151,-4.181,1.0,0.257,0.151
