smile,score_1syh,score_6y2f,score_4lde
C[C@@H](O)C(C)(C)CNc1nc(-c2ccccc2)nc2ccccc12,-2.0,-7.0,-8.8
CC=C[N+]=CCNC1=NC(Nc2ccc(Cl)c(Cl)c2)=NCC1,10000,10000,10000
CCN(CC)CCNc1ccnc2c(C)cccc12,-4.5,-5.2,-8.0
Cc1cccc2c(Nc3cccc(C(F)(F)F)c3)c(C(=O)[O-])cnc12,10000,10000,10000
CCc1ccc(C(O)CNCc2ccccc2OC)cc1,-6.2,-4.9,-9.0
Cc1cnc2c(C)cccc2c1NC(C)CCN,-6.2,-5.6,-8.2
COc1cc(C)c(C=CC(=O)c2cc(O)ccc2OC)cc1OC,1.8,-6.6,-9.6
COCc1nc2ccccc2n1Cc1ccc(C(C)C)cc1,-4.8,-6.4,-8.7
COc1ccc2cccnc2c1N[C@H](C)CCCC(C)(C)O,-5.4,-5.9,-8.6
COc1ccc(CNCCc2ccc(C#N)cc2)c(Br)c1O,-5.0,-5.1,-9.3
Cc1ccc(-n2ccnc2SCC(=O)Nc2ccccc2C)c(C)c1,-1.9,-6.9,-10.0
CCOc1ccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)cc1,108.2,-6.5,-9.0
COc1cc2ccc(=O)oc2cc1OCC[C@H](C)OC,-5.5,-5.9,-7.4
O=C([O-])c1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,10000,10000,10000
COc1ccc(OC)c(Nc2cc(C)nc3ccc(OC)cc23)c1,-1.2,-6.9,-9.3
COc1cc(CNCCc2ccc(C(C)C)cc2)cc(OC)c1O,-3.1,-6.0,-9.3
C[NH+](C)CCCNCc1ccc(-c2ccc(F)cc2)o1,10000,10000,10000
CC(C)Oc1ccccc1[C@@H](C)NCc1cccc(O)c1,-5.0,-6.2,-9.3
CCCc1nccnc1NS(=O)(=O)c1ccc(OC)cc1,-5.1,-5.4,-7.9
C=C[C@H](O)CNc1ccnc2cc(Cl)ccc12,-7.1,-5.9,-7.8
COc1ccc(C(=O)C=Cc2ccccc2)c(C)c1OC,-0.1,-5.5,-9.1
COc1cc(SC)ccc1C(=O)N1CCCC(OCC(C)C)C1,5.0,-5.8,-7.2
CC(O)c1ccc(CNC[C@H](O)c2ccccc2Cl)cc1,-5.5,-5.3,-9.6
CCOc1c(Cl)cc(CNC(=O)[C@@H](N)c2ccccc2)cc1OC,-0.2,-6.3,-9.2
COc1ccc(NC(=O)Cn2c(C)c(Br)c3ccccc32)cc1,3.1,-5.8,-9.1
Cc1[nH]c2c(Cl)cccc2c(=O)c1C(C)C,-6.2,-5.3,-7.9
Cc1ccc(NC(=O)Nc2cccc(CC(=O)[O-])c2)cc1F,10000,10000,10000
Clc1ccc2[nH]c3c(NCCCN4CCOCC4)ncnc3c2c1,-1.8,-6.6,-8.5
Cc1ccc(C)c(C=CC(=O)c2ccc(O)cc2O)c1,-2.4,-6.7,-11.0
C[C@H](CO)CNc1ccnc2cc(Cl)ccc12,-7.2,-5.8,-7.9
Cc1ccccc1-c1csc(Nc2ccccc2)n1,-2.0,-6.1,-8.8
Cc1ccc(OCCCO)c(Cl)c1,-6.8,-4.4,-6.9
COc1cc(SC)ccc1C(=O)N1CCCC(OC)C1,-0.6,-5.2,-6.7
Cc1cccc2c(N[C@H](C)C[C@@H](C)N)ccnc12,-6.2,-5.8,-8.3
CCO[N-]C(=O)c1c[nH]c2ccc(Br)cc2c1=O,10000,10000,10000
COc1cc2ccc(=O)oc2cc1OC,-8.2,-5.0,-6.7
CC(C)C(=O)NCCCc1nc2ccccc2n1Cc1ccccc1,-3.6,-6.7,-8.9
Cc1c(Cl)cccc1NC(=O)Nc1cccc(Cl)c1,1.0,-6.2,-9.7
COc1cc(OC)c(CN2CCN(Cc3cccc(O)c3)CC2)c(OC)c1,5.0,-6.2,-8.3
COc1ccc2cc(C(C)=O)ccc2c1Br,-7.7,-5.4,-8.2
O=C(NCc1ccco1)C1CCN(S(=O)(=O)c2ccccc2F)CC1,-3.4,-6.6,-9.5
O=C(Nc1ccc(Cl)c(F)c1)Nc1ccc([O-])c(Cl)c1,10000,10000,10000
COCC(=O)OCCn1c(C)nc2ccccc2c1=O,-5.8,-5.4,-7.4
COc1ccc(C(=O)C=Cc2cc(OC)c(OC)c(OC)c2)cc1O,7.2,-6.3,-9.1
OCCOCCCNc1ccnc2cc(Br)ccc12,-5.4,-5.0,-7.5
COc1ccc2oc(-c3ccc(OC)c(OC)c3)c(OC)c(=O)c2c1,6.4,-6.4,-7.9
CC[C@@H](O)CC[NH2+][C@@H](c1ccc(F)cc1)c1ccc(Cl)cc1,10000,10000,10000
CC[NH+](CC)Cc1cc(=O)oc2cc(OC)ccc12,10000,10000,10000
COc1ccc(CNCCc2cc(OC)c(O)c(OC)c2)cc1Cl,-4.5,-5.7,-9.2
C[C@H]1C[C@H](C)CN(C(=O)c2cc(Cl)ccc2F)C1,-3.7,-5.8,-8.2
COc1ccc(C=CC(=O)c2cc(OC)c(OC)cc2C)cc1,3.4,-5.9,-8.7
O=C(Nc1ccc(F)c(F)c1)Nc1ccc(O)c(Cl)c1,4.2,-7.0,-10.3
COC[C@](C)(NC[C@H](O)COc1ccc(Cl)cc1Cl)C(F)(F)F,-4.7,-5.9,-8.4
Clc1ccc(NN2N=NCCOc3ccccc32)cc1Cl,-4.3,-6.5,-9.5
CC1CC(C)CC(OC(=O)CSC(C)C)C1,-6.6,-5.0,-7.2
O=C(CN1CCN(C(=O)c2ccco2)CC1)Nc1cc(Cl)c(Cl)cc1Cl,2.4,-6.7,-9.5
CCc1cc(Br)ccc1NC(=O)c1cccc(OC)c1,0.0,-5.8,-8.9
C=CC[NH+](CC=C)Cc1cc(OC)c2c(c1)OCO2,10000,10000,10000
COc1ccc2oc3ccccc3c(=O)c2c1,-6.5,-5.9,-8.2
OCCNc1nc(NC2=C(Cl)C(Cl)=C2)nc2ccccc12,10000,10000,10000
Cc1cc(O)cc(NC(=O)Nc2ccc(C)c(F)c2)c1,7.0,-6.1,-10.6
COc1ccc2c(c1)OC[C@H](NC(=O)C(C)(C)CC(C)C)C2,3.4,-5.6,-9.3
CSc1ccc(Cl)c(C(=O)N2CCCC(C)C2)c1,-3.3,-5.6,-7.8
CCc1ccc(NC(=O)c2cccs2)c(C)c1,-1.2,-5.5,-8.3
CCc1ccc(CC2(C(=O)O)CCN(Cc3cccc(F)c3)CC2)cc1,-2.2,-7.3,-9.2
CC[C@@H](NCC(O)c1ccc(C)cc1)c1ccccc1,-4.6,-4.9,-9.4
CCC(CC)(CC)NC(=O)Nc1nnc(Cc2ccc(OC)cc2)s1,0.2,-6.2,-8.3
COc1ccc2oc(C(N)=O)cc(=O)c2c1,-8.8,-5.7,-7.9
Cc1nccnc1NS(=O)(=O)c1ccc(OC(C)C)cc1,-4.9,-5.8,-8.7
CCOC(=O)c1cnc2c(C)cc(Cl)cc2c1Nc1cccc(O)c1,-4.1,-6.8,-8.7
FCCCCNc1ccnc2ccc(Cl)cc12,-6.8,-5.4,-7.4
CCc1ccccc1NC(=O)CN1CCN(C(=O)c2occc2F)CC1,-0.4,-6.5,-9.3
Cc1cccc2c1C(Nc1ccc(Cl)c(N)c1)N=CN2CO,-3.3,-6.9,-9.8
