cohort_id,candidate_file,candidate_sha256,smiles,ACSI,D_DrugBank,D_ANPDB,fsp3,NPL,D_DrugBank_normalized,D_ANPDB_normalized,fsp3_normalized,NPL_normalized,ACSI_reconstruction_abs_error
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,0.8231904610,0.6557377049,0.3617021277,0.4545454545,0.6071428571,0.7614586818,1.0000000000,0.7575757575,0.7806122448,0.0000000001
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,CC=Cc1cc(O)c(O)c(OC)c1,0.7425350785,0.6923076923,0.3548387097,0.2000000000,0.4615384615,0.8540031397,0.9810246679,0.3333333333,0.5934065933,0.0000000000
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,C=CCc1cc(OC)c2c(c1OC)OCO2,0.6047072996,0.7352941176,0.0000000000,0.3333333333,0.5625000000,0.9627851139,0.0000000000,0.5555555555,0.7232142857,0.0000000001
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,CC(C)=CCOc1ccc2ccc(=O)oc2c1,0.6030081800,0.6250000000,0.2093023256,0.2142857143,0.5882352941,0.6836734694,0.5786593707,0.3571428572,0.7563025210,0.0000000000
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,CC(C)=CCc1ccc2cc[nH]c2c1,0.6009026688,0.7500000000,0.0000000000,0.2307692308,0.6428571429,1.0000000000,0.0000000000,0.3846153847,0.8265306123,0.0000000000
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,0.5986405024,0.7466666667,0.0000000000,0.2500000000,0.6153846154,0.9915646259,0.0000000000,0.4166666667,0.7912087912,0.0000000000
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,0.5972925534,0.6666666667,0.1363636364,0.1764705882,0.6666666667,0.7891156463,0.3770053477,0.2941176470,0.8571428572,0.0000000000
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,0.5935112507,0.7435897436,0.0000000000,0.6000000000,0.0000000000,0.9837781267,0.0000000000,1.0000000000,0.0000000000,0.0000000000
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,0.5891094899,0.7254901961,0.0000000000,0.2857142857,0.6153846154,0.9379751901,0.0000000000,0.4761904762,0.7912087912,0.0000000001
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,0.5764412597,0.7142857143,0.0000000000,0.2352941176,0.6956521739,0.9096209913,0.0000000000,0.3921568627,0.8944099378,0.0000000000
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1ccc2c(OC)c3ccoc3nc2c1OC,0.5672318551,0.7142857143,0.0000000000,0.2142857143,0.6842105263,0.9096209913,0.0000000000,0.3571428572,0.8796992481,0.0000000001
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1cccc2c(=O)c3ccc(O)cc3oc12,0.5508039579,0.7272727273,0.0000000000,0.0714285714,0.7777777778,0.9424860854,0.0000000000,0.1190476190,1.0000000000,0.0000000001
