cohort_id,candidate_file,candidate_sha256,smiles,RRS_mean,RRS_class,RRS_WT,RRS_N51I,RRS_C59R,RRS_S108N,RRS_I164L,RRS_K76T,RRS_K76A
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,111.652585765489,A*,100.0,123.21428571428572,112.67857142857143,125.89285714285714,131.78571428571428,86.23655913978493,90.10752688172043
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,104.81927710843374,A*,100.0,,,,,110.24096385542168,99.39759036144578
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,92.37373737373737,A*,100.0,,,,,90.60606060606061,94.14141414141413
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,91.26373626373626,A*,100.0,,,,,87.91208791208791,94.61538461538461
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,87.77777777777777,A*,100.0,86.4,85.46666666666667,87.6,83.86666666666667,92.47311827956987,90.86021505376343
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,82.6,A*,100.0,,,,,82.69999999999999,82.5
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1ccc2c(OC)c3ccoc3nc2c1OC,81.12202380952381,C,100.0,68.75,66.875,68.75,73.5,105.28571428571429,103.57142857142858
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1cccc2c(=O)c3ccc(O)cc3oc12,80.4906204906205,B,100.0,75.97402597402598,76.36363636363636,75.71428571428571,75.84415584415584,89.4047619047619,89.64285714285715
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,78.23809523809524,B,100.0,,,,,77.14285714285714,79.33333333333333
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,76.32108287961283,B,100.0,72.89473684210527,74.73684210526315,73.68421052631578,75.92105263157895,80.11494252873564,80.57471264367817
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,CC(C)=CCOc1ccc2ccc(=O)oc2c1,75.00795257374205,B,100.0,71.84210526315789,71.84210526315789,72.36842105263158,72.23684210526316,84.17582417582418,77.58241758241759
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,CC(C)=CCc1ccc2cc[nH]c2c1,74.17949557811988,B,100.0,70.56338028169014,72.95774647887325,75.77464788732394,76.47887323943662,75.81395348837209,73.48837209302326
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,72.39401709401709,C,100.0,75.2,66.13333333333333,62.93333333333333,72.53333333333333,70.38461538461539,87.17948717948718
P2_SET_C_POLYPHARM_17,results/candidate_selection/md_top20_candidates_polypharm.csv,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,72.11301085431164,C,100.0,68.05825242718446,68.3495145631068,65.8252427184466,69.02912621359224,79.99999999999999,81.41592920353982
