rank,smiles,weighted_mpo_score,syba_score,sa_score,qed,SI,score_1syh,score_6y2f,score_4lde,n_targets_bound,tar_mean,tar_norm,mpo_norm,composite_score
1,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,0.7727280047674335,69.80520353716777,2.17597310249748,0.792282696137802,,7.5,-7.1,-9.3,2,-2.966666666666667,0.9854014598540145,1.0,0.9927007299270072
2,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,0.7448199900326793,24.22719319560357,3.261029655342666,0.7497062964085384,,1.1,-7.0,-9.1,2,-5.0,0.5401459854014597,0.6119246059117879,0.5760352956566238
3,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,0.7008141056645943,1.9965245921680712,3.431154878909563,0.6282271211234742,,10.3,-7.7,-11.3,2,-2.9,1.0,0.0,0.5
4,COc1ccc2c(OC)c3ccoc3nc2c1OC,0.7615826088602253,51.48070904989695,2.523200225575799,0.7233029923217836,,-8.0,-5.5,-7.0,2,-6.833333333333333,0.13868613138686123,0.8450174994506983,0.49185181541877976
5,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,0.744537781924262,77.13224567490701,2.1311137638480755,0.7560099167404621,,-0.7,-7.1,-10.5,2,-6.1000000000000005,0.2992700729927005,0.6080003560527486,0.45363521452272454
6,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,0.7274924008249072,22.55113747118919,3.1406267911522505,0.799792689620218,,-0.6,-7.3,-9.9,2,-5.933333333333334,0.33576642335766405,0.3709755067259254,0.3533709650417947
7,CC(C)=CCOc1ccc2ccc(=O)oc2c1,0.7474947077297278,81.05273953684066,2.23122427414825,0.6003303852676992,,-7.6,-5.4,-9.1,2,-7.366666666666667,0.021897810218977833,0.6491179403077382,0.335507875263358
8,C=CCc1cc(OC)c2c(c1OC)OCO2,0.7349283929977738,39.2954018251498,2.556031552271408,0.7314183369737344,,-7.6,-4.9,-7.4,2,-6.633333333333333,0.18248175182481746,0.47437682782844137,0.32842928982662944
9,CC(C)=CCc1ccc2cc[nH]c2c1,0.7295578309417763,46.86795211463441,2.407216354922907,0.6868809535498026,,-7.1,-5.1,-8.6,2,-6.933333333333333,0.1167883211678832,0.3996963818646169,0.2582423515162501
10,COc1cccc2c(=O)c3ccc(O)cc3oc12,0.7344712041683297,60.11806467326269,2.0078253807430464,0.6662793546915292,,-7.7,-6.1,-8.4,2,-7.400000000000001,0.014598540145984962,0.46801938044834135,0.24130896029716314
11,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,0.7120867684969269,52.54414580502414,2.3755817550389704,0.6768622802504395,,-0.7,-7.5,-10.0,2,-6.066666666666666,0.30656934306569333,0.1567522130348162,0.23166077805025476
12,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,0.7208123232677695,24.82712410963757,3.452406491322635,0.6330935299160739,,-7.5,-4.7,-7.8,2,-6.666666666666667,0.1751824817518246,0.27808556972522114,0.22663402573852287
13,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,0.7048068775140734,13.539669282589584,3.312326569266194,0.7221575226816442,,-3.4,-7.0,-8.3,2,-6.233333333333334,0.27007299270072954,0.05552155979985611,0.16279727625029283
14,CC=Cc1cc(O)c(O)c(OC)c1,0.710824995208796,24.329621534143048,2.284844585173662,0.6853310912050172,,-7.6,-5.3,-7.5,2,-6.8,0.1459854014598539,0.13920660218806677,0.14259600182396032
15,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,0.7128209644630932,19.436463373949376,3.402246366047212,0.8016275763025335,,-5.6,-7.5,-9.3,2,-7.466666666666666,-0.0,0.16696158806976436,0.08348079403488218
16,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,0.709167174965275,10.773949178686548,2.5861824574543046,0.6391377238115616,,-7.6,-5.7,-8.7,2,-7.333333333333333,0.0291970802919707,0.11615375337576309,0.0726754168338669
17,O=C(O)C=Cc1ccc(O)cc1,0.701528624543718,24.244861402480115,1.783127575393852,0.65083387330713,,-8.3,-4.9,-7.4,2,-6.866666666666667,0.13138686131386834,0.009935754951930435,0.07066130813289939
15,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,0.65,55.0,2.5,0.60,,8.6,7.8,0,0,0.5,0.5,0.55
