weight,variation,new_weight,jaccard_similarity,candidates_found
w_vina,-0.2,0.27999999999999997,0.5,3
w_vina,-0.1,0.315,1.0,3
w_vina,0.1,0.385,0.5,3
w_vina,0.2,0.42,0.5,3
w_diff,-0.2,0.2,1.0,3
w_diff,-0.1,0.225,1.0,3
w_diff,0.1,0.275,1.0,3
w_diff,0.2,0.3,1.0,3
w_qed,-0.2,0.16000000000000003,1.0,3
w_qed,-0.1,0.18000000000000002,1.0,3
w_qed,0.1,0.22000000000000003,1.0,3
w_qed,0.2,0.24,1.0,3
w_admet,-0.2,0.12,0.5,3
w_admet,-0.1,0.135,1.0,3
w_admet,0.1,0.165,1.0,3
w_admet,0.2,0.18,1.0,3
w_ro5,-0.2,0.04000000000000001,1.0,3
w_ro5,-0.1,0.045000000000000005,1.0,3
w_ro5,0.1,0.05500000000000001,1.0,3
w_ro5,0.2,0.06,1.0,3
