# Time(ns) Rg(Å)
0.000 32.869
0.010 32.709
0.020 32.731
0.030 32.707
0.040 32.716
0.050 32.717
0.060 32.714
0.070 32.723
0.080 32.731
0.090 32.723
0.100 32.731
0.110 32.735
0.120 32.713
0.130 32.710
0.140 32.696
0.150 32.724
0.160 32.707
0.170 32.726
0.180 32.718
0.190 32.729
0.200 32.722
0.210 32.718
0.220 32.717
0.230 32.715
0.240 32.724
0.250 32.712
0.260 32.724
0.270 32.717
0.280 32.722
0.290 32.703
0.300 32.736
0.310 32.714
0.320 32.706
0.330 32.709
0.340 32.742
0.350 32.752
0.360 32.702
0.370 32.723
0.380 32.729
0.390 32.741
0.400 32.713
0.410 32.700
0.420 32.693
0.430 32.712
0.440 32.723
0.450 32.721
0.460 32.720
0.470 32.713
0.480 32.711
0.490 32.719
0.500 32.741
0.510 32.710
0.520 32.715
0.530 32.733
0.540 32.710
0.550 32.744
0.560 32.725
0.570 32.698
0.580 32.721
0.590 32.732
0.600 32.738
0.610 32.718
0.620 32.719
0.630 32.718
0.640 32.712
0.650 32.743
0.660 32.703
0.670 32.709
0.680 32.731
0.690 32.731
0.700 32.717
0.710 32.718
0.720 32.729
0.730 32.716
0.740 32.733
0.750 32.704
0.760 32.709
0.770 32.719
0.780 32.718
0.790 32.718
0.800 32.700
0.810 32.732
0.820 32.717
0.830 32.731
0.840 32.753
0.850 32.716
0.860 32.703
0.870 32.722
0.880 32.717
0.890 32.718
0.900 32.724
0.910 32.709
0.920 32.729
0.930 32.707
0.940 32.708
0.950 32.697
0.960 32.729
0.970 32.703
0.980 32.688
0.990 32.734
1.000 32.737
