smiles,wt_threshold_kcal_mol,retention_low_percent,retention_high_percent,leave_out_mutant,score_perturbation_percent,eligible_target_count,eligible_targets,mutant_count,rrs_mean,rrs_class,wt_anchor_min_abs_kcal_mol
C=CCc1cc(OC)c2c(c1OC)OCO2,5.00000000,70.00000000,80.00000000,none,-20,2,PfDHFR;PfCRT,6,56.63869132,D,7.40000000
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,5.00000000,70.00000000,80.00000000,none,-20,2,PfDHFR;PfCRT,6,57.91521368,D,7.50000000
CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,5.00000000,70.00000000,80.00000000,none,-20,1,PfCRT,2,83.85542169,B,8.30000000
CC(C)=CCOc1ccc2ccc(=O)oc2c1,5.00000000,70.00000000,80.00000000,none,-20,2,PfDHFR;PfCRT,6,60.00636206,D,7.60000000
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,5.00000000,70.00000000,80.00000000,none,-20,2,PfDHFR;PfCRT,6,57.69040868,D,10.30000000
CC(C)=CCc1ccc2cc[nH]c2c1,5.00000000,70.00000000,80.00000000,none,-20,2,PfDHFR;PfCRT,6,59.34359646,D,7.10000000
CC=Cc1cc(O)c(O)c(OC)c1,5.00000000,70.00000000,80.00000000,none,-20,2,PfDHFR;PfCRT,6,55.62549708,D,7.50000000
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,5.00000000,70.00000000,80.00000000,none,-20,2,PfDHFR;PfCRT,6,89.32206861,C,5.60000000
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,5.00000000,70.00000000,80.00000000,none,-20,1,PfCRT,2,66.08000000,D,10.00000000
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,5.00000000,70.00000000,80.00000000,none,-20,1,PfCRT,2,73.89898990,B,9.90000000
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,5.00000000,70.00000000,80.00000000,none,-20,2,PfDHFR;PfCRT,6,70.22222222,D,7.50000000
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,5.00000000,70.00000000,80.00000000,none,-20,1,PfCRT,2,62.59047619,D,10.50000000
COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,5.00000000,70.00000000,80.00000000,none,-20,1,PfCRT,2,73.01098901,B,9.10000000
COc1ccc2c(OC)c3ccoc3nc2c1OC,5.00000000,70.00000000,80.00000000,none,-20,2,PfDHFR;PfCRT,6,64.89761905,C,7.00000000
COc1cccc2c(=O)c3ccc(O)cc3oc12,5.00000000,70.00000000,80.00000000,none,-20,2,PfDHFR;PfCRT,6,64.39249639,D,7.70000000
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,5.00000000,70.00000000,80.00000000,none,-20,2,PfDHFR;PfCRT,6,61.05686630,D,7.60000000
O=C(O)C=Cc1ccc(O)cc1,5.00000000,70.00000000,80.00000000,none,-20,2,PfDHFR;PfCRT,6,54.54010637,D,7.40000000
C=CCc1cc(OC)c2c(c1OC)OCO2,5.00000000,70.00000000,80.00000000,none,-10,2,PfDHFR;PfCRT,6,63.71852774,D,7.40000000
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,5.00000000,70.00000000,80.00000000,none,-10,2,PfDHFR;PfCRT,6,65.15461538,D,7.50000000
