smiles,RRS_mean,RRS_class,h0_count,h0_mean_lifetime,h0_max_lifetime,h1_count,h1_mean_lifetime,h1_max_lifetime,h1_total_persistence
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,146.31746031746033,A,47,1.2604817050568602,1.5315096378326416,8,0.5983206033706665,1.0265510082244873,4.786564826965332
CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,126.83760683760684,A,37,1.2711804638037811,1.5216829776763916,5,0.7341655492782593,1.0210301876068115,3.6708277463912964
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,124.01785714285715,A,32,1.2684371713548899,1.475696086883545,6,0.6817510525385538,1.0258643627166748,4.090506315231323
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,115.29595015576324,C,37,1.2669728865494598,1.4789434671401978,8,0.4936017692089081,1.0243812799453735,3.9488141536712646
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,98.52348993288592,A*,38,1.2665599286556244,1.5342247486114502,6,0.6144771575927734,1.0142258405685425,3.6868629455566406
COc1ccc2c(OC)c3ccoc3nc2c1OC,81.88888888888889,B,31,1.2638996262704172,1.4290106296539307,5,0.6624685049057006,1.0357319116592407,3.3123425245285034
COc1cccc2c(=O)c3ccc(O)cc3oc12,79.58592132505176,B,27,1.2713733889438488,1.4683866500854492,4,0.8103105425834656,1.0252829790115356,3.2412421703338623
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,74.78527607361964,C,24,1.2812977905074756,1.494753122329712,4,0.9009013175964355,1.0399388074874878,3.603605270385742
CC(C)=CCOc1ccc2ccc(=O)oc2c1,73.11377245508983,C,30,1.2571718295415242,1.5069247484207153,4,0.7299168109893799,1.028298258781433,2.9196672439575195
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,72.00435729847494,C,41,1.2316458763145819,1.5443713665008545,5,0.42837700843811033,0.5434107780456543,2.1418850421905518
CC(C)=CCc1ccc2cc[nH]c2c1,71.84713375796179,C,28,1.2423053511551447,1.5129858255386353,3,0.8247669537862142,1.0339347124099731,2.4743008613586426
C=CCc1cc(OC)c2c(c1OC)OCO2,71.0,C,29,1.2539930960227703,1.517143964767456,4,0.5398692786693573,1.0333077907562256,2.159477114677429
CC=Cc1cc(O)c(O)c(OC)c1,69.6467991169978,D,24,1.236865331729253,1.4945424795150757,4,0.43140751123428345,1.0207412242889404,1.7256300449371338
O=C(O)C=Cc1ccc(O)cc1,68.83227176220807,C,19,1.2444444330115068,1.4690451622009277,2,0.65697181224823,1.0107784271240234,1.31394362449646
