external_panel_id,smiles,activity,pchembl,selection_rule
EXT-001,C=CC(=O)Nc1ccc(N2CCN(C)CC2)nc1OC,0,3.96,deterministic pchembl-stratified sample; no P2 RRS used
EXT-002,O=S1(=O)CCN(c2nc(-c3cccnc3)cc(N3CCC(N4CCOCC4)CC3)n2)CC1,0,4.31,deterministic pchembl-stratified sample; no P2 RRS used
EXT-003,N#Cc1nc(NCc2cccc(-c3cc4ccccc4n3S(=O)(=O)c3ccccc3)c2)c2ncn(CCCO)c2n1,0,4.52,deterministic pchembl-stratified sample; no P2 RRS used
EXT-004,CCOC(=O)CCc1sc(NC(=O)CSCCCc2ccccc2)nc1/C=C/c1ccccc1,0,4.7,deterministic pchembl-stratified sample; no P2 RRS used
EXT-005,Clc1ccnc(N2CCOCC2)n1,0,4.82,deterministic pchembl-stratified sample; no P2 RRS used
EXT-006,O=C(c1ccc(Oc2ccc(Cl)cc2O)c(Cl)c1)N1CCCCC1,0,4.93,deterministic pchembl-stratified sample; no P2 RRS used
EXT-007,CCCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]1C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@H]2CC[C@@H](O)N(C2=O)[C@@H]([C@@H](C)CC)C(=O)N(C)[C@@H](Cc2ccc(OC)c(Br)c2)C(=O)N[C@@H](C(C)C)C(=O)O[C@@H]1C,1,6.02,deterministic pchembl-stratified sample; no P2 RRS used
EXT-008,CCCCCCCCCCCC(=O)NC(CCCCN)C(=O)NCCCCCCCCCCCC(=O)NC(CCCCN)C(=O)NCCCCCCCCCCCC(=O)NC(CCCCN)C(=O)O,1,6.07,deterministic pchembl-stratified sample; no P2 RRS used
EXT-009,Cc1noc(C)c1S(=O)(=O)N(CC(C)C)C(C(=O)NC(CN1CCCC1)c1ccccc1)c1ccccc1,1,6.11,deterministic pchembl-stratified sample; no P2 RRS used
EXT-010,NCC(=O)OC1CC2(N3CCCC3)CC(c3ccccc3)C1C(c1ccccc1)C2,1,6.16,deterministic pchembl-stratified sample; no P2 RRS used
EXT-011,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)N3CCc4ccccc4C3)cc2)c1,1,6.21,deterministic pchembl-stratified sample; no P2 RRS used
EXT-012,CCCCc1c(C)nc2ccc(Br)cc2c1O,1,6.27,deterministic pchembl-stratified sample; no P2 RRS used
EXT-013,CO/C=C(/C(=O)OC)[C@H](C)[C@H](/C=C/c1ccc2c(c1)OC(C)(C)[C@@H](OCC=C(C)C)CO2)OC,1,6.32,deterministic pchembl-stratified sample; no P2 RRS used
EXT-014,O=C(NCc1ccccc1)NC1CC2CCCC(C1)N2Cc1ccccc1,1,6.37,deterministic pchembl-stratified sample; no P2 RRS used
EXT-015,Cn1c2c(c3ccccc31)C(=O)c1c[n+]([O-])c3ccccc3c1C2=O,1,6.42,deterministic pchembl-stratified sample; no P2 RRS used
EXT-016,COc1ccc(C2=CC(=Cc3cccc(OC)c3OC)C(=O)O2)cc1OC,1,6.48,deterministic pchembl-stratified sample; no P2 RRS used
EXT-017,CC(C)CCc1sc(NC(=O)c2cc(NC(=O)c3ccc(/C=C/c4cnc5ccccc5c4)cc3)cn2C)nc1C(=O)NCCCN(C)C,1,6.54,deterministic pchembl-stratified sample; no P2 RRS used
EXT-018,Oc1ccccc1/C=N/CCNc1ccnc2cc(Cl)ccc12,1,6.58,deterministic pchembl-stratified sample; no P2 RRS used
EXT-019,CN1C[C@@H](CSc2ccccn2)C=C2c3cccc4[nH]cc(c34)C[C@H]21.Cl,1,6.65,deterministic pchembl-stratified sample; no P2 RRS used
EXT-020,CCCC[P+](CCCC)(CCCC)CCCCCCCCCCN1C(=O)c2ccccc2C1=O,1,6.71,deterministic pchembl-stratified sample; no P2 RRS used
EXT-021,Cl.Cl.S=C(NCCCNCCCCNCCCNC(=S)NCC(c1ccccc1)c1ccccc1)NCC(c1ccccc1)c1ccccc1,1,6.77,deterministic pchembl-stratified sample; no P2 RRS used
EXT-022,CCc1ccc2[nH]cc(C(=O)OC)c(=O)c2c1,1,6.84,deterministic pchembl-stratified sample; no P2 RRS used
EXT-023,Cc1ccc(-n2c(SCc3ccc(F)cc3)nnc2C(Cc2ccccc2)NC(=O)NC(C)(C)C)cc1,1,6.9,deterministic pchembl-stratified sample; no P2 RRS used
EXT-024,CN(C)c1cccc(-c2ccc3ncc(-c4ccc(S(C)(=O)=O)cc4)n3n2)c1,1,6.97,deterministic pchembl-stratified sample; no P2 RRS used
EXT-025,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,1,7.05,deterministic pchembl-stratified sample; no P2 RRS used
EXT-026,Clc1ccc2c(NCc3cn(CCN(Cc4ccccc4)Cc4ccccc4)nn3)ccnc2c1,1,7.11,deterministic pchembl-stratified sample; no P2 RRS used
EXT-027,CN(C(=O)c1cn2c(-c3ccc(C(F)(F)F)cc3)cnc2cn1)c1ccc(C#N)cc1,1,7.2,deterministic pchembl-stratified sample; no P2 RRS used
EXT-028,CN(C)C12CC(c3ccccc3)C(CN(C(=O)CCN3CCCCC3)C1)C(c1ccccc1)C2,1,7.28,deterministic pchembl-stratified sample; no P2 RRS used
EXT-029,C1C2CC3CC1CC(C2)C31OOC2(CCC(Nc3nnn[nH]3)CC2)OO1,1,7.36,deterministic pchembl-stratified sample; no P2 RRS used
EXT-030,CC(C)(C)NC(=O)CN(Cc1ccc(C(=O)NO)cc1)C(=O)c1c[nH]c2ccccc12,1,7.44,deterministic pchembl-stratified sample; no P2 RRS used
EXT-031,N=C(N)c1cccc(-c2cc(-c3ccc(C(=N)N)cc3[N+](=O)[O-])no2)c1,1,7.52,deterministic pchembl-stratified sample; no P2 RRS used
EXT-032,Cl.Cl.N=C(N)c1ccc(-c2cccc(-c3ccc(C(=N)N)cc3)c2)cc1,1,7.62,deterministic pchembl-stratified sample; no P2 RRS used
EXT-033,Cl.Nc1ccc(-c2ccc(CNCCCNc3ccnc4cc(Cl)ccc34)s2)cc1,1,7.72,deterministic pchembl-stratified sample; no P2 RRS used
EXT-034,Fc1ccc(-c2ccc(CNCCCNc3ccnc4cc(Cl)ccc34)s2)cc1,1,7.85,deterministic pchembl-stratified sample; no P2 RRS used
EXT-035,CN1C(=O)c2ccc(OC(F)(F)F)cc2N2C(=O)CCC12C(=O)Nc1cccc(Cl)c1,1,8.0,deterministic pchembl-stratified sample; no P2 RRS used
EXT-036,COc1ccc(C(=N)N)cc1-c1cn(-c2ccc(C(=N)N)cc2)nn1.Cl.Cl,1,8.15,deterministic pchembl-stratified sample; no P2 RRS used
EXT-037,C[C@H]1[C@@H](OCCN2CCOCC2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3.O=C(O)C(=O)O,1,8.33,deterministic pchembl-stratified sample; no P2 RRS used
EXT-038,CC(=O)Oc1ccccc1C(=O)OCC1(C)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1,8.57,deterministic pchembl-stratified sample; no P2 RRS used
EXT-039,C[C@H]1[C@@H](CCOCc2ccccc2COCC[C@H]2O[C@@H]3O[C@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@@]35OO4)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1,8.89,deterministic pchembl-stratified sample; no P2 RRS used
EXT-040,O=c1c2ccc(Oc3ccc(Cl)cc3)cc2[nH]c2cc(F)cc(F)c12,1,11.0,deterministic pchembl-stratified sample; no P2 RRS used
