removed_candidate,n,pns_rrs_rho,acsi_rrs_rho,rrs_wt_anchor_rho
PP-01,11,-0.22727272727272727,-0.39090909090909093,-0.20137774303955508
PP-03,11,-0.11818181818181818,-0.36363636363636365,-0.09678344297618552
PP-04,11,-0.28181818181818186,-0.4000000000000001,0.04147861841836522
PP-07,11,-0.2545454545454546,-0.3727272727272728,-0.22990024493585146
PP-08,11,-0.3181818181818182,-0.3181818181818182,-0.26208627922687067
PP-09,11,-0.24545454545454545,-0.3727272727272728,-0.15208826753400584
PP-10,11,-0.26363636363636367,-0.4000000000000001,-0.23504550437073626
PP-12,11,-0.24545454545454545,-0.36363636363636365,-0.19680097615229242
PP-14,11,-0.3181818181818182,-0.3181818181818182,-0.21968481058860553
PP-15,11,0.02727272727272728,-0.41818181818181827,0.0875659722165488
PP-16,11,-0.26363636363636367,-0.3545454545454546,-0.22990024493585146
PP-17,11,0.0,-0.7636363636363637,-0.28047829882173875
