GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,2005.64,4670.7,5787.24,567.17,297.87,-214.65,-4156.63,-34321.8,2119.73,26374.44,-5521.83,235.72,3129.72,-5286.12,-2156.39
11,2020.31,4600.39,5782.4,564.94,294.13,-210.23,-4177.1,-34469.47,2118.83,26339.73,-5359.97,236.33,2863.93,-5123.64,-2259.71
21,1981.71,4600.65,5727.8,547.45,296.3,-205.44,-4103.75,-34462.8,2108.77,26263.13,-5351.53,234.75,2753.82,-5116.78,-2362.96
31,2008.85,4657.54,5781.08,564.0,300.02,-228.12,-4200.98,-34256.65,2116.63,26238.75,-5417.51,233.96,2981.13,-5183.56,-2202.43
41,1995.71,4586.83,5767.21,554.7,293.75,-226.36,-4117.92,-34276.53,2154.17,26255.34,-5531.01,234.92,2986.9,-5296.1,-2309.2
51,2008.51,4665.59,5726.54,563.05,308.25,-235.36,-4188.32,-34257.16,2115.75,26338.67,-5530.34,231.16,3045.51,-5299.18,-2253.67
61,1989.92,4723.6,5727.22,567.03,290.3,-222.94,-4181.94,-34205.1,2109.77,26176.86,-5431.18,230.64,2974.73,-5200.54,-2225.81
71,2055.64,4703.96,5760.13,567.98,287.84,-223.48,-4164.94,-34530.32,2167.06,26273.79,-5299.81,234.92,2897.67,-5064.9,-2167.23
81,1969.35,4625.46,5755.23,558.89,318.25,-211.52,-4184.59,-34487.71,2108.96,26312.86,-5342.44,229.82,2765.18,-5112.62,-2347.44
91,2022.66,4553.25,5713.05,570.27,296.1,-227.08,-4193.52,-34394.16,2122.4,26239.96,-5359.36,230.24,2702.93,-5129.12,-2426.19
101,2064.47,4585.16,5727.59,559.42,326.24,-207.06,-4176.73,-34347.97,2109.93,26341.99,-5456.06,234.34,2983.05,-5221.72,-2238.67
111,2035.95,4652.39,5749.25,570.15,307.11,-227.62,-4141.61,-34289.75,2130.86,26251.52,-5495.81,232.15,3038.24,-5263.66,-2225.42
121,2022.25,4613.31,5795.01,568.9,296.33,-241.49,-4191.46,-34266.96,2138.77,26262.92,-5498.0,229.95,2997.6,-5268.05,-2270.45
131,1998.88,4619.84,5833.4,571.11,332.44,-233.56,-4158.25,-34165.24,2143.21,26276.48,-5570.17,236.16,3218.33,-5334.01,-2115.68
141,2006.41,4616.16,5717.64,559.02,318.42,-224.37,-4139.93,-34366.49,2134.32,26331.8,-5484.11,235.23,2952.98,-5248.88,-2295.9
151,2100.89,4617.93,5740.82,550.53,306.38,-249.46,-4140.57,-34080.78,2114.63,26159.41,-5644.8,235.63,3119.77,-5409.17,-2289.4
161,2057.81,4732.19,5767.12,558.28,302.5,-242.56,-4134.91,-34351.16,2129.6,26211.28,-5479.45,233.04,3030.14,-5246.41,-2216.27
171,2000.55,4564.8,5775.82,552.92,299.7,-226.16,-4162.26,-34279.94,2140.51,26186.19,-5413.26,232.75,2852.14,-5180.5,-2328.37
181,2095.07,4675.8,5746.92,552.22,311.41,-248.47,-4202.09,-34113.71,2097.11,26201.99,-5574.36,234.36,3116.25,-5340.0,-2223.75
191,1998.82,4626.45,5755.69,552.4,304.44,-212.64,-4210.98,-33979.63,2138.05,26255.65,-5717.42,235.38,3228.26,-5482.03,-2253.78
201,2040.45,4594.87,5776.61,551.84,305.17,-236.73,-4122.15,-34053.92,2163.62,26194.1,-5643.63,232.07,3213.85,-5411.55,-2197.7
211,1965.78,4630.72,5751.81,549.81,317.44,-214.78,-4123.15,-34194.33,2109.0,26265.26,-5614.06,232.96,3057.55,-5381.1,-2323.55
221,2027.02,4655.04,5722.71,561.67,317.82,-235.41,-4175.9,-33927.6,2107.74,26179.84,-5770.72,234.87,3232.93,-5535.84,-2302.91
231,2032.97,4593.46,5728.72,552.91,298.44,-245.47,-4084.47,-33948.51,2092.39,26169.57,-5784.67,240.47,3190.01,-5544.2,-2354.19
241,2139.95,4669.69,5664.99,560.79,284.11,-214.4,-4163.75,-34048.7,2117.52,26192.77,-5699.18,236.47,3202.97,-5462.71,-2259.74
251,1999.59,4680.29,5714.26,552.8,321.69,-214.85,-4153.8,-34085.0,2117.29,26245.55,-5744.8,232.65,3177.81,-5512.15,-2334.34
261,2030.28,4649.74,5721.45,567.65,282.21,-216.38,-4178.86,-34105.15,2118.29,26315.39,-5785.37,234.69,3184.62,-5550.69,-2366.07
271,1984.98,4592.16,5681.23,538.94,320.39,-231.12,-4100.05,-34119.44,2074.03,26333.38,-5735.18,234.97,3074.49,-5500.2,-2425.71
281,2066.5,4657.42,5693.17,561.17,316.39,-242.46,-4168.96,-33954.45,2110.3,26264.47,-5809.0,236.49,3303.53,-5572.51,-2268.98
291,2069.25,4609.01,5662.43,555.54,288.08,-203.43,-4105.11,-34142.19,2114.42,26294.04,-5710.3,239.29,3142.04,-5471.01,-2328.97
301,1957.24,4649.17,5734.35,544.65,305.3,-213.12,-4149.21,-34160.32,2131.72,26313.2,-5705.88,232.33,3112.99,-5473.55,-2360.57
311,2030.14,4599.88,5723.48,556.73,310.0,-250.44,-4197.45,-34217.18,2088.98,26420.86,-5675.2,235.85,3064.99,-5439.35,-2374.36
321,2008.73,4694.64,5739.23,556.63,303.88,-231.91,-4191.88,-34278.93,2106.33,26421.82,-5662.35,233.85,3128.54,-5428.51,-2299.96
331,2042.49,4533.37,5704.18,537.19,292.23,-246.35,-4144.02,-34256.39,2166.44,26547.3,-5774.67,235.75,3176.45,-5538.92,-2362.47
341,2070.94,4621.26,5719.07,580.33,301.87,-244.16,-4188.47,-34247.09,2120.38,26420.48,-5675.53,230.69,3154.6,-5444.84,-2290.25
351,2043.39,4752.6,5725.27,573.56,316.26,-232.9,-4144.52,-34101.2,2139.9,26336.62,-5759.04,230.42,3408.99,-5528.62,-2119.63
361,2010.9,4649.42,5646.12,541.31,296.43,-210.89,-4168.2,-34265.64,2112.57,26424.81,-5681.74,234.58,3036.83,-5447.16,-2410.34
371,2075.9,4636.5,5730.78,580.23,305.5,-209.86,-4116.88,-34147.22,2109.34,26319.64,-5696.25,234.03,3283.94,-5462.22,-2178.28
381,2047.47,4648.37,5692.05,557.27,325.4,-234.89,-4187.55,-34103.5,2164.72,26235.51,-5652.45,231.89,3144.85,-5420.56,-2275.71
391,2051.2,4641.28,5731.74,565.92,296.32,-206.32,-4185.09,-34250.99,2130.31,26283.17,-5548.4,234.49,3057.54,-5313.91,-2256.37
401,1996.02,4684.81,5727.17,556.77,290.14,-254.66,-4174.61,-34016.01,2108.15,26293.46,-5781.75,232.23,3211.26,-5549.52,-2338.27
411,2087.46,4566.46,5708.46,547.74,304.34,-233.61,-4124.36,-34158.16,2136.67,26249.24,-5666.98,232.47,3084.24,-5434.5,-2350.26
421,1996.08,4652.93,5752.23,548.59,338.09,-235.5,-4197.84,-33990.49,2119.35,26249.28,-5742.79,234.37,3232.72,-5508.42,-2275.71
431,2044.69,4588.41,5688.33,560.45,320.14,-219.91,-4176.46,-34101.45,2183.75,26254.56,-5657.59,234.74,3142.51,-5422.85,-2280.35
441,2038.24,4641.43,5701.19,556.52,285.01,-243.88,-4167.32,-34054.57,2152.09,26270.69,-5754.25,239.08,3179.4,-5515.16,-2335.77
451,2021.71,4683.38,5669.86,551.03,337.39,-224.23,-4175.94,-34074.6,2146.77,26338.05,-5781.96,236.21,3273.41,-5545.75,-2272.34
461,1997.05,4673.97,5691.15,580.42,301.77,-232.58,-4218.45,-34136.48,2131.78,26363.82,-5740.66,236.17,3152.45,-5504.5,-2352.05
471,2010.09,4770.31,5765.32,569.29,326.41,-239.37,-4170.5,-34135.09,2136.0,26269.08,-5693.83,235.07,3301.55,-5458.75,-2157.2
481,1982.87,4719.2,5666.06,545.69,322.82,-225.24,-4149.37,-34303.01,2094.2,26310.97,-5588.76,233.17,2964.18,-5355.59,-2391.41
491,2046.82,4608.71,5710.89,573.97,296.25,-220.13,-4147.65,-34142.6,2102.5,26245.44,-5641.49,235.8,3074.2,-5405.69,-2331.48
501,2018.49,4735.14,5705.65,547.92,307.37,-235.18,-4108.72,-34209.11,2147.72,26329.47,-5649.87,234.73,3238.75,-5415.15,-2176.4
511,1942.19,4713.6,5749.63,581.35,311.83,-251.23,-4097.37,-34102.71,2110.15,26262.73,-5672.64,238.54,3220.18,-5434.09,-2213.92
521,2037.19,4658.65,5662.69,560.19,301.91,-222.68,-4205.88,-33986.5,2125.81,26302.26,-5756.85,236.63,3233.64,-5520.22,-2286.58
531,2050.93,4672.89,5676.5,564.99,280.89,-223.72,-4153.61,-34193.53,2090.69,26271.83,-5622.48,235.48,3037.85,-5387.0,-2349.15
541,2109.52,4700.93,5710.82,577.86,298.63,-234.8,-4119.96,-34050.65,2071.21,26170.33,-5771.86,236.95,3233.89,-5534.91,-2301.02
551,2083.97,4592.77,5730.5,556.11,307.65,-242.15,-4113.94,-34158.65,2108.3,26208.69,-5628.76,238.31,3073.24,-5390.45,-2317.21
561,2009.33,4628.3,5724.35,568.94,313.07,-233.67,-4132.64,-34005.9,2152.33,26184.14,-5733.42,240.27,3208.25,-5493.15,-2284.91
571,2027.67,4637.0,5626.37,557.62,324.61,-234.39,-4125.14,-34274.75,2083.78,26194.86,-5519.74,237.98,2817.63,-5281.76,-2464.13
581,2095.49,4640.12,5725.0,564.61,289.29,-265.65,-4106.73,-34235.15,2102.98,26198.09,-5570.56,241.02,3008.06,-5329.53,-2321.47
591,2067.71,4628.33,5730.68,556.88,296.88,-254.94,-4160.82,-34146.47,2126.27,26309.34,-5678.09,238.06,3153.86,-5440.02,-2286.16
