| Run on Wed Aug 19 13:34:48 2026
|
|gmx_MMPBSA Version=v1.5.0.3 based on MMPBSA.py v.16.0
|Complex Structure file:                /home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/results/md_systems/set_c_preparation_20260812_v1/PP-02_PfDHFR_WT/runs/20260816T013502Z/replicate_1/production.tpr
|Complex (GROMACS) topology file:       /home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/results/md_systems/set_c_preparation_20260812_v1/PP-02_PfDHFR_WT/runs/20260816T013502Z/replicate_1/topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-1093"
|Ligand mask:                    ":1094"
|Ligand residue name is:         "MOL0"
|
|Calculations performed using 100 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K)
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   3823.86         54.33      54.33         5.43       5.43
ANGLE                  8962.80         77.46      77.46         7.75       7.75
DIHED                 11814.80         40.80      40.80         4.08       4.08
UB                     1214.43         16.53      16.53         1.65       1.65
IMP                     617.14         17.52      17.52         1.75       1.75
CMAP                   -565.32         20.51      20.51         2.05       2.05
VDWAALS               -8247.26         47.29      47.29         4.73       4.73
EEL                  -72166.29        283.90     283.90        28.39      28.39
1-4 VDW                3740.76         32.83      32.83         3.28       3.28
1-4 EEL               48567.27         79.78      79.78         7.98       7.98
EGB                  -13487.64        237.18     237.18        23.72      23.72
ESURF                   418.80          4.41       4.41         0.44       0.44

GGAS                  -2237.82        319.21     296.01        31.92      29.60
GSOLV                -13068.85        237.22     234.50        23.72      23.45

TOTAL                -15306.66        397.71     122.26        39.77      12.23

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   3809.12         54.61      54.61         5.46       5.46
ANGLE                  8933.01         77.16      77.16         7.72       7.72
DIHED                 11777.24         40.01      40.01         4.00       4.00
UB                     1214.43         16.53      16.53         1.65       1.65
IMP                     617.14         17.52      17.52         1.75       1.75
CMAP                   -565.32         20.51      20.51         2.05       2.05
VDWAALS               -8197.66         47.32      47.32         4.73       4.73
EEL                  -72128.87        282.87     282.87        28.29      28.29
1-4 VDW                3710.51         32.92      32.92         3.29       3.29
1-4 EEL               48567.53         79.83      79.83         7.98       7.98
EGB                  -13502.92        236.96     236.96        23.70      23.70
ESURF                   420.94          4.48       4.48         0.45       0.45

GGAS                  -2262.86        318.20     294.85        31.82      29.49
GSOLV                -13081.99        237.00     234.23        23.70      23.42

TOTAL                -15344.85        396.76     121.14        39.68      12.11

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     14.73          3.46       3.46         0.35       0.35
ANGLE                    29.79          4.09       4.09         0.41       0.41
DIHED                    37.56          3.90       3.90         0.39       0.39
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                  -4.85          1.76       1.76         0.18       0.18
EEL                     -23.08          1.53       1.53         0.15       0.15
1-4 VDW                  30.25          2.63       2.63         0.26       0.26
1-4 EEL                  -0.26          1.78       1.78         0.18       0.18
EGB                     -19.63          1.22       1.22         0.12       0.12
ESURF                     3.82          0.07       0.07         0.01       0.01

GGAS                     84.15          7.71       5.12         0.77       0.51
GSOLV                   -15.81          1.22       1.18         0.12       0.12

TOTAL                    68.34          7.81       5.25         0.78       0.53

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          3.18       0.00         0.32       0.00
ΔANGLE                   -0.00          3.80       0.00         0.38       0.00
ΔDIHED                   -0.00          3.11       0.00         0.31       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -44.75          1.73       2.87         0.17       0.29
ΔEEL                    -14.35          0.49       4.01         0.05       0.40
Δ1-4 VDW                 -0.00          2.54       0.00         0.25       0.00
Δ1-4 EEL                 -0.00          1.72       0.00         0.17       0.00
ΔEGB                     34.90          1.00       4.24         0.10       0.42
ΔESURF                   -5.96          0.01       0.32         0.00       0.03

ΔGGAS                   -59.10          1.80       5.10         0.18       0.51
ΔGSOLV                   28.95          1.00       4.08         0.10       0.41

ΔTOTAL                  -30.16          2.06       2.86         0.21       0.29
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
