GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,3897.38,9054.67,11872.51,1213.64,612.21,-553.35,-8266.6,-71951.87,3733.45,48298.17,-13568.6,418.07,-2089.78,-13150.53,-15240.31
11,3931.82,8811.03,11884.05,1206.54,599.69,-557.3,-8227.39,-72294.61,3712.0,48421.93,-13365.19,416.58,-2512.24,-12948.6,-15460.85
21,3827.57,8937.8,11813.36,1232.22,609.71,-530.0,-8276.4,-72623.59,3775.05,48417.97,-13105.94,406.63,-2816.3,-12699.31,-15515.61
31,3849.04,8922.95,11868.48,1225.5,617.46,-560.9,-8267.67,-72340.77,3772.72,48434.29,-13335.97,413.74,-2478.9,-12922.23,-15401.13
41,3873.62,9045.37,11788.59,1219.27,603.78,-544.75,-8264.97,-72416.51,3752.67,48484.46,-13297.78,416.7,-2458.45,-12881.08,-15339.53
51,3843.67,8857.1,11799.11,1215.84,622.27,-550.25,-8190.78,-72588.08,3702.54,48418.31,-13151.62,417.79,-2870.27,-12733.82,-15604.09
61,3842.06,8912.16,11748.41,1211.52,609.7,-535.38,-8213.15,-72487.02,3775.23,48339.33,-13116.06,412.8,-2797.13,-12703.26,-15500.39
71,3746.78,8894.81,11819.13,1204.33,622.73,-546.42,-8242.29,-72555.95,3756.0,48487.47,-13201.18,415.24,-2813.4,-12785.94,-15599.34
81,3861.9,8873.88,11872.76,1208.37,617.03,-542.1,-8236.94,-72429.22,3731.56,48444.55,-13229.14,415.65,-2598.21,-12813.49,-15411.69
91,3764.16,8927.94,11773.17,1213.02,617.37,-549.91,-8298.57,-72048.12,3747.02,48359.62,-13454.46,417.56,-2494.31,-13036.9,-15531.21
101,3881.88,8891.55,11817.86,1193.47,604.82,-563.35,-8218.64,-72415.41,3729.57,48455.29,-13224.07,412.98,-2622.96,-12811.09,-15434.05
111,3763.04,9052.68,11777.72,1242.77,588.03,-580.14,-8231.59,-72240.03,3765.27,48350.11,-13428.62,412.56,-2512.13,-13016.06,-15528.19
121,3788.15,8868.7,11792.38,1188.27,633.65,-554.48,-8187.13,-72411.96,3786.35,48386.01,-13256.69,413.87,-2710.07,-12842.82,-15552.89
131,3801.15,8864.4,11763.83,1194.49,637.33,-517.51,-8248.43,-72562.18,3770.57,48401.09,-13025.79,405.43,-2895.27,-12620.36,-15515.63
